变量名,huodongID,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,remark,remark_tw,remark_en,remark_vn,remark_kr,remark_pt,remark_th,params,addType,addNum,goto
,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101018,日常副本次数增加,日常副本次數增加,More Daily Dungeon attempts,More Daily Dungeon attempts,일일 던전 횟수 증가,Mais tentativas de Daily Dungeon,ความพยายามในดันเจี้ยนประจำวันเพิ่มเติม,活动期间，所有日常副本内的内容每个均增加挑战次数,活動期間，所有日常副本內的內容每個均增加挑戰次數,"During the event, all Daily Dungeons grant more challenge attempts.","During the event, all Daily Dungeons grant more challenge attempts.","이벤트 기간, 모든 일일 던전 한번 씩 도전 횟수 증가","Durante o evento, todas as Masmorras Diárias concedem mais tentativas de desafio.",ในช่วงกิจกรรม ดันเจี้ยนประจำวันทั้งหมดจะให้โอกาสท้าทายมากขึ้น,若与平常日常活动同期，则在两个活动同时生效，两个活动均有加成次数的该活动副本，将叠加所有活动的次数,若與平常日常活動同期，則在兩個活動同時生效，兩個活動均有加成次數的該活動副本，將疊加所有活動的次數,"If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.","If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.",이벤트 기간에 모든 일일 던전의 내용의 도전 횟수가 모두 증가,"Se coincidir com o Evento Diário, o bônus para ambos os eventos é efetivo simultaneamente. As tentativas podem ser acumuladas para Dungeons afetadas em ambos os eventos.",หากตรงกับกิจกรรมประจำวัน โบนัสของทั้งสองกิจกรรมจะมีผลพร้อมกัน จำนวนครั้งในการพยายามสามารถสะสมได้สำหรับดันเจี้ยนที่ได้รับผลกระทบในทั้งสองกิจกรรม,{type=1;count=3},1,5,activityGate
12,101018,冒险之路扫荡翻倍,冒險之路掃蕩翻倍,Double Rewards for Road of Adventure Raid,Double Rewards for Road of Adventure Raid,모험의 길 소탕 2배,Recompensas em dobro para o ataque Road of Adventure,รางวัลสองเท่าสำหรับการบุก Road of Adventure,活动期间，冒险之路扫荡奖励翻倍,活動期間，冒險之路掃蕩獎勵翻倍,"During the event, rewards for Road of Adventure Raid doubled.","During the event, rewards for Road of Adventure Raid doubled.","이벤트 기간, 모험의 길  소탕 보상을 2배로 획득할 수 있다","Durante o evento, as recompensas para o Road of Adventure Raid dobraram.",ในช่วงกิจกรรม รางวัลจากการบุก Road of Adventure จะเพิ่มเป็นสองเท่า,若与日常活动同期，则不进行两个活动的倍数与时间等条件的叠加哦,若與日常活動同期，則不進行兩個活動的倍數與時間等條件的疊加哦,"If it coincides with Daily Event, the bonus and duration cannot be stacked.","If it coincides with Daily Event, the bonus and duration cannot be stacked.","이벤트 기간에, 모험의 길 소탕 보상이 2배가 됩니다","Se coincidir com o Evento Diário, o bônus e a duração não podem ser acumulados.",หากตรงกับกิจกรรมประจำวัน โบนัสและระยะเวลาจะไม่สามารถสะสมได้,{type=2;multiples=2},1,3,endlessTower
13,101018,剧情副本掉落翻倍,劇情副本掉落翻倍,Double Story Dungeon Drops,Double Story Dungeon Drops,스토리 던전 드랍 2배,Gotas de masmorras de história dupla,ดรอปจาก Double Story Dungeon,活动次数内，剧情副本产出内容翻倍,活動次數內，劇情副本産出內容翻倍,"With event's valid attempts, Story Dungeon drops doubled.","With event's valid attempts, Story Dungeon drops doubled.","이벤트  횟수 내에서, 스토리 던전 보상을 2배로 획득할 수 있다","Com as tentativas válidas do evento, os drops da Masmorra de História dobraram.",เมื่อความพยายามที่ถูกต้องในช่วงกิจกรรม ดันเจี้ยน Story จะเพิ่มเป็นสองเท่า,扫荡与战斗都在计数内，若与日常关卡翻倍活动同期，则先按照日常活动的时间计算，之后再计算被活动次数,掃蕩與戰鬥都在計數內，若與日常關卡翻倍活動同期，則先按照日常活動的時間計算，之後再計算被活動次數,"Both Raid and Fight are counted. If it coincides with Daily Stage Double-drops Event, the duration for Daily Event will be counted first, and then the attempts of this event.","Both Raid and Fight are counted. If it coincides with Daily Stage Double-drops Event, the duration for Daily Event will be counted first, and then the attempts of this event.",이벤트 횟수 안에 스토리 던전에서 생성되는 내용물이 2배가 됩니다,"Raid e Fight são contados. Se coincidir com o Evento Daily Stage Double-drops, a duração do Evento Diário será contada primeiro, e então as tentativas deste evento.",นับทั้งการบุกและการต่อสู้ หากตรงกับกิจกรรมแจกของรางวัลสองเท่าของด่านประจำวัน ระยะเวลาของกิจกรรมประจำวันจะถูกนับก่อน จากนั้นจึงนับจำนวนครั้งในการพยายามของกิจกรรมนี้,{type=3;start=10101;end=12510},2,150,10000
14,101018,体力购买双倍,體力購買雙倍,Double Purchased Stamina,Double Purchased Stamina,체력 구매 2배,Vigor comprado em dobro,ซื้อความอึดเพิ่มเป็นสองเท่า,活动期间，每日前5次购买体力享受获得体力双倍,活動期間，每日前5次購買體力享受獲得體力雙倍,"During the event, first 5 purchases of Stamina every day grant double Stamina.","During the event, first 5 purchases of Stamina every day grant double Stamina.","이벤트 기간, 매일 5회 체력을 구입해 체력의 2배를 획득할 수 있다","Durante o evento, as primeiras 5 compras de Stamina todos os dias concedem o dobro de Stamina.",ในช่วงกิจกรรม การซื้อพลังงาน 5 ครั้งแรกในแต่ละวันจะให้พลังงานเพิ่มเป็นสองเท่า,若与日常体力购买双倍活动同期，则按照购买次数多的该活动执行,若與日常體力購買雙倍活動同期，則按照購買次數多的該活動執行,"If it coincides with Daily Double Purchased Stamina Event, carry out the event with higher purchase attempts","If it coincides with Daily Double Purchased Stamina Event, carry out the event with higher purchase attempts",이벤트 기간에 매일 첫 5회 체력 구매 시 2배 체력 혜택을 누릴 수 있습니다,"Se coincidir com o Evento Daily Double Purchased Stamina, realize o evento com tentativas de compra mais altas",หากตรงกับกิจกรรมซื้อสเตมิน่าสองเท่าของด่านประจำวัน ให้ดำเนินกิจกรรมด้วยจำนวนครั้งในการพยายามซื้อที่มากขึ้น,{type=4;count=3},1,3,gainStamina
15,101018,聚宝金币翻倍,聚寶金幣翻倍,Double Coins,Double Coins,보물단지 코인 2배,Moedas Duplas,เหรียญคู่,活动期间，每日前8次聚宝可以获得双倍金币,活動期間，每日前8次聚寶可以獲得雙倍金幣,"During the event, first 8 Fortunes every day grant double Coins.","During the event, first 8 Fortunes every day grant double Coins.","이벤트 기간 , 매일 전 8회 보물단지   금화의 2배를 획득할 수 있다","Durante o evento, as primeiras 8 Fortunas todos os dias concedem o dobro de Moedas.",ในช่วงกิจกรรม โชคลาภ 8 ครั้งแรกในแต่ละวันจะให้เหรียญเพิ่มเป็นสองเท่า,若与日常聚宝翻倍活动同期，则优先进行翻倍次数多的活动,若與日常聚寶翻倍活動同期，則優先進行翻倍次數多的活動,"If it coincides with Daily Double Fortune Event, carry out the event with higher attempts","If it coincides with Daily Double Fortune Event, carry out the event with higher attempts","이벤트 기간에, 매일 첫 8회 보물단지에서 2배 코인을 얻을 수 있습니다","Se coincidir com o Evento Daily Double Fortune, realize o evento com tentativas mais altas",หากตรงกับกิจกรรมโชคลาภสองเท่าของด่านประจำวัน ให้ดำเนินกิจกรรมด้วยจำนวนครั้งในการพยายามซื้อที่มากขึ้น,{type=5;count=8},1,5,gainGold
,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1001,日常副本次数增加,日常副本次數增加,More Daily Dungeon attempts,More Daily Dungeon attempts,일일 던전 횟수 증가,Mais tentativas de Daily Dungeon,ความพยายามในดันเจี้ยนประจำวันเพิ่มเติม,活动期间，所有日常副本内的内容每个均增加挑战次数,活動期間，所有日常副本內的內容每個均增加挑戰次數,"During the event, all Daily Dungeons grant more challenge attempts.","During the event, all Daily Dungeons grant more challenge attempts.","이벤트 기간, 모든 일일 던전 한번 씩 도전 횟수 증가","Durante o evento, todas as Masmorras Diárias concedem mais tentativas de desafio.",ในช่วงกิจกรรม ดันเจี้ยนประจำวันทั้งหมดจะให้โอกาสท้าทายมากขึ้น,若与平常日常活动同期，则在两个活动同时生效，两个活动均有加成次数的该活动副本，将叠加所有活动的次数,若與平常日常活動同期，則在兩個活動同時生效，兩個活動均有加成次數的該活動副本，將疊加所有活動的次數,"If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.","If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.",이벤트 기간에 모든 일일 던전의 내용의 도전 횟수가 모두 증가,"Se coincidir com o Evento Diário, o bônus para ambos os eventos é efetivo simultaneamente. As tentativas podem ser acumuladas para Dungeons afetadas em ambos os eventos.",หากตรงกับกิจกรรมประจำวัน โบนัสของทั้งสองกิจกรรมจะมีผลพร้อมกัน จำนวนครั้งในการพยายามสามารถสะสมได้สำหรับดันเจี้ยนที่ได้รับผลกระทบในทั้งสองกิจกรรม,{type=1;count=2},1,1,activityGate
102,1001,冒险之路扫荡翻倍,冒險之路掃蕩翻倍,Double Rewards for Road of Adventure Raid,Double Rewards for Road of Adventure Raid,모험의 길 소탕 2배,Recompensas em dobro para o ataque Road of Adventure,รางวัลสองเท่าสำหรับการบุก Road of Adventure,活动期间，冒险之路扫荡奖励翻倍,活動期間，冒險之路掃蕩獎勵翻倍,"During the event, rewards for Road of Adventure Raid doubled.","During the event, rewards for Road of Adventure Raid doubled.","이벤트 기간, 모험의 길  소탕 보상을 2배로 획득할 수 있다","Durante o evento, as recompensas para o Road of Adventure Raid dobraram.",ในช่วงกิจกรรม รางวัลจากการบุก Road of Adventure จะเพิ่มเป็นสองเท่า,若与日常活动同期，则不进行两个活动的倍数与时间等条件的叠加哦,若與日常活動同期，則不進行兩個活動的倍數與時間等條件的疊加哦,"If it coincides with Daily Event, the bonus and duration cannot be stacked.","If it coincides with Daily Event, the bonus and duration cannot be stacked.","이벤트 기간에, 모험의 길 소탕 보상이 2배가 됩니다","Se coincidir com o Evento Diário, o bônus e a duração não podem ser acumulados.",หากตรงกับกิจกรรมประจำวัน โบนัสและระยะเวลาจะไม่สามารถสะสมได้,{type=2;multiples=2},1,1,endlessTower
103,1001,剧情副本掉落翻倍,劇情副本掉落翻倍,Double Story Dungeon Drops,Double Story Dungeon Drops,스토리 던전 드랍 2배,Gotas de masmorras de história dupla,ดรอปจาก Double Story Dungeon,活动次数内，剧情副本产出内容翻倍,活動次數內，劇情副本産出內容翻倍,"With event's valid attempts, Story Dungeon drops doubled.","With event's valid attempts, Story Dungeon drops doubled.","이벤트  횟수 내에서, 스토리 던전 보상을 2배로 획득할 수 있다","Com as tentativas válidas do evento, os drops da Masmorra de História dobraram.",เมื่อความพยายามที่ถูกต้องในช่วงกิจกรรม ดันเจี้ยน Story จะเพิ่มเป็นสองเท่า,扫荡与战斗都在计数内，若与日常关卡翻倍活动同期，则先按照日常活动的时间计算，之后再计算被活动次数,掃蕩與戰鬥都在計數內，若與日常關卡翻倍活動同期，則先按照日常活動的時間計算，之後再計算被活動次數,"Both Raid and Fight are counted. If it coincides with Daily Stage Double-drops Event, the duration for Daily Event will be counted first, and then the attempts of this event.","Both Raid and Fight are counted. If it coincides with Daily Stage Double-drops Event, the duration for Daily Event will be counted first, and then the attempts of this event.",이벤트 횟수 안에 스토리 던전에서 생성되는 내용물이 2배가 됩니다,"Raid e Fight são contados. Se coincidir com o Evento Daily Stage Double-drops, a duração do Evento Diário será contada primeiro, e então as tentativas deste evento.",นับทั้งการบุกและการต่อสู้ หากตรงกับกิจกรรมแจกของรางวัลสองเท่าของด่านประจำวัน ระยะเวลาของกิจกรรมประจำวันจะถูกนับก่อน จากนั้นจึงนับจำนวนครั้งในการพยายามของกิจกรรมนี้,{type=3;start=10101;end=12510},2,100,10000
104,1001,体力购买双倍,體力購買雙倍,Double Purchased Stamina,Double Purchased Stamina,체력 구매 2배,Vigor comprado em dobro,ซื้อความอึดเพิ่มเป็นสองเท่า,活动期间，每日前5次购买体力享受获得体力双倍,活動期間，每日前5次購買體力享受獲得體力雙倍,"During the event, first 5 purchases of Stamina every day grant double Stamina.","During the event, first 5 purchases of Stamina every day grant double Stamina.","이벤트 기간, 매일 5회 체력을 구입해 체력의 2배를 획득할 수 있다","Durante o evento, as primeiras 5 compras de Stamina todos os dias concedem o dobro de Stamina.",ในช่วงกิจกรรม การซื้อพลังงาน 5 ครั้งแรกในแต่ละวันจะให้พลังงานเพิ่มเป็นสองเท่า,若与日常体力购买双倍活动同期，则按照购买次数多的该活动执行,若與日常體力購買雙倍活動同期，則按照購買次數多的該活動執行,"If it coincides with Daily Double Purchased Stamina Event, carry out the event with higher purchase attempts","If it coincides with Daily Double Purchased Stamina Event, carry out the event with higher purchase attempts",이벤트 기간에 매일 첫 5회 체력 구매 시 2배 체력 혜택을 누릴 수 있습니다,"Se coincidir com o Evento Daily Double Purchased Stamina, realize o evento com tentativas de compra mais altas",หากตรงกับกิจกรรมซื้อสเตมิน่าสองเท่าของด่านประจำวัน ให้ดำเนินกิจกรรมด้วยจำนวนครั้งในการพยายามซื้อที่มากขึ้น,{type=4;count=5},1,1,gainStamina
