变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_beizhu,isShow,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc1_pt,desc1_th,quality,use,type,stackMax,specialArgsMap,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,produceDesc_pt,produceDesc_th,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop
950,精灵碎片礼袋,精靈碎片禮袋,Pokémon Shard Pack,Túi quà tặng Elf,포켓몬 조각 선물 보따리,Pacote de Fragmentos Pokémon,แพ็คชิ้นส่วนโปเกมอน,,TRUE,config/item/box/box_9_3.png,打开后可随机获得B~S品质精灵的碎片,開啟後可隨機獲得B～S品質精靈碎片,Opening this grants a random B~S quality spirit shard.,Mở ra sẽ nhận được mảnh linh hồn cấp B~S ngẫu nhiên.,열면 B~S등급의 정령 조각을 무작위로 획득합니다.,"Abrindo, você obtém um fragmento de espírito aleatório de qualidade B~S.",เปิดแล้วจะได้รับเศษวิญญาณระดับ B~S แบบสุ่ม,,,,,,,,4,,7,9999999,{level=<<1;210;331>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhuma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการได้รับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
951,精英精灵碎片礼袋,S級精靈碎片禮袋,S Grade Pokémon Shard Pack,Túi quà mảnh vỡ Elf tinh anh,S급 포켓몬 조각 선물 보따리,Pacote de Fragmentos de Pokémon Grau S,แพ็คเศษโปเกมอนเกรด S,,TRUE,config/item/box/box_9_3.png,打开后可随机获得S品质精灵的碎片,開啟後可隨機獲得S級精靈碎片,Opening this grants a random S-quality spirit shard.,Mở ra sẽ nhận được mảnh linh hồn cấp S ngẫu nhiên.,열면 무작위로 S급 정령 조각을 얻습니다.,"Abrindo, você obtém um fragmento de espírito de qualidade S aleatoriamente.",เปิดแล้วจะได้รับเศษวิญญาณระดับ S แบบสุ่ม,,,,,,,,5,,7,9999999,{level=<<1;210;332>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há uma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการได้รับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
952,稀有精灵碎片礼袋,A級精靈碎片禮袋,A Grade Pokémon Shard Pack,Túi quà mảnh vỡ Elf hiếm,A급 포켓몬 조각 선물 보따리,Pacote de Fragmentos de Pokémon Grau A,แพ็คเศษโปเกมอนเกรด A,,TRUE,config/item/box/box_9_2.png,打开后可随机获得A品质精灵的碎片,開啟後可隨機獲得A級精靈碎片,Opening reveals a random A-quality spirit shard.,Mở ra sẽ nhận được mảnh linh hồn cấp A ngẫu nhiên.,열면 무작위로 A급 정령 조각을 얻습니다.,"Abrindo, você recebe um fragmento de espírito aleatório de qualidade A.",เปิดแล้วจะได้รับเศษวิญญาณระดับ A แบบสุ่ม,,,,,,,,4,,7,9999999,{level=<<1;210;333>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não existe um método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
953,普通精灵碎片礼袋,B級精靈碎片禮袋,B Grade Pokémon Shard Pack,Túi quà mảnh vỡ Elf bình thường,B급 포켓몬 조각 선물 보따리,Pacote de Fragmentos Pokémon Grau B,แพ็คเศษโปเกมอนเกรด B,,TRUE,config/item/box/box_9_1.png,打开后可随机获得b品质精灵的碎片,開啟後可隨機獲得B品質精靈碎片,Opening this will randomly give you fragments of a B-quality spirit.,Mở ra sẽ nhận được mảnh linh hồn cấp B ngẫu nhiên.,열면 B급 정령 조각을 무작위로 획득합니다.,"Abrindo, você receberá aleatoriamente fragmentos de um espírito de qualidade B.",เมื่อเปิดแล้วจะได้รับเศษวิญญาณเกรด B แบบสุ่ม,,,,,,,,3,,7,9999999,{level=<<1;210;334>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương thức cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
960,绿色探险器宝箱,綠色探險器寶箱,Uncommon Explorer Device Chest,Rương thám hiểm màu xanh lá,초록색 탐지기 보물상자,Baú de Dispositivo Explorador Incomum,หีบอุปกรณ์ Explorer ที่ไม่ธรรมดา,,TRUE,config/item/box/box_2_1.png,打开后可随机获得绿色品质探险器,開啟後可隨機獲得綠色品質探險器,Opening reveals a random green-quality explorer.,Mở ra sẽ nhận được ngẫu nhiên một thiết bị thám hiểm cấp độ xanh lục.,열면 무작위로 녹색 등급 탐험가를 얻습니다.,"Abrindo, você recebe aleatoriamente um explorador de qualidade verde.",เมื่อเปิดแล้วจะได้รับไอเทมสำรวจคุณภาพสีเขียวแบบสุ่ม,,,,,,,,2,,7,9999999,{level=<<1;210;170>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed acquisition method for obtaining this item.,Hiện tại không có phương pháp thu thập cố định nào để có được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 획득 방법이 없습니다.,Atualmente não há um método fixo de aquisição para obter este item.,ปัจจุบันไม่มีวิธีการได้รับไอเทมนี้ที่แน่นอน,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
961,蓝色探险器宝箱,藍色探險器寶箱,Rare Explorer Device Chest,Rương kho báu thám hiểm màu xanh lam,파란색 탐지기 보물상자,Baú de Dispositivo Raro de Exploração,หีบอุปกรณ์ Explorer หายาก,,TRUE,config/item/box/box_2_2.png,打开后可随机获得蓝色品质探险器,開啟後可隨機獲得藍色品質探險器,Opening this grants a random blue-quality explorer.,Mở ra sẽ nhận được ngẫu nhiên một thiết bị thám hiểm cấp phẩm chất xanh lam.,열면 무작위로 파란색 등급 탐험가를 얻습니다.,"Abrindo, você obtém aleatoriamente um explorador de qualidade azul.",เปิดแล้วจะได้รับยานสำรวจคุณภาพสีน้ำเงินแบบสุ่ม,,,,,,,,3,,7,9999999,{level=<<1;210;171>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
962,紫色探险器宝箱,紫色探險器寶箱,Epic Explorer Device Chest,Rương kho báu thám hiểm màu tím,보라색 탐지기 보물상자,Baú de Dispositivos do Explorador Épico,หีบอุปกรณ์ Epic Explorer,,TRUE,config/item/box/box_2_3.png,打开后可随机获得紫色品质探险器,開啟後可隨機獲得紫色品質探險器,Opening reveals a random purple-quality explorer.,Mở ra sẽ nhận được ngẫu nhiên một thiết bị thám hiểm cấp tím.,열면 무작위로 보라색 등급 탐험 장비를 얻습니다.,"Abrindo, você obtém aleatoriamente um explorador de qualidade roxa.",เปิดแล้วจะได้รับเครื่องสำรวจคุณภาพสีม่วงแบบสุ่ม,,,,,,,,4,,7,9999999,{level=<<1;210;172>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương thức cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการได้รับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
963,橙色探险器宝箱,橙色探險器寶箱,Legendary Explorer Device Chest,Rương thám hiểm màu cam,주황색 탐지기 보물상자,Baú de Dispositivos do Explorador Lendário,หีบอุปกรณ์นักสำรวจในตำนาน,,TRUE,config/item/box/box_2_4.png,打开后可随机获得橙色品质探险器,開啟後可隨機獲得橙色品質探險器,Opening reveals a random orange-quality explorer.,Mở ra sẽ nhận được ngẫu nhiên một thiết bị thám hiểm cấp cam.,열면 무작위로 주황색 등급 탐험가를 얻을 수 있습니다.,"Abrindo, você receberá um explorador de qualidade laranja aleatório.",เปิดแล้วจะได้รับเครื่องมือสำรวจคุณภาพสีส้มแบบสุ่ม,,,,,,,,5,,7,9999999,{level=<<1;210;173>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để nhận được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhuma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการได้รับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
966,紫色探险器选择宝箱,紫色探險器選擇寶箱,Epic Explorer Device Optional Chest,Rương Chọn Explorer Device Tím,보라색 탐지기 선택 보물상자,Dispositivo Explorador Épico Baú Opcional,หีบเสริมอุปกรณ์ Epic Explorer,,TRUE,config/item/box/box_2_3.png,打开后可选择获得指定的紫色品质探险器组件,開啟後可選擇獲得指定的紫色品質探險器組件,"After opening, you can choose to obtain the specified purple-quality explorer component.","Sau khi mở, bạn có thể chọn nhận linh kiện thiết bị thám hiểm cấp tím đã chỉ định.",열면 지정된 보라색 등급 탐험가 부품을 선택할 수 있습니다.,"Após abrir, você pode escolher obter o componente de explorador de qualidade roxa especificado.",หลังจากเปิดแล้ว คุณสามารถเลือกที่จะรับชิ้นส่วนยานสำรวจคุณภาพม่วงที่ระบุได้,,,,,,,,4,,16,9999999,{choose3={4063=1};choose8={4074=1};choose5={4071=1};choose2={4062=1};choose7={4073=1};choose4={4064=1};choose1={4061=1};choose6={4072=1}},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhuma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
967,橙色探险器选择宝箱,橙色探險器選擇寶箱,Legendary Explorer Device Optional Chest,Rương Chọn Explorer Device Cam,주황색 탐지기 선택 보물상자,Baú opcional do dispositivo explorador lendário,หีบอุปกรณ์สำรวจในตำนาน,,TRUE,config/item/box/box_2_4.png,打开后可选择获得指定的橙色品质探险器组件,開啟後可選擇獲得指定的橙色品質探險者組件,"After opening, you can choose to obtain the specified orange-quality explorer component.","Sau khi mở, bạn có thể chọn nhận linh kiện thiết bị thám hiểm chất lượng cam đã được chỉ định.",열면 지정된 오렌지 등급 탐험가 부품을 선택할 수 있습니다.,"Após abrir, você pode escolher obter o componente de explorador de qualidade laranja especificado.",หลังจากเปิดแล้ว คุณสามารถเลือกที่จะรับชิ้นส่วนอุปกรณ์สำรวจคุณภาพสีส้มที่ระบุได้,,,,,,,,5,,16,9999999,{choose3={4083=1};choose8={4094=1};choose5={4085=1};choose2={4082=1};choose7={4093=1};choose4={4084=1};choose9={4095=1};choose1={4081=1};choose10={4096=1};choose6={4092=1}},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để có được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há uma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
970,随机绿色符石宝箱,隨機綠色符石寶箱,Random Common Rune Chest,Rương đá rune xanh ngẫu nhiên,랜덤 초록색 룬스톤 보물상자,Baú de Runas Comuns Aleatórias,หีบรูนทั่วไปแบบสุ่ม,,TRUE,config/item/box/icon_fslh_1_1.png,打开后可随机获得绿色品质符石,打開後可隨機獲得綠色品質符石,Opening reveals a random green-quality gem.,Mở ra sẽ nhận được ngẫu nhiên một viên đá quý phẩm chất xanh lục.,열면 무작위로 녹색 등급의 보석을 얻습니다.,"Abrindo, você obtém aleatoriamente uma gema de qualidade verde.",เปิดแล้วจะได้รับอัญมณีคุณภาพสีเขียวแบบสุ่ม,,,,,,,,2,,7,9999999,{level=<<1;210;8011>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
971,随机蓝色符石宝箱,隨機藍色符石寶箱,Random Rare Rune Chest,Rương đá Rune màu xanh lam ngẫu nhiên,랜덤 파란색 룬스톤 보물상자,Baú de Runa Rara Aleatória,หีบรูนหายากแบบสุ่ม,,TRUE,config/item/box/icon_fslh_1_2.png,打开后可随机获得蓝色品质符石,開啟後可隨機獲得藍色品質符石,Opening this grants a random blue-quality gem.,Mở ra sẽ nhận được một viên đá quý phẩm chất xanh lam ngẫu nhiên.,열면 무작위로 파란색 등급의 보석을 얻습니다.,"Abrindo, você obtém aleatoriamente uma gema de qualidade azul.",เปิดแล้วจะได้รับรูนคุณภาพสีน้ำเงินแบบสุ่ม,,,,,,,,3,,7,9999999,{level=<<1;210;8012>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed acquisition method for this item.,Hiện tại không có phương pháp thu thập cố định nào cho vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการได้รับไอเทมนี้แบบตายตัว,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
972,随机紫色符石宝箱,隨機紫色符石寶箱,Random Epic Rune Chest,Rương đá rune tím ngẫu nhiên,랜덤 보라색 룬스톤 보물상자,Baú de Runa Épica Aleatória,หีบรูนมหากาพย์แบบสุ่ม,,TRUE,config/item/box/icon_fslh_1_3.png,打开后可随机获得紫色品质符石,開啟後可隨機獲得紫色品質符石,Opening reveals a random purple quality rune.,Mở ra sẽ nhận được một viên đá rune chất lượng tím ngẫu nhiên.,열면 무작위로 보라색 등급의 룬스톤을 얻습니다.,"Abrindo, você receberá uma runa de qualidade roxa aleatória.",เปิดแล้วจะได้รับรูนคุณภาพม่วงแบบสุ่ม,,,,,,,,4,,7,9999999,{level=<<1;210;8013>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhuma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
973,随机橙色符石宝箱,隨機橙色符石寶箱,Random Legendary Rune Chest,Rương ngẫu nhiên Rune màu cam,랜덤 주황색 룬스톤 보물상자,Baú de Runa Lendária Aleatória,หีบรูนตำนานแบบสุ่ม,,TRUE,config/item/box/icon_fslh_1_4.png,打开后可随机获得橙色品质符石,開啟後可隨機獲得橙色品質符石,Opening this will randomly grant an orange-quality gemstone.,Mở ra sẽ nhận được ngẫu nhiên một viên đá quý phẩm chất cam.,열면 무작위로 주황색 등급의 보석을 얻습니다.,"Abrindo, você receberá aleatoriamente uma gema de qualidade laranja.",เปิดแล้วจะได้รับรูนคุณภาพสีส้มแบบสุ่ม,,,,,,,,5,,7,9999999,{level=<<1;210;8014>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Não existe atualmente nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
974,随机红色符石宝箱,隨機紅色符石寶箱,Random Marvel Rune Chest,Rương đá rune đỏ ngẫu nhiên,랜덤 빨간색 룬스톤 보물상자,Baú de Runas Marvel Aleatório,หีบรูนมาร์เวลแบบสุ่ม,,TRUE,config/item/box/icon_fslh_1_5.png,打开后可随机获得红色品质符石,開啟後可隨機獲得紅色品質符石,Opening this will randomly grant a red quality talisman.,Mở ra sẽ nhận được ngẫu nhiên một viên đá cường hóa chất lượng đỏ.,열면 무작위로 붉은색 등급의 부적을 얻습니다.,"Abrindo, você receberá aleatoriamente uma pedra de runa de qualidade vermelha.",เมื่อเปิดแล้วจะได้รับรูนคุณภาพสีแดงแบบสุ่ม,,,,,,,,6,,7,9999999,{level=<<1;210;8015>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để nhận được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhuma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
980,绿色符石宝箱,綠色符石寶箱,Random Common Rune Chest,Rương đá rune xanh lục,초록색 룬스톤 보물상자,Baú de Runas Comuns Aleatórias,หีบรูนทั่วไปแบบสุ่ม,,TRUE,config/item/box/box_2_1.png,打开后可随机获得绿色品质符石,開啟後可隨機獲得綠色品質符石,Opening reveals a random green-quality gem.,Mở ra sẽ nhận được ngẫu nhiên một viên đá quý phẩm chất xanh lục.,열면 무작위로 녹색 등급의 보석을 얻습니다.,"Abrindo, você obtém aleatoriamente uma gema de qualidade verde.",เมื่อเปิดแล้วจะได้รับรูนคุณภาพสีเขียวแบบสุ่ม,,,,,,,,2,,10,9999999,{level=<<1;210;8011>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
981,蓝色符石宝箱,藍色符石寶箱,Random Rare Rune Chest,Rương đá Rune xanh lam,파란색 룬스톤 보물상자,Baú de Runa Rara Aleatória,หีบรูนหายากแบบสุ่ม,,TRUE,config/item/box/box_2_2.png,打开后可随机获得蓝色品质符石,開啟後可隨機獲得藍色品質符石,Opening reveals a random blue-quality gem.,Mở ra sẽ nhận được một viên đá quý phẩm chất xanh lam ngẫu nhiên.,열면 무작위로 파란색 등급의 보석을 획득합니다.,"Abrindo, você recebe aleatoriamente uma gema de qualidade azul.",เมื่อเปิดแล้วจะได้รับรูนคุณภาพสีน้ำเงินแบบสุ่ม,,,,,,,,3,,10,9999999,{level=<<1;210;8012>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
982,紫色符石宝箱,紫色符石寶箱,Random Epic Rune Chest,Rương đá Rune tím,보라색 룬스톤 보물상자,Baú de Runa Épica Aleatória,หีบรูนมหากาพย์แบบสุ่ม,,TRUE,config/item/box/box_2_3.png,打开后可随机获得紫色品质符石,打開後可隨機獲得紫色品質符石,Opening reveals a random purple-quality gem.,Mở ra sẽ nhận được ngẫu nhiên một viên đá quý phẩm chất tím.,열면 무작위로 보라색 등급의 보석을 얻습니다.,"Abrindo, você receberá uma gema de qualidade roxa aleatoriamente.",เปิดแล้วจะได้รับรูนคุณภาพม่วงแบบสุ่ม,,,,,,,,4,,10,9999999,{level=<<1;210;8013>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed acquisition method for obtaining this item.,Hiện tại không có phương pháp thu thập cố định để có được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 획득 방법이 없습니다.,Atualmente não existe um método fixo de aquisição para obter este item.,ปัจจุบันไม่มีวิธีการได้รับไอเท็มนี้ที่แน่นอน,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
983,橙色符石宝箱,橙色符石寶箱,Random Legendary Rune Chest,Rương đá Rune màu cam,주황색 룬스톤 보물상자,Baú de Runa Lendária Aleatória,หีบรูนตำนานแบบสุ่ม,,TRUE,config/item/box/box_2_4.png,打开后可随机获得橙色品质符石,開啟後可隨機獲得橙色品質符石,Opening reveals a random orange-quality rune stone.,Mở ra sẽ nhận được một viên đá rune chất lượng cam ngẫu nhiên.,열면 무작위로 주황색 등급의 룬스톤을 얻습니다.,"Abrindo, você obtém aleatoriamente uma runa de qualidade laranja.",เมื่อเปิดแล้วจะได้รับรูนคุณภาพสีส้มแบบสุ่ม,,,,,,,,5,,10,9999999,{level=<<1;210;8014>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há um método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
984,红色符石宝箱,紅色符石寶箱,Random Marvel Rune Chest,Rương đá Rune đỏ,빨간색 룬스톤 보물상자,Baú de Runas Marvel Aleatório,หีบรูนมาร์เวลแบบสุ่ม,,TRUE,config/item/box/box_2_4.png,打开后可随机获得红色品质符石,開啟後可隨機獲得紅色品質符石,Opening reveals a random red-quality gemstone.,Mở ra sẽ nhận được một viên đá quý chất lượng đỏ ngẫu nhiên.,열면 무작위로 붉은색 등급의 보석을 얻습니다.,"Abrindo, você obtém aleatoriamente uma gema de qualidade vermelha.",เมื่อเปิดแล้วจะได้รับอัญมณีคุณภาพสีแดงแบบสุ่ม,,,,,,,,6,,10,9999999,{level=<<1;210;8015>>},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed method to obtain this item.,Hiện tại không có phương pháp cố định nào để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há nenhum método fixo para obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเท็มนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
990,绿色符石自选宝箱,綠色符石自選寶箱,Common Rune Chest,Rương tự chọn ngọc rune xanh,초록색 룬스톤 자동 선택 보물상자,Baú de Runas Comuns,หีบรูนทั่วไป,,TRUE,config/item/box/icon_fslh_2_1.png,打开后可任选一个绿色品质符石,開啟後可任選一個綠色品質符石,"After opening, you can choose one green quality talisman.","Sau khi mở, bạn có thể chọn một viên đá phù chú chất lượng xanh.",개봉 후 녹색 등급 부적을 하나 선택할 수 있습니다.,"Após abrir, você pode escolher uma pedra de talismã de qualidade verde.",หลังจากเปิดแล้ว สามารถเลือกอัญมณีคุณภาพสีเขียวได้หนึ่งชิ้น,,,,,,,,2,,16,9999999,{choose24={40426=1};choose40={40821=1};choose29={40525=1};choose22={40424=1};choose11={40225=1};choose7={40221=1};choose28={40524=1};choose9={40223=1};choose10={40224=1};choose34={40624=1};choose21={40423=1};choose32={40622=1};choose2={40122=1};choose20={40422=1};choose4={40124=1};choose17={40325=1};choose1={40121=1};choose16={40324=1};choose45={40923=1};choose13={40321=1};choose27={40523=1};choose30={40526=1};choose43={40921=1};choose23={40425=1};choose44={40922=1};choose39={40723=1};choose26={40522=1};choose6={40126=1};choose42={40823=1};choose15={40323=1};choose3={40123=1};choose8={40222=1};choose35={40625=1};choose5={40125=1};choose37={40721=1};choose14={40322=1};choose31={40621=1};choose33={40623=1};choose19={40421=1};choose12={40226=1};choose25={40521=1};choose36={40626=1};choose41={40822=1};choose38={40722=1};choose18={40326=1}},{},{},{},<3>,<1>,0,0,99,99,0,,,,,,,,暂无固定获取途径可获得该物品,目前沒有固定的取得途徑可以獲得此物品,There is currently no fixed way to obtain this item.,Hiện tại không có cách nào cố định để lấy được vật phẩm này.,현재 이 아이템을 얻을 수 있는 고정된 방법이 없습니다.,Atualmente não há uma maneira fixa de obter este item.,ปัจจุบันไม่มีวิธีการที่แน่นอนในการรับไอเทมนี้,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
