变量名,huodongID,numText,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
9,101056,9,继续向前Ⅲ,繼續向前Ⅲ,Keep Moving Forward III,Tiếp tục tiến lên III,계속 전진 III,Siga em frente III,ก้าวต่อไป III,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,"Ash and his Pokémon are moving on the road, and the Pokémon are following Ash's command to form multiple small teams to ensure everyone's safety during exploration.","Ash và các Pokémon đang di chuyển trên đường, các Pokémon nghe theo lệnh của Ash chia thành nhiều đội nhỏ để đảm bảo an toàn cho mọi người trong quá trình khám phá.","지우와 포켓몬들은 길을 가고 있으며, 포켓몬들은 지우의 지시에 따라 여러 소대로 나뉘어 탐사 중 모두의 안전을 확보한다.",Ash e os pokemons estão viajando na estrada. Os pokemons seguem o comando de Ash para formar várias equipes para garantir a segurança de todos durante a exploração.,แอชและเหล่าโปเกม่อนกำลังออกเดินทาง โปเกม่อนทำตามคำสั่งของแอชเพื่อจัดทีมต่างๆ เพื่อให้แน่ใจว่าทุกคนจะปลอดภัยระหว่างการสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2360;y=340},<<2030;480>;<2090;414>;<2234;368>;<2290;358>;<2360;340>>,8,180,,{8118=5},1,<4>,2,<2;1>,,,,,,,{rmb=50;2027=1}
10,101056,10,过河Ⅰ,過河Ⅰ,Cross River I,Băng qua sông I,강 건너기 I,Atravessando o Rio I,ข้ามแม่น้ำฉัน,小智一行走到了河边，眼见河上木桥单薄，不堪行走，小智打算安排精灵们趟河而过,小智一行走到了河邊，眼見河上木橋單薄，不堪行走，小智打算安排精靈們趟河而過,"Ash and his party reached the riverside. Seeing that the wooden bridge over the river was flimsy and unsafe to walk on, Ash decided to arrange for the Pokémon to wade across the river.","Ash và nhóm bạn đã đến bờ sông. Thấy cây cầu gỗ trên sông mỏng manh, không thể đi qua, Ash quyết định cho các Pokémon lội qua sông.","지우 일행은 강가에 도착했다. 강 위의 나무다리가 얇아서 걷기에 불안해 보이자, 지우는 포켓몬들을 시켜 강을 건너기로 했다.","Ash e seu grupo caminharam até a margem do rio. Vendo que a ponte de madeira no rio era muito fina para andar, Ash planejou providenciar para que os pokemons atravessassem o rio.",แอชและคณะเดินไปที่ริมแม่น้ำ เมื่อเห็นว่าสะพานไม้ริมแม่น้ำแคบเกินไปที่จะเดินได้ แอชจึงวางแผนให้โปเกม่อนเดินลุยข้ามแม่น้ำ,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=2620;y=520},<<2360;340>;<2430;374>;<2504;428>;<2558;478>;<2620;520>>,9,720,,{8118=20},3,<1>,5,<1.8;1>,10,<3;1>,5,<3;1>,{501=1},,{gold=150000;902=10}
11,101056,11,过河Ⅱ,過河Ⅱ,Cross River II,Băng qua sông II,강 건너기 II,Atravessando o Rio II,ข้ามแม่น้ำ II,趟过了一条河，却见另一条更宽大些的河，小智和精灵们不得不再次趟河而过,趟過了一條河，卻見另一條更寬大些的河，小智和精靈們不得不再次趟河而過,"After crossing one river, they saw another, wider river, and Ash and his Pokémon had to wade across again.","Sau khi lội qua một con sông, họ lại thấy một con sông khác rộng hơn. Ash và các Pokémon phải lội qua sông một lần nữa.","강 하나를 건너니, 더 넓은 강이 나타났다. 지우와 포켓몬들은 다시 강을 건너야만 했다.","Depois de cruzar um rio, eles viram outro rio mais largo. Ash e os pokemons tiveram que cruzar o rio novamente.",หลังจากข้ามแม่น้ำไปแล้ว พวกเขาก็เห็นแม่น้ำอีกสายหนึ่งที่กว้างกว่า แอชและโปเกม่อนจึงต้องข้ามแม่น้ำอีกครั้ง,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=2940;y=290},<<2620;520>;<2740;386>;<2798;342>;<2866;316>;<2940;290>>,10,180,,{8118=5},1,<3>,11,<3>,,,,,,,{gold=150000;967=1}
12,101056,12,空中飞人,空中飛人,Flying in the Air,Bay trên không,공중 비행,Aéreo,ทางอากาศ,小智一行终于离河而去，来到了片绵延的青山脚下，山高耸入云，小智打算让自己“飞”上去,小智一行終於離河而去，來到了片綿延的青山腳下，山高聳入雲，小智打算讓自己“飛”上去,"Ash and his party finally left the river and came to the foot of a continuous green mountain. The mountain was so high it reached into the clouds, and Ash decided to ""fly"" up.","Cuối cùng Ash và nhóm bạn đã rời khỏi dòng sông và đến chân một ngọn núi xanh tươi trập trùng. Ngọn núi cao chọc trời, và Ash quyết định ""bay"" lên.","지우 일행은 마침내 강을 떠나 끝없이 펼쳐진 푸른 산기슭에 도착했다. 산은 구름 속으로 솟아 있었고, 지우는 ""날아서"" 올라가기로 했다.","Ash e seu grupo finalmente deixaram o rio e chegaram ao pé de uma longa extensão de montanhas verdes. As montanhas estavam se elevando nas nuvens, e Ash planejou ""voar"" até elas.",ในที่สุดแอชและคณะของเขาก็ออกจากแม่น้ำและมาถึงเชิงเขาเขียวขจีที่ทอดยาวไกล ภูเขาสูงตระหง่านจนมองเห็นเมฆ และแอชก็วางแผนที่จะ "บิน" ขึ้นไปหาพวกเขา,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=3068;y=660},<<2940;290>;<2980;434>;<3030;574>;<3068;660>>,11,360,,{8118=10},5,<1.5;1>,11,<10;2>,,,,,,,{rmb=50;20701=10}
13,101056,13,篝火,篝火,Campfire,Lửa trại,모닥불,fogueira,กองไฟ,在常年树荫遮蔽的群山中可真有点寒冷，小智打算生火，他需要精灵们的帮助,在常年樹蔭遮蔽的群山中可真有點寒冷，小智打算生火，他需要精靈們的幫助,It's quite cold in the mountains shaded by trees all year round. Ash plans to start a fire and needs the help of his Pokémon.,Trong những ngọn núi quanh năm rợp bóng cây quả thật có chút lạnh lẽo. Ash định nhóm lửa và cần sự giúp đỡ của các Pokémon.,"일년 내내 나무 그늘에 가려진 산속은 정말 춥다. 지우는 불을 피우기로 하고, 포켓몬들의 도움이 필요하다.",Está um pouco frio nas montanhas cobertas de árvores o ano todo. Ash planeja fazer uma fogueira. Ele precisa da ajuda dos pokemons.,อากาศบนภูเขาที่ปกคลุมด้วยต้นไม้ตลอดทั้งปีค่อนข้างหนาว แอชวางแผนจะก่อไฟ เขาต้องการความช่วยเหลือจากเหล่าโปเกม่อน,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=3300;y=870},<<3068;660>;<3168;786>;<3300;870>>,12,480,,{8118=15},6,<1;2>,9,<60;1>,2,<2;2>,,,,,{gold=300000;850=100}
14,101056,14,探险准备,探險準備,Adventure Preparation,Chuẩn bị phiêu lưu,탐험 준비,Preparação para expedição,การเตรียมตัวสำหรับการเดินทาง,翻越山林，眼前是一处广袤无垠的大漠区域，气候好似突然炎热起来，进入荒漠可要做好准备,翻越山林，眼前是一處廣袤無垠的大漠區域，氣候好似突然炎熱起來，進入荒漠可要做好準備,"After crossing the mountains and forests, a vast desert area lies ahead. The climate suddenly seems to have become hot, and they need to be well-prepared to enter the desert.","Vượt qua núi rừng, phía trước là một vùng sa mạc rộng lớn. Khí hậu dường như đột nhiên trở nên nóng nực, cần phải chuẩn bị kỹ càng trước khi vào sa mạc.","산과 숲을 넘으니, 눈앞에 광활한 사막 지역이 펼쳐졌다. 기후가 갑자기 더워진 것 같아 사막에 들어가려면 준비를 잘 해야 한다.","Depois de atravessar as montanhas e florestas, há uma vasta área desértica à nossa frente. O clima parece ter subitamente se tornado quente. Esteja preparado ao entrar no deserto",หลังจากข้ามภูเขาและป่าไปแล้วก็พบกับพื้นที่ทะเลทรายอันกว้างใหญ่เบื้องหน้าของเรา สภาพอากาศดูเหมือนจะร้อนขึ้นอย่างกะทันหัน เตรียมตัวให้พร้อมเมื่อเข้าสู่ทะเลทราย,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=3534;y=732},<<3300;870>;<3398;776>;<3460;750>;<3534;732>>,13,720,,{8118=20},3,<21>,4,<0;2;2>,11,<3>,11,<4;2>,{rmb=50},,{gold=300000;2103=10}
15,101056,15,清理陷阱,清理陷阱,Trap Clearing,Dọn bẫy,함정 제거,Limpando a armadilha,การล้างกับดัก,小智一行需要穿过一片齐腰的草丛，但草丛内好像有猎人设置的陷阱，很是危险，需要清理掉,小智一行需要穿過一片齊腰的草叢，但草叢內好像有獵人設置的陷阱，很是危險，需要清理掉,"Ash and his party need to pass through a patch of waist-high grass, but there seem to be traps set by hunters in the grass, which is very dangerous and needs to be cleared.","Ash và nhóm bạn cần đi qua một bụi cỏ cao đến thắt lưng, nhưng trong bụi cỏ dường như có bẫy do thợ săn đặt, rất nguy hiểm, cần phải dọn dẹp.","지우 일행은 허리 높이의 풀숲을 지나가야 하는데, 풀숲 안에는 사냥꾼이 설치한 덫이 있는 것 같아 매우 위험해서 제거해야 한다.","Ash e seu grupo precisam passar por um arbusto na altura da cintura, mas parece que há uma armadilha preparada por um caçador no arbusto, que é muito perigosa e precisa ser removida.",แอชและปาร์ตี้ของเขาต้องเดินผ่านพุ่มไม้ที่สูงถึงเอว แต่ดูเหมือนว่าจะมีกับดักที่นักล่าวางไว้ในพุ่มไม้ ซึ่งอันตรายมากและจำเป็นต้องกำจัดออกไป,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=3830;y=960},<<3534;732>;<3554;798>;<3588;852>;<3712;926>;<3830;960>>,14,360,,{8118=10},1,<4>,4,<0;1;2>,8,<25;1>,,,,,{rmb=100;talent_point=5}
16,101056,16,继续向前Ⅳ,繼續向前Ⅳ,Keep Moving Forward IV,Tiếp tục tiến lên IV,계속 전진 IV,Continue em frente IV,เดินหน้าต่อไป IV,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,"Ash and his Pokémon are moving on the road, and the Pokémon are following Ash's command to form multiple small teams to ensure everyone's safety during exploration.","Ash và các Pokémon đang di chuyển trên đường, các Pokémon nghe theo lệnh của Ash chia thành nhiều đội nhỏ để đảm bảo an toàn cho mọi người trong quá trình khám phá.","지우와 포켓몬들은 길을 가고 있으며, 포켓몬들은 지우의 지시에 따라 여러 소대로 나뉘어 탐사 중 모두의 안전을 확보한다.",Ash e os pokemons estão viajando na estrada. Os pokemons seguem o comando de Ash para formar várias equipes para garantir a segurança de todos durante a exploração.,แอชและเหล่าโปเกม่อนกำลังออกเดินทาง โปเกม่อนทำตามคำสั่งของแอชเพื่อจัดทีมต่างๆ เพื่อให้แน่ใจว่าทุกคนจะปลอดภัยระหว่างการสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4170;y=940},<<3830;960>;<3902;970>;<3980;970>;<4048;958>;<4096;946>;<4170;940>>,15,360,,{8118=10},1,<4>,2,<5;1>,2,<10;1>,,,,,{gold=300000;501=3}
17,101056,17,怪圈,怪圈,Strange Circle,Vòng tròn kỳ lạ,이상한 원,Círculo vicioso,วงจรอุบาทว์,路边的草像是被碾压过一样，绵延数里，看着很是突兀，小智带着精灵们决定走近些观察,路邊的草像是被碾壓過一樣，綿延數裏，看著很是突兀，小智帶著精靈們決定走近些觀察,"The grass on the roadside looks as if it has been crushed, stretching for several miles, which looks very abrupt. Ash and his Pokémon decide to get closer to observe.","Cỏ ven đường trông như bị nghiền nát, kéo dài hàng dặm, trông rất đột ngột. Ash và các Pokémon quyết định đến gần hơn để quan sát.",길가의 풀이 짓밟힌 것처럼 수 마일에 걸쳐 펼쳐져 있어 매우 갑작스러워 보였다. 지우와 포켓몬들은 더 가까이 다가가 관찰하기로 했다.,"A grama na beira da estrada parecia ter sido esmagada, estendendo-se por quilômetros, o que parecia muito abrupto. Ash e os pokemons decidiram se aproximar para observar.",หญ้าริมถนนดูเหมือนถูกเหยียบย่ำจนขยายออกไปเป็นไมล์ ดูกว้างใหญ่มาก แอชและโปเกม่อนตัดสินใจเข้าไปใกล้เพื่อสังเกต,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4170;y=550},<<4170;940>;<4308;852>;<4318;768>;<4294;686>;<4272;634>;<4236;590>;<4170;550>>,16,720,,{8118=20},3,<91>,7,<50;2>,9,<60;1>,,,,,{gold=300000;20701=15}
18,101056,18,继续向前Ⅴ,繼續向前Ⅴ,Keep Moving Forward V,Tiếp tục tiến lên V,계속 전진 V,Continue em frente Ⅴ,เดินหน้าต่อไป Ⅴ,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,"Ash and his Pokémon are moving on the road, and the Pokémon are following Ash's command to form multiple small teams to ensure everyone's safety during exploration.","Ash và các Pokémon đang di chuyển trên đường, các Pokémon nghe theo lệnh của Ash chia thành nhiều đội nhỏ để đảm bảo an toàn cho mọi người trong quá trình khám phá.","지우와 포켓몬들은 길을 가고 있으며, 포켓몬들은 지우의 지시에 따라 여러 소대로 나뉘어 탐사 중 모두의 안전을 확보한다.",Ash e os pokemons estão viajando na estrada. Os pokemons seguem o comando de Ash para formar várias equipes para garantir a segurança de todos durante a exploração.,แอชและเหล่าโปเกม่อนกำลังออกเดินทาง โปเกม่อนทำตามคำสั่งของแอชเพื่อจัดทีมต่างๆ เพื่อให้แน่ใจว่าทุกคนจะปลอดภัยระหว่างการสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4480;y=320},<<4170;550>;<4280;430>;<4326;390>;<4398;350>;<4480;320>>,17,180,,{8118=5},2,<1;1>,9,<25;2>,,,,,,,{rmb=100;930=100}
