变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""","""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称,副本名称_韩,副本名称,副本名称,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍,特性介绍_韩,特性介绍_韩,特性介绍_韩
18,炎帝,炎帝,Entei,Hoàng Đế Nghiêu,앤테이,Entei,เอ็นเทอิ,1017,{501=1;932=70;5000=70},{932=25;951=2;gold=200000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},炎帝似乎获得了更强的能力,炎帝似乎獲得了更強的能力,Entei seems to have gotten more powerful,Yan Đế dường như đã có được sức mạnh lớn hơn.,앤테이가 더 강한 능력을 획득한 것 같다.,Yan Di parece ter obtido poderes ainda maiores.,เยียนตี้ดูเหมือนจะได้รับพลังที่แข็งแกร่งกว่า
19,水君,水君,Suicune,Suicune,스이쿤,Suicune,ซุยคูน,1018,{932=70;rmb=100;5000=70},{932=30;951=2;gold=210000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},水君似乎获得了更强的能力,水君似乎獲得了更強的能力,Suicune seems to have gotten more powerful,Suijin dường như đã có được sức mạnh mạnh hơn.,스이쿤이 더 강한 능력을 획득한 것 같다.,Suijin parece ter obtido habilidades mais fortes.,ดูเหมือนว่าซุยจินจะมีความสามารถที่แข็งแกร่งขึ้น
20,梦幻,夢幻,Mew,Mộng mị,뮤,Miado,หมิว,1019,{501=1;932=80;5000=80},{932=30;951=2;gold=220000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},梦幻似乎获得了更强的能力,夢幻似乎獲得了更強的能力,Mew seems to have gotten more powerful,Giấc mơ dường như đã có được sức mạnh lớn hơn.,뮤가 더 강한 능력을 획득한 것 같다.,O sonho parece ter ganhado habilidades mais fortes.,ความฝันดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
21,超梦,超夢,Mewtwo,Mewtwo,뮤츠,Mewtwo,มิวทู,1020,{5000=80;932=80;19=2},{932=30;951=2;gold=230000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},超梦似乎获得了更强的能力,超夢似乎獲得了更強的能力,Mewtwo seems to have gotten more powerful,Mewtwo dường như đã có được sức mạnh lớn hơn.,뮤츠가 더 강한 능력을 획득한 것 같다.,Mewtwo parece ter ganhado poderes ainda maiores.,Mewtwo ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
22,自爆磁怪,自爆磁怪,Magnezone,Quái vật từ tính tự hủy,자포코일,Magnezona,แมกนีโซน,1021,{5000=80;932=80;519=1},{932=35;951=2;gold=240000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},自爆磁怪似乎获得了更强的能力,自爆磁怪似乎獲得了更強的能力,Magnezone seems to have gotten more powerful,Quái vật từ trường tự hủy dường như đã có được khả năng mạnh hơn.,자포코일이 더 강한 능력을 획득한 것 같다.,O Monstro Magnético Autodestrutivo parece ter ganhado habilidades mais fortes.,มอนสเตอร์แม่เหล็กที่ทำลายตัวเองดูเหมือนจะมีความสามารถที่แข็งแกร่งขึ้น
23,超甲狂犀,超甲狂犀,Rhyperior,Siêu Giáp Tê Giác Điên Cuồng,거대코뿌리,Rhyperior,ไรเปอร์อิเรียม,1022,{501=1;932=90;5000=90},{932=35;951=2;gold=250000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},超甲狂犀似乎获得了更强的能力,超甲狂犀似乎獲得了更強的能力,Rhyperior seems to have gotten more powerful,Tê giác siêu giáp dường như đã có được khả năng mạnh hơn.,거대코뿌리가 더 강한 능력을 획득한 것 같다.,O Rinoceronte Superblindado parece ter obtido habilidades mais fortes.,แรดเกราะสุดยอดดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
24,巨钳螳螂,巨鉗螳螂,Scizor,Bọ Ngựa Khổng Lồ,핫삼,Tesoura,ซิซอร์,1023,{932=90;rmb=100;5000=90},{932=35;951=2;gold=260000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},巨钳螳螂似乎获得了更强的能力,巨鉗螳螂似乎獲得了更強的能力,Scizor seems to have gotten more powerful,Con bọ ngựa khổng lồ dường như đã có được khả năng mạnh hơn.,핫삼이 더 강한 능력을 획득한 것 같다.,O mantis gigante parece ter ganhado habilidades mais fortes.,ตั๊กแตนตำข้าวขนาดใหญ่ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
25,鸭嘴炎兽,鴨嘴炎獸,Magmortar,Quái thú lửa mỏ vịt,마그마번,Magmortar,กระสุนปืนครก,1024,{501=1;932=90;5000=90},{932=40;951=2;gold=270000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},鸭嘴炎兽似乎获得了更强的能力,鴨嘴炎獸似乎獲得了更強的能力,Magmortar seems to have gotten more powerful,Con thú Bò Sát Lửa Mỏ Vịt dường như đã có được khả năng mạnh hơn.,마그마번이 더 강한 능력을 획득한 것 같다.,A Besta Chama de Bico de Pato parece ter ganhado habilidades mais fortes.,สัตว์อสูรเพลิงปากเป็ดดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
26,电龙,電龍,Ampharos,Rồng điện,전룡,Ânfaros,แอมฟาโรส,1025,{5000=100;932=100;19=2},{932=40;951=2;gold=280000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},电龙似乎获得了更强的能力,電龍似乎獲得了更強的能力,Ampharos seems to have gotten more powerful,Con rồng điện dường như đã có được khả năng mạnh hơn.,전룡이 더 강한 능력을 획득한 것 같다.,O dragão elétrico parece ter obtido habilidades mais fortes.,มังกรสายฟ้าดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
27,赫拉克罗斯,赫拉克羅斯,Heracross,Heracross,헤라크로스,Heracross,เฮราครอส,1026,{5000=100;932=100;519=1},{932=40;951=2;gold=290000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},赫拉克罗斯似乎获得了更强的能力,赫拉克羅斯似乎獲得了更強的能力,Heracross seems to have gotten more powerful,Heracross dường như đã có được khả năng mạnh hơn.,헤라크로스가 더 강한 능력을 획득한 것 같다.,Heracross parece ter obtido habilidades mais fortes.,ดูเหมือนว่าเฮอราครอสจะได้รับความสามารถที่แข็งแกร่งขึ้น
28,玛狃拉,瑪狃拉,Weavile,Manectric,포푸니라,Weavile,วีวิล,1027,{501=1;932=110;5000=110},{932=40;951=2;gold=300000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},玛狃拉似乎获得了更强的能力,瑪狃拉似乎獲得了更強的能力,Weavile seems to have gotten more powerful,Manectric dường như đã có được khả năng mạnh hơn.,포푸니라가 더 강한 능력을 획득한 것 같다.,Manectric parece ter obtido habilidades mais fortes.,แมงเน็คทริคดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
29,黑鲁加,黑魯加,Houndoom,Houndoom,헬가,Cão de Caça,ฮาวด์ดูม,1028,{932=110;rmb=100;5000=110},{932=40;951=2;gold=310000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},黑鲁加似乎获得了更强的能力,黑魯加似乎獲得了更強的能力,Houndoom seems to have gotten more powerful,Houndoom dường như đã có được sức mạnh lớn hơn.,헬가가 더 강한 능력을 획득한 것 같다.,Houndoom parece ter ganhado mais poder.,ฮาวน์ดุมดูเหมือนจะได้รับพลังที่แข็งแกร่งกว่า
30,班基拉斯,班基拉斯,Tyranitar,Banquilas,마기라스,Tiranitar,ไทรันนิต้า,1029,{501=1;932=110;5000=110},{932=40;951=2;gold=320000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},班基拉斯似乎获得了更强的能力,班基拉斯似乎獲得了更強的能力,Tyranitar seems to have gotten more powerful,BanG Dream! dường như đã có được khả năng mạnh hơn.,마기라스가 더 강한 능력을 획득한 것 같다.,Parece que o BanG Dream! ganhou habilidades mais fortes.,ดูเหมือนว่า BanG Dream! จะได้รับความสามารถที่แข็งแกร่งขึ้น
31,雷吉洛克,雷吉洛克,Regigigas,Regigigas,레지락,Regirock,เรจิร็อค,1030,{5000=120;932=120;19=2},{932=45;951=3;gold=330000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉洛克似乎获得了更强的能力,雷吉洛克似乎獲得了更強的能力,Regice seems to have gained greater power.,Regice dường như đã có được sức mạnh lớn hơn.,레지락이 더 강한 능력을 획득한 것 같다.,Regice parece ter ganhado poder maior.,เรจิไอซ์ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
32,雷吉艾斯,雷吉艾斯,Regice,Regice,레지아이스,Regice,เรจิซ,1031,{5000=120;932=120;519=1},{932=45;951=3;gold=340000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉艾斯似乎获得了更强的能力,雷吉艾斯似乎獲得了更強的能力,Regice seems to have gained stronger abilities.,Regice dường như đã có được khả năng mạnh hơn.,레지아이스가 더 강한 능력을 획득한 것 같다.,Regice parece ter obtido habilidades mais fortes.,เรจิไอซ์ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
33,雷吉斯奇鲁,雷吉斯奇鲁,Regis Chilu,Regis Chilu,레지스틸,Registeel,เรจิสตีล,1032,{501=1;932=120;5000=120},{932=45;951=3;gold=350000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉斯奇鲁似乎获得了更强的能力,雷吉斯·奇魯似乎獲得了更強的能力,Regis Philbin seems to have gained stronger abilities.,Regis Philbin dường như đã có được khả năng mạnh hơn.,레지스틸이 더 강한 능력을 획득한 것 같다.,Regis Philbin parece ter ganhado habilidades mais fortes.,เรจิส ฟิลบินดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
34,大钢蛇,大钢蛇,Steelix,Steelix,강철톤,Açoix,สตีลิกซ์,1033,{932=130;rmb=100;5000=130},{932=45;951=3;gold=360000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},大钢蛇似乎获得了更强的能力,大鋼蛇似乎獲得了更強的能力,Steelix seems to have gained greater power.,Steelix dường như đã có được sức mạnh lớn hơn.,강철톤이 더 강한 능력을 획득한 것 같다.,Parece que o Steelix ganhou mais poder.,ดูเหมือนว่าสตีลลิกซ์จะได้รับพลังที่แข็งแกร่งขึ้น
35,巨金怪,巨金怪,Regirock,Regirock,메타그로스,Metagross,เมตากรอส,1034,{501=1;932=130;5000=130},{932=45;951=3;gold=370000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},巨金怪似乎获得了更强的能力,巨金怪似乎獲得了更強的能力,Alakazam seems to have gained stronger abilities.,Alakazam dường như đã có được khả năng mạnh hơn.,메타그로스가 더 강한 능력을 획득한 것 같다.,Alakazam parece ter obtido habilidades mais fortes.,ดูเหมือนว่าเอเลคทราไวร์จะได้รับพลังที่แข็งแกร่งขึ้น
36,双斧战龙,双斧战龙,Dual Axe War Dragon,Rồng chiến đấu song rìu,액스라이즈,Haxorus,ฮากโซรัส,1035,{5000=140;932=140;19=2},{932=50;951=3;gold=380000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},双斧战龙似乎获得了更强的能力,雙斧戰龍似乎獲得了更強的能力,The dual axe war dragon seems to have gained stronger abilities.,Con rồng chiến tranh hai rìu dường như đã có được sức mạnh lớn hơn.,액스라이즈가 더 강한 능력을 획득한 것 같다.,O dragão de guerra de duas machadinhas parece ter ganhado habilidades mais fortes.,มังกรสงครามสองขวานดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
37,路卡利欧,路卡利欧,Lucario,Lucario,루카리오,Lucário,ลูคาริโอ,1036,{5000=140;932=140;519=1},{932=50;951=3;gold=390000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},路卡利欧似乎获得了更强的能力,路卡利歐似乎獲得了更強的能力,Lucario seems to have gained even stronger abilities.,Lucario dường như đã có được khả năng mạnh hơn.,루카리오가 더 강한 능력을 획득한 것 같다.,Lucário parece ter obtido poderes ainda mais fortes.,ลูคาริโอ ดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
38,盖欧卡,盖欧卡,Groudon,Groudon,가이오가,Kyogre,ไคโอเกร,1037,{501=1;932=140;5000=140},{932=50;951=3;gold=400000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},盖欧卡似乎获得了更强的能力,蓋歐卡似乎獲得了更強的能力,Groudon seems to have gained greater power.,Groudon dường như đã có được sức mạnh lớn hơn.,가이오가가 더 강한 능력을 획득한 것 같다.,Groudon parece ter ganhado um poder maior.,Groudon ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
39,固拉多,固拉多,Groudon,Groudon,그란돈,Groudon,กราวดอน,1038,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},固拉多似乎获得了更强的能力,固拉多似乎獲得了更強的能力,Groudon seems to have gained greater power.,Groudon dường như đã có được sức mạnh lớn hơn.,그란돈이 더 강한 능력을 획득한 것 같다.,Groudon parece ter ganhado um poder maior.,ดูเหมือนว่าGroudonจะได้รับพลังที่แข็งแกร่งขึ้น
40,裂空座,裂空座,Rayquaza,Rayquaza,레쿠쟈,Rayquaza,เรย์ควาซ่า,1039,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},裂空座似乎获得了更强的能力,裂空座似乎獲得了更強的能力,Rayquaza seems to have gained even greater power.,Rayquaza dường như đã có được sức mạnh lớn hơn.,레쿠쟈가 더 강한 능력을 획득한 것 같다.,Rayquaza parece ter ganhado um poder ainda maior.,เรย์ควาซ่าดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
41,妙蛙花(困难),妙蛙花,Venusaur,Venusaur (Khó),이상해꽃,Venusaur (Difícil),เวนุซอร์ (ยาก),1040,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},妙蛙花似乎获得了更强的能力,妙蛙花似乎獲得了更強的能力,Venusaur seems to have gotten more powerful,Vệ binh cỏ dường như đã có được sức mạnh lớn hơn.,이상해꽃이 더 강한 능력을 획득한 것 같다.,Parece que o Venusaur ganhou um poder ainda maior.,ดูเหมือนว่าวีวี่ฟลอร์จะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
42,喷火龙(困难),噴火龍,Charizard,Charizard (Khó),리자몽,Charizard (Difícil),แชริซาร์ด (ยาก),1041,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},喷火龙似乎获得了更强的能力,噴火龍似乎獲得了更強的能力,Charizard seems to have gotten more powerful,Charizard dường như đã có được những khả năng mạnh hơn.,리자몽이 더 강한 능력을 획득한 것 같다.,O Charizard parece ter obtido habilidades mais fortes.,แชริซาร์ดดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
43,水箭龟(困难),水箭龜,Blastoise,Blastoise (Khó),거북왕,Blastoise (Difícil),บลาสทอยส์ (ยาก),1042,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},水箭龟似乎获得了更强的能力,水箭龜似乎獲得了更強的能力,Blastoise seems to have gotten more powerful,Blastoise dường như đã có được khả năng mạnh hơn.,거북왕이 더 강한 능력을 획득한 것 같다.,Blastoise parece ter ganhado habilidades mais fortes.,บลาสทอยส์ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
44,胡地(困难),胡地,Alakazam,Alakazam (Khó),후딘,Alakazam (Difícil),อลากาซาม (ยาก),1043,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},胡地似乎获得了更强的能力,胡地似乎獲得了更強的能力,Alakazam seems to have gotten more powerful,Alakazam dường như đã có được khả năng mạnh hơn.,후딘이 더 강한 능력을 획득한 것 같다.,Alakazam parece ter ganhado habilidades mais fortes.,ดูเหมือนว่าเอเลกแซมจะมีความสามารถที่แข็งแกร่งขึ้น
45,妖火红狐(困难),妖火紅狐,Delphox,Hỏa Hồ Ma Quái (Khó),마폭시,Raposa de Fogo Maligna (Difícil),妖火จิ้งจอก (ยาก),1044,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},妖火红狐似乎获得了更强的能力,妖火紅狐似乎獲得了更強的能力,Delphox seems to have gotten more powerful,Con cáo lửa ma quỷ dường như đã có được sức mạnh lớn hơn.,마폭시가 더 강한 능력을 획득한 것 같다.,A raposa de fogo demoníaca parece ter obtido habilidades mais fortes.,สุนัขจิ้งจอกไฟปีศาจดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
