变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
9,1,50,102,动画中，以下关于小次郎说法错误的是哪一项？,動畫中，以下關於小次郎說法錯誤的是哪一項？,"In the animation, which one of the following statements about James is wrong?",,,,,心底温柔也很残忍,心底溫柔也很殘忍,With a tender heart but also cruel,With a tender heart but also cruel,With a tender heart but also cruel,With a tender heart but also cruel,With a tender heart but also cruel,超级富二代,超級富二代,Super rich kid,Super rich kid,Super rich kid,Super rich kid,Super rich kid,曾设计过畅销瓶盖徽章,曾設計過暢銷瓶蓋徽章,Have designed a best-selling bottle cap badge,Have designed a best-selling bottle cap badge,Have designed a best-selling bottle cap badge,Have designed a best-selling bottle cap badge,Have designed a best-selling bottle cap badge,一名黑客,一名黑客,A hacker,A hacker,A hacker,A hacker,A hacker,1,
10,1,50,103,动画中，没有出现过以下哪只异色精灵？,動畫中，沒有出現過以下哪只異色精靈？,Which of the following shiny Pokémon did not appear in the animation?,,,,,梦幻,夢幻,Mew,Mew,Mew,Mew,Mew,巨金怪,巨金怪,Metagross,Metagross,Metagross,Metagross,Metagross,鲤鱼王,鯉魚王,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,巴大蝶,巴大蝶,Butterfree,Butterfree,Butterfree,Butterfree,Butterfree,1,
11,1,50,104,剧场版动画【骑拉帝纳与冰空的花束】中，谢米的特殊能力是什么？,劇場版動畫【騎拉帝納與冰空的花束】中，謝米的特殊能力是什麽？,What are Shaymin's special abilities in the movie [Giratina and the Sky Warrior]?,,,,,花之传递,花之傳遞,Flower Delivery,Flower Delivery,Flower Delivery,Flower Delivery,Flower Delivery,花海召唤,花海召喚,Flower Field Summon,Flower Field Summon,Flower Field Summon,Flower Field Summon,Flower Field Summon,花之眷顾,花之眷顧,Favor of Flowers,Favor of Flowers,Favor of Flowers,Favor of Flowers,Favor of Flowers,花之复苏,花之復蘇,Flower Recovery,Flower Recovery,Flower Recovery,Flower Recovery,Flower Recovery,1,
12,1,50,104,剧场版动画【光环的超魔神】中，胡帕的真身因为100年前的肆虐而被封印，封印胡帕的道具是？,劇場版動畫【光環的超魔神】中，胡帕的真身因為100年前的肆虐而被封印，封印胡帕的道具是？,"In the movie Hoopa and the Clash of Ages], Hoopa was sealed because of the raging 100 years ago. What was the item that sealed Hoopa?",,,,,惩戒之壶,懲戒之壺,Prison Bottle,Prison Bottle,Prison Bottle,Prison Bottle,Prison Bottle,封印之壶,封印之壺,Imprison Bottle,Imprison Bottle,Imprison Bottle,Imprison Bottle,Imprison Bottle,救赎之壶,救贖之壺,Redemption Bottle,Redemption Bottle,Redemption Bottle,Redemption Bottle,Redemption Bottle,审判之壶,審判之壺,Judgment Bottle,Judgment Bottle,Judgment Bottle,Judgment Bottle,Judgment Bottle,1,
13,1,50,104,剧场版动画【超梦的逆袭:进化】中，是谁被超梦控制了？,劇場版動畫【超夢的逆襲:進化】中，是誰被超夢控制了？,"In the movie  [Mewtwo Strikes Back: Evolution], who is being controlled by Mewtwo?",,,,,乔伊小姐,喬伊小姐,Nurse Joy,Nurse Joy,Nurse Joy,Nurse Joy,Nurse Joy,君莎小姐,君莎小姐,Jenny,Jenny,Jenny,Jenny,Jenny,梦幻,夢幻,Mew,Mew,Mew,Mew,Mew,小霞,小霞,Misty,Misty,Misty,Misty,Misty,1,
14,1,50,104,剧场版动画【结晶塔的帝王】中，小美与她的的父亲秀力博士居住的地方叫什么？,劇場版動畫【結晶塔的帝王】中，小美與她的的父親秀力博士居住的地方叫什麽？,"In the movie ""The Spell of the Unown"", what is the name of the place where Molly Hale lives with her father, Spencer Hale?",,,,,绿色草原,綠色草原,Greenfield,Greenfield,Greenfield,Greenfield,Greenfield,阿露福遗迹,阿露福遺跡,Ruins of Alph,Ruins of Alph,Ruins of Alph,Ruins of Alph,Ruins of Alph,秘密花园,秘密花園,Secret garden,Secret garden,Secret garden,Secret garden,Secret garden,龙之圣域,龍之聖域,Dragon Holy Land,Dragon Holy Land,Dragon Holy Land,Dragon Holy Land,Dragon Holy Land,1,
15,1,30,105,本游戏中，精灵的单项个体值上限值是多少？,本遊戲中，精靈的單項個體值上限值是多少？,"In this game, what is the upper limit of the individual value of the Pokémon?",,,,,31,31,31,31,31,31,31,30,30,30,30,30,30,30,35,35,35,35,35,35,35,41,41,41,41,41,41,41,1,
16,1,30,105,本游戏中，以下哪种方式可以获取到永久称号？,本遊戲中，以下哪種方式可以獲取到永久稱號？,"In this game, which of the following ways can I get the permanent title?",,,,,体力值达到3000,體力值達到3000,Energy reaches 3000,Energy reaches 3000,Energy reaches 3000,Energy reaches 3000,Energy reaches 3000,竞技场第一名,競技場第一名,First place in the arena,First place in the arena,First place in the arena,First place in the arena,First place in the arena,成为道馆荣誉馆主,成為道館榮譽館主,Become the Honor Gym Leader,Become the Honor Gym Leader,Become the Honor Gym Leader,Become the Honor Gym Leader,Become the Honor Gym Leader,图鉴排行第一名,圖鑒排行第一名,Pokédex ranked 1st place,Pokédex ranked 1st place,Pokédex ranked 1st place,Pokédex ranked 1st place,Pokédex ranked 1st place,1,
17,1,30,105,本游戏中，以下哪种属性无法通过继承和其他精灵交换？,本遊戲中，以下哪種屬性無法通過繼承和其他精靈交換？,"In this game, which of the following status cannot be exchanged with other Pokémon through inheritance?",,,,,星级,星級,Star,Star,Star,Star,Star,性格,性格,Nature,Nature,Nature,Nature,Nature,努力值,努力值,Effort value,Effort value,Effort value,Effort value,Effort value,好感度,好感度,Favorability,Favorability,Favorability,Favorability,Favorability,1,
18,1,30,105,本游戏中，以太乐园最高有多少层？,本遊戲中，以太樂園最高有多少層？,"In this game, how many floors are there in the highest level of Aether Paradise?",,,,,7,7,7,7,7,7,7,8,8,8,8,8,8,8,10,10,10,10,10,10,10,6,6,6,6,6,6,6,1,
19,1,30,105,本游戏中，日常副本无法获取到以下哪种道具？,本遊戲中，日常副本無法獲取到以下哪種道具？,"In this game, which of the following items can not be obtained in the daily dungeon?",,,,,神兽万能碎片,神獸萬能碎片,Legendary Universal Shard,Legendary Universal Shard,Legendary Universal Shard,Legendary Universal Shard,Legendary Universal Shard,金币道具,金幣道具,Coin props,Coin props,Coin props,Coin props,Coin props,经验道具,經驗道具,EXP props,EXP props,EXP props,EXP props,EXP props,好感度礼物,好感度禮物,Friendship gift,Friendship gift,Friendship gift,Friendship gift,Friendship gift,1,
20,1,30,105,本游戏中，竞技场每晚几点结算排名奖励？,本遊戲中，競技場每晚幾點結算排名獎勵？,"In this game, what time does the Arena settle the ranking reward every night?",,,,,每天21:00,每天21:00,21:00 each day,21:00 each day,21:00 each day,21:00 each day,21:00 each day,每天21:30,每天21:30,21:30 every day,21:30 every day,21:30 every day,21:30 every day,21:30 every day,每天22:00,每天22:00,Every day at 22:00,Every day at 22:00,Every day at 22:00,Every day at 22:00,Every day at 22:00,每天20:30,每天20:30,20:30 every day,20:30 every day,20:30 every day,20:30 every day,20:30 every day,1,
21,1,30,105,本游戏中，精灵星级达到多少后开启极限属性培养？,本遊戲中，精靈星級達到多少後開啟極限屬性培養？,"In this game, how many stars level will Pokémon unlock the extreme attribute training?",,,,,12,12,12,12,12,12,12,4,4,4,4,4,4,4,8,8,8,8,8,8,8,10,10,10,10,10,10,10,1,
22,1,50,106,哪只精灵不可以超进化？,哪只精靈不可以超進化？,Which Pokémon cannot be Mega evolution?,,,,,罗丝雷朵,羅絲雷朵,Roserade,Roserade,Roserade,Roserade,Roserade,喷火龙,噴火龍,Charizard,Charizard,Charizard,Charizard,Charizard,大钢蛇,大鋼蛇,Steelix,Steelix,Steelix,Steelix,Steelix,勾魂眼,勾魂眼,Sableye,Sableye,Sableye,Sableye,Sableye,1,
23,1,50,106,以下哪只精灵可以超进化？,以下哪只精靈可以超進化？,Which of the following Pokémon can be Mega evolution?,,,,,电龙,電龍,Ampharos,Ampharos,Ampharos,Ampharos,Ampharos,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,樱花鱼,櫻花魚,Gorebyss,Gorebyss,Gorebyss,Gorebyss,Gorebyss,漂浮泡泡,漂浮泡泡,Castform,Castform,Castform,Castform,Castform,1,
24,1,50,106,以下哪只精灵进化后有多种分支形态？,以下哪只精靈進化後有多種分支形態？,Which of the following Pokémon has multiple evolution branch?,,,,,无畏小子,無畏小子,Tyrogue,Tyrogue,Tyrogue,Tyrogue,Tyrogue,小磁怪,小磁怪,Magnemite,Magnemite,Magnemite,Magnemite,Magnemite,搬运小匠,搬運小匠,Timburr,Timburr,Timburr,Timburr,Timburr,凯西,凱西,Abra,Abra,Abra,Abra,Abra,1,
25,1,50,106,以下哪只精灵进化后会成为蚊香君,以下哪只精靈進化後會成為蚊香君,Which of the following Pokémon will evolve to become Poliwhirl?,,,,,蚊香蝌蚪,蚊香蝌蚪,Poliwag,Poliwag,Poliwag,Poliwag,Poliwag,蚊香泳士,蚊香泳士,Poliwrath,Poliwrath,Poliwrath,Poliwrath,Poliwrath,蚊香蛙皇,蚊香蛙皇,Politoed,Politoed,Politoed,Politoed,Politoed,水跃鱼,水躍魚,Mudkip,Mudkip,Mudkip,Mudkip,Mudkip,1,
26,1,50,106,喷火龙超进化为X形态后尾部火焰是什么颜色？,噴火龍超進化為X形態後尾部火焰是什麽顏色？,"After Charizard Mega-evolve into the X form, what color is the tail flame?",,,,,蓝色,藍色,Blue,Blue,Blue,Blue,Blue,红色,紅色,Red,Red,Red,Red,Red,紫色,紫色,Purple,Purple,Purple,Purple,Purple,橙色,橙色,Orange,Orange,Orange,Orange,Orange,1,
27,1,50,111,闪光烈空座是什么颜色？,閃光烈空座是什麽顏色？,What color is the shiny Rayquaza?,,,,,黑色,黑色,Black,Black,Black,Black,Black,金色,金色,Golden,Golden,Golden,Golden,Golden,白色,白色,White,White,White,White,White,绿色,綠色,Green,Green,Green,Green,Green,1,
28,1,50,112,绿毛虫是否能够进化为烈空座？,綠毛蟲是否能夠進化為烈空座？,Can the Caterpie evolve into Rayquaza?,,,,,不能，不同种族,不能，不同種族,"No, different races","No, different races","No, different races","No, different races","No, different races",可以，明明长得很像,可以，明明長得很像,"Yes, it looks very similar","Yes, it looks very similar","Yes, it looks very similar","Yes, it looks very similar","Yes, it looks very similar",可以，跨种族进化,可以，跨種族進化,"Yes, interracial evolution","Yes, interracial evolution","Yes, interracial evolution","Yes, interracial evolution","Yes, interracial evolution",无法考证,無法考證,Unable to verify,Unable to verify,Unable to verify,Unable to verify,Unable to verify,1,
29,2,50,201,动画中小智的皮卡丘是什么性别？,動畫中小智的皮卡丘是什麽性別？,What is the gender of Ash’s Pikachu in the animation?,,,,,雄性,雄性,Male,Male,Male,Male,Male,雌性,雌性,Female,Female,Female,Female,Female,无性别,無性別,No gender,No gender,No gender,No gender,No gender,无法考证,無法考證,Unable to verify,Unable to verify,Unable to verify,Unable to verify,Unable to verify,1,
30,2,50,201,动画中小智收服的以下精灵中，哪只是最重的？,動畫中小智收服的以下精靈中，哪只是最重的？,"The following Pokémon that Ash got in the animation, which is the heaviest?",,,,,美录梅塔,美錄梅塔,Melmetal,Melmetal,Melmetal,Melmetal,Melmetal,大钢蛇,大鋼蛇,Steelix,Steelix,Steelix,Steelix,Steelix,卡比兽,卡比獸,Snorlax,Snorlax,Snorlax,Snorlax,Snorlax,土台龟,土臺龜,Torterra,Torterra,Torterra,Torterra,Torterra,1,
31,2,50,201,动画中皮卡丘没有模仿过谁？,動畫中皮卡丘沒有模仿過誰？,Who did Pikachu not imitate in the animation?,,,,,瓦斯弹,瓦斯彈,Koffing,Koffing,Koffing,Koffing,Koffing,喵喵,喵喵,Meowth,Meowth,Meowth,Meowth,Meowth,果然翁,果然翁,Wobbuffet,Wobbuffet,Wobbuffet,Wobbuffet,Wobbuffet,森林蜥蜴,森林蜥蜴,Grovyle,Grovyle,Grovyle,Grovyle,Grovyle,1,
32,2,50,201,动画中小刚原本是一位道馆馆主，在和小智一行旅行后，又决定成为一名？,動畫中小剛原本是一位道館館主，在和小智一行旅行後，又決定成為一名？,"In the animation, Brock was originally a Leader of Gym. After traveling with Ash and his party, he decided to become one?",,,,,精灵医生,精靈醫生,Pokémon Doctor,Pokémon Doctor,Pokémon Doctor,Pokémon Doctor,Pokémon Doctor,精灵表演家,精靈表演家,Pokémon showman,Pokémon showman,Pokémon showman,Pokémon showman,Pokémon showman,精灵大师,精靈大師,Pokémon Master,Pokémon Master,Pokémon Master,Pokémon Master,Pokémon Master,精灵博士,精靈博士,Pokémon Professor,Pokémon Professor,Pokémon Professor,Pokémon Professor,Pokémon Professor,1,
33,2,50,201,动画中小刚的父亲是谁？,動畫中小剛的父親是誰？,Who is Brock's father in the animation?,,,,,武能,武能,Flint,Flint,Flint,Flint,Flint,武藏,武藏,Jessie,Jessie,Jessie,Jessie,Jessie,小米,小米,Lola,Lola,Lola,Lola,Lola,小光,小光,Dawn,Dawn,Dawn,Dawn,Dawn,1,
34,2,50,201,动画中小霞曾拥有的哪只精灵不会游泳？,動畫中小霞曾擁有的哪只精靈不會遊泳？,Which Pokémon Misty owned in the animation can't swim?,,,,,可达鸭,可達鴨,Psyduck,Psyduck,Psyduck,Psyduck,Psyduck,暴鲤龙,暴鯉龍,Gyarados,Gyarados,Gyarados,Gyarados,Gyarados,海星星,海星星,Staryu,Staryu,Staryu,Staryu,Staryu,蚊香蛙皇,蚊香蛙皇,Politoed,Politoed,Politoed,Politoed,Politoed,1,
35,2,50,201,动画中小霞最不能接受哪种属性的精灵？,動畫中小霞最不能接受哪種屬性的精靈？,What type of Pokémon is the least acceptable to Misty in the animation?,,,,,虫系,蟲系,Bug Type,Bug Type,Bug Type,Bug Type,Bug Type,冰系,冰系,Ice type,Ice type,Ice type,Ice type,Ice type,草系,草系,Grass type,Grass type,Grass type,Grass type,Grass type,电系,電系,Electric Type,Electric Type,Electric Type,Electric Type,Electric Type,1,
36,2,50,201,动画中小霞成为华蓝道馆馆主后，克服了对哪只精灵的心理恐惧？,動畫中小霞成為華藍道館館主後，克服了對哪只精靈的心理恐懼？,"In the animation, after Misty became the Gym Leader of the Cerulean Gym, which Pokémon has she overcome her fear?",,,,,暴鲤龙,暴鯉龍,Gyarados,Gyarados,Gyarados,Gyarados,Gyarados,鲤鱼王,鯉魚王,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,可达鸭,可達鴨,Psyduck,Psyduck,Psyduck,Psyduck,Psyduck,派拉斯,派拉斯,Paras,Paras,Paras,Paras,Paras,1,
37,2,50,201,动画中小智的哪只精灵因为喜欢上武藏，小智只好忍痛割爱将它借给武藏参加华丽大赛？,動畫中小智的哪只精靈因為喜歡上武藏，小智只好忍痛割愛將它借給武藏參加華麗大賽？,"Which Pokémon of Ash in the animation loves Jessie, and Ash had to give up and lend it to Jessie to participate in the Pokémon contest?",,,,,长尾怪手,長尾怪手,Aipom,Aipom,Aipom,Aipom,Aipom,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,妙蛙种子,妙蛙種子,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,魔墙人偶,魔墻人偶,Mr. Mime,Mr. Mime,Mr. Mime,Mr. Mime,Mr. Mime,1,
38,2,50,202,动画中以下没有穿过女装的是谁？,動畫中以下沒有穿過女裝的是誰？,Who is the following who did not wear girl's cloth in the animation?,,,,,小刚,小剛,Brock,Brock,Brock,Brock,Brock,喵喵,喵喵,Meowth,Meowth,Meowth,Meowth,Meowth,小次郎,小次郎,James,James,James,James,James,小智,小智,Ash,Ash,Ash,Ash,Ash,1,
39,2,50,202,动画中唯一一个不以传说精灵为目标的敌对组织是哪个,動畫中唯一一個不以傳說精靈為目標的敵對組織是哪個,Which is the only opponent organization in the animation that does not aim legendary Pokémon as target?,,,,,火箭队,火箭隊,Team Rocket,Team Rocket,Team Rocket,Team Rocket,Team Rocket,熔岩队,熔巖隊,Team Magma,Team Magma,Team Magma,Team Magma,Team Magma,海洋队,海洋隊,Team Aqua,Team Aqua,Team Aqua,Team Aqua,Team Aqua,等离子队,等離子隊,Team Plasma,Team Plasma,Team Plasma,Team Plasma,Team Plasma,1,
40,2,50,202,动画中用于给火箭队传递信息的是什么精灵？,動畫中用於給火箭隊傳遞信息的是什麽精靈？,What Pokémon are used in the animation to convey information to the Team Rocket?,,,,,信使鸟,信使鳥,Delibird,Delibird,Delibird,Delibird,Delibird,喵喵,喵喵,Meowth,Meowth,Meowth,Meowth,Meowth,猫老大,貓老大,Persian,Persian,Persian,Persian,Persian,风铃铃,風鈴鈴,Chimecho,Chimecho,Chimecho,Chimecho,Chimecho,1,
41,2,50,202,动画中火箭队的BOSS是谁？,動畫中火箭隊的BOSS是誰？,Who is the boss of the Team Rocket in the animation?,,,,,坂木,阪木,Giovanni,Giovanni,Giovanni,Giovanni,Giovanni,真鸟,真鳥,Matori,Matori,Matori,Matori,Matori,阿波罗,阿波羅,Archer,Archer,Archer,Archer,Archer,喵喵,喵喵,Meowth,Meowth,Meowth,Meowth,Meowth,1,
42,2,50,202,动画中火箭队总部曾被哪只神兽破坏过？,動畫中火箭隊總部曾被哪只神獸破壞過？,"In the animation, the Team Rocket headquarters was destroyed by which Legendary Pokémon?",,,,,超梦,超夢,Mew-two,Mew-two,Mew-two,Mew-two,Mew-two,洛奇亚,洛奇亞,Lugia,Lugia,Lugia,Lugia,Lugia,凤王,鳳王,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,烈空座,烈空座,Rayquaza,Rayquaza,Rayquaza,Rayquaza,Rayquaza,1,
43,2,50,202,动画中武藏的恋爱次数至少有多少次？,動畫中武藏的戀愛次數至少有多少次？,How many times did Jessie fall in love in the anime at least?,,,,,152,152,152,152,152,152,152,521,521,521,521,521,521,521,251,251,251,251,251,251,251,150,150,150,150,150,150,150,1,
44,2,50,203,动画中，熔岩队在绝大多数登场时间里都在调查哪只精灵的所在地？,動畫中，熔巖隊在絕大多數登場時間裏都在調查哪只精靈的所在地？,"In the animation, the Team Magma is investigating the location of which Pokémon most of the time?",,,,,固拉多,固拉多,Groudon,Groudon,Groudon,Groudon,Groudon,凤王,鳳王,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,波尔凯尼恩,波爾凱尼恩,Volcanion,Volcanion,Volcanion,Volcanion,Volcanion,炎帝,炎帝,Entei,Entei,Entei,Entei,Entei,1,
45,2,50,203,动画中，和熔岩队因为理念不同对于对立的邪恶组织是？,動畫中，和熔巖隊因為理念不同對於對立的邪惡組織是？,"In the animation, who is the opponent of the evil organization Team magma because of different concepts?",,,,,海洋队,海洋隊,Team Aqua,Team Aqua,Team Aqua,Team Aqua,Team Aqua,火箭队,火箭隊,Team Rocket,Team Rocket,Team Rocket,Team Rocket,Team Rocket,银河队,銀河隊,Team Galactic,Team Galactic,Team Galactic,Team Galactic,Team Galactic,等离子队,等離子隊,Team Plasma,Team Plasma,Team Plasma,Team Plasma,Team Plasma,1,
46,2,50,203,动画中，以下哪只邪恶组织因为特殊原因没有在播出的动画中出现过？,動畫中，以下哪只邪惡組織因為特殊原因沒有在播出的動畫中出現過？,"In the animation, which of the following evil organizations did not appear in the broadcast animation due to special reasons?",,,,,等离子队,等離子隊,Team Plasma,Team Plasma,Team Plasma,Team Plasma,Team Plasma,海洋队,海洋隊,Team Aqua,Team Aqua,Team Aqua,Team Aqua,Team Aqua,骷髅队,骷髏隊,Team Skull,Team Skull,Team Skull,Team Skull,Team Skull,闪焰队,閃焰隊,Team Flare,Team Flare,Team Flare,Team Flare,Team Flare,1,
47,2,50,203,动画中，闪焰队到处寻找并研究的精灵是以下哪一只？,動畫中，閃焰隊到處尋找並研究的精靈是以下哪一只？,"In the animation, which one of the following Pokémon is Team Flare looking for and researching?",,,,,基格尔德,基格爾德,Zygarde,Zygarde,Zygarde,Zygarde,Zygarde,伊裴尔塔尔,伊裴爾塔爾,Yveltal,Yveltal,Yveltal,Yveltal,Yveltal,哲尔尼亚斯,哲爾尼亞斯,Xerneas,Xerneas,Xerneas,Xerneas,Xerneas,音波龙,音波龍,Noivern,Noivern,Noivern,Noivern,Noivern,1,
48,2,50,204,除了以下哪只精灵，其他精灵都只在动画中出现过？,除了以下哪只精靈，其他精靈都只在動畫中出現過？,"Except for which of the following Pokémon, other Pokémon have only appeared in the animation?",,,,,闪光耿鬼,閃光耿鬼,Shiny Gengar,Shiny Gengar,Shiny Gengar,Shiny Gengar,Shiny Gengar,水晶大岩蛇,水晶大巖蛇,Crystal Onix,Crystal Onix,Crystal Onix,Crystal Onix,Crystal Onix,雪人卡比兽,雪人卡比獸,Snowman Snorlax,Snowman Snorlax,Snowman Snorlax,Snowman Snorlax,Snowman Snorlax,黄金树才怪,黃金樹才怪,Golden Sudowoodo,Golden Sudowoodo,Golden Sudowoodo,Golden Sudowoodo,Golden Sudowoodo,1,
49,2,50,205,剧场版动画【水都的守护神 拉帝亚斯与拉帝欧斯】中，小霞使用的水系精灵是什么？,劇場版動畫【水都的守護神 拉帝亞斯與拉帝歐斯】中，小霞使用的水系精靈是什麽？,"In movie [Pokémon Heroes - Latios and Latias], what is the water Pokémon used by Misty?",,,,,太阳珊瑚,太陽珊瑚,Corsola,Corsola,Corsola,Corsola,Corsola,蚊香泳士,蚊香泳士,Poliwrath,Poliwrath,Poliwrath,Poliwrath,Poliwrath,暴鲤龙,暴鯉龍,Gyarados,Gyarados,Gyarados,Gyarados,Gyarados,宝石海星,寶石海星,Starmie,Starmie,Starmie,Starmie,Starmie,1,
