变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,showType,sortVal,totalCount,totalVal,date,conditionType,conditionNum,tipText,tipText_tw,tipText_en,tipText_vn,tipText_kr,tipText_pt,tipText_th,goto
8,战力冲刺达到200000,戰力衝刺達到200000,Combat power rush to 200000,Lực chiến đạt 200000,전투력 200000 달성,Aumento do poder de combate para 200000,"พลังการต่อสู้พุ่งถึง 200,000",1,1,20,10,{rmb=100},7,97,200000,需要战斗力到达200000,需要戰鬥力到達200000,Requires combat power to reach 200000,Yêu cầu lực chiến đạt 200000,전투력 200000 달성 필요,Requer poder de combate para atingir 200000,"ต้องมีพลังต่อสู้ถึง 200,000",
9,战力冲刺达到300000,戰力衝刺達到300000,Combat power rush to 300000,Lực chiến đạt 300000,전투력 300000 달성,Aumento do poder de combate para 300000,"พลังการต่อสู้พุ่งถึง 300,000",1,1,21,10,{rmb=100},7,97,300000,需要战斗力到达300000,需要戰鬥力到達300000,Requires combat power to reach 300000,Yêu cầu lực chiến đạt 300000,전투력 300000 달성 필요,Requer poder de combate para atingir 300000,"ต้องมีพลังต่อสู้ถึง 300,000",
10,战力冲刺达到400000,戰力衝刺達到400000,Combat power rush to 400000,Lực chiến đạt 400000,전투력 400000 달성,Aumento do poder de combate para 400000,"พลังการต่อสู้พุ่งถึง 400,000",1,1,22,10,{rmb=100},7,97,400000,需要战斗力到达400000,需要戰鬥力到達400000,Requires combat power to reach 400000,Yêu cầu lực chiến đạt 400000,전투력 400000 달성 필요,Requer poder de combate para atingir 400000,"ต้องมีพลังต่อสู้ถึง 400,000",
11,战力冲刺达到500000,戰力衝刺達到500000,Combat power rush to 500000,Lực chiến đạt 500000,전투력 500000 달성,Aumento do poder de combate para 500000,"พลังการต่อสู้พุ่งถึง 500,000",1,1,23,10,{rmb=100},7,97,500000,需要战斗力到达500000,需要戰鬥力到達500000,Requires combat power to reach 500000,Yêu cầu lực chiến đạt 500000,전투력 500000 달성 필요,Requer poder de combate para atingir 500000,"ต้องมีพลังต่อสู้ถึง 500,000",
12,战力冲刺达到600000,戰力衝刺達到600000,Combat power rush to 600000,Lực chiến đạt 600000,전투력 600000 달성,Aumento do poder de combate para 600000,"พลังการต่อสู้พุ่งถึง 600,000",1,1,24,10,{rmb=100},7,97,600000,需要战斗力到达600000,需要戰鬥力到達600000,Requires combat power to reach 600000,Yêu cầu lực chiến đạt 600000,전투력 600000 달성 필요,Requer poder de combate para atingir 600000,"ต้องมีพลังต่อสู้ถึง 600,000",
13,战力冲刺达到800000,戰力衝刺達到800000,Combat power rush to 800000,Lực chiến đạt 800000,전투력 800000 달성,Aumento do poder de combate para 800000,"พลังการต่อสู้พุ่งถึง 800,000",1,1,25,10,{rmb=100},7,97,800000,需要战斗力到达800000,需要戰鬥力到達800000,Requires combat power to reach 800000,Yêu cầu lực chiến đạt 800000,전투력 800000 달성 필요,Requer poder de combate para atingir 800000,"ต้องมีพลังต่อสู้ถึง 800,000",
14,战力冲刺达到1000000,戰力衝刺達到1000000,Combat power rush to 1000000,Lực chiến đạt 1000000,전투력 1000000 달성,Aumento do poder de combate para 1.000.000,พลังการต่อสู้พุ่งถึง 1000000,1,1,26,10,{rmb=100},7,97,1000000,需要战斗力到达1000000,需要戰鬥力到達1000000,Requires combat power to reach 1000000,Yêu cầu lực chiến đạt 1000000,전투력 1000000 달성 필요,Requer poder de combate para atingir 1.000.000,ต้องใช้พลังต่อสู้ถึง 1000000,
15,战力冲刺达到1200000,戰力衝刺達到1200000,Combat power rush to 1200000,Lực chiến đạt 1200000,전투력 1200000 달성,Aumento do poder de combate para 1200000,พลังการต่อสู้พุ่งถึง 1200000,1,1,27,10,{rmb=100},7,97,1200000,需要战斗力到达1200000,需要戰鬥力到達1200000,Requires combat power to reach 1200000,Yêu cầu lực chiến đạt 1200000,전투력 1200000 달성 필요,Requer poder de combate para atingir 1200000,ต้องใช้พลังต่อสู้ถึง 1200000,
16,战力冲刺达到1400000,戰力衝刺達到1400000,Combat power rush to 1400000,Lực chiến đạt 1400000,전투력 1400000 달성,Aumento do poder de combate para 1400000,พลังการต่อสู้พุ่งถึง 1400000,1,1,28,10,{rmb=100},7,97,1400000,需要战斗力到达1400000,需要戰鬥力到達1400000,Requires combat power to reach 1400000,Yêu cầu lực chiến đạt 1400000,전투력 1400000 달성 필요,Requer poder de combate para atingir 1400000,ต้องมีพลังต่อสู้ถึง 1400000,
17,战力冲刺达到1600000,戰力衝刺達到1600000,Combat power rush to 1600000,Lực chiến đạt 1600000,전투력 1600000 달성,Aumento do poder de combate para 1600000,พลังการต่อสู้พุ่งถึง 1600000,1,1,29,10,{rmb=100},7,97,1600000,需要战斗力到达1600000,需要戰鬥力到達1600000,Requires combat power to reach 1600000,Yêu cầu lực chiến đạt 1600000,전투력 1600000 달성 필요,Requer poder de combate para atingir 1600000,"ต้องมีพลังต่อสู้ถึง 1,600,000",
18,战力冲刺达到1800000,戰力衝刺達到1800000,Combat power rush to 1800000,Lực chiến đạt 1800000,전투력 1800000 달성,Aumento do poder de combate para 1800000,พลังการต่อสู้พุ่งถึง 1800000,1,1,30,10,{rmb=100},7,97,1800000,需要战斗力到达1800000,需要戰鬥力到達1800000,Requires combat power to reach 1800000,Yêu cầu lực chiến đạt 1800000,전투력 1800000 달성 필요,Requer poder de combate para atingir 1800000,ต้องใช้พลังต่อสู้ถึง 1800000,
19,战力冲刺达到2000000,戰力衝刺達到2000000,Combat power rush to 2000000,Lực chiến đạt 2000000,전투력 2000000 달성,Aumento do poder de combate para 2000000,พลังการต่อสู้พุ่งถึง 2000000,1,1,31,10,{rmb=100},7,97,2000000,需要战斗力到达2000000,需要戰鬥力到達2000000,Requires combat power to reach 2000000,Yêu cầu lực chiến đạt 2000000,전투력 2000000 달성 필요,Requer poder de combate para atingir 2000000,ต้องมีพลังต่อสู้ถึง 2000000,
20,战力冲刺达到2200000,戰力衝刺達到2200000,Combat power rush to 2200000,Lực chiến đạt 2200000,전투력 2200000 달성,Aumento do poder de combate para 2200000,พลังการต่อสู้พุ่งถึง 2200000,1,1,32,10,{rmb=100},7,97,2200000,需要战斗力到达2200000,需要戰鬥力到達2200000,Requires combat power to reach 2200000,Yêu cầu lực chiến đạt 2200000,전투력 2200000 달성 필요,Requer poder de combate para atingir 2200000,ต้องการพลังการต่อสู้ถึง 2200000,
101,战力冲刺达到2400000,戰力衝刺達到2400000,Combat power rush to 2400000,Lực chiến đạt 2400000,전투력 2400000 달성,Aumento do poder de combate para 2400000,พลังการต่อสู้พุ่งถึง 2400000,1,1,33,10,{rmb=100},7,97,2400000,需要战斗力到达2400000,需要戰鬥力到達2400000,Requires combat power to reach 2400000,Yêu cầu lực chiến đạt 2400000,전투력 2400000 달성 필요,Requer poder de combate para atingir 2400000,ต้องการพลังการต่อสู้ถึง 2400000,
102,战力冲刺达到2600000,戰力衝刺達到2600000,Combat power rush to 2600000,Lực chiến đạt 2600000,전투력 2600000 달성,Aumento do poder de combate para 2600000,พลังการต่อสู้พุ่งถึง 2600000,1,1,34,10,{rmb=100},7,97,2600000,需要战斗力到达2600000,需要戰鬥力到達2600000,Requires combat power to reach 2600000,Yêu cầu lực chiến đạt 2600000,전투력 2600000 달성 필요,Requer poder de combate para atingir 2600000,ต้องการพลังการต่อสู้ถึง 2600000,
103,战力冲刺达到2800000,戰力衝刺達到2800000,Combat power rush to 2800000,Lực chiến đạt 2800000,전투력 2800000 달성,Aumento do poder de combate para 2800000,พลังการต่อสู้พุ่งถึง 2800000,1,1,35,10,{rmb=100},7,97,2800000,需要战斗力到达2800000,需要戰鬥力到達2800000,Requires combat power to reach 2800000,Yêu cầu lực chiến đạt 2800000,전투력 2800000 달성 필요,Requer poder de combate para atingir 2800000,ต้องการพลังการต่อสู้ถึง 2800000,
104,战力冲刺达到3000000,戰力衝刺達到3000000,Combat power rush to 3000000,Lực chiến đạt 3000000,전투력 3000000 달성,Aumento do poder de combate para 3000000,พลังการต่อสู้พุ่งถึง 3000000,1,1,36,10,{rmb=100},7,97,3000000,需要战斗力到达3000000,需要戰鬥力到達3000000,Requires combat power to reach 3000000,Yêu cầu lực chiến đạt 3000000,전투력 3000000 달성 필요,Requer poder de combate para atingir 3000000,ต้องมีพลังต่อสู้ถึง 3000000,
105,战力冲刺达到3500000,戰力衝刺達到3500000,Combat power rush to 3500000,Lực chiến đạt 3500000,전투력 3500000 달성,Aumento do poder de combate para 3500000,พลังการต่อสู้พุ่งถึง 3500000,1,1,37,10,{rmb=100},7,97,3500000,需要战斗力到达3500000,需要戰鬥力到達3500000,Requires combat power to reach 3500000,Yêu cầu lực chiến đạt 3500000,전투력 3500000 달성 필요,Requer poder de combate para atingir 3500000,ต้องมีพลังต่อสู้ถึง 3500000,
106,战力冲刺达到4000000,戰力衝刺達到4000000,Combat power rush to 4000000,Lực chiến đạt 4000000,전투력 4000000 달성,Aumento do poder de combate para 4000000,พลังการต่อสู้พุ่งถึง 4000000,1,1,38,10,{rmb=100},7,97,4000000,需要战斗力到达4000000,需要戰鬥力到達4000000,Requires combat power to reach 4000000,Yêu cầu lực chiến đạt 4000000,전투력 4000000 달성 필요,Requer poder de combate para atingir 4000000,ต้องมีพลังต่อสู้ถึง 4000000,
107,战力冲刺达到4500000,戰力衝刺達到4500000,Combat power rush to 4500000,Lực chiến đạt 4500000,전투력 4500000 달성,Aumento do poder de combate para 4500000,พลังการต่อสู้พุ่งถึง 4500000,1,1,39,10,{rmb=100},7,97,4500000,需要战斗力到达4500000,需要戰鬥力到達4500000,Requires combat power to reach 4500000,Yêu cầu lực chiến đạt 4500000,전투력 4500000 달성 필요,Requer poder de combate para atingir 4500000,ต้องการพลังการต่อสู้ถึง 4500000,
108,战力冲刺达到5000000,戰力衝刺達到5000000,Combat power rush to 5000000,Lực chiến đạt 5000000,전투력 5000000 달성,Aumento do poder de combate para 5000000,พลังการต่อสู้พุ่งถึง 5000000,1,1,40,10,{rmb=100},7,97,5000000,需要战斗力到达5000000,需要戰鬥力到達5000000,Requires combat power to reach 5000000,Yêu cầu lực chiến đạt 5000000,전투력 5000000 달성 필요,Requer poder de combate para atingir 5000000,ต้องใช้พลังต่อสู้ถึง 5000000,
109,战力冲刺达到5500000,戰力衝刺達到5500000,Combat power rush to 5500000,Lực chiến đạt 5500000,전투력 5500000 달성,Aumento do poder de combate para 5500000,พลังการต่อสู้พุ่งถึง 5500000,1,1,41,10,{rmb=100},7,97,5500000,需要战斗力到达5500000,需要戰鬥力到達5500000,Requires combat power to reach 5500000,Yêu cầu lực chiến đạt 5500000,전투력 5500000 달성 필요,Requer poder de combate para atingir 5500000,ต้องใช้พลังต่อสู้ถึง 5500000,
110,战力冲刺达到6000000,戰力衝刺達到6000000,Combat power rush to 6000000,Lực chiến đạt 6000000,전투력 6000000 달성,Aumento do poder de combate para 6000000,พลังการต่อสู้พุ่งถึง 6000000,1,1,42,10,{rmb=100},7,97,6000000,需要战斗力到达6000000,需要戰鬥力到達6000000,Requires combat power to reach 6000000,Yêu cầu lực chiến đạt 6000000,전투력 6000000 달성 필요,Requer poder de combate para atingir 6000000,ต้องมีพลังต่อสู้ถึง 6000000,
111,战力冲刺达到6500000,戰力衝刺達到6500000,Combat power rush to 6500000,Lực chiến đạt 6500000,전투력 6500000 달성,Aumento do poder de combate para 6500000,พลังการต่อสู้พุ่งถึง 6500000,1,1,43,10,{rmb=100},7,97,6500000,需要战斗力到达6500000,需要戰鬥力到達6500000,Requires combat power to reach 6500000,Yêu cầu lực chiến đạt 6500000,전투력 6500000 달성 필요,Requer poder de combate para atingir 6500000,ต้องการพลังการต่อสู้ถึง 6500000,
112,战力冲刺达到7000000,戰力衝刺達到7000000,Combat power rush to 7000000,Lực chiến đạt 7000000,전투력 7000000 달성,Aumento do poder de combate para 7000000,พลังการต่อสู้พุ่งถึง 7000000,1,1,44,10,{rmb=100},7,97,7000000,需要战斗力到达7000000,需要戰鬥力到達7000000,Requires combat power to reach 7000000,Yêu cầu lực chiến đạt 7000000,전투력 7000000 달성 필요,Requer poder de combate para atingir 7000000,ต้องการพลังการต่อสู้ถึง 7000000,
113,战力冲刺达到7500000,戰力衝刺達到7500000,Combat power rush to 7500000,Lực chiến đạt 7500000,전투력 7500000 달성,Aumento do poder de combate para 7500000,พลังการต่อสู้พุ่งถึง 7500000,1,1,45,10,{rmb=100},7,97,7500000,需要战斗力到达7500000,需要戰鬥力到達7500000,Requires combat power to reach 7500000,Yêu cầu lực chiến đạt 7500000,전투력 7500000 달성 필요,Requer poder de combate para atingir 7500000,ต้องการพลังการต่อสู้ถึง 7500000,
114,战力冲刺达到8000000,戰力衝刺達到8000000,Combat power rush to 8000000,Lực chiến đạt 8000000,전투력 8000000 달성,Aumento do poder de combate para 8000000,พลังการต่อสู้พุ่งถึง 8000000,1,1,46,10,{rmb=100},7,97,8000000,需要战斗力到达8000000,需要戰鬥力到達8000000,Requires combat power to reach 8000000,Yêu cầu lực chiến đạt 8000000,전투력 8000000 달성 필요,Requer poder de combate para atingir 8000000,ต้องใช้พลังต่อสู้ถึง 8000000,
115,战力冲刺达到8500000,戰力衝刺達到8500000,Combat power rush to 8500000,Lực chiến đạt 8500000,전투력 8500000 달성,Aumento do poder de combate para 8500000,พลังการต่อสู้พุ่งถึง 8500000,1,1,47,10,{rmb=100},7,97,8500000,需要战斗力到达8500000,需要戰鬥力到達8500000,Requires combat power to reach 8500000,Yêu cầu lực chiến đạt 8500000,전투력 8500000 달성 필요,Requer poder de combate para atingir 8500000,ต้องการพลังการต่อสู้ถึง 8500000,
116,战力冲刺达到9000000,戰力衝刺達到9000000,Combat power rush to 9000000,Lực chiến đạt 9000000,전투력 9000000 달성,Aumento do poder de combate para 9000000,พลังการต่อสู้พุ่งถึง 9000000,1,1,48,10,{rmb=100},7,97,9000000,需要战斗力到达9000000,需要戰鬥力到達9000000,Requires combat power to reach 9000000,Yêu cầu lực chiến đạt 9000000,전투력 9000000 달성 필요,Requer poder de combate para atingir 9000000,ต้องการพลังการต่อสู้ถึง 9000000,
117,战力冲刺达到9500000,戰力衝刺達到9500000,Combat power rush to 9500000,Lực chiến đạt 9500000,전투력 9500000 달성,Aumento do poder de combate para 9500000,พลังการต่อสู้พุ่งถึง 9500000,1,1,49,10,{rmb=100},7,97,9500000,需要战斗力到达9500000,需要戰鬥力到達9500000,Requires combat power to reach 9500000,Yêu cầu lực chiến đạt 9500000,전투력 9500000 달성 필요,Requer poder de combate para atingir 9500000,ต้องการพลังการต่อสู้ถึง 9500000,
118,战力冲刺达到10000000,戰力衝刺達到10000000,Combat power rush to 10000000,Lực chiến đạt 10000000,전투력 10000000 달성,Aumento do poder de combate para 1.000.000,พลังการต่อสู้พุ่งถึง 10000000,1,1,50,10,{rmb=100},7,97,10000000,需要战斗力到达10000000,需要戰鬥力到達10000000,Requires combat power to reach 10000000,Yêu cầu lực chiến đạt 10000000,전투력 10000000 달성 필요,Requer poder de combate para atingir 10000000,ต้องใช้พลังต่อสู้ถึง 10000000,
,,,,,,,,,,,,,,,,,,,,,,,
21,队伍等级达到10级,隊伍等級達到10級,Attain Team level 10,Đạt cấp Đội 10,팀 10레벨 달성,Alcance o nível 10 da equipe,ได้รับระดับทีม 10,1,1,8,10,{gold=100000},7,1,10,需要队伍等级到达10,需要隊伍等級到達10,Requires the team to reach level 10,Yêu cầu đội đạt cấp 10,팀 레벨 10 달성 필요,Requer que a equipe atinja o nível 10,ต้องการให้ทีมถึงเลเวล 10,
22,队伍等级达到20级,隊伍等級達到20級,Attain Team level 20,Đạt cấp Đội 20,팀 20레벨 달성,Alcance o nível de equipe 20,ได้รับระดับทีม 20,1,1,9,10,{gold=200000},7,1,20,需要队伍等级到达20,需要隊伍等級到達20,Requires the team to reach level 20,Yêu cầu đội đạt cấp 20,팀 레벨 20 달성 필요,Requer que a equipe atinja o nível 20,ต้องการให้ทีมถึงเลเวล 20,
23,队伍等级达到30级,隊伍等級達到30級,Attain Team level 30,Đạt cấp Đội 30,팀 30레벨 달성,Alcance o nível de equipe 30,ได้รับระดับทีม 30,1,1,10,10,{gold=300000},7,1,30,需要队伍等级到达30,需要隊伍等級到達30,Requires the team to reach level 30,Yêu cầu đội đạt cấp 30,팀 레벨 30 달성 필요,Requer que a equipe atinja o nível 30,ต้องการให้ทีมถึงเลเวล 30,
24,队伍等级达到40级,隊伍等級達到40級,Attain Team level 40,Đạt cấp Đội 40,팀 40레벨 달성,Alcance o nível de equipe 40,ได้รับระดับทีม 40,1,1,11,10,{gold=300000},7,1,40,需要队伍等级到达40,需要隊伍等級到達40,Requires the team to reach level 40,Yêu cầu đội đạt cấp 40,팀 레벨 40 달성 필요,Requer que a equipe atinja o nível 40,ต้องการให้ทีมถึงเลเวล 40,
25,队伍等级达到60级,隊伍等級達到60級,Attain Team level 60,Đạt cấp Đội 60,팀 60레벨 달성,Alcance o nível de equipe 60,ได้รับระดับทีม 60,1,1,12,10,{gold=500000},7,1,60,需要队伍等级到达60,需要隊伍等級到達60,Requires the team to reach level 60,Yêu cầu đội đạt cấp 60,팀 레벨 60 달성 필요,Requer que a equipe atinja o nível 60,ต้องการให้ทีมถึงระดับ 60,
26,队伍等级达到80级,隊伍等級達到80級,Attain Team level 80,Đạt cấp Đội 80,팀 80레벨 달성,Alcance o nível de equipe 80,ได้รับระดับทีม 80,1,1,13,10,{gold=500000},7,1,80,需要队伍等级到达80,需要隊伍等級到達80,Requires the team to reach level 80,Yêu cầu đội đạt cấp 80,팀 레벨 80 달성 필요,Requer que a equipe atinja o nível 80,ต้องการให้ทีมถึงระดับ 80,
27,队伍等级达到90级,隊伍等級達到90級,Attain Team level 90,Đạt cấp Đội 90,팀 90레벨 달성,Alcance o nível de equipe 90,ได้รับระดับทีม 90,1,1,14,10,{gold=800000},7,1,90,需要队伍等级到达90,需要隊伍等級到達90,Requires the team to reach level 90,Yêu cầu đội đạt cấp 90,팀 레벨 90 달성 필요,Requer que a equipe atinja o nível 90,ต้องการให้ทีมถึงเลเวล 90,
28,队伍等级达到99级,隊伍等級達到99級,Attain Team level 99,Đạt cấp Đội 99,팀 99레벨 달성,Alcance o nível de equipe 99,ได้รับระดับทีม 99,1,1,15,10,{gold=1000000},7,1,99,需要队伍等级到达99,需要隊伍等級到達99,Requires the team to reach level 99,Yêu cầu đội đạt cấp 99,팀 레벨 99 달성 필요,Requer que a equipe atinja o nível 99,ต้องการให้ทีมถึงเลเวล 99,
29,队伍等级达到104级,隊伍等級達到104級,Attain Team level 104,Đạt cấp Đội 104,팀 104레벨 달성,Alcance o nível de equipe 104,ได้รับระดับทีม 104,1,1,16,10,{gold=1200000},7,1,104,需要队伍等级到达104,需要隊伍等級到達104,Requires the team to reach level 104,Yêu cầu đội đạt cấp 104,팀 레벨 104 달성 필요,Requer que a equipe atinja o nível 104,ต้องการให้ทีมถึงเลเวล 104,
,,,,,,,,,,,,,,,,,,,,,,,
31,主线副本通关1-6,主線副本通關1-6,Clear main dungeon level 1-6,Vượt qua phó bản chính cấp 1-6,메인 던전 1-6 클리어,Conclua o nível principal da masmorra 1-6,เคลียร์ดันเจี้ยนหลักระดับ 1-6,1,1,1,10,{gold=50000},7,2,10105,,,,,,,,10105
32,主线副本通关3-8,主線副本通關3-8,Clear main dungeon level 3-8,Vượt qua phó bản chính cấp 3-8,메인 던전 3-8 클리어,Conclua o nível 3-8 da masmorra principal,เคลียร์ดันเจี้ยนหลักระดับ 3-8,1,1,2,10,{gold=100000},7,2,10308,,,,,,,,10308
33,主线副本通关5-10,主線副本通關5-10,Clear main dungeon level 5-10,Vượt qua phó bản chính cấp 5-10,메인 던전 5-10 클리어,Conclua o nível 5-10 da masmorra principal,เคลียร์ดันเจี้ยนหลักระดับ 5-10,1,1,3,10,{gold=200000},7,2,10510,,,,,,,,10510
34,主线副本通关7-10,主線副本通關7-10,Clear main dungeon level 7-10,Vượt qua phó bản chính cấp 7-10,메인 던전 7-10 클리어,Conclua o nível 7-10 da masmorra principal,เคลียร์ดันเจี้ยนหลักระดับ 7-10,1,1,4,10,{gold=300000},7,2,10710,,,,,,,,10710
35,主线副本通关9-10,主線副本通關9-10,Clear main dungeon level 9-10,Vượt qua phó bản chính cấp 9-10,메인 던전 9-10 클리어,Conclua o nível 9-10 da masmorra principal,เคลียร์ดันเจี้ยนหลักระดับ 9-10,1,1,5,10,{gold=500000},7,2,10910,,,,,,,,10910
36,主线副本通关11-10,主線副本通關11-10,Clear main dungeon level 11-10,Vượt qua phó bản chính cấp 11-10,메인 던전 11-10 클리어,Conclua o nível 11-10 da masmorra principal,เคลียร์ดันเจี้ยนหลักระดับ 11-10,1,1,6,10,{rmb=100},7,2,11110,,,,,,,,11110
37,主线副本通关13-10,主線副本通關13-10,Clear main dungeon level 13-10,Vượt qua phó bản chính cấp 13-10,메인 던전 13-10 클리어,Conclua o nível principal da masmorra 13-10,เคลียร์ดันเจี้ยนหลักระดับ 13-10,1,1,7,10,{rmb=100},7,2,11310,,,,,,,,11310
38,主线副本通关15-10,主線副本通關15-10,Clear main dungeon level 15-10,Vượt qua phó bản chính cấp 15-10,메인 던전 15-10 클리어,Conclua o nível principal da masmorra 15-10,เคลียร์ดันเจี้ยนหลักระดับ 15-10,1,1,7,10,{rmb=100},7,2,11510,,,,,,,,11510
39,主线副本通关17-10,主線副本通關17-10,Clear main dungeon level 17-10,Vượt qua phó bản chính cấp 17-10,메인 던전 17-10 클리어,Conclua o nível principal da masmorra 17-10,เคลียร์ดันเจี้ยนหลักระดับ 17-10,1,1,7,10,{rmb=100},7,2,11710,,,,,,,,11710
40,主线副本通关19-10,主線副本通關19-10,Clear main dungeon level 19-10,Vượt qua phó bản chính cấp 19-10,메인 던전 19-10 클리어,Conclua o nível principal da masmorra 19-10,เคลียร์ดันเจี้ยนหลักระดับ 19-10,1,1,7,10,{rmb=100},7,2,11910,,,,,,,,11910
241,主线副本通关21-10,主線副本通關21-10,Clear main dungeon level 21-10,Vượt qua phó bản chính cấp 21-10,메인 던전 21-10 클리어,Conclua o nível principal da masmorra 21-10,เคลียร์ดันเจี้ยนหลักระดับ 21-10,1,1,7,10,{rmb=100},7,2,12110,,,,,,,,12110
242,主线副本通关22-10,主線副本通關22-10,Clear main dungeon level 22-10,Vượt qua phó bản chính cấp 22-10,메인 던전 22-10 클리어,Conclua o nível principal da masmorra 22-10,เคลียร์ดันเจี้ยนหลักระดับ 22-10,1,1,7,10,{rmb=100},7,2,12210,,,,,,,,12210
,,,,,,,,,,,,,,,,,,,,,,,
41,今日充值328元,今日儲值3280鑽,Top-up 3280 Diamonds today,Nạp 3280 Kim Cương hôm nay,오늘 3280다이아 충전,Recarregue 3280 diamantes hoje,เติม 3280 เพชรวันนี้,3,2,0,10,{rmb=100},7,22,3280,,,,,,,,recharge
42,今日充值648元,今日儲值6480鑽,Top-up 6480 Diamonds today,Nạp 6480 Kim Cương hôm nay,오늘 6480다이아 충전,Recarregue 6480 diamantes hoje,เติม 6480 เพชรวันนี้,3,2,0,10,{rmb=150},7,22,6480,,,,,,,,recharge
51,VIP等级达到5,VIP等級達到5,Attain VIP level 5,Đạt cấp VIP 5,VIP 5레벨 달성,Alcance o nível VIP 5,ได้รับระดับ VIP 5,1,2,0,10,{rmb=100},7,5,5,,,,,,,,recharge
52,VIP等级达到7,VIP等級達到7,Attain VIP level 7,Đạt cấp VIP 7,VIP 7레벨 달성,Alcance o nível VIP 7,ได้รับระดับ VIP 7,1,2,0,10,{rmb=200},7,5,7,,,,,,,,recharge
53,VIP等级达到10,VIP等級達到10,Attain VIP level 10,Đạt cấp VIP 10,VIP 10레벨 달성,Alcance o nível VIP 10,ได้รับระดับ VIP 10,1,2,0,10,{rmb=300},7,5,10,,,,,,,,recharge
