变量名,name,_beizhu,name_tw,name_en,name_vn,name_kr,name_pt,name_th,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
9,弱丁鱼,,弱丁魚,Wishiwashi,Wishiwashi,약어리,Desejo-Washi,วิชชิวาชี,,config/big_hero/standby/img_746_rdy@.png,config/portrait/jinglingtouxiang/img_746_rdy@.png,1条的弱丁鱼非常细小而且很脆弱，至于成群结对的弱丁鱼，我们换个话题吧,1條的弱丁魚非常細小而且很脆弱，至於成群結對的弱丁魚，我們換個話題吧,"One Wishiwashi is very small and fragile. As for Wishiwashi in groups, you better run!","Một con Wishiwashi rất nhỏ và yếu ớt. Còn đối với bầy Wishiwashi, tốt nhất bạn nên chạy đi!",단독의 약어리는 아주 작고 약하다. 하지만 군집의 약어리는...이 화제를 넘어가자.,"Um Wishiwashi é muito pequeno e frágil. Quanto a Wishiwashi em grupos, é melhor correr!",วิชิวาชิตัวหนึ่งตัวเล็กและเปราะบางมาก ส่วนวิชิวาชิที่เป็นกลุ่ม คุณควรจะรีบหนี!,1,,0.6,150,<20;40>,35,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<607;614;621>},,,<3>,,320,,,,,,,,1,13,9,<33;39>,0,<5;10>,1,13,10,<37;76>
10,灯笼鱼,,燈籠魚,Chinchou,Chinchou,초라기,Chinchou,ชินชู,,config/big_hero/standby/img_170_dly@.png,config/portrait/jinglingtouxiang/img_170_dly@.png,一向生活在海底，不知道为啥出现在这里，触手具有某种发光的能力。,一向生活在海底，不知道為啥出現在這裡，觸手具有某種發光的能力。,"Always lived on the bottom of the sea, but don't know why it appears here. The tentacles have a certain light-emitting ability.","Luôn sống dưới đáy biển, nhưng không biết tại sao nó lại xuất hiện ở đây. Các xúc tu có khả năng phát sáng nhất định.",항상 바닷속에 사는데 왜 여기서는 나타난지 어무도 모른다. 촉수는 반짝이는 능력이 지니고 있다.,"Sempre viveu no fundo do mar, mas não sei por que aparece aqui. Os tentáculos têm uma certa capacidade de emitir luz.",อาศัยอยู่ใต้ท้องทะเลมาตลอด แต่ไม่ทราบว่าทำไมถึงมาปรากฏที่นี่ หนวดมีความสามารถในการเปล่งแสงได้,1,,0.6,150,<50;70>,65,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<607;614;621>},,,<3;999>,,320,200,,,,,,,1,10,7,<26;31>,0,<5;10>,1,10,8,<37;60>
11,刺梭鱼,,刺梭魚,Arrokuda,Sashikamasu,찌로꼬치,Pickerel,ซาชิคามาสุ,,config/big_hero/standby/img_846_csy@.png,config/portrait/jinglingtouxiang/img_846_csy@.png,只要发现周围有什么小动作，就会一直线冲过去。吃饱了之后动作会变得极度迟缓。,只要發現周圍有什麼小動作，就會一直線沖過去。吃飽了之後動作會變得極度遲緩。,"As long as there is any small movement around, it will rush straight through. After it full fed, movement become extremely slow.","Chỉ cần có bất kỳ chuyển động nhỏ nào xung quanh, nó sẽ lao thẳng qua. Sau khi ăn no, chuyển động của nó trở nên cực kỳ chậm chạp.",주변에 뭔가 움찔거리는 것을 발견하면 곧장 일직선으로 돌진한다. 배불리 먹은 후 동작이 극도로 느려진다.,"Enquanto houver qualquer pequeno movimento ao redor, ele passará direto. Depois que estiver completamente alimentado, o movimento se tornará extremamente lento.",ตราบใดที่มีการเคลื่อนไหวเล็กน้อยรอบๆ มันจะพุ่งตรงเข้าไป เมื่อได้รับอาหารจนเต็มแล้ว การเคลื่อนไหวจะช้าลงอย่างมาก,1,,0.6,150,<40;60>,55,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<607;614;621>},,,<3>,,320,,,,,,,,1,10,7,<46;82>,2,<5;10>,1,10,8,<37;60>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,无壳海兔,,無殼海兔,Shellos,Shellos,깝질무,Shellos,เชลโล,,config/big_hero/standby/img_422_wkht@.png,config/portrait/jinglingtouxiang/img_422_wkht@.png,如果用力按住柔软的身体，就会有神秘的紫色液体渗出，因此请注意。,如果用力按住柔軟的身體，就會有神秘的紫色液體滲出，因此請注意。,"If pressing its soft body too hard, a mysterious purple liquid will leak out, so please be careful.","Nếu ấn quá mạnh vào cơ thể mềm mại của nó, một chất lỏng màu tím bí ẩn sẽ rỉ ra, vì vậy hãy cẩn thận.",그의 부드러운 몸을 꾹 누르면 신비한 보라색 액체가 나오는 점에 주의하라.,"Se você pressionar seu corpo macio com muita força, um misterioso líquido roxo vazará, então tome cuidado.",หากกดตัวนิ่มของมันแรงเกินไป จะมีของเหลวสีม่วงลึกลับไหลออกมา โปรดระวังด้วย,1,,0.7,300,<20;40>,30,<<2;9;0.5>;<9;12;0.2>;<12;17;0.1>>,{libs=<602;612;622>},,,<1;999>,,120,118,,,,,,,2,9,7,<26;31>,0,<8;12>,1,9,8,<37;60>
102,小球飞鱼,,小球飛魚,Mantyke,Mantyke,타만타,Mantyke,แมนทิเค,,config/big_hero/standby/img_458_xqfy@.png,config/portrait/jinglingtouxiang/img_458_xqfy@.png,它的背上有类似笑脸的花纹，好像有白色的眼睛，红色的眼珠，浅蓝色的嘴巴。,它的背上有類似笑臉的花紋，好像有白色的眼睛，紅色的眼珠，淺藍色的嘴巴。,"It has a smile-like pattern on its back, which seems to have white eyes, red eyeballs, and light blue mouth.","Nó có một hoa văn giống như nụ cười trên lưng, có vẻ như có mắt trắng, tròng mắt đỏ và miệng màu xanh nhạt.","등에는 하얀 눈, 붉은 눈동자, 옅은 파란 입술이 있는 듯한 웃는 얼굴 무늬가 있다.","Ele tem um padrão semelhante a um sorriso nas costas, que parece ter olhos brancos, globos oculares vermelhos e boca azul-clara.",มันมีลวดลายเหมือนรอยยิ้มอยู่บนหลังซึ่งดูเหมือนจะมีดวงตาสีขาว ลูกตาสีแดง และปากสีฟ้าอ่อน,1,,0.7,300,<80;120>,110,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<602;612;622>},,,<1>,,120,,,,,,,,2,12,9,<33;39>,0,<8;12>,1,12,10,<37;76>
103,野蛮鲈鱼,,野蠻鱸魚,Basculin,Basculin,배쓰나이,Basculina,บาสคูลิน,,config/big_hero/standby/img_550_ymly@.png,config/portrait/jinglingtouxiang/img_550_ymly@.png,野蛮鲈鱼的身体呈深绿色，在胸鳍旁有三个黑点，并且头部上有条黑色的斑纹延伸到尾鳍。,野蠻鱸魚的身體呈深綠色，在胸鰭旁有三個黑點，並且頭部上有條黑色的斑紋延伸到尾鰭。,"The body of Basculin is dark green, with three black spots beside the pectoral fin, and a black marking on the head that extends to the caudal fin.","Thân của Basculin màu xanh đậm, có ba đốm đen bên cạnh vây ngực, và một vạch đen trên đầu kéo dài đến vây đuôi.",배쓰나이의 몸은 짙은 녹색이며 가슴 지느러미 옆에 검은 점 3개 있고 머리에는 검은 얼룩무늬가 꼬리 지느러미로 뻗어 있다.,"O corpo do Basculin é verde escuro, com três manchas pretas ao lado da nadadeira peitoral e uma marcação preta na cabeça que se estende até a nadadeira caudal.",ลำตัวของปลาบาสคูลินมีสีเขียวเข้ม มีจุดสีดำ 3 จุดข้างครีบอก และมีลายสีดำบนหัวที่ทอดยาวไปถึงครีบหาง,1,,0.63,300,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<605;615;622>},,,<2;999>,,120,118,,,,,,,2,11,9,<33;60>,0,<8;12>,1,11,10,<37;76>
104,滴蛛,,滴蛛,Dewpider,Dewpider,물거미,aranha de orvalho,น้ำค้าง,,config/big_hero/standby/img_751_dz@.png,config/portrait/jinglingtouxiang/img_751_dz@.png,头部被水泡包围，水泡则被三条黄绿色的组织所包围，眼睛为蓝色，并有浅蓝色条纹；嘴巴为黄绿色；头顶有两个蓝色突起。,頭部被水泡包圍，水泡則被三條黃綠色的組織所包圍，眼睛為藍色，並有淺藍色條紋；嘴巴為黃綠色；頭頂有兩個藍色突起。,"Its head is surrounded by blisters, and the blisters are surrounded by three yellow-green tissues. The eyes are blue with light blue stripes. The mouth is yellow-green, and there are two blue protrusions on the top of the head.","Đầu của nó được bao quanh bởi các bọc nước, và các bọc nước được bao quanh bởi ba mô màu xanh vàng. Mắt màu xanh lam với sọc xanh nhạt. Miệng màu xanh vàng, và có hai phần nhô ra màu xanh lam trên đỉnh đầu.","머리는 물집으로 뒤덮여 있으며, 물집은 황록색 세 조직에 둘러싸여 있다. 눈은 파란색, 연청색 줄무늬가 있다. 입은 황록색이며 머리에는 두 개의 푸른색 돌기가 있다.","Sua cabeça é cercada por bolhas, e as bolhas são cercadas por três tecidos amarelo-esverdeados. Os olhos são azuis com listras azul-claras. A boca é amarelo-esverdeada, e há duas protrusões azuis no topo da cabeça.",หัวมีตุ่มน้ำล้อมรอบ และตุ่มน้ำล้อมรอบด้วยเนื้อเยื่อสีเหลืองอมเขียว 3 ชิ้น ดวงตาเป็นสีฟ้ามีแถบสีฟ้าอ่อน ปากเป็นสีเหลืองอมเขียว และมีติ่งสีฟ้า 2 อันอยู่ด้านบนของหัว,1,,0.63,300,<20;40>,30,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<605;615;622>},,,<2>,,120,,,,,,,,2,10,8,<30;48>,0,<8;12>,1,10,9,<33;69>
105,宝石海星,,寶石海星,Starmie,Starmie,아쿠스타,Estrela,สตาร์มี่,,config/big_hero/standby/img_121_bshx@.png,config/portrait/jinglingtouxiang/img_121_bshx@.png,因为位于身体中间被称为核心的部分会发出七彩光芒，所以它被冠上了海之宝石这一别名。,因為位於身體中間被稱為核心的部分會發出七彩光芒，所以它被冠上了海之寶石這一別名。,"Because the part called the core in the middle of the body emits colorful rays, it is called the gem of the sea.","Vì phần được gọi là lõi ở giữa cơ thể phát ra những tia sáng đầy màu sắc, nó được gọi là viên ngọc của biển cả.",몸 가운데 있는 핵심이라 불리는 부분은 일곱 빛이 나기 때문에 바다의 보석이라는 별명이 있다.,"Como a parte chamada núcleo, no meio do corpo, emite raios coloridos, ela é chamada de joia do mar.",เพราะส่วนที่เรียกว่าแก่นกลางกายเปล่งแสงหลากสีสันจึงได้ชื่อว่าเป็นอัญมณีแห่งท้องทะเล,1,,0.56,300,<80;120>,115,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<608;612;622>},,,<3>,,80,,,,,,,,2,10,9,<33;70>,0,<8;12>,1,10,10,<37;76>
106,墨海马,,墨海馬,Horsea,Horsea,쏘드라,Cavalo,ต้นฮอร์เซีย,,config/big_hero/standby/img_116_mhm@.png,config/portrait/jinglingtouxiang/img_116_mhm@.png,能灵活地靠背上的背鳍移动，面朝前地向四面八方移动。一旦察觉危险时就会吐出墨汁逃跑。,能靈活地靠背上的背鰭移動，面朝前地向四面八方移動。一旦察覺危險時就會吐出墨汁逃跑。,"Can move swiftly by using the dorsal fin on the back, facing forward and moving in all directions. Once it detects danger, it will spit out ink and escape.","Có thể di chuyển nhanh chóng bằng cách sử dụng vây lưng, hướng về phía trước và di chuyển theo mọi hướng. Khi phát hiện nguy hiểm, nó sẽ phun mực ra và bỏ trốn.",등지느러미로 빠르게 움직일 수 있고 앞을 보고 사방팔방으로 이동한다. 위험을 감지하면 먹물을 분출하여 도망을 치다.,"Pode se mover rapidamente usando a barbatana dorsal nas costas, olhando para frente e se movendo em todas as direções. Uma vez que detecta perigo, ele cospe tinta e escapa.",สามารถเคลื่อนไหวได้อย่างรวดเร็วโดยใช้ครีบหลังที่หันไปข้างหน้าและเคลื่อนที่ได้ในทุกทิศทาง เมื่อตรวจจับอันตรายได้ก็จะคายหมึกและหลบหนี,1,,0.5,300,<40;60>,55,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<608;612;622>},,,<3;999>,,80,118,,,,,,,2,12,8,<30;36>,0,<8;12>,1,12,9,<33;69>
107,霓虹鱼,,霓虹魚,Lumineon,Lumineon,네오라이트,Lumineon,ลูมิเนียน,,config/big_hero/standby/img_457_nhy@.png,config/portrait/jinglingtouxiang/img_457_nhy@.png,彩虹出现时它会用身体与彩虹辉映，经常把海面装点的格外漂亮。,彩虹出現時它會用身體與彩虹輝映，經常把海面裝點的格外漂亮。,"When rainbow appears, it will use its body to reflect rainbow, and it often decorates the sea very beautifully.","Khi cầu vồng xuất hiện, nó sẽ dùng cơ thể để phản chiếu cầu vồng, và nó thường trang trí cho biển cả rất đẹp.",무지개가 나타날 때는 그의 몸으로 무지개와 어울려 비추어 바다를 아름답게 꾸미곤 한다.,"Quando o arco-íris aparece, ele usa seu corpo para refleti-lo e geralmente decora o mar de forma muito bonita.",เมื่อรุ้งกินน้ำปรากฏขึ้น มันจะใช้ร่างกายสะท้อนรุ้งกินน้ำ และมักจะประดับตกแต่งทะเลได้อย่างสวยงาม,1,,0.5,300,<110;130>,125,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<608;612;622>},,,<3>,,80,,,,,,,,2,13,9,<33;39>,0,<8;12>,1,13,10,<37;76>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,吼吼鲸,,吼吼鯨,Wailmer,Wailmer,고래왕자,Lamentador,วาลเมอร์,,config/big_hero/standby/img_320_hhj@.png,config/portrait/jinglingtouxiang/img_320_hhj@.png,虽然平时是住在海里的宝可梦，不过只是短时间的话也可以在陆地生活。如果身体干燥的话就会很没有精神。,雖然平時是住在海裡的寶可夢，不過只是短時間的話也可以在陸地生活。如果身體乾燥的話就會很沒有精神。,"Although it usually live in the sea, it can live on land for a short time. If its body is dry, it will become very weak.","Mặc dù thường sống ở biển, nó có thể sống trên cạn trong một thời gian ngắn. Nếu cơ thể bị khô, nó sẽ trở nên rất yếu.",평소 바닷속에 사는 포켓몬이지만 짧은 시간이라면 육지에서 활동할 수 있다. 몸이 건조하면 기운이 없어진다.,"Embora geralmente viva no mar, pode viver em terra por um curto período. Se seu corpo estiver seco, ficará muito fraco.",แม้ว่าปกติจะอาศัยอยู่ในทะเล แต่สามารถอาศัยอยู่บนบกได้เพียงช่วงสั้นๆ หากร่างกายแห้ง ร่างกายจะอ่อนแอมาก,1,,0.6,1000,<190;220>,215,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<603;613;623>},,,<1;999>,,30,100,,,,,,,3,12,9,<57;67>,0,<10;15>,1,12,10,<42;82>
202,古空棘鱼,,古空棘魚,Relicanth,Relicanth,시라칸,Relicanto,เรลิแคนท์,,config/big_hero/standby/img_369_gkjy@.png,config/portrait/jinglingtouxiang/img_369_gkjy@.png,一亿年来外形都没大的改变，是精灵中的活化石，以吃微生物为主。,一億年來外形都沒大的改變，是精靈中的活化石，以吃微生物為主。,"Its appearance has not changed much in 100 million years. It is a living fossil among Pokémons, mainly eating microorganisms.","Ngoại hình của nó không thay đổi nhiều trong 100 triệu năm. Nó là một hóa thạch sống trong số các Pokémon, chủ yếu ăn vi sinh vật.",1억 년 동안 외형은 크게 변하지 않으니 포켓몬의 살아있는 화석이다. 미생물을 주로 먹는다.,"Sua aparência não mudou muito em 100 milhões de anos. É um fóssil vivo entre os Pokémon, comendo principalmente micro-organismos.",รูปร่างหน้าตาของมันไม่ได้เปลี่ยนแปลงมากนักในช่วง 100 ล้านปีที่ผ่านมา มันเป็นซากดึกดำบรรพ์ที่มีชีวิตในหมู่โปเกมอน โดยกินจุลินทรีย์เป็นหลัก,1,,0.6,1000,<90;110>,105,<<2;11;0.5>;<11;14;0.2>;<14;19;0.1>>,{libs=<603;613;623>},,,<1>,,30,,,,,,,,3,7,5,<32;37>,0,<10;15>,1,7,6,<46;74>
203,鲶鱼王,,鯰魚王,Whiscash,Whiscash,메깅,Whiscash,วิสแคช,,config/big_hero/standby/img_340_nyw@.png,config/portrait/jinglingtouxiang/img_340_nyw@.png,可以引发周围五公里范围内的地震，同时它也有着能预知真正地震的神奇力量。,可以引發周圍五公里範圍內的地震，同時它也有著能預知真正地震的神奇力量。,"It can cause earthquakes within 5km of the surrounding area, and it also has the magical power to predict the real earthquake.","Nó có thể gây ra động đất trong phạm vi 5km xung quanh, và nó cũng có sức mạnh kỳ diệu để dự đoán động đất thật sự.",5km 근방의 지진을 유발하는 동시에 실제 지진을 예측할 수 있는 신기한 힘을 갖고 있다.,Ele pode causar terremotos em um raio de 5 km da área ao redor e também tem o poder mágico de prever o terremoto real.,สามารถก่อให้เกิดแผ่นดินไหวได้ภายในรัศมี 5 กม. จากบริเวณโดยรอบและยังมีพลังวิเศษที่สามารถทำนายแผ่นดินไหวที่เกิดขึ้นจริงได้อีกด้วย,1,,0.54,1000,<80;120>,110,<<2;10;0.5>;<10;13;0.2>;<13;18;0.1>>,{libs=<606;616;623>},,,<2;999>,,30,100,,,,,,,3,8,7,<43;75>,0,<10;15>,1,8,8,<41;80>
