变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,type,arg,nums,levelMax,upCost,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc1_pt,desc1_th,desc2,desc2_tw,desc2_en,desc2_vn,desc2_kr,desc2_pt,desc2_th
8,回口血,回口血,Recover some HP,,Hồi phục một ít HP,Recupere algum HP,ฟื้นคืน HP บางส่วน,city/develop/train/icon_qfqn.png,2,0,<3;6;9;12;15>,5,{453=40},体力上限,體力上限,Maximum energy,Năng Lượng Tối Đa,체력 한도,Energia máxima,พลังงานสูงสุด,增加+%d,增加+%d,Increases +%d,Tăng +%d,증가+%d,Aumenta +%d,เพิ่ม +%d
9,金融专家,金融專家,Finance Expert,,Chuyên Gia Tài Chính,Especialista em finanças,ผู้เชี่ยวชาญด้านการเงิน,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=40},聚宝,聚寶,Treasure Pot,Nồi Báu,보물단지,Pote de Tesouro,หม้อสมบัติ,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
10,探险队员,探險隊員,Explorer Member,,Thành Viên Thám Hiểm,Membro Explorador,สมาชิกนักสำรวจ,city/develop/train/icon_ptfbzj.png,15,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},金币副本,金幣副本,Coin dungeon,Phó Bản Vàng,골드 코인 던전,Masmorra de moedas,คุกใต้ดินเหรียญ,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
11,丰盛早餐,豐盛早餐,Hearty breakfast,,Bữa Sáng Thịnh Soạn,Café da manhã farto,อาหารเช้าแสนอร่อย,city/develop/train/icon_tllq.png,14,1,<2;4;6;8;10>,5,{453=45},宝芙蕾（早餐）,寶芙蕾（早餐）,Breakfast,Bữa Sáng,포플레(아침),Café da manhã,อาหารเช้า,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
12,副本老手,副本老手,Dungeon Expert,,Chuyên Gia Phó Bản,Especialista em Masmorras,ผู้เชี่ยวชาญด้านดันเจี้ยน,city/develop/train/icon_jyfbcc.png,16,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},经验副本,經驗副本,EXP Dungeon,Phó Bản EXP,경험치 던전,Masmorra EXP,ดันเจี้ยน EXP,获得经验+%d,獲得經驗+%d,EXP +%d,EXP +%d,경험치 획득+%d,EXP +%d,ประสบการณ์ +%d
13,批发商,批發商,Distributor,,Nhà Phân Phối,Distribuidor,ตัวแทนจำหน่าย,city/develop/train/icon_jb2.png,9,0,<0.02;0.04;0.06;0.08;0.1>,5,{453=50},经验药水购买,經驗藥水購買,EXP Potion Purchase,Mua Thuốc EXP,경험치 물약 구매,Compra de Poção EXP,การซื้อยา EXP,价格优惠+%d,價格優惠+%d,%d Discount,Giảm giá %d,가격 할인+%d,%d Desconto,ส่วนลด %d
14,烤串走起,烤串走起,Go for some skewers,,Đi ăn xiên que,Vá pegar alguns espetos,ไปกินไม้เสียบกัน,city/develop/train/icon_tllq.png,14,4,<2;4;6;8;10>,5,{453=50},宝芙蕾（夜宵）,寶芙蕾（夜宵）,Supper,Bữa Khuya,포플레(야식),Jantar,อาหารเย็น,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
15,还不够！,還不夠！,Still insufficient!,,Vẫn chưa đủ!,Ainda insuficiente!,ยังไม่เพียงพอ!,city/develop/train/icon_djss.png,12,0,<1>,1,{453=100},聚宝,聚寶,Treasure Pot,Nồi Báu,보물단지,Pote de Tesouro,หม้อสมบัติ,每日免费次数+%d,每日免費次數+%d,Free daily chances +%d,Lượt miễn phí hàng ngày +%d,매일 무료 횟수+%d,Chances diárias gratuitas +%d,โอกาสรายวันฟรี +%d
16,训练大师,訓練大師,Training Master,,Bậc Thầy Huấn Luyện,Mestre de Treinamento,การฝึกอบรมระดับปรมาจารย์,city/develop/train/icon_jb1.png,26,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=50},碎片副本,碎片副本,Shard Dungeon,Phó Bản Mảnh,조각 던전,Masmorra de Fragmentos,ดันเจี้ยนชาร์ด,产出增加+%d,產出增加+%d,Production +%d,Sản lượng +%d,생산 증가+%d,Produção +%d,การผลิต +%d
17,为人为己,為人為己,For others for self,,Vì người vì mình,Para os outros para si mesmo,เพื่อคนอื่น เพื่อตัวเอง,city/develop/train/icon_ghjz.png,17,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=50},公会捐献,公會捐獻,union donation,Quyên Góp Công Hội,길드 기부,doação sindical,การบริจาคของสหภาพ,公会币获得量+%d,公會幣獲得量+%d,Union coins earned +%d,Xu Công Hội nhận được +%d,길드 코인 획득량+%d,Moedas da União ganharam +%d,เหรียญสหภาพที่ได้รับ +%d
18,精灵馈赠,精靈饋贈,Pokémon Gift,,Quà Tặng Pokémon,Presente Pokémon,ของขวัญโปเกมอน,city/develop/train/icon_ghjz.png,2,0,<3;6;9;12;15>,5,{453=50},体力上限,體力上限,Maximum energy,Năng Lượng Tối Đa,체력 한도,Energia máxima,พลังงานสูงสุด,增加+%d,增加+%d,Increases +%d,Tăng +%d,증가+%d,Aumenta +%d,เพิ่ม +%d
19,金融大师,金融大師,Finance Master,,Bậc Thầy Tài Chính,Mestre em Finanças,ปริญญาโทการเงิน,city/develop/train/icon_jyfbcc.png,9,0,<0.02;0.04;0.06;0.08;0.1>,5,{453=60},经验药水购买,經驗藥水購買,EXP Potion Purchase,Mua Thuốc EXP,경험치 물약 구매,Compra de Poção EXP,การซื้อยา EXP,价格优惠+%d,價格優惠+%d,%d Discount,Giảm giá %d,가격 할인+%d,%d Desconto,ส่วนลด %d
20,勇往直前,勇往直前,Go courageously,,Dũng Cảm Tiến Lên,Vá corajosamente,ไปด้วยความกล้าหาญ,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=60},剧情副本,劇情副本,Story dungeon,Phó Bản Cốt Truyện,스토리 던전,Masmorra da história,ดันเจี้ยนเรื่องราว,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
21,圣诞老人,聖誕老人,Santa Claus,,Ông Già Noel,Papai Noel,ซานต้าคลอส,city/develop/train/icon_jyfbcc.png,24,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},礼物副本,禮物副本,Gift Dungeon,Phó Bản Quà,선물 던전,Calabouço de presentes,ดันเจี้ยนของขวัญ,产出增加+%d,產出增加+%d,Production +%d,Sản lượng +%d,생산 증가+%d,Produção +%d,การผลิต +%d
22,佛跳墙,佛跳牆,Foodie,,Tín Đồ Ẩm Thực,Viciado em comida,นักชิม,city/develop/train/icon_tllq.png,14,3,<2;4;6;8;10>,5,{453=60},宝芙蕾（晚餐）,寶芙蕾（晚餐）,Dinner,Bữa Tối,포플레(저녁),Jantar,อาหารเย็น,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
23,熟能生巧,熟能生巧,Skilled,,Lành Nghề,Qualificado,มีทักษะ,city/develop/train/icon_qfqn.png,6,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},日常任务,日常任務,Daily quest,Nhiệm Vụ Hàng Ngày,일일 퀘스트,Missão diária,ภารกิจประจำวัน,获得经验额外增加+%d,獲得經驗額外增加+%d,Get extra EXP +%d,Nhận thêm EXP +%d,추가 경험치 증가+%d,Ganhe EXP extra +%d,รับ EXP เพิ่มเติม +%d
24,精诚所至,精誠所至,Sincerely,,Chân Thành,Sinceramente,ขอแสดงความนับถือ,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=75},困难关卡,困難關卡,Elite Dungeon,Phó Bản Tinh Anh,하드 스테이지,Calabouço de Elite,ดันเจี้ยนชั้นสูง,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
25,至尊黑卡,至尊黑卡,Supreme Black Card,,Thẻ Đen Tối Cao,Cartão Preto Supremo,การ์ดสีดำสูงสุด,city/develop/train/icon_ck.png,22,0,<1>,1,{453=150},派遣任务,派遣任務,Dispatch quest,Nhiệm Vụ Phái Cử,파견 퀘스트,Missão de despacho,ภารกิจส่งของ,免费刷新次数+%d,免費刷新次數+%d,Free refresh chances+%d,Lượt làm mới miễn phí +%d,무료 새로고침 횟수+%d,Chances de atualização gratuita +%d,โอกาสรีเฟรชฟรี+%d
26,豪华午餐,豪華午餐,Deluxe Lunch,,Bữa Trưa Sang Trọng,Almoço de luxo,อาหารกลางวันสุดหรู,city/develop/train/icon_tllq.png,14,2,<2;4;6;8;10>,5,{453=75},宝芙蕾（午餐）,寶芙蕾（午餐）,Lunch,Bữa Trưa,포플레(점심),Almoço,อาหารกลางวัน,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
27,探险专家,探險專家,Exploration Expert,,Chuyên Gia Thám Hiểm,Especialista em Exploração,ผู้เชี่ยวชาญด้านการสำรวจ,city/develop/train/icon_ptfbzj.png,15,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},金币副本,金幣副本,Coin dungeon,Phó Bản Vàng,골드 코인 던전,Masmorra de moedas,คุกใต้ดินเหรียญ,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
28,精英骨干,精英骨幹,Elite Core Member,,Thành Viên Cốt Cán Tinh Anh,Membro Elite Core,สมาชิกเอลีทคอร์,city/develop/train/icon_ghjz.png,17,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},公会捐献,公會捐獻,union donation,Quyên Góp Công Hội,길드 기부,doação sindical,การบริจาคของสหภาพ,公会币获得量+%d,公會幣獲得量+%d,Union coins earned +%d,Xu Công Hội nhận được +%d,길드 코인 획득량+%d,Moedas da União ganharam +%d,เหรียญสหภาพที่ได้รับ +%d
29,主角光环,主角光環,Trainer Aura,,Hào Quang Huấn Luyện Viên,Treinador Aura,เทรนเนอร์ออร่า,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5>,10,{453=60},剧情副本,劇情副本,Story dungeon,Phó Bản Cốt Truyện,스토리 던전,Masmorra da história,ดันเจี้ยนเรื่องราว,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
30,不屈意志,不屈意志,Unyielding,,Bất Khuất,Inflexível,ไม่ยอมแพ้,city/develop/train/icon_qfqn.png,2,0,<3;6;9;12;15>,5,{453=75},体力上限,體力上限,Maximum energy,Năng Lượng Tối Đa,체력 한도,Energia máxima,พลังงานสูงสุด,增加+%d,增加+%d,Increases +%d,Tăng +%d,증가+%d,Aumenta +%d,เพิ่ม +%d
31,冒险精英,冒險精英,Adventure Elite,,Tinh Anh Mạo Hiểm,Elite de Aventura,การผจญภัยเอลีท,city/develop/train/icon_jyfbcc.png,6,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=100},日常任务,日常任務,Daily quest,Nhiệm Vụ Hàng Ngày,일일 퀘스트,Missão diária,ภารกิจประจำวัน,获得经验额外增加+%d,獲得經驗額外增加+%d,Get extra EXP +%d,Nhận thêm EXP +%d,추가 경험치 증가+%d,Ganhe EXP extra +%d,รับ EXP เพิ่มเติม +%d
32,未来之星,未來之星,Future Star,,Ngôi Sao Tương Lai,Estrela do futuro,ดาราแห่งอนาคต,city/develop/train/icon_jyfbcc.png,16,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=70},经验副本,經驗副本,EXP Dungeon,Phó Bản EXP,경험치 던전,Masmorra EXP,ดันเจี้ยน EXP,获得经验+%d,獲得經驗+%d,EXP +%d,EXP +%d,경험치 획득+%d,EXP +%d,ประสบการณ์ +%d
33,时光商人,時光商人,Time Merchant,,Thương Nhân Thời Gian,Mercador do Tempo,พ่อค้าเวลา,city/develop/train/icon_jb2.png,9,0,<0.02;0.04;0.06;0.08;0.1;0.12;0.14;0.16;0.18;0.2>,10,{453=70},经验药水购买,經驗藥水購買,EXP Potion Purchase,Mua Thuốc EXP,경험치 물약 구매,Compra de Poção EXP,การซื้อยา EXP,价格优惠+%d,價格優惠+%d,%d Discount,Giảm giá %d,가격 할인+%d,%d Desconto,ส่วนลด %d
34,油条豆浆,油條豆漿,Fritters and Soymilk,,Quẩy và Sữa Đậu Nành,Bolinhos e Leite de Soja,ขนมปังทอดและนมถั่วเหลือง,city/develop/train/icon_tllq.png,14,1,<2;4;6;8;10>,5,{453=75},宝芙蕾（早餐）,寶芙蕾（早餐）,Breakfast,Bữa Sáng,포플레(아침),Café da manhã,อาหารเช้า,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
35,精灵遗迹,精靈遺跡,Pokémon Ruins,,Di Tích Pokémon,Ruínas Pokémon,ซากปรักหักพังของโปเกมอน,city/develop/train/icon_jb1.png,26,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=100},碎片副本,碎片副本,Shard Dungeon,Phó Bản Mảnh,조각 던전,Masmorra de Fragmentos,ดันเจี้ยนชาร์ด,产出增加+%d,產出增加+%d,Production +%d,Sản lượng +%d,생산 증가+%d,Produção +%d,การผลิต +%d
36,大财主,大財主,Millionaire,,Triệu Phú,Milionário,เศรษฐี,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=75},聚宝,聚寶,Treasure Pot,Nồi Báu,보물단지,Pote de Tesouro,หม้อสมบัติ,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
37,当地人民,當地人民,Resident,,Cư Dân,Residente,ผู้อยู่อาศัย,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5>,10,{453=75},困难关卡,困難關卡,Elite Dungeon,Phó Bản Tinh Anh,하드 스테이지,Calabouço de Elite,ดันเจี้ยนชั้นสูง,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
38,温牛奶,溫牛奶,Warm Milk,,Sữa Nóng,Leite morno,นมอุ่น,city/develop/train/icon_tllq.png,14,4,<2;4;6;8;10>,5,{453=75},宝芙蕾（夜宵）,寶芙蕾（夜宵）,Supper,Bữa Khuya,포플레(야식),Jantar,อาหารเย็น,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
39,冒险长者,冒險長者,Adventure Elder,,Trưởng Lão Mạo Hiểm,Ancião da Aventura,ผู้เฒ่าผจญภัย,city/develop/train/icon_jyfbcc.png,6,0,<0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1>,10,{453=75},日常任务,日常任務,Daily quest,Nhiệm Vụ Hàng Ngày,일일 퀘스트,Missão diária,ภารกิจประจำวัน,获得经验额外增加+%d,獲得經驗額外增加+%d,Get extra EXP +%d,Nhận thêm EXP +%d,추가 경험치 증가+%d,Ganhe EXP extra +%d,รับ EXP เพิ่มเติม +%d
40,管理人员,管理人員,Crew,,Thủy Thủ Đoàn,Equipe,ลูกทีม,city/develop/train/icon_ghjz.png,17,0,<0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1>,10,{453=100},公会捐献,公會捐獻,union donation,Quyên Góp Công Hội,길드 기부,doação sindical,การบริจาคของสหภาพ,公会币获得量+%d,公會幣獲得量+%d,Union coins earned +%d,Xu Công Hội nhận được +%d,길드 코인 획득량+%d,Moedas da União ganharam +%d,เหรียญสหภาพที่ได้รับ +%d
41,情场高手,情場高手,Master of Romance,,Bậc Thầy Lãng Mạn,Mestre do Romance,ปรมาจารย์แห่งความโรแมนติก,city/develop/train/icon_jyfbcc.png,24,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=75},礼物副本,禮物副本,Gift Dungeon,Phó Bản Quà,선물 던전,Calabouço de presentes,ดันเจี้ยนของขวัญ,产出增加+%d,產出增加+%d,Production +%d,Sản lượng +%d,생산 증가+%d,Produção +%d,การผลิต +%d
