变量名,_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,sender_pt,sender_th,subject,subject_tw,subject_en,subject_vn,subject_kr,subject_pt,subject_th,content,content_tw,content_en,content_vn,content_kr,content_pt,content_th,attachs,special
9,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Daily login reward,每日登陸獎勵,Daily login reward,Phần thưởng đăng nhập hàng ngày,일일 로그인 보상,Recompensa de login diário,รางวัลล็อกอินรายวัน,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{rmb=300;gold=100000;vip=5},
10,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Daily login reward,每日登陸獎勵,Daily login reward,Phần thưởng đăng nhập hàng ngày,일일 로그인 보상,Recompensa de login diário,รางวัลล็อกอินรายวัน,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{rmb=300;gold=100000;vip=7},
11,测试礼包发放邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,"Trial Pack, for trial usage",測試禮包，測試專用,"Trial Pack, for trial usage","Gói Dùng thử, dành cho việc trải nghiệm","""테스트 패키지, 테스트 전용""","Pacote de Teste, para uso experimental",แพ็กเกจทดลอง สำหรับการใช้งานชั่วคราว,,,,,,,,{37=99},
12,补偿邮件,2,,Shy Programmer,羞愧的程式猿,Shy Programmer,Xấu hổ lập trình viên,소심한 개발자,Programador Envergonhado,โปรแกรมเมอร์ขี้อาย,"""You're the MVP"" Compensation Pack",“給您跪了”補償禮包,"""You're the MVP"" Compensation Pack","Gói Bồi thường ""Bạn là MVP""",“MVP” 보상 패키지,"Pacote de Compensação ""Você é o MVP""","แพ็กเกจชดเชย ""คุณคือ MVP""","Dear trainers: \n    Maintenance of the server is completed! As we opened ""a can of worms"", many bugs appeared and have caused unnecessary problems and losses to the trainers. Therefore, we will be giving trainers some rewards as a token of apology. Please check your mail to receive it. \n    As this is our first test, we thank you for your understanding!",親愛的小夥伴:\n    現在伺服器已維護完畢！由於我們的工作人員打開了“暗黑之門”，放出了很多BUG，給您造成了不必要麻煩和損失，現特此對您進行補償，補償內容已隨郵件發送，請及時查收。\n    首次測試，希望獲得您的諒解!,"Dear trainers: \n    Maintenance of the server is completed! As we opened ""a can of worms"", many bugs appeared and have caused unnecessary problems and losses to the trainers. Therefore, we will be giving trainers some rewards as a token of apology. Please check your mail to receive it. \n    As this is our first test, we thank you for your understanding!","Các nhà huấn luyện thân mến: \n    Bảo trì máy chủ đã hoàn tất! Khi chúng tôi mở ""một hộp sâu"", nhiều lỗi đã xuất hiện và gây ra những vấn đề và tổn thất không cần thiết cho các nhà huấn luyện. Vì vậy, chúng tôi sẽ tặng một số phần thưởng cho các nhà huấn luyện như một lời xin lỗi. Vui lòng kiểm tra thư để nhận. \n    Vì đây là lần thử nghiệm đầu tiên của chúng tôi, chúng tôi cảm ơn sự thông cảm của bạn!",트레이너님: \n   서버 점검이 완료되었습니다! 작업자들이 “어둠의 문”을 열어 발생한 버그로 불편함을 끼쳐드려 대단히 죄송합니다. 이에 대한 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   첫 테스트입니다. 많은 양해 바랍니다!,"Caros Treinadores: \n    A manutenção do servidor foi concluída! Como abrimos ""uma lata de minhocas"", muitos bugs apareceram e causaram problemas e perdas desnecessárias aos treinadores. Portanto, estaremos dando aos treinadores algumas recompensas como um pedido de desculpas. Por favor, verifique seu correio para recebê-las. \n    Como este é nosso primeiro teste, agradecemos sua compreensão!","ถึงเหล่าเทรนเนอร์: \n    การบำรุงรักษาเซิร์ฟเวอร์เสร็จสมบูรณ์แล้ว! เนื่องจากการที่เราเปิด ""กล่องแพนโดร่า"" ทำให้เกิดบั๊กจำนวนมากและสร้างปัญหาและความสูญเสียที่ไม่จำเป็นแก่เทรนเนอร์ ดังนั้นเราจะมอบรางวัลบางอย่างให้แก่เทรนเนอร์เพื่อเป็นการขอโทษ โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัล \n    เนื่องจากนี่เป็นการทดสอบครั้งแรกของเรา เราขอขอบคุณสำหรับความเข้าใจของคุณ!",{rmb=300;gold=50000},
13,系统邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,System Annoucement,系統公告,System Annoucement,Thông báo Hệ thống,시스템 공지,Anúncio do Sistema,ประกาศจากระบบ,"Dear trainers:\n    In order to ensure a seamless gaming experience, the server will be rebooting from 16:30-16:45 to fix some issues. When the sever reopens, please check your mail to claim the compensation reward for the disruption. n    Happy gaming!",親愛的小夥伴:\n    為了能讓您更流暢的體驗遊戲，伺服器將在16:30——16:45重啟，進行部分問題修復。重新開服後，補償獎勵將會發送到您的信箱中，屆時，請您及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    In order to ensure a seamless gaming experience, the server will be rebooting from 16:30-16:45 to fix some issues. When the sever reopens, please check your mail to claim the compensation reward for the disruption. n    Happy gaming!","Các nhà huấn luyện thân mến:\n    Để đảm bảo trải nghiệm chơi game liền mạch, máy chủ sẽ khởi động lại từ 16:30-16:45 để khắc phục một số sự cố. Khi máy chủ mở lại, vui lòng kiểm tra thư để nhận phần thưởng đền bù cho sự gián đoạn. \n    Chúc bạn chơi game vui vẻ!","트레이너님: \n    쾌적한 게임 체험을 위해 서버가 16:30~16:45에 재시작되며, 일부 문제에 대한 해결을 진행합니다. 서버 개방 후 보상이 우편으로 지급될 예정입니다. 지급 시 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caros Treinadores:\n    Para garantir uma experiência de jogo sem interrupções, o servidor será reiniciado das 16:30 às 16:45 para corrigir alguns problemas. Quando o servidor reabrir, por favor, verifique seu correio para resgatar a recompensa de compensação pela interrupção. \n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    เพื่อรับประกันประสบการณ์การเล่นเกมที่ราบรื่น เซิร์ฟเวอร์จะทำการรีบูตตั้งแต่เวลา 16:30-16:45 เพื่อแก้ไขปัญหาบางอย่าง เมื่อเซิร์ฟเวอร์เปิดให้บริการอีกครั้ง โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัลชดเชยสำหรับการหยุดชะงัก \n    ขอให้สนุกกับการเล่นเกม!,,
14,系统邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,"""Heirloom"" Pack",“傳家寶”禮包,"""Heirloom"" Pack","Gói ""Gia truyền""",“전가보” 패키지,"Pacote ""Herança""","แพ็กเกจ ""ของสืบทอด""","Dear trainers:\n    We apologize for this late Heirloom Pack, but good things are worth the wait! Please check your mail to claim the mysterious Heirloom Pack.\n    Happy gaming!",親愛的小夥伴:\n    請您諒解這份遲來的傳家包禮包，但該來的總會來，神秘的“傳家寶”禮包已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    We apologize for this late Heirloom Pack, but good things are worth the wait! Please check your mail to claim the mysterious Heirloom Pack.\n    Happy gaming!","Các nhà huấn luyện thân mến:\n    Chúng tôi xin lỗi vì Gói Gia truyền này đến muộn, nhưng những điều tốt đẹp đều đáng để chờ đợi! Vui lòng kiểm tra thư để nhận Gói Gia truyền bí ẩn.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   가보 선물의 지급이 늦어져 죄송합니다. 신비한 “가보” 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Pedimos desculpas por este Pacote de Herança tardio, mas coisas boas valem a espera! Por favor, verifique seu correio para resgatar o misterioso Pacote de Herança.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    เราขออภัยสำหรับแพ็กเกจของสืบทอดที่ล่าช้านี้ แต่ของดีๆ ก็คุ้มค่าแก่การรอคอย! โปรดตรวจสอบจดหมายของคุณเพื่อรับแพ็กเกจของสืบทอดอันลึกลับ\n    ขอให้สนุกกับการเล่นเกม!,{40=1},
15,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Daily login reward,每日登陸獎勵,Daily login reward,Phần thưởng đăng nhập hàng ngày,일일 로그인 보상,Recompensa de login diário,รางวัลล็อกอินรายวัน,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{card=21},
16,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Daily login reward,每日登陸獎勵,Daily login reward,Phần thưởng đăng nhập hàng ngày,일일 로그인 보상,Recompensa de login diário,รางวัลล็อกอินรายวัน,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{21002=30},
17,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Closed Beta extension login reward,封測延長登陸獎勵,Closed Beta extension login reward,Phần thưởng đăng nhập gia hạn Closed Beta,클로즈베타 연장 로그인 보상,Recompensa de login da extensão do Beta Fechado,รางวัลล็อกอินขยายช่วงโคลสเบต้า,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{21002=30;rmb=3000;gold=600000;vip=8},
18,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Closed Beta extension login reward,封測延長登陸獎勵,Closed Beta extension login reward,Phần thưởng đăng nhập gia hạn Closed Beta,클로즈베타 연장 로그인 보상,Recompensa de login da extensão do Beta Fechado,รางวัลล็อกอินขยายช่วงโคลสเบต้า,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{21002=30;rmb=3000;gold=600000;vip=9},
19,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Closed Beta extension login reward,封測延長登陸獎勵,Closed Beta extension login reward,Phần thưởng đăng nhập gia hạn Closed Beta,클로즈베타 연장 로그인 보상,Recompensa de login da extensão do Beta Fechado,รางวัลล็อกอินขยายช่วงโคลสเบต้า,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{21002=30;rmb=3000;gold=600000;vip=10},
