变量名,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_name,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,unitIDs,activeType,skinFrameRes,markID,attrAddType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,rank,costMap,extraItem,isOpen,languages
109,Street Skateboard,街头滑板,街頭滑板,Street Skateboard,Ván trượt Đường phố,거리 스케이트보드,Skate de Rua,สเก็ตบอร์ดข้างถนน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2242=2243},2,city/drawcard/draw/panel_card_h.png,2241,1,7,2%,8,2%,24,100,0,,1,{},{},TRUE,
110,Time Rogue,时间侠盗,時間俠盜,Time Rogue,Kẻ Ngoài vòng thời gian,시간의 도적,Ladrão do Tempo,จอมโจรแห่งกาลเวลา,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1281=1282},2,city/drawcard/draw/panel_card_c.png,1281,1,1,5%,16,300,0,,0,,1,{},{},TRUE,
111,Silver Sky Armor,银霄战甲,銀霄戰甲,Silver Sky Armor,Giáp bầu trời Bạc,은빛 하늘 갑옷,Armadura do Céu Prateado,เกราะเงินฟ้า,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1982=1984},2,city/drawcard/draw/panel_card_r.png,1981,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
112,Ghost Captain,幽灵船长,幽靈船長,Ghost Captain,Thuyền trưởng Hồn Ma,유령 선장,Capitão Fantasma,กัปตันผี,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{394=396;393=395},2,city/drawcard/draw/panel_card_r.png,391,1,8,2%,24,100,0,,0,,1,{},{},TRUE,
113,Santa Claus,圣诞老人,聖誕老人,Santa Claus,Ông già Noel,산타클로스,Papai Noel,ซานตาคลอส,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{264=265},2,city/drawcard/draw/panel_card_r.png,261,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
114,Moonlit Blossoms,月下蔷薇,月下薔薇,Moonlit Blossoms,Hoa Dưới Ánh Trăng,달빛 속 꽃,Flores ao Luar,ดอกไม้ใต้แสงจันทร์,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1397=1399},2,city/drawcard/draw/panel_card_r.png,1394,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
115,Aladdin,阿拉丁,阿拉丁,Aladdin,Aladdin,알라딘,Aladim,อะลาดิน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1813=1814},2,city/drawcard/draw/panel_card_r.png,1811,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
116,Fish Fault in Form,大鱼海棠,大魚海棠,Fish Fault in Form,Dáng Cá Sai Lệch,물고기 변형,Forma Faltante do Peixe,รูปแบบผิดปกติของปลา,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1962=1963},2,city/drawcard/draw/panel_card_r.png,1961,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
117,Magic Star Messenger,魔法星使,魔法星使,Magic Star Messenger,Sứ giả Ngôi sao Phép thuật,마법 별의 전령,Mensageiro da Estrela Mágica,ผู้ส่งสารแห่งดวงดาวเวทมนตร์,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1991=1992},2,city/drawcard/draw/panel_card_r.png,1991,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
118,Street Skateboard,街头滑板,街頭滑板,Street Skateboard,Ván trượt Đường phố,거리 스케이트보드,Skate de Rua,สเก็ตบอร์ดข้างถนน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2243=2245},2,city/drawcard/draw/panel_card_r.png,2241,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
119,Dream of Autumn Moon,梦华秋月,夢華秋月,Dream of Autumn Moon,Giấc mơ Trăng Thu,가을 달의 꿈,Sonho da Lua de Outono,ความฝันแห่งจันทรา,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2401=2402},2,city/drawcard/draw/panel_card_r.png,2401,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
120,Phantom of Opera,歌剧魅影,歌劇魅影,Phantom of Opera,Hồn Ma Nhà Hát,오페라의 유령,Fantasma da Ópera,ภูตแห่งโอเปร่า,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2421=2422},2,city/drawcard/draw/panel_card_r.png,2421,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
121,Victory Armor,胜利武装,勝利武裝,Victory Armor,Giáp Chiến Thắng,승리의 갑옷,Armadura da Vitória,เกราะแห่งชัยชนะ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2461=2462},2,city/drawcard/draw/panel_card_r.png,2461,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
122,Colored Deer,七彩神鹿,七彩神鹿,Colored Deer,Hươu Nhiều Màu,무지개 사슴,Veado Colorido,กวางหลากสี,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3601=3602},2,city/drawcard/draw/panel_card_r.png,3601,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
123,Musicians,乐动星使,樂動星使,Musicians,Nhạc sĩ,뮤지션,Músicos,นักดนตรี,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4111=4112},2,city/drawcard/draw/panel_card_r.png,4111,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
124,Night Shadow Ninja,夜幕影忍,夜幕影忍,Night Shadow Ninja,Ninja Bóng Đêm,밤의 그림자 닌자,Ninja da Sombra Noturna,นินจาเงารัตติกาล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4121=4122},2,city/drawcard/draw/panel_card_r.png,4121,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
125,Neon Lightning,霓虹闪电,霓虹閃電,Neon Lightning,Tia chớp Neon,네온 번개,Relâmpago Néon,สายฟ้านีออน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4161=4162},2,city/drawcard/draw/panel_card_r.png,4161,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
126,Melodic Skin,美录坦皮肤,美錄坦皮膚,Melodic Skin,Giai điệu Duyên Dáng,멜로디 스킨,Pele Melódica,สกินทำนอง,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4171=4174},2,city/drawcard/draw/panel_card_r.png,4171,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
127,Holy Wing Crimson Lotus,圣翼红莲,聖翼紅蓮,Holy Wing Crimson Lotus,Cánh Thánh Liên Hoa Đỏ,성스러운 날개 붉은 연꽃,Asa Sagrada de Lótus Carmesim,ปีกศักดิ์สิทธิ์ดอกบัวแดง,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7001=7002},2,city/drawcard/draw/panel_card_r.png,7001,1,8,2%,24,100,0,,0,,1,{},{},TRUE,
128,Flame Mecha,烈焰机甲,烈焰機甲,Flame Mecha,Cơ Giáp Ngọn Lửa,불꽃 메카,Mecha de Fogo,เมกะไฟ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1972=1973},2,city/drawcard/draw/panel_card_r.png,1971,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
129,Full Moon Blossoms,月满花繁,月滿花繁,Full Moon Blossoms,Hoa Viên Trăng Tròn,보름달 꽃,Flores da Lua Cheia,บุปผาแห่งพระจันทร์เต็มดวง,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4024=4027},2,city/drawcard/draw/panel_card_r.png,4024,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
130,Obsidian Magnetic Storm,暗曜磁暴,暗曜磁暴,Obsidian Magnetic Storm,Bão Từ Obsidian,흑요석 자기 폭풍,Tempestade Magnética de Obsidiana,พายุแม่เหล็กออบซิเดียน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4023=4026},2,city/drawcard/draw/panel_card_r.png,4023,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
131,Idol Diva,偶像歌姬,偶像歌姬,Idol Diva,Nữ Thần Thần Tượng,아이돌 디바,Diva Ídolo,ดีว่าไอดอล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3261=3265},2,city/drawcard/draw/panel_card_r.png,3261,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
132,Idol Diva,偶像歌姬,偶像歌姬,Idol Diva,Nữ Thần Thần Tượng,아이돌 디바,Diva Ídolo,ดีว่าไอดอล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3262=3266},2,city/drawcard/draw/panel_card_r.png,3262,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
133,Mysterious Sound Echo,玄音余韵,玄音餘韻,Mysterious Sound Echo,Âm vang Âm Thanh Bí Ẩn,신비로운 메아리,Eco do Som Misterioso,เสียงลึกลับสะท้อน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4071=4072},2,city/drawcard/draw/panel_card_r.png,4071,1,7,5%,8,5%,14,500,0,,1,{},{},TRUE,
134,Evil Spirit,煞行破邪,煞行破邪,Evil Spirit,Ác Linh,악령,Espírito Maligno,วิญญาณชั่วร้าย,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1254=1255},2,city/drawcard/draw/panel_card_r.png,1254,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
135,Sword of Oath,誓约之剑,誓約之劍,Sword of Oath,Thanh Kiếm Lời Thề,맹세의 검,Espada do Juramento,ดาบแห่งคำสาบาน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3632=3634},2,city/drawcard/draw/panel_card_r.png,3631,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
136,Interstellar Pursuit,星际追击,星際追擊,Interstellar Pursuit,Cuộc truy đuổi Liên sao,우주 추격,Perseguição Interestelar,การไล่ล่าข้ามดวงดาว,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7081=7082},2,city/drawcard/draw/panel_card_r.png,7081,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
137,Desert Death God,沙漠死神,沙漠死神,Desert Death God,Thần Chết Sa Mạc,사막의 사신,Deus da Morte do Deserto,เทพแห่งความตายทะเลทราย,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4101=4102},2,city/drawcard/draw/panel_card_r.png,4101,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
138,Tai Chi Mastery,太极如御,太極如御,Tai Chi Mastery,Bậc thầy Thái Cực,태극 고수,Mestre do Tai Chi,ปรมาจารย์ไทเก็ก,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7101=7103},2,city/drawcard/draw/panel_card_r.png,7101,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
139,Sexy Succubus,性感魅魔,性感魅魔,Sexy Succubus,Succubus Gợi Cảm,섹시 서큐버스,Sucubus Sexy,ซัคคิวบัสเซ็กซี่,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7091=7121},2,city/drawcard/draw/panel_card_r.png,7091,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
140,Flowing Summer Dreams,流夏清梦,流夏清夢,Flowing Summer Dreams,Mộng Hè Trôi Dạt,흐르는 여름의 꿈,Sonhos Flutuantes de Verão,ฝันฤดูร้อนไหลลื่น,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7091=7131},2,city/drawcard/draw/panel_card_r.png,7091,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
141,Interstellar Enforcer,星际制裁者,星際制裁者,Interstellar Enforcer,Cảnh Sát Liên sao,우주 경비대,Agente Interestelar,ผู้พิทักษ์จักรวาล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{762=766},2,city/drawcard/draw/panel_card_r.png,761,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
142,Dimension Hacker,次元骇客,次元駭客,Dimension Hacker,Tin tặc Không gian,차원 해커,Hacker Dimensional,แฮกเกอร์มิติ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{763=769},2,city/drawcard/draw/panel_card_r.png,761,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
143,Vengeful Witch,复仇魔女,復仇魔女,Vengeful Witch,Phù thủy Trả Thù,복수의 마녀,Bruxa Vingativa,แม่มดแห่งการแก้แค้น,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3632=3635},2,city/drawcard/draw/panel_card_r.png,3631,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
144,Taiji Fire Separation,太极离火,太極離火,Taiji Fire Separation,Thái Cực Phân Lửa,태극 불의 분리,Separação do Fogo Tai Chi,แยกไฟไทเก็ก,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7102=7104},2,city/drawcard/draw/panel_card_r.png,7102,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
145,Mahagaro,摩诃伽罗,摩訶伽羅,Mahagaro,Mahagaro,마하가로,Mahagaro,มหาการุ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3642=3645},2,city/drawcard/draw/panel_card_r.png,3642,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
146,Interstellar Devourer,星际吞噬,星際吞噬,Interstellar Devourer,Kẻ Nuốt Liên sao,우주 포식자,Devorador Interestelar,ผู้กลืนกินจักรวาล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3621=3624},2,city/drawcard/draw/panel_card_r.png,3621,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
147,Interstellar Devourer,星际吞噬,星際吞噬,Interstellar Devourer,Kẻ Nuốt Liên sao,우주 포식자,Devorador Interestelar,ผู้กลืนกินจักรวาล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3622=3625},2,city/drawcard/draw/panel_card_r.png,3622,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
148,Interstellar Devourer,星际吞噬,星際吞噬,Interstellar Devourer,Kẻ Nuốt Liên sao,우주 포식자,Devorador Interestelar,ผู้กลืนกินจักรวาล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3623=3626},2,city/drawcard/draw/panel_card_r.png,3623,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
149,Seas pearl,沧海明珠,滄海明珠,Seas pearl,Ngọc biển,바다의 진주,Pérola do Mar,ไข่มุกแห่งท้องทะเล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3252=3254},2,city/drawcard/draw/panel_card_r.png,3252,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
150,Demon Guard,恶魔侍卫,惡魔侍衛,Demon Guard,Vệ binh Quỷ,악마 수호자,Guarda Demônio,ยามปีศาจ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7111=7112},2,city/drawcard/draw/panel_card_r.png,7111,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
151,Interstellar Devourer,奶爸拳魂,奶爸拳魂,Interstellar Devourer,Kẻ Nuốt Liên sao,우주 포식자,Devorador Interestelar,ผู้กลืนกินจักรวาล,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{9041=9042},2,city/drawcard/draw/panel_card_r.png,9041,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
152,Prajna Ghost Warrior,般若鬼武,般若鬼武,Prajna Ghost Warrior,Chiến binh Linh Hồn Prajna,프라즈나 유령 전사,Guerreiro Fantasma Prajna,นักรบวิญญาณปราชญะ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{7021=7022},2,city/drawcard/draw/panel_card_r.png,7021,1,7,10%,8,10%,14,500,0,,1,{},{},TRUE,
