变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_备注,feature,desc,showLevel,startLevel,startLevel_kr,startGate,startVip,languages,servers
314,VIP 18,VIP 18,VIP 18,VIP 18,VIP 18,VIP 18,VIP 18,,vipLevel18,隐藏显示,0,1,1,0,0,,
315,石英大会,石英大會,Indigo Plateau Conference,Hội nghị Cao nguyên Chàm,석영 대회,Conferência do Planalto Índigo,การประชุมที่ราบสูงอินดิโก,,craft,加锁,0,40,40,0,0,,
316,卡牌分享,卡牌分享,Card Sharing,Chia sẻ thẻ bài,카드 공유,Compartilhamento de Cartas,แบ่งปันการ์ด,,cardShare,隐藏显示,0,10,10,0,0,,
317,战报分享,戰報分享,Battle Report Sharing,Chia sẻ Báo cáo chiến đấu,전투 보고서 공유,Compartilhamento de Relatório de Batalha,แบ่งปันรายงานการต่อสู้,,battleShare,隐藏显示,0,10,10,0,0,,
318,以太乐园,以太樂園,Aether Paradise,Thiên đường Aether,에테르 파라다이스,Paraíso Aether,สวรรค์อีเธอร์,,randomTower,加锁,0,33,33,0,0,,
319,元素挑战,元素挑戰,Elemental Challenge,Thử thách Nguyên tố,엘리멘탈 챌린지,Desafio Elemental,การท้าทายธาตุ,,cloneBattle,加锁,0,32,32,0,0,,
320,限时捕捉,限時捕捉,Time-limited Catch,Bắt Pokémon Giới hạn Thời gian,기간 한정 포획,Captura por Tempo Limitado,จับโปเกมอนจำกัดเวลา,,limitCapture,加锁,33,36,36,0,0,,
321,成就系统,成就系統,Achievement System,Hệ thống Thành tựu,업적 시스템,Sistema de Conquistas,ระบบความสำเร็จ,,achievement,加锁,45,50,50,0,0,,
322,地图捕捉,地圖捕捉,Map Catch,Bắt Pokémon trên Bản đồ,맵 포획,Captura no Mapa,จับโปเกมอนบนแผนที่,,gateCapture,隐藏显示,0,20,20,0,0,,
323,跨服石英大会,跨服石英大會,Cross-server Indigo Plateau Conference,Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,,crossCraft,加锁,0,50,50,0,0,,
324,公会战,公會戰,Guild War,Chiến tranh Bang hội,길드전,Guerra de Guildas,สงครามกิลด์,,unionFight,加锁,0,40,40,0,0,,
325,世界聊天,世界聊天,World Chat,Kênh Thế giới,월드 채팅,Chat Mundial,แชทโลก,,worldChat,加锁,0,30,30,0,0,,
326,私聊,私聊,Private Chat,Trò chuyện riêng,귓속말,Chat Privado,แชทส่วนตัว,,roleChat,加锁,0,60,60,0,12,,
327,以太直通高层,以太直通高層,Aether Paradise Direct Access to High Floors,Lên tầng cao Thiên đường Aether,에테르 파라다이스 고층 바로가기,Acesso Direto aos Andares Superiores do Paraíso Aether,ทางลัดสู่ชั้นสูงของสวรรค์อีเธอร์,,randomTowerJump,加锁,70,70,70,0,0,,
328,公会邮件,公會郵件,Guild Mail,Thư Bang hội,길드 메일,Correio da Guilda,จดหมายกิลด์,,unionMail,加锁,0,25,25,0,0,,
329,道具手册,道具手冊,Item Handbook,Sổ tay Vật phẩm,아이템 도감,Manual de Itens,คู่มือไอเทม,,propHandbook,隐藏显示,0,10,10,0,0,,
330,竞技场碾压5次,競技場碾壓5次,Crush Arena 5 times,Nghiền nát Đấu trường 5 lần,아레나 5회 압살,Esmagar Arena 5 vezes,ถล่มอารีน่า 5 ครั้ง,,pvpPass,隐藏显示,65,65,65,0,0,,
331,公会副本挑战3次,公會副本挑戰3次,Challenge Guild Dungeon 3 times,Thách đấu Phó bản Bang hội 3 lần,길드 던전 3회 도전,Desafiar Masmorra da Guilda 3 vezes,ท้าทายดันเจี้ยนกิลด์ 3 ครั้ง,,uinonGateThreeTimes,隐藏显示,60,60,60,0,0,,
332,跨服竞技场,跨服競技場,Cross-server Arena,Đấu trường Liên server,크로스 서버 아레나,Arena Inter-servidor,อารีน่าข้ามเซิร์ฟเวอร์,,crossArena,加锁,0,58,58,0,0,,
333,跨服竞技场战5次,跨服競技場戰5次,Battle in Cross-server Arena 5 times,Chiến đấu tại Đấu trường Liên server 5 lần,크로스 서버 아레나 5회 전투,Batalhar na Arena Inter-servidor 5 vezes,ต่อสู้ในอารีน่าข้ามเซิร์ฟเวอร์ 5 ครั้ง,,crossArenaPass,隐藏显示,65,65,65,0,0,,
334,战斗手册,戰鬥手冊,Battle Handbook,Sổ tay Chiến đấu,전투 수첩,Manual de Batalha,คู่มือการต่อสู้,,battleManuals,隐藏显示,1,15,15,0,0,,
335,vip显示切换,VIP顯示切換,VIP Display Toggle,Chuyển đổi hiển thị VIP,VIP 표시 전환,Alternar Exibição de VIP,สลับการแสดงผล VIP,,vipDisplaySwitch,,0,199,199,0,7,,
336,vip贵宾,VIP貴賓,VIP Guest,Khách VIP,VIP 귀빈,Convidado VIP,แขก VIP,,vipDistinguished,,0,1,1,0,0,,
337,钓鱼,釣魚,Fishing,Câu cá,낚시,Pesca,ตกปลา,,fishing,,0,65,65,0,0,,
338,钓鱼捕捞,釣魚捕撈,Fishing Catch,Bắt cá,낚시 포획,Captura de Pesca,จับปลา,,catch,隐藏显示,0,0,0,0,0,,
339,自动钓鱼,自動釣魚,Auto-fishing,Tự động câu,자동 낚시,Pesca Automática,ตกปลาอัตโนมัติ,,autoFish,不可点击,0,68,68,0,0,,
340,钓鱼大赛自动钓鱼,釣魚大賽自動釣魚,Fishing Tournament Auto-fishing,Tự động câu Giải đấu Câu cá,낚시 대회 자동 낚시,Pesca Automática do Torneio de Pesca,ตกปลาอัตโนมัติในการแข่งขันตกปลา,,gameAutoFish,不可点击,0,0,0,0,0,,
341,对战竞技场,對戰競技場,Battle Arena,Đấu trường Giao đấu,배틀 아레나,Arena de Batalha,อารีน่าต่อสู้,,onlineFight,,0,55,55,0,0,,
342,钓鱼大赛捕捞,釣魚大賽捕撈,Fishing Tournament Catch,Bắt cá Giải đấu Câu cá,낚시 대회 포획,Captura do Torneio de Pesca,จับปลาในการแข่งขันตกปลา,,gameCatch,隐藏显示,199,199,199,0,0,,
343,精灵评论,寶可夢評論,Pokémon Review,Đánh giá Pokémon,포켓몬 평가,Avaliação de Pokémon,รีวิวโปเกมอน,,cardComment,隐藏显示,35,35,35,0,0,,
344,精灵发布评论,寶可夢發布評論,Post Pokémon Review,Đăng đánh giá Pokémon,포켓몬 평가 게시,Postar Avaliação de Pokémon,โพสต์รีวิวโปเกมอน,,cardPostComment,隐藏显示,50,50,50,0,0,,
345,世界等级,世界等級,World Level,Cấp Thế giới,월드 레벨,Nível Mundial,ระดับโลก,,worldLevel,,50,50,50,0,0,,
346,道馆挑战,道館挑戰,Gym Challenge,Thách đấu Nhà thi đấu,체육관 도전,Desafio de Ginásio,ท้าทายยิม,,gym,,0,68,68,0,0,,
347,徽章,徽章,Badge,Huy hiệu,배지,Insígnia,เข็มกลัด,,badge,,65,68,68,0,0,,
348,元素挑战踢人功能,元素挑戰踢人功能,Elemental Challenge Kick Function,Chức năng kick người Thử thách Nguyên tố,엘리멘탈 챌린지 추방 기능,Função de Expulsão do Desafio Elemental,ฟังก์ชันเตะคนในการท้าทายธาตุ,,cloneBattleKick,锁住不开放,0,1,1,0,0,,
349,单天赋重置,單一天賦重置,Single Talent Reset,Tái thiết lập Thiên phú đơn,단일 재능 초기화,Resetar Talento Único,รีเซ็ตพรสวรรค์เดี่ยว,,singleTalentReset,,60,65,65,0,0,,
350,预设队伍,預設隊伍,Preset Team,Đội hình cài sẵn,프리셋 팀,Equipe Pré-definida,ทีมที่ตั้งค่าไว้,,readyTeam,,35,40,40,0,0,,
351,时装,時裝,Fashion,Thời trang,코스튬,Traje,แฟชั่น,,skin,,1,1,1,0,0,,
352,跨服商业街,跨服商業街,Cross-server Commercial Street,Phố Thương mại Liên server,크로스 서버 상업 거리,Rua Comercial Inter-servidor,ถนนการค้าข้ามเซิร์ฟเวอร์,,crossMine,加锁,0,55,55,0,0,,
353,精灵问答,寶可夢問答,Pokémon Quiz,Đố vui Pokémon,포켓몬 퀴즈,Quiz Pokémon,คำถามโปเกมอน,,unionQA,不可点击,0,40,40,0,0,,
354,日常小助手,日常小幫手,Daily Assistant,Trợ lý hàng ngày,일일 도우미,Assistente Diário,ผู้ช่วยประจำวัน,,dailyAssistant,隐藏显示,80,80,80,0,0,,
355,徽章快速点亮,徽章快速點亮,Quick Badge Illumination,Thắp sáng Huy hiệu nhanh,배지 빠른 점등,Iluminação Rápida de Insígnia,เปิดไฟเข็มกลัดอย่างรวดเร็ว,,badgeOneKey,加锁;服务器也限制,72,75,75,0,0,,
356,防欺诈提示,防欺詐提示,Anti-fraud Prompt,Thông báo chống lừa đảo,사기 방지 알림,Aviso Anti-fraude,แจ้งเตือนป้องกันการฉ้อโกง,,preventFraud,隐藏显示,0,1,1,0,0,,
357,z觉醒,Z覺醒,Z-Awakening,Thức tỉnh Z,Z각성,Despertar Z,ปลุกพลัง Z,,zawake,,78,85,85,0,0,,
358,狩猎地带,狩獵地帶,Safari Zone,Khu vực Săn bắn,사냥 지대,Zona Safári,เขตล่าสัตว์,,hunting,,70,80,80,0,0,,
359,进阶路线,進階路線,Advancement Route,Lộ trình Nâng cao,상위 진화 루트,Rota de Avanço,เส้นทางการพัฒนาขั้นสูง,,specialHunting,,70,83,83,0,0,,
360,芯片,晶片,Chip,Chip,칩,Chip,ชิป,,chip,隐藏显示,75,80,80,0,0,,
361,商店碎片满星提示,商店碎片滿星提示,Shop Shard Max Star Prompt,Thông báo mảnh vỡ Cửa hàng đủ sao,상점 조각 최대 성급 알림,Aviso de Estrela Máxima de Fragmento na Loja,แจ้งเตือนเมื่อชิ้นส่วนในร้านค้าเต็มดาว,,fragShopMaxStar,隐藏显示,6,6,6,0,0,,
362,芯片方案,晶片方案,Chip Plan,Kế hoạch Chip,칩 플랜,Plano de Chip,แผนผังชิป,,chipPlan,隐藏显示,80,85,85,0,0,,
363,芯片方案对比,晶片方案對比,Chip Plan Comparison,So sánh Kế hoạch Chip,칩 플랜 비교,Comparação de Planos de Chip,เปรียบเทียบแผนผังชิป,,chipPlanCompare,隐藏显示,80,85,85,0,0,,
364,饰品快速升星,飾品快速升星,Quick Accessory Star-Up,Tăng sao nhanh Phụ kiện,장신구 빠른 승급,Subir Estrela Rápido de Acessório,เพิ่มดาวเครื่องประดับอย่างรวดเร็ว,,starPotentialFast,隐藏显示,80,80,80,0,0,,
365,饰品快速觉醒,飾品快速覺醒,Quick Accessory Awakening,Thức tỉnh nhanh Phụ kiện,장신구 빠른 각성,Despertar Rápido de Acessório,ปลุกพลังเครื่องประดับอย่างรวดเร็ว,,awakePotentialFast,隐藏显示,80,80,80,0,0,,
366,芯片洗炼,晶片洗練,Chip Reroll,Làm mới Chip,칩 재설정,Rerrolagem de Chip,รีค่าสถานะชิป,,chipAdvance,隐藏显示,80,85,85,0,0,,
367,芯片洗炼重置,晶片洗練重置,Chip Reroll Reset,Tái thiết lập Làm mới Chip,칩 재설정 초기화,Resetar Rerrolagem de Chip,รีเซ็ตการรีค่าสถานะชิป,,chipAdvanceReset,隐藏显示,80,85,85,0,0,,
368,芯片抽取提示,晶片抽取提示,Chip Gacha Prompt,Thông báo Rút Chip,칩 뽑기 알림,Aviso de Gacha de Chip,แจ้งเตือนสุ่มชิป,,ChipDrawTips,提示说明,75,75,75,0,0,,
369,金币极限模式,金幣極限模式,Gold Limit Mode,Chế độ Cực hạn Vàng,골드 극한 모드,Modo Limite de Ouro,โหมดขีดสุดเหรียญทอง,,goldLimitMode,,99,99,99,0,0,,
370,经验极限模式,經驗極限模式,EXP Limit Mode,Chế độ Cực hạn Kinh nghiệm,경험치 극한 모드,Modo Limite de EXP,โหมดขีดสุดประสบการณ์,,expLimitMode,,99,99,99,0,0,,
371,分解界面满星精灵选择,分解介面滿星寶可夢選擇,Max Star Pokémon Selection in Decompose Interface,Lựa chọn Pokémon đủ sao trong giao diện Phân giải,분해 화면 최대 성급 포켓몬 선택,Seleção de Pokémon de Estrela Máxima na Interface de Desmontagem,เลือกโปเกมอนเต็มดาวในหน้าต่างย่อยสลาย,,decompositionMaxStar,,23,23,23,0,0,,
372,狩猎地带普通碾压,狩獵地帶普通碾壓,Safari Zone Normal Crush,Nghiền nát thường Khu vực Săn bắn,사냥 지대 일반 압살,Esmagamento Normal da Zona Safári,ถล่มปกติในเขตล่าสัตว์,,huntingPass,,85,85,85,0,0,,
373,狩猎地带进阶碾压,狩獵地帶進階碾壓,Safari Zone Advanced Crush,Nghiền nát nâng cao Khu vực Săn bắn,사냥 지대 상위 압살,Esmagamento Avançado da Zona Safári,ถล่มขั้นสูงในเขตล่าสัตว์,,specialHuntingPass,,90,90,90,0,0,,
374,普通勇者挑战,普通勇者挑戰,Normal Hero Challenge,Thử thách Dũng sĩ thường,일반 용사 챌린지,Desafio do Herói Normal,ท้าทายผู้กล้าปกติ,,normalBraveChallenge,,85,85,85,0,0,,
