变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
9,暴击率：|触发暴击的概率,暴擊率：|觸發暴擊的概率,Critical hit rate:|Triggers chances of dealing critical hit,Tỉ lệ bạo kích: | Phát động bạo kích xác suất,치명타율: |치명타를 발동하는 확률,Taxa de acerto crítico: | Aciona chances de causar acerto crítico,อัตราการโจมตีคริติคอล: | เพิ่มโอกาสในการโจมตีคริติคอล
10,暴击伤害：|暴击时暴击伤害的加成,暴擊傷害：|暴擊時暴擊傷害的加成,Critical hit damage:|Additional damage when dealing a critical hit,Bạo kích tổn thương: | Bạo kích lúc bạo kích tổn thương tăng thêm,치명타 피해: |치명타 시 치명타 피해가 증가한다.,Dano de acerto crítico:|Dano adicional ao causar um acerto crítico,ความเสียหายจากการโจมตีคริติคอล: | ความเสียหายเพิ่มเติมเมื่อทำการโจมตีคริติคอล
11,暴击抗性：|降低被敌人触发暴击的概率,暴擊抗性：|降低被敵人觸發暴擊的概率,Critical hit resistance:|Reduces the chances of enemies dealing a critical hit,Bạo kích kháng tính: | Giảm xuống bị địch nhân phát động bạo kích xác suất,치명타 내성: |적에게 받는 치명타 확률이 감소한다.,Resistência a acertos críticos:|Reduz as chances de inimigos causarem um acerto crítico,ความต้านทานการโจมตีคริติคอล: | ลดโอกาสที่ศัตรูจะโจมตีคริติคอล
12,抵御率：|触发抵御的概率,抵禦率：|觸發抵禦的概率,Resistance rate: | Chance of resistance,Chống cự suất: | Phát động chống cự xác suất,저항률: |저항 유발 확률,Taxa de resistência: | Chance de resistência,อัตราการต้านทาน: | โอกาสการต้านทาน
13,破抵御率：|降低被敌人触发抵御的概率,破抵禦率：|降低被敵人觸發抵禦的概率,Armor penetration rate: |Reduces the chance of opponent's resistance to damage,Phá chống cự suất: | Giảm xuống bị địch nhân phát động chống cự xác suất,저항 무시율: |적이 저항을 발동하는 확률이 감소한다.,Taxa de penetração da armadura: |Reduz a chance de resistência do oponente a danos,อัตราการเจาะเกราะ: | ลดโอกาสที่ฝ่ายตรงข้ามจะต้านทานความเสียหาย
14,伤害加成：|影响精灵的攻击伤害效果,傷害加成：|影響精靈的攻擊傷害效果,Damage bonus:|Affects the Pokémon's attack damage,Tổn thương tăng thêm: | Ảnh hưởng tinh linh công kích tổn thương hiệu quả,피해 보너스: |포켓몬이 공격 피해 효과에 영향을 준다.,Bônus de dano:|Afeta o dano de ataque do Pokémon,โบนัสความเสียหาย: | ส่งผลต่อความเสียหายจากการโจมตีของโปเกมอน
15,伤害减免：|减免受到敌人攻击的伤害效果,傷害減免：|減免受到敵人攻擊的傷害效果,Damage reduction:|Reduces damage from enemy attacks,Giảm tổn thương: | Giảm miễn nhận địch nhân công kích tổn thương hiệu quả,피해 감소: |적에게 받는 피해 효과가 감소한다.,Redução de dano:|Reduz o dano de ataques inimigos,การลดความเสียหาย: | ลดความเสียหายจากการโจมตีของศัตรู
16,必杀伤害加成：|影响精灵的必杀技伤害效果,必殺傷害加成：|影響精靈的必殺技傷害效果,Knockout damage bonus:|Affects the damage of the Pokémon's knockout move,,필살기 피해 보너스: |포켓몬의 필살기 피해 효과에 영향을 준다.,Bônus de dano de nocaute:|Afeta o dano do movimento de nocaute do Pokémon,โบนัสความเสียหายน็อคเอาท์: | ส่งผลต่อความเสียหายจากการเคลื่อนไหวน็อคเอาท์ของโปเกมอน
17,必杀伤害抗性：|减免受到敌人必杀技的伤害效果,必殺傷害抗性：|減免受到敵人必殺技的傷害效果,Knockout Damage Resistance:| Reduces damage from enemy's knockout move,,필사기 피해 저항: |적에게 받는 필살기 피해 효과가 감소한다.,Resistência a danos por nocaute:| Reduz o dano do movimento de nocaute do inimigo,ความต้านทานความเสียหายจากการน็อคเอาท์: | ลดความเสียหายจากการเคลื่อนไหวน็อคเอาท์ของศัตรู
18,治疗率：|影响精灵技能治疗效果,治療率：|影響精靈技能治療效果,Healing bonus:|Affects healing effect of Pokémons,,치료율: |포켓몬 스킬의 치료 효과에 영향을 준다.,Bônus de cura:|Afeta o efeito de cura dos Pokémons,โบนัสการรักษา: | ส่งผลต่อผลการรักษาของโปเกมอน
19,控制率：|触发控制效果的概率,控制率：|觸發控制效果的概率,Control rate:|Rate of dealing status condition,Khống Chế: |Cơ hội kích hoạt hiệu quả khống chế,제어율: |제어 효과의 확률을 발동한다.,Taxa de controle: | Taxa de condição de status de negociação,อัตราการควบคุม: | อัตราสถานะการจัดการ
20,免控率：|降低被控制的概率,免控率：|降低被控制的概率,Rate of immunity towards status conditions:|Reduces rate of being in status condition,Miễn Khống: |Cơ hội giảm bị khống chế,제어 면역률: |제어당할 확률이 감소한다.,Taxa de imunidade em relação às condições de status: | Reduz a taxa de estar em condição de status,อัตราการมีภูมิคุ้มกันต่อสภาวะสถานะ: | ลดอัตราการอยู่ในสภาวะสถานะ
21,PVP伤害加成：|影响精灵在PVP战斗场景中伤害加成,PVP傷害加成：|影響精靈在PVP戰鬥場景中傷害加成,PVP damage bonus:|Affects damage bonus in Pokémons in PVP battle modes,Tăng Thương PVP: |Ảnh hưởng tăng thương của Pokémon trong MAP chiến đấu PVP,PVP 피해 보너스: |포켓몬이 PVP 전투에서의 피해 보너스에 영향을 준다.,Bônus de dano PVP:|Afeta o bônus de dano em Pokémons em modos de batalha PVP,โบนัสความเสียหาย PVP: | ส่งผลต่อโบนัสความเสียหายในโปเกมอนในโหมดการต่อสู้ PVP
22,PVP伤害减免：|影响精灵在PVP战斗场景中伤害减免,PVP傷害減免：|影響精靈在PVP戰鬥場景中傷害減免,PVP damage reduction:|Affects damage reduction in Pokémons in PVP battle modes,Giảm Thương PVP: |Ảnh hưởng giảm thương của Pokémon trong MAP chiến đấu PVP,PVP 피해 감소율: |포켓몬이 PVP 전투에서의 피해 감소에 영향을 준다.,Redução de dano PVP:|Afeta a redução de dano em Pokémons em modos de batalha PVP,การลดความเสียหาย PVP: | ส่งผลต่อการลดความเสียหายในโปเกมอนในโหมดการต่อสู้ PVP
23,物防忽视：|忽视受击目标物防的比例,物防忽視：|忽視受擊目標物防的比例,P.DEF Ignore: |Ratio of ignoring P.DEF of target,,물리 방어 무시: |공격받은 상대의 물리 방어력을 무시하는 비율,P.DEF Ignorar: |Proporção de ignorar P.DEF do alvo,P.DEF Ignore: | อัตราส่วนของการละเว้น P.DEF ของเป้าหมาย
24,特防忽视：|忽视受击目标特防的比例,特防忽視：|忽視受擊目標特防的比例,SP.DEF Ignore: |Ratio of ignoring SP.DEF of target,,특수 방어 무시: |공격받은 상대의 특수 방어력을 무시하는 비율,SP.DEF Ignore: | Proporção de ignorar SP.DEF do alvo,SP.DEF ละเว้น: | อัตราส่วนของการละเว้น SP.DEF ของเป้าหมาย
25,物伤加成：|影响精灵的物理攻击伤害效果,物傷加成：|影響精靈的物理攻擊傷害效果,P.ATK Bonus: |Affect P.ATK of Pokémon,,물리 피해 보너스: |포켓몬의 물리 공격 효과에 영향을 준다.,Bônus P.ATK: |Afeta o P.ATK de Pokémon,โบนัส P.ATK: |ส่งผลต่อ P.ATK ของโปเกมอน
26,特伤加成：|影响精灵的特殊攻击伤害效果,特傷加成：|影響精靈的特殊攻擊傷害效果,SP.ATK Bonus: |Affect SP.ATK of Pokémon,,특수 피해 보너스: |포켓몬의 특수 공격 효과에 영향을 준다.,Bônus SP.ATK: |Afeta SP.ATK do Pokémon,โบนัส SP.ATK: | ส่งผลต่อ SP.ATK ของโปเกมอน
27,物伤减免：|减免受到敌人物理攻击的伤害效果,物傷減免：|減免受到敵人物理攻擊的傷害效果,P.ATK Reduction: |Reduce the DMG taken from enemy's P.ATK,,물리 피해 감소: |적의 물리 공격의 피해 효과를 감소 시킨다.,Redução de P.ATK: |Reduz o DMG retirado do P.ATK do inimigo,การลดค่า P.ATK: | ลดค่า DMG ที่ได้รับจากค่า P.ATK ของศัตรู
28,特伤减免：|减免受到敌人特殊攻击的伤害效果,特傷減免：|減免受到敵人特殊攻擊的傷害效果,SP.ATK Reduction: |Reduce the DMG taken from enemy's SP.ATK,,특수 피해 감소: |적의 특수 공격의 피해 효과를 감소 시킨다.,Redução de SP.ATK: |Reduz o DMG retirado do SP.ATK do inimigo,ลด SP.ATK: | ลด DMG ที่ได้รับจาก SP.ATK ของศัตรู
29,吸血率：|技能伤害转化自身血量的比例,吸血率：|技能傷害轉化自身血量的比例,Leech Rate: |Ratio of Skill DMG converted to self HP,,흡혈률: |스킬 피해가 자신의 HP 비율로 전환된다.,Taxa de Leech: |Proporção de DMG de Habilidade convertido para HP próprio,อัตราการดูดเลือด: | อัตราส่วนของความเสียหายจากทักษะถูกแปลงเป็น HP ของตัวเอง
30,反弹率：|反弹自身受到技能伤害的比例,反彈率：|反彈自身受到技能傷害的比例,Reflection Rate: |Ratio of reflecting DMG taken,,반사율: |자신이 받는 스킬 피해의 비율을 반사한다.,Taxa de reflexão: | Proporção de DMG refletido recebido,อัตราการสะท้อน: | อัตราส่วนของ DMG สะท้อนที่ได้รับ
,,,,,,,
,,,,,,,
,,,,,,,
101,#C0xF76B45##L10#【战斗规则】,#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙],#C0xF76B45##L10#[Regras de Luta],#C0xF76B45##L10#[กฎการต่อสู้]
102,#C0xF76B45##L10#【奖励规则】,#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙],#C0xF76B45##L10#[Regras de Recompensa],#C0xF76B45##L10#[กฎการให้รางวัล]
103,#C0xF76B45##L10#【排名奖励预览】,#C0xF76B45##L10#【排名獎勵預覽】,#C0xF76B45##L10#[Rank Rewards Preview],#C0xF76B45##L10#[ Xếp hạng ban thưởng dự lãm ],#C0xF76B45##L10#[순위 보상 미리보기],#C0xF76B45##L10#[Prévia de recompensas de classificação],#C0xF76B45##L10#[ตัวอย่างรางวัลอันดับ]
104,#C0xF76B45##L10#【公会红包】,#C0xF76B45##L10#【公會紅包】,#C0xF76B45##L10#[union Red Packet],,#C0xF76B45##L10#[길드 보너스],#C0xF76B45##L10#[pacote vermelho da união],#C0xF76B45##L10#[แพ็กเก็ตสีแดงสหภาพ]
105,#C0xF76B45##L10#【会员红包】,#C0xF76B45##L10#【會員紅包】,#C0xF76B45##L10#[Member Red Packet],,#C0xF76B45##L10#[회원 보너스],#C0xF76B45##L10#[Pacote vermelho de membro],#C0xF76B45##L10#[สมาชิกแพ็กเก็ตแดง]
106,#C0xF76B45##L10#【战力排行规则】,#C0xF76B45##L10#【戰力排行規則】,#C0xF76B45##L10#[Combat Power Ranking Rules],,#C0xF76B45##L10#[전투력 순위 규칙],#C0xF76B45##L10#[Regras de classificação de poder de combate],#C0xF76B45##L10#[กฎการจัดอันดับพลังการต่อสู้]
107,#C0xF76B45##L10#【天赋点】,#C0xF76B45##L10#【天賦點】,#C0xF76B45##L10#[Talent Points],#C0xF76B45##L10#[ Điểm thiên phú ],#C0xF76B45##L10#[특성포인트],#C0xF76B45##L10#[Pontos de Talento],#C0xF76B45##L10#[คะแนนความสามารถ]
108,#C0xF76B45##L10#【玩法规则】,#C0xF76B45##L10#【玩法規則】,#C0xF76B45##L10#[How to Play],#C0xF76B45##L10#[ Cách chơi quy tắc ],#C0xF76B45##L10#[시스템 규칙],#C0xF76B45##L10#[Como jogar],#C0xF76B45##L10#[วิธีการเล่น]
109,#C0xF76B45##L10#【好感度规则】,#C0xF76B45##L10#【好感度規則】,#C0xF76B45##L10#[Friendship Level Rules],,#C0xF76B45##L10#[호감도 규칙],#C0xF76B45##L10#[Regras de nível de amizade],#C0xF76B45##L10#[กฎระดับมิตรภาพ]
110,#C0xF76B45##L10#【以太乐园】,#C0xF76B45##L10#【以太樂園】,#C0xF76B45##L10#[Aether Paradise],,#C0xF76B45##L10#[에테르파라다이스],#C0xF76B45##L10#[Paraíso do Éter],#C0xF76B45##L10#[สวรรค์อีเธอร์]
111,#C0xF76B45##L10#【元素挑战】,#C0xF76B45##L10#【元素挑戰】,#C0xF76B45##L10#[Element Challenge],,#C0xF76B45##L10#[엘리멘탈 챌린지],#C0xF76B45##L10#[Desafio dos Elementos],#C0xF76B45##L10#[ความท้าทายธาตุ]
112,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙],#C0xF76B45##L10#[Regras básicas],#C0xF76B45##L10#[กฎพื้นฐาน]
113,#C0xF76B45##L10#【预选赛】,#C0xF76B45##L10#【預選賽】,#C0xF76B45##L10#[Qualifiers],,#C0xF76B45##L10#[예선전],#C0xF76B45##L10#[Qualificadores],#C0xF76B45##L10#[รอบคัดเลือก]
114,#C0xF76B45##L10#【八强赛】,#C0xF76B45##L10#【八強賽】,#C0xF76B45##L10#[Top 8 Match],,#C0xF76B45##L10#[8강전],#C0xF76B45##L10#[Top 8 Partida],#C0xF76B45##L10#[แมตช์ 8 อันดับแรก]
115,#C0xF76B45##L10#【奖励】,#C0xF76B45##L10#【獎勵】,#C0xF76B45##L10#[Reward],#C0xF76B45##L10#[ Ban thưởng ],#C0xF76B45##L10#[보상],#C0xF76B45##L10#[Recompensa],#C0xF76B45##L10#[รางวัล]
116,#C0xF76B45##L10#【通行证玩法】,#C0xF76B45##L10#【通行證玩法】,#C0xF76B45##L10#[About Passes],,#C0xF76B45##L10#[패스 방법],#C0xF76B45##L10#[Sobre passes],#C0xF76B45##L10#[เกี่ยวกับบัตรผ่าน]
117,#C0xF76B45##L10#【玩法规则】,#C0xF76B45##L10#【玩法規則】,#C0xF76B45##L10#[How to Play],#C0xF76B45##L10#[ Cách chơi quy tắc ],#C0xF76B45##L10#[시스템 규칙],#C0xF76B45##L10#[Como jogar],#C0xF76B45##L10#[วิธีการเล่น]
118,#C0xF76B45##L10#【奖励规则】,#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙],#C0xF76B45##L10#[Regras de Recompensa],#C0xF76B45##L10#[กฎการให้รางวัล]
119,#C0xF76B45##L10#【特权币】,#C0xF76B45##L10#【特權幣】,#C0xF76B45##L10#[Privilege Coin],,#C0xF76B45##L10#[특권 코인],#C0xF76B45##L10#[Moeda Privilégio],#C0xF76B45##L10#[เหรียญสิทธิพิเศษ]
120,#C0xF76B45##L10#【探险器】,#C0xF76B45##L10#【探險器】,#C0xF76B45##L10#[Explorer Device],,#C0xF76B45##L10#[탐지기],#C0xF76B45##L10#[Dispositivo Explorer],#C0xF76B45##L10#[อุปกรณ์สำรวจ]
121,#C0xF76B45##L10#【活跃夺宝】,#C0xF76B45##L10#【活躍奪寶】,#C0xF76B45##L10#[Active Points Treasure Hunt],,#C0xF76B45##L10#[활약 보물],#C0xF76B45##L10#[Pontos Ativos Caça ao Tesouro],#C0xF76B45##L10#[การล่าสมบัติคะแนนใช้งาน]
122,#C0xF76B45##L10#【幸运转转乐】,#C0xF76B45##L10#【幸運轉轉樂】,#C0xF76B45##L10#[Lucky Wheel],,#C0xF76B45##L10#[행운의 룰렛],#C0xF76B45##L10#[Roda da Sorte],#C0xF76B45##L10#[วงล้อนำโชค]
123,#C0xF76B45##L10#【扭蛋机】,#C0xF76B45##L10#【扭蛋機】,#C0xF76B45##L10#[Gashapon Machine],,#C0xF76B45##L10#[뽑기 기계],#C0xF76B45##L10#[Máquina Gashapon],#C0xF76B45##L10#[เครื่องกาชาปอง]
124,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙],#C0xF76B45##L10#[Regras básicas],#C0xF76B45##L10#[กฎพื้นฐาน]
125,#C0xF76B45##L10#【比赛时间】,#C0xF76B45##L10#【比賽時間】,#C0xF76B45##L10#[Tournament Period],#C0xF76B45##L10#[Thời Gian Thi Đấu],#C0xF76B45##L10#[경기 시간],#C0xF76B45##L10#[Período do torneio],#C0xF76B45##L10#[ช่วงเวลาการแข่งขัน]
126,#C0xF76B45##L10#【预选赛】,#C0xF76B45##L10#【預選賽】,#C0xF76B45##L10#[Qualifiers],,#C0xF76B45##L10#[예선전],#C0xF76B45##L10#[Qualificadores],#C0xF76B45##L10#[รอบคัดเลือก]
127,#C0xF76B45##L10#【晋级赛】,#C0xF76B45##L10#【晉級賽】,#C0xF76B45##L10#[Promotional Match],#C0xF76B45##L10#[Vòng Tăng Cấp],#C0xF76B45##L10#[승급전],#C0xF76B45##L10#[Partida Promocional],#C0xF76B45##L10#[แมตช์ส่งเสริมการขาย]
128,#C0xF76B45##L10#【决赛】,#C0xF76B45##L10#【決賽】,#C0xF76B45##L10#[Finals],#C0xF76B45##L10#[Chung Kết],#C0xF76B45##L10#[결승전],#C0xF76B45##L10#[Finais],#C0xF76B45##L10#[รอบชิงชนะเลิศ]
129,#C0xF76B45##L10#【战斗之星】,#C0xF76B45##L10#【戰鬥之星】,#C0xF76B45##L10#[Battle Star],#C0xF76B45##L10#[Sao Chiến Đấu],#C0xF76B45##L10#[배틀 스타],#C0xF76B45##L10#[Estrela da Batalha],#C0xF76B45##L10#[แบทเทิลสตาร์]
130,#C0xF76B45##L10#【精灵能力变化】,#C0xF76B45##L10#【精靈能力變化】,#C0xF76B45##L10#[Change in Pokémon abilities],#C0xF76B45##L10#[Thay Đổi Năng Lực Pokémon],#C0xF76B45##L10#[포켓몬 능력 변화],#C0xF76B45##L10#[Mudança nas habilidades dos Pokémon],#C0xF76B45##L10#[การเปลี่ยนแปลงความสามารถของโปเกมอน]
131,#C0xF76B45##L10#【奖励规则】,#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙],#C0xF76B45##L10#[Regras de Recompensa],#C0xF76B45##L10#[กฎการให้รางวัล]
132,#C0xF76B45##L10#【决赛公会排名奖励】,#C0xF76B45##L10#【決賽公會排名獎勵】,#C0xF76B45##L10#[Guild Final Match Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Guilc Chung Kết],#C0xF76B45##L10#[결승전 길드 순위 보상],#C0xF76B45##L10#[Recompensas de classificação da partida final da guilda],#C0xF76B45##L10#[รางวัลอันดับการแข่งขันรอบชิงชนะเลิศกิลด์]
133,#C0xF76B45##L10#【预选赛公会排名奖励】,#C0xF76B45##L10#【預選賽公會排名獎勵】,#C0xF76B45##L10#[Guild Qualifiying Match Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Guild Vòng Loại],#C0xF76B45##L10#[예선전 길드 순위 보상],#C0xF76B45##L10#[Recompensas de classificação da partida de qualificação da guilda],#C0xF76B45##L10#[รางวัลอันดับการแข่งขันคัดเลือกกิลด์]
134,#C0xF76B45##L10#【决赛公会排名奖励】,#C0xF76B45##L10#【決賽公會排名獎勵】,#C0xF76B45##L10#[Guild Final Match Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Guilc Chung Kết],#C0xF76B45##L10#[결승전 길드 순위 보상],#C0xF76B45##L10#[Recompensas de classificação da partida final da guilda],#C0xF76B45##L10#[รางวัลอันดับการแข่งขันรอบชิงชนะเลิศกิลด์]
135,#C0xF76B45##L10#【伤害排名奖励】,#C0xF76B45##L10#【傷害排名獎勵】,#C0xF76B45##L10#[Damage Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Sát Thương],#C0xF76B45##L10#[피해 순위 보상],#C0xF76B45##L10#[Recompensas de Classificação de Dano],#C0xF76B45##L10#[รางวัลอันดับความเสียหาย]
136,#C0xF76B45##L10#【巅峰赛】,#C0xF76B45##L10#【巔峰賽】,#C0xF76B45##L10#[Pro Battle],#C0xF76B45##L10#[Vòng Đỉnh Cao],#C0xF76B45##L10#[정상전],#C0xF76B45##L10#[Batalha Profissional],#C0xF76B45##L10#[โปรแบทเทิล]
137,#C0xF76B45##L10#【战斗规则】,#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙],#C0xF76B45##L10#[Regras de Luta],#C0xF76B45##L10#[กฎการต่อสู้]
138,#C0xF76B45##L10#【预选赛竞猜】,#C0xF76B45##L10#【預選賽競猜】,#C0xF76B45##L10#[Qualifiers Guessing Game],#C0xF76B45##L10#[Dự Đoán Vòng Loại],#C0xF76B45##L10#[예선전 베팅],#C0xF76B45##L10#[Jogo de Adivinhação das Eliminatórias],#C0xF76B45##L10#[เกมทายผลรอบคัดเลือก]
139,#C0xF76B45##L10#【4强赛竞猜】,#C0xF76B45##L10#【4強賽競猜】,#C0xF76B45##L10#[Quarterfinals Match Guessing Game],#C0xF76B45##L10#[Dự Đoán Vòng TOP4],#C0xF76B45##L10#[4강전 베팅],#C0xF76B45##L10#[Jogo de adivinhação das quartas de final],#C0xF76B45##L10#[เกมทายผลการแข่งขันรอบก่อนรองชนะเลิศ]
140,#C0xF76B45##L10#【冠军赛竞猜】,#C0xF76B45##L10#【冠軍賽競猜】,#C0xF76B45##L10#[Championship Guessing Game],#C0xF76B45##L10#[Dự Đoán Vòng Quán Quân],#C0xF76B45##L10#[결승전 베팅],#C0xF76B45##L10#[Jogo de Adivinhação do Campeonato],#C0xF76B45##L10#[เกมทายแชมป์]
141,#C0xF76B45##L10#【押注规则】,#C0xF76B45##L10#【押註規則】,#C0xF76B45##L10#[Betting Rules],#C0xF76B45##L10#[Quy Tắc Đặt Cược],#C0xF76B45##L10#[베팅 규칙],#C0xF76B45##L10#[Regras de apostas],#C0xF76B45##L10#[กฎการเดิมพัน]
142,#C0xF76B45##L10#【公会规则】,#C0xF76B45##L10#【公會規則】,#C0xF76B45##L10#[Guild Rules],,#C0xF76B45##L10#[길드 규칙],#C0xF76B45##L10#[Regras da Guilda],#C0xF76B45##L10#[กฎกิลด์]
143,#C0xF76B45##L10#【世界BOSS】,#C0xF76B45##L10#【世界BOSS】,#C0xF76B45##L10#[World Boss],,#C0xF76B45##L10#[월드보스],#C0xF76B45##L10#[Chefe do Mundo],#C0xF76B45##L10#[บอสโลก]
144,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙],#C0xF76B45##L10#[Regras básicas],#C0xF76B45##L10#[กฎพื้นฐาน]
145,#C0xF76B45##L10#【战斗规则】,#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙],#C0xF76B45##L10#[Regras de Luta],#C0xF76B45##L10#[กฎการต่อสู้]
146,#C0xF76B45##L10#【奖励规则】,#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙],#C0xF76B45##L10#[Regras de Recompensa],#C0xF76B45##L10#[กฎการให้รางวัล]
147,#C0xF76B45##L10#【活动玩法】,#C0xF76B45##L10#【活動玩法】,#C0xF76B45##L10#[Event Rule],,#C0xF76B45##L10#[이벤트 방법],#C0xF76B45##L10#[Regra do Evento],#C0xF76B45##L10#[กฎเหตุการณ์]
148,#C0xF76B45##L10#【相逢有时】,#C0xF76B45##L10#【相逢有時】,#C0xF76B45##L10#[Fated Encounter],,#C0xF76B45##L10# [만난 날],#C0xF76B45##L10#[Encontro Predestinado],#C0xF76B45##L10#[การเผชิญหน้าอันเป็นโชคชะตา]
149,#C0xF76B45##L10#【幸运乐翻天】,#C0xF76B45##L10#【幸運樂翻天】,#C0xF76B45##L10#[Lucky & Happy],,#C0xF76B45##L10# [행운 뒤집기],#C0xF76B45##L10#[Sortudo e feliz],#C0xF76B45##L10#[โชคดีและมีความสุข]
