变量名,weatherType,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,iconRes,describe,describe_tw,describe_en,describe_vn,describe_kr,describe_pt,describe_th,effectRes,lifeRound,overlay,targetArgs,regEffect,buffId,buffValueGroup
9,9,黑夜,黑夜,Night,Đêm tối,밤,Noite,กลางคืน,battle/weather_icon/icon_yewan.png,非幽灵、恶系精灵伤害降低；\n幽灵系精灵免疫物攻伤害；\n恶系精灵必杀抗性大幅提升,非幽靈、惡屬性寶可夢傷害降低；\n幽靈屬性寶可夢免疫物攻傷害；\n惡屬性寶可夢必殺抗性大幅提升,Damage from non-Ghost and non-Dark-type Pokémon is reduced;\nGhost-type Pokémon are immune to Physical Attack damage;\nDark-type Pokémon's Critical Hit resistance is greatly increased.,Sát thương từ Pokémon không phải hệ Ma và Bóng tối giảm;\nPokémon hệ Ma miễn nhiễm với sát thương Tấn công Vật lý;\nKhả năng kháng Chí mạng của Pokémon hệ Bóng tối tăng mạnh.,고스트 및 악타입이 아닌 포켓몬의 대미지 감소;\n고스트타입 포켓몬은 물리공격 대미지에 면역;\n악타입 포켓몬의 치명타 저항력 대폭 증가.,O dano de Pokémon que não são do tipo Fantasma e Sombrio é reduzido;\nPokémon do tipo Fantasma são imunes a dano de Ataque Físico;\nA resistência a Acerto Crítico de Pokémon do tipo Sombrio aumenta drasticamente.,ความเสียหายจากโปเกมอนที่ไม่ใช่ประเภทผีและประเภทความมืดลดลง;\nโปเกมอนประเภทผีจะไม่มีผลต่อความเสียหายจากการโจมตีทางกายภาพ;\nความต้านทานคริติคอลของโปเกมอนประเภทความมืดเพิ่มขึ้นอย่างมาก,weather/yewan.skel,10,99,,,<<990002>;<990003>>,<<{buffProb=1;buffValue=-target:hpMax()*0.15;buffLifeRound=10}>;<{buffProb=1;buffValue=target:specialDefence()*0.45;buffLifeRound=10}>>
10,10,大晴天,大晴天,Sunny Day,Trời nắng to,쾌청,Dia Ensolarado,สภาพแดดจ้า,battle/weather_icon/icon_daqingtian.png,草系精灵治疗率提升、草系精灵回血、草系精灵伤害提升,草屬性寶可夢治療率提升、草屬性寶可夢回血、草屬性寶可夢傷害提升,"Grass-type Pokémon's healing rate is increased, Grass-type Pokémon recover HP, Grass-type Pokémon's damage is increased.","Tỷ lệ hồi phục của Pokémon hệ Cỏ tăng, Pokémon hệ Cỏ hồi Máu, sát thương của Pokémon hệ Cỏ tăng.","풀타입 포켓몬의 치료율 증가, 풀타입 포켓몬 체력 회복, 풀타입 포켓몬 대미지 증가.","A taxa de cura de Pokémon do tipo Grama aumenta, Pokémon do tipo Grama recuperam HP, o dano de Pokémon do tipo Grama aumenta.","อัตราการฟื้นฟูของโปเกมอนประเภทพืชเพิ่มขึ้น, โปเกมอนประเภทพืชฟื้นฟูพลังชีวิต, ความเสียหายของโปเกมอนประเภทพืชเพิ่มขึ้น",weather/daqingtian.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
11,11,大雨天,大雨天,Heavy Rain,Mưa lớn,큰 비,Chuva Pesada,สภาพฝนตกหนัก,battle/weather_icon/icon_dayutian.png,水系精灵伤害提升、水系精灵抗暴提升、水系精灵驱散提升,水屬性寶可夢傷害提升、水屬性寶可夢抗暴提升、水屬性寶可夢驅散提升,"Water-type Pokémon's damage is increased, Water-type Pokémon's Critical Hit resistance is increased, Water-type Pokémon's dispel rate is increased.","Sát thương của Pokémon hệ Nước tăng, khả năng kháng Chí mạng của Pokémon hệ Nước tăng, tỷ lệ giải trừ của Pokémon hệ Nước tăng.","물타입 포켓몬의 대미지 증가, 물타입 포켓몬의 치명타 저항력 증가, 물타입 포켓몬의 디버프 제거율 증가.","O dano de Pokémon do tipo Água aumenta, a resistência a Acerto Crítico de Pokémon do tipo Água aumenta, a taxa de remoção de efeitos de Pokémon do tipo Água aumenta.","ความเสียหายของโปเกมอนประเภทน้ำเพิ่มขึ้น, ความต้านทานคริติคอลของโปเกมอนประเภทน้ำเพิ่มขึ้น, อัตราการลบล้างของโปเกมอนประเภทน้ำเพิ่มขึ้น",weather/dayutian.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
12,12,超空间,超空間,Hyperspace,Siêu không gian,초공간,Hiperespaço,อวกาศยิ่งยวด,battle/weather_icon/icon_qinglang.png,超能天气,超能力天氣,Psychic Weather,Thời tiết Siêu linh,에스퍼 날씨,Clima Psíquico,สภาพอากาศพลังจิต,weather/qinglang.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
13,13,神沙暴,神沙暴,Divine Sandstorm,Bão cát thần thánh,신의 모래바람,Tempestade de Areia Divina,พายุทรายเทวะ,battle/weather_icon/icon_shenshengshabao.png,提升岩/地精灵双防、被动伤害提升、每回合额外造成神圣伤害,提升岩/地面屬性寶可夢雙防、被動傷害提升、每回合額外造成神聖傷害,"Increases P.DEF and SP.DEF of Rock/Ground-type Pokémon, passive damage is increased, deals additional holy damage each turn.","Tăng Phòng thủ Vật lý và Đặc biệt của Pokémon hệ Đá/Đất, sát thương bị động tăng, gây thêm sát thương thần thánh mỗi lượt.","바위/땅타입 포켓몬의 방어 및 특수방어 증가, 패시브 대미지 증가, 매 턴 추가 신성 대미지.","Aumenta a DEF.F e a DEF.E de Pokémon do tipo Pedra/Terrestre, o dano passivo aumenta, causa dano sagrado adicional a cada turno.","เพิ่มพลังป้องกันและพลังป้องกันพิเศษของโปเกมอนประเภทหิน/ดิน, เพิ่มความเสียหายแบบพาสซีฟ, สร้างความเสียหายศักดิ์สิทธิ์เพิ่มเติมในแต่ละเทิร์น",weather/shenshengshabao.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
14,14,冰雪暴,冰雪暴,Hail,Bão tuyết,싸라기눈,Granizo,พายุหิมะ,battle/weather_icon/icon_bingxuebao.png,提升冰系精灵反弹率、冰系伤害和被动伤害减免提升、提高冰冻概率,提升冰屬性寶可夢反彈率、冰屬性傷害和被動傷害減免提升、提高冰凍機率,"Increases Ice-type Pokémon's reflection rate, increases Ice damage and passive damage reduction, increases the chance of Freezing.","Tăng tỷ lệ phản đòn của Pokémon hệ Băng, tăng sát thương Băng và giảm sát thương bị động, tăng xác suất Đóng băng.","얼음타입 포켓몬의 반사율 증가, 얼음 속성 대미지 및 패시브 대미지 감소량 증가, 얼음 확률 증가.","Aumenta a taxa de reflexão de Pokémon do tipo Gelo, aumenta o dano de Gelo e a redução de dano passivo, aumenta a chance de Congelar.","เพิ่มอัตราการสะท้อนของโปเกมอนประเภทน้ำแข็ง, เพิ่มความเสียหายจากน้ำแข็งและการลดความเสียหายแบบพาสซีฟ, เพิ่มโอกาสในการแช่แข็ง",weather/bingbao.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
15,15,妖精雾,妖精霧,Misty Terrain,Địa hình Sương mù,미스트필드,Terreno Nevoado,สภาพหมอกลึกลับ,battle/weather_icon/icon_wutian.png,妖精系免控,妖精屬性免控,Fairy-type Pokémon are immune to control effects.,Pokémon hệ Tiên miễn nhiễm với hiệu ứng khống chế.,페어리타입 제어 효과 면역.,Pokémon do tipo Fada são imunes a efeitos de controle.,โปเกมอนประเภทแฟรี่ไม่ติดสถานะควบคุม,weather/nongwu.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
16,16,至暗,至暗,Utter Darkness,Bóng tối Tột cùng,극도의 어둠,Escuridão Absoluta,ความมืดมิด,battle/weather_icon/icon_yewan.png,幽灵系空间,幽靈屬性空間,Ghost-type Space,Không gian hệ Ma,고스트타입 공간.,Espaço do tipo Fantasma.,มิติประเภทผี,weather/yewan.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
17,17,日照,日照,Sunny Day,Trời nắng,쾌청,Dia Ensolarado,สภาพแดดจ้า,battle/weather_icon/icon_rizhao.png,日照天气,日照天氣,Sunny Weather,Thời tiết Nắng gắt,햇살이 강한 날씨.,Clima Ensolarado.,สภาพอากาศแดดจ้า,weather/rizhao.skel,10,98,,<{skillPower=10%};{skillPower=-10%}>,,
18,18,雷雨,雷雨,Thunderstorm,Mưa sấm sét,뇌우,Tempestade de raios,พายุฝนฟ้าคะนอง,battle/weather_icon/icon_leiyu.png,雷雨天气,雷雨天氣,Thunderstorm Weather,Thời tiết Mưa sấm sét,뇌우 날씨.,Clima de Tempestade.,สภาพอากาศพายุฝนฟ้าคะนอง,weather/leiyu.skel,10,97,,<{skillPower=10%};{skillPower=-10%}>,,
