变量名,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,talkContent_pt,talkContent_th,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalk_pt,topTalk_th,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,roleName_pt,roleName_th,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
122,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,点击这里选择你需要使用的技能。,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,Chạm vào đây để chọn chiêu thức bạn muốn thực hiện.,이곳을 클릭하여 사용할 스킬을 선택하세요.,Toque aqui para selecionar o movimento que você quer fazer.,แตะที่นี่เพื่อเลือกท่าที่คุณต้องการใช้,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<bottomRightPanel;skill1>,effect/shouyindao.skel,0,,FALSE,
123,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,选择技能后，点击选择技能的作用目标吧。,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,Chọn chiêu thức và chạm vào mục tiêu để sử dụng chiêu thức đó.,"스킬을 선택한 후, 스킬 대상을 선택하세요.",Selecione o movimento e toque no alvo para lançar o movimento.,เลือกท่าและแตะที่เป้าหมายเพื่อใช้ท่า,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<UILayer;hitPanel8>,effect/shouyindao.skel,0,,FALSE,
131,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,雷公，雷霆之爪，召唤闪电的力量！,雷公，雷霆之爪，召喚閃電的力量！,"Raikou, summon the power of thunder with the Thunder Claw!","Raikou, triệu hồi sức mạnh của sấm sét với Móng Vuốt Sấm Sét!","라이코, 썬더 클로로 번개의 힘을 소환해!","Raikou, convoque o poder do trovão com a Garra de Trovão!","ไรโค, เรียกพลังแห่งสายฟ้าด้วยกรงเล็บสายฟ้า!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
132,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,点击这里选择你需要使用的技能。,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,Chạm vào đây để chọn chiêu thức bạn muốn thực hiện.,이곳을 클릭하여 사용할 스킬을 선택하세요.,Toque aqui para selecionar o movimento que você quer fazer.,แตะที่นี่เพื่อเลือกท่าที่คุณต้องการใช้,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<bottomRightPanel;skill1>,effect/shouyindao.skel,0,,FALSE,
133,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,选择技能后，点击选择技能的作用目标吧。,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,Chọn chiêu thức và chạm vào mục tiêu để sử dụng chiêu thức đó.,"스킬을 선택한 후, 스킬 대상을 선택하세요.",Selecione o movimento e toque no alvo para lançar o movimento.,เลือกท่าและแตะที่เป้าหมายเพื่อใช้ท่า,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<UILayer;hitPanel7>,effect/shouyindao.skel,0,,FALSE,
141,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,区区负面状态而已，雕虫小技！,區區負面狀態而已，雕蟲小技！,"I was only in a bad condition, that was a piece of cake!","Mình chỉ bị yếu đi một chút thôi, chuyện nhỏ như con thỏ!","고작 디버프 상태일 뿐, 별거 아니지!","Eu só estava em uma condição ruim, isso foi moleza!",ฉันแค่สภาพไม่ดีเท่านั้นเอง เรื่องง่ายๆ!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
142,,2000,4000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,水君，踏浪漩涡，驱散负面！,水君，踏浪漩渦，驅散負面！,"Suicune, start a whirlpool and dispel the negative effects!","Suicune, bắt đầu một cơn xoáy nước và xua tan các hiệu ứng tiêu cực!","스이쿤, 파도 소용돌이로 디버프 디스펠!","Suicune, comece um redemoinho e dissipe os efeitos negativos!","ซุยคูน, สร้างวังวนน้ำแล้วลบล้างผลกระทบด้านลบ!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
151,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,再看这招，妙蛙花，阳光烈焰！,再看這招，妙蛙花，陽光烈焰！,"Take this, Venusaur, Solar Beam!","Nhận lấy này, Venusaur, Tia Mặt Trời!","이걸 받아라, 이상해꽃, 솔라빔!","Toma essa, Venusaur, Raio Solar!","รับไปเลย วีนูซอร์, โซลาร์บีม!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
161,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,看来得使出全力了！,看來得使出全力了！,Looks like I have to do my best!,Có vẻ như mình phải cố hết sức rồi!,전력을 다해야겠어!,Parece que tenho que dar o meu melhor!,ดูเหมือนฉันต้องพยายามให้เต็มที่แล้ว!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
162,,2000,4000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,水箭龟，快使用水箭巨炮，护佑友方！,水箭龜，快使用水箭巨炮，護佑友方！,"Blastoise, use your Hydro Pump and protect your allies!","Blastoise, sử dụng Hydro Pump và bảo vệ đồng đội của cậu!","거북왕, 하이드로캐논으로 아군을 보호해!","Blastoise, use seu Hidro Bomba e proteja seus aliados!","บลาสทอยส์, ใช้ไฮโดรปั๊มแล้วปกป้องพวกพ้องของนาย!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
163,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,点击这里选择你需要使用的技能。,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,Chạm vào đây để chọn chiêu thức bạn muốn thực hiện.,이곳을 클릭하여 사용할 스킬을 선택하세요.,Toque aqui para selecionar o movimento que você quer fazer.,แตะที่นี่เพื่อเลือกท่าที่คุณต้องการใช้,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<bottomRightPanel;skill1>,effect/shouyindao.skel,0,,FALSE,
164,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,选择技能后，点击选择技能的作用目标吧。,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,Chọn chiêu thức và chạm vào mục tiêu để sử dụng chiêu thức đó.,"스킬을 선택한 후, 스킬 대상을 선택하세요.",Selecione o movimento e toque no alvo para lançar o movimento.,เลือกท่าและแตะที่เป้าหมายเพื่อใช้ท่า,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<UILayer;hitPanel8>,effect/shouyindao.skel,0,,FALSE,
171,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,这样正合我意！快龙，怒龙一击！,這樣正合我意！快龍，怒龍一擊！,"This is exactly what I want! Dragonite, Dragon Rage!","Đây chính là điều mình muốn! Dragonite, Cơn Thịnh Nộ của Rồng!","그렇게 나온다면! 망나뇽, 용의 분노의 일격!","É exatamente isso que eu quero! Dragonite, Fúria do Dragão!","นี่แหละที่ฉันต้องการ! ไคริว, ความโกรธของมังกร!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
181,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,蜥蜴王，地蔓藤，秒杀后排,蜥蜴王，地蔓藤，秒殺後排,Sceptile and Tangela can instant kill the back line,Sceptile và Tangela có thể tiêu diệt ngay lập tức hàng sau,"나무킹, 그라운드 빈으로 후방 라인을 공격해",Sceptile e Tangela podem matar instantaneamente a linha de trás,เซปไทล์และแทนเจล่าสามารถฆ่าแนวหลังได้ทันที,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
182,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,点击这里选择你需要使用的技能。,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,Chạm vào đây để chọn chiêu thức bạn muốn thực hiện.,이곳을 클릭하여 사용할 스킬을 선택하세요.,Toque aqui para selecionar o movimento que você quer fazer.,แตะที่นี่เพื่อเลือกท่าที่คุณต้องการใช้,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<bottomRightPanel;skill1>,effect/shouyindao.skel,0,,FALSE,
183,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,选择技能后，点击选择技能的作用目标吧。,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,Chọn chiêu thức và chạm vào mục tiêu để sử dụng chiêu thức đó.,"스킬을 선택한 후, 스킬 대상을 선택하세요.",Selecione o movimento e toque no alvo para lançar o movimento.,เลือกท่าและแตะที่เป้าหมายเพื่อใช้ท่า,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<UILayer;hitPanel11>,effect/shouyindao.skel,0,,FALSE,
191,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,班吉拉，轰岩大炮！,班基拉，轟岩大炮！,"Tyranitar, Rock Cannon!","Tyranitar, Pháo Đá!","마기라스, 록 캐넌!","Tyranitar, Canhão de Rocha!","ไทรานิทาร์, ปืนใหญ่หิน!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
201,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,喷火龙，用烈焰之力，摧毁它们！,噴火龍，用烈焰之力，摧毀它們！,"Charizard, destroy them with your flames!","Charizard, hãy tiêu diệt chúng bằng ngọn lửa của cậu!","리자몽, 화염의 힘으로 놈들을 부숴버려!","Charizard, destrua-os com suas chamas!","ลิซาร์ดอน, ทำลายพวกมันด้วยเปลวไฟของนาย!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
211,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,甲贺忍蛙，飞水手里剑！,甲賀忍蛙，飛水手裡劍！,"Greninja, Water Shuriken!","Greninja, Phi Tiêu Nước!","개굴닌자, 비수 수리검!","Greninja, Shuriken de Água!","เก็คโคกะ, ชูริเคนน้ำ!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
212,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,点击这里选择你需要使用的技能。,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,Chạm vào đây để chọn chiêu thức bạn muốn thực hiện.,이곳을 클릭하여 사용할 스킬을 선택하세요.,Toque aqui para selecionar o movimento que você quer fazer.,แตะที่นี่เพื่อเลือกท่าที่คุณต้องการใช้,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<bottomRightPanel;skill1>,effect/shouyindao.skel,0,,FALSE,
213,,0,0,0,FALSE,FALSE,,0,,1,<>,<>,1,,,,<>,选择技能后，点击选择技能的作用目标吧。,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,Chọn chiêu thức và chạm vào mục tiêu để sử dụng chiêu thức đó.,"스킬을 선택한 후, 스킬 대상을 선택하세요.",Selecione o movimento e toque no alvo para lançar o movimento.,เลือกท่าและแตะที่เป้าหมายเพื่อใช้ท่า,,,,,,,,,0,0,,login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,Rotom Pokédex,로토무 도감,Rotom Pokédex,Rotom Pokédex,,<UILayer;hitPanel8>,effect/shouyindao.skel,0,,FALSE,
301,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,甲贺忍蛙，对手的分量已经足够！,甲賀忍蛙，對手的分量已經足夠！,"Greninja, it's is enough for the opponent!","Greninja, như vậy là đủ cho đối thủ rồi!","개굴닌자, 상대는 충분해!","Greninja, já é o suficiente para o oponente!","เก็คโคกะ, แค่นี้ก็พอสำหรับคู่ต่อสู้แล้ว!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
302,,2000,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,让他见识一下我们最强的一面吧！,讓他見識一下我們最強的一面吧！,Let's show him what we've got!,Hãy cho cậu ta thấy thực lực của chúng ta!,우리의 최강의 모습을 보여주자!,Vamos mostrar a ele do que somos capazes!,มาแสดงให้เขาเห็นฝีมือของเรากันเถอะ!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
303,,4000,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,谢谢你，小智，我一直在等你的全力。,謝謝你，小智，我一直在等你的全力。,"Thank you, Ash. I've been waiting for you.","Cảm ơn cậu, Ash. Mình đã đợi cậu.","고마워 지우야, 너의 전력을 기다리고 있던 참이야.","Obrigado, Ash. Eu estava esperando por você.",ขอบคุณนะ แอช ฉันรอเธออยู่,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
304,,6000,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,带我去一个更高更高的舞台吧！,帶我去一個更高更高的舞臺吧！,Take me to a higher and bigger stage!,Hãy đưa mình đến một sân khấu cao hơn và lớn hơn!,나를 더 높은 무대로 이끌어줘!,Leve-me a um palco maior e mais alto!,พาฉันไปสู่เวทีที่สูงขึ้นและยิ่งใหญ่กว่านี้!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
305,,8000,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,甲贺忍蛙，羁绊进化！！！,甲賀忍蛙，羈絆進化！！！,"Greninja, Battle Bond!!!","Greninja, Liên Kết Chiến Đấu!!!","개굴닌자, 유대 진화!!!!","Greninja, Laços de Batalha!!!","เก็คโคกะ, พันธนาการแห่งการต่อสู้!!!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
306,,10000,0,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,好，全力以赴吧，喷火龙，回应我的心吧，进化钥匙！超越进化吧，mega进化！,好，全力以赴吧，噴火龍，回應我的心吧，進化鑰匙！超越進化吧，mega進化！,"Alright, I'll do my best! Charizard, do what my heart tells you to! Evolution Key! Beyond evolution, Mega evolution!","Được rồi, mình sẽ cố hết sức! Charizard, hãy làm theo những gì trái tim mình mách bảo! Chìa khóa tiến hóa! Vượt qua cả tiến hóa, Mega evolution!","좋았어, 전력으로 간다. 리자몽, 나의 부름에 응해줘, 진화 열쇠! 진화를 넘어선, 메가 진화!","Certo, farei o meu melhor! Charizard, faça o que meu coração manda! Chave da Evolução! Além da evolução, Mega Evolução!","เอาล่ะ ฉันจะทำให้ดีที่สุด! ลิซาร์ดอน ทำตามที่หัวใจฉันบอก! กุญแจแห่งการวิวัฒนาการ! เหนือกว่าการวิวัฒนาการ, เมก้าเอโวลูชั่น!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
816,,0,4500,1,FALSE,FALSE,,0,,2,<>,<>,1,,10263,,<>,“欢迎来到口袋宝贝联盟举办的世界锦标赛直播现场，我是主持人超级电龙！比赛开始前，照惯例让我们请出我们的圣火大使——喷火龙！”,“歡迎來到口袋寶貝聯盟舉辦的世界錦標賽直播現場，我是主持人超級電龍！比賽開始前，照慣例讓我們請出我們的聖火大使——噴火龍！”,"Welcome to the live broadcast of the World Championship hosted by Pokémon League, I am the host, Mega Ampharos! As usual, before the we start the tournament, let us invite our torchbearer-Charizard! ""","Chào mừng đến với buổi phát sóng trực tiếp Giải Vô địch Thế giới do Liên Minh Pokémon tổ chức, tôi là người dẫn chương trình, Mega Ampharos! Như thường lệ, trước khi chúng ta bắt đầu giải đấu, hãy mời người cầm đuốc của chúng ta - Charizard!","“포켓몬 연맹이 주최한 월드 챔피언십 라이브 현장에 오신 것을 환영합니다. 저는 진행을 맡은 메가전룡입니다! 경기 시작 전에, 관례대로 저희의 성화 대사를 모시겠습니다. 리자몽!”","Bem-vindos à transmissão ao vivo do Campeonato Mundial organizado pela Liga Pokémon, eu sou o anfitrião, Mega Ampharos! Como de costume, antes de começarmos o torneio, vamos convidar nosso portador da tocha - Charizard!",ยินดีต้อนรับสู่การถ่ายทอดสดการแข่งขันชิงแชมป์โลกที่จัดโดยโปเกมอนลีก ผมคือพิธีกร เมก้าแอมฟาโรส! ตามปกติ ก่อนที่เราจะเริ่มการแข่งขัน ขอเชิญผู้ถือคบเพลิงของเรา - ลิซาร์ดอน!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
817,,4500,4500,1,FALSE,FALSE,,0,,2,<>,<>,1,,10263,,<>,（空中飞来一只庞然大物，观众们立马欢呼起来。）\n“喷火龙！”“喷火龙！”“喷火龙！”…,（空中飛來一隻龐然大物，觀眾們立馬歡呼起來。）\n“噴火龍！”“噴火龍！”“噴火龍！”…,"(A giant creature came flying in the sky, and the audience immediately cheered.) \n ""Charizard!"" ""Charizard!"" ""Charizard!"" ...","(Một sinh vật khổng lồ bay đến từ trên trời, và khán giả ngay lập tức reo hò.) \n ""Charizard!"" ""Charizard!"" ""Charizard!"" ...","(공중에서 거대한 물체가 나타나면서, 관중들이 환호하기 시작했다.) \n“리자몽!” “리자몽!” “리자몽!”…","(Uma criatura gigante veio voando no céu, e a plateia imediatamente aplaudiu.) \n ""Charizard!"" ""Charizard!"" ""Charizard!"" ...",(สิ่งมีชีวิตขนาดยักษ์บินมาบนท้องฟ้า และผู้ชมก็โห่ร้องทันที) \n "ลิซาร์ดอน!" "ลิซาร์ดอน!" "ลิซาร์ดอน!" ...,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
818,,9000,4500,1,FALSE,FALSE,,0,,2,<>,<>,1,,10263,,<>,（喷火龙落在竞技场中央的圣火台上收起翅膀，向场上参加本次比赛的选手们低头致意。接着它把头转向圣火台，喷出了一口火焰。）,（噴火龍落在競技場中央的聖火臺上收起翅膀，向場上參加本次比賽的選手們低頭致意。接著它把頭轉向聖火台，噴出了一口火焰。）,"(Charizard lands on the torch in the middle of the arena and retracts its wings, while the trainers who are participating in the tournament bow their heads in awe. It then turn its head to the torch, and breathe a ball of fire. )","(Charizard đáp xuống ngọn đuốc ở giữa sân vận động và thu cánh lại, trong khi các huấn luyện viên tham gia giải đấu cúi đầu kính nể. Sau đó nó quay đầu về phía ngọn đuốc và phun ra một quả cầu lửa.)","(리자몽은 경기장 중앙의 성화대에 내려앉아 날개를 접었고, 이번 대회에 참가한 선수들에게 고개를 숙여 인사를 했다. 그러고는 성화대로 고개를 돌려 화염 브레스를 뿜었다.) ","(Charizard pousa na pira no meio da arena e retrai suas asas, enquanto os treinadores que estão participando do torneio curvam suas cabeças em admiração. Ele então vira a cabeça para a pira e sopra uma bola de fogo.)",(ลิซาร์ดอนลงจอดบนคบเพลิงกลางสนามประลองและหุบปีก ขณะที่เทรนเนอร์ที่เข้าร่วมการแข่งขันต่างก้มศีรษะด้วยความเคารพ จากนั้นมันก็หันหน้าไปทางคบเพลิง และพ่นลูกไฟออกมา),,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
