变量名,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,stackMax,expAdd,series,icon,res,startResScale,attr,size,touchSize,relSize,startPos,position,quality,currentNum,languages
72002,铁质大门,,,,,非常厚实的铁质大门，门上还用了精灵贴纸进行装饰,,,,,203,10,5,0,config/item/furniture/icon_damen.png,city/town/furniture/img_damen.png,2,{right=true;flip=true},{width=3;height=5},<<4;43>;<86;3>;<87;180>;<24;216>;<0;200>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=17;x=-222},5,0,FALSE,<cn;tw;en;kr>
72003,木质窗户,,,,,一扇小窗户，不带窗帘的设计可以使阳光更好的透进小屋内,,,,,203,10,5,104,config/item/furniture/icon_chuanghu.png,city/town/furniture/img_chuanghu.png,2,{left=true;flip=true},{width=2;height=3},<<5;4>;<2;100>;<30;131>;<55;120>;<57;30>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=18;x=20},5,0,FALSE,<cn;tw;en;kr>
72501,手绘小智挂像,,,,,这可能是小智实现梦想之后笑容满面的样子吧,,,,,204,10,5,101,config/item/furniture/icon_xiangkuang.png,city/town/furniture/img_xiangkuang.png,2,{left=true;flip=true},{width=1;height=2},<<25;8>;<1;6>;<1;52>;<23;50>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=40;x=-13},5,0,FALSE,<cn;tw;en;kr>
74001,聚餐长桌,,,,,是一张很长长长的餐桌，可以容纳你的所有好友,,,,,301,10,5,102,config/item/furniture/icon_zhuozi.png,city/town/furniture/img_zhuozi.png,2,{left=true;flip=true},{width=4;height=2},<<168;9>;<187;81>;<121;130>;<34;139>;<2;67>;<112;10>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=25;x=-280},5,0,FALSE,<cn;tw;en;kr>
74002,实木茶几,,,,,款式非常大气，适合大区域的小屋摆放使用,,,,,301,10,5,107,config/item/furniture/icon_chugui.png,city/town/furniture/img_chugui.png,2,{flip=true},{width=5;height=2},<<64;159>;<194;103>;<242;49>;<171;3>;<5;118>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=20;x=-363},5,0,FALSE,<cn;tw;en;kr>
74003,实木圆桌,,,,,围着圆桌吃火锅，大概是最幸福的事情了,,,,,301,10,5,0,config/item/furniture/icon_chaji.png,city/town/furniture/img_chaji.png,2,{flip=true},{width=2;height=2},<<8;18>;<1;62>;<45;101>;<88;59>;<81;10>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=28;x=-88},5,0,FALSE,<cn;tw;en;kr>
74501,可爱布艺沙发,,,,,买胖丁附赠一张柔软舒适的沙发喽,,,,,302,10,5,103,config/item/furniture/icon_shafa1.png,city/town/furniture/img_shafa1.png,2,{flip=true},{width=1;height=3},<<45;2>;<4;21>;<4;123>;<122;127>;<147;84>;<141;51>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=13;x=-81},5,0,FALSE,<cn;tw;en;kr>
74502,软萌小凳子,,,,,体积小，又轻便，放在哪个角落都是一抹靓丽的装饰,,,,,302,10,5,101,config/item/furniture/icon_xiaodengzi.png,city/town/furniture/img_xiaodengzi.png,2,{flip=true},{width=1;height=1},<<1;3>;<34;4>;<35;37>;<2;39>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=20;x=-40},5,0,FALSE,<cn;tw;en;kr>
74503,时尚软椅,,,,,是舒服到可以在上边小睡的程度,,,,,302,10,5,0,config/item/furniture/icon_xiaodengzi2.png,city/town/furniture/img_xiaodengzi2.png,2,{flip=true},{width=1;height=1},<<7;15>;<48;15>;<47;49>;<20;88>;<1;76>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=15;x=-60},5,0,FALSE,<cn;tw;en;kr>
75001,欧式屏风,,,,,严密而厚实的设计，可以遮挡你所有的小秘密,,,,,303,10,5,109,config/item/furniture/icon_pinfeng.png,city/town/furniture/img_pinfeng.png,2,{flip=true},{width=3;height=1},<<3;43>;<94;6>;<96;152>;<6;196>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=26;x=-190},5,0,FALSE,<cn;tw;en;kr>
75002,超薄电视,,,,,超薄的设计，看起来科技感满满,,,,,303,10,5,109,config/item/furniture/icon_dianshi.png,city/town/furniture/img_dianshi.png,2,{flip=true},{width=3;height=1},<<4;48>;<14;94>;<32;134>;<105;94>;<120;27>;<93;5>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=18;x=-200},5,0,FALSE,<cn;tw;en;kr>
75003,实木小床,,,,,有大而厚的挂帘遮挡住刺眼的光线，舒适更好眠,,,,,303,10,5,109,config/item/furniture/icon_chuang.png,city/town/furniture/img_chuang.png,2,{flip=true},{width=4;height=3},<<4;60>;<2;192>;<93;234>;<117;130>;<215;85>;<212;41>;<135;2>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=48;x=-293},5,0,FALSE,<cn;tw;en;kr>
75004,暖黄软垫,,,,,垫在硬硬的地面上，坐上去也会觉得软乎舒服,,,,,303,10,5,0,config/item/furniture/icon_dianzi.png,city/town/furniture/img_dianzi.png,2,{flip=true},{width=2;height=2},<<7;15>;<12;44>;<61;48>;<78;16>;<41;3>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=34;x=-83},5,0,FALSE,<cn;tw;en;kr>
75501,转角橱柜,,,,,空间收纳大师的设计，连转角都不放过可以收纳的部分,,,,,304,10,5,105,config/item/furniture/icon_guizi.png,city/town/furniture/img_guizi.png,2,{flip=true},{width=2;height=2},<<1;31>;<16;92>;<65;92>;<66;7>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=18;x=-120},5,0,FALSE,<cn;tw;en;kr>
75502,简约花架,,,,,随手放置植物即可以点缀室内的布局,,,,,304,10,5,103,config/item/furniture/icon_huajia.png,city/town/furniture/img_huajia.png,2,{flip=true},{width=2;height=1},<<23;129>;<66;100>;<59;8>;<2;18>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=21;x=-110},5,0,FALSE,<cn;tw;en;kr>
75503,玄关储物柜,,,,,友好的高度，适合接住回到家的你的所有疲惫,,,,,304,10,5,106,config/item/furniture/icon_shugui.png,city/town/furniture/img_shugui.png,2,{flip=true},{width=1;height=2},<<1;87>;<26;124>;<69;127>;<86;89>;<70;28>;<4;16>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=15;x=-45},5,0,FALSE,<cn;tw;en;kr>
75504,实木床头柜,,,,,简单而温馨的配色，还有一个巨大的抽屉，看起来特别实用,,,,,304,10,5,107,config/item/furniture/icon_chuangtougui.png,city/town/furniture/img_chuangtougui.png,2,{flip=true},{width=1;height=2},<<1;51>;<56;92>;<73;58>;<64;20>;<17;13>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=20;x=-40},5,0,FALSE,<cn;tw;en;kr>
76001,皮神定制冰箱,,,,,简单的小体积冰箱，跳跃的配色与皮神特别搭配,,,,,305,10,5,108,config/item/furniture/icon_bingxiang.png,city/town/furniture/img_bingxiang.png,2,{flip=true},{width=1;height=1},<<3;17>;<13;146>;<33;179>;<68;137>;<61;12>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=7;x=-72},5,0,FALSE,<cn;tw;en;kr>
76002,一体式灶台,,,,,功能非常齐全的灶台集柜设计，是时下最流行的款式,,,,,305,10,5,108,config/item/furniture/icon_chugui1.png,city/town/furniture/img_chugui1.png,2,{flip=true},{width=6;height=4},<<1;112>;<149;182>;<380;68>;<353;2>;<147;73>;<37;52>;<7;59>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=133;x=-453},5,0,FALSE,<cn;tw;en;kr>
76501,天堂鸟盆栽,,,,,是一个大件的植物，可以保证室内的清新,,,,,306,10,5,105,config/item/furniture/icon_zhiwu.png,city/town/furniture/img_zhiwu.png,2,{flip=true},{width=1;height=1},<<11;14>;<2;99>;<63;94>;<42;9>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=21;x=-60},5,0,FALSE,<cn;tw;en;kr>
76502,超大软萌皮卡丘,,,,,非常巨大的皮卡丘玩偶，摸上去软乎乎的，抱起来很舒服,,,,,306,10,5,109,config/item/furniture/icon_wanou2.png,city/town/furniture/img_wanou2.png,2,{flip=true},{width=1;height=1},<<4;56>;<29;123>;<89;67>;<83;14>;<33;11>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=8;x=-108},5,0,FALSE,<cn;tw;en;kr>
77001,解锁区域1,,,,,解锁区域,,,,,0,10,5,0,config/item/furniture/img_kzqy1.png,city/town/furniture/img_kzqy1.png,2,{},{width=12;height=6},<<6;457>;<4;254>;<509;8>;<754;132>;<275;375>;<272;578>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=-20;x=-1020},5,0,FALSE,<cn;tw;en;kr>
77002,解锁区域2,,,,,解锁区域,,,,,0,10,5,0,config/item/furniture/img_kzqy2.png,city/town/furniture/img_kzqy2.png,2,{},{width=6;height=18},<<720;698>;<719;507>;<3;134>;<246;8>;<997;377>;<994;588>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=-35;x=-480},5,0,FALSE,<cn;tw;en;kr>
77003,装修图标,,,,,解锁区域,,,,,0,10,5,0,config/item/furniture/icon_sgz.png,city/town/furniture/icon_sgz.png,2,{},{width=1;height=2},<<49;140>;<30;83>;<61;19>;<190;84>;<161;157>;<132;160>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=-70;x=-140},5,0,FALSE,<cn;tw;en;kr>
77004,内墙,,,,,未解锁时候的内墙,,,,,0,10,5,0,config/item/furniture/img_neiqiang.png,city/town/furniture/img_neiqiang.png,2,{},{width=12;height=1},<<1;241>;<476;2>;<475;5>;<476;55>;<10;292>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=20;x=-900},5,0,FALSE,<cn;tw;en;kr>
77005,外墙,,,,,外墙,,,,,0,10,5,0,config/item/furniture/img_waiqiang.png,city/town/furniture/img_waiqiang.png,2,{},{width=6;height=1},<<0;177>;<0;130>;<247;2>;<258;8>;<257;55>;<9;179>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=20;x=-420},5,0,FALSE,<cn;tw;en;kr>
