变量名,randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,attrsDesc_pt,attrsDesc_th,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
9,20001,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<30;45;60;75;90;105;120;135>,0,<>
10,20001,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<30;45;60;75;90;105;120;135>,0,<>
21,20002,100,0,固定速度,固定速度,Fixed speed,Tốc Độ Cố Định,고정 속도,Velocidade fixa,ความเร็วคงที่,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,13,<4;6;7;9;11;13;15;18>,0,<>
22,20002,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<80;112;144;176;208;240;272;304>,8,<80;112;144;176;208;240;272;304>
23,20002,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,8,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>
24,20002,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<30;45;60;75;90;105;120;135>,12,<30;45;60;75;90;105;120;135>
25,20002,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<30;45;60;75;90;105;120;135>,0,<>
26,20002,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<30;45;60;75;90;105;120;135>,0,<>
27,20002,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<30;45;60;75;90;105;120;135>,0,<>
28,20002,200,0,控制率,控制率,Control rate,Tỷ Lệ Khống Chế,제어율,Taxa de controle,อัตราการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,90,<30;45;60;75;90;105;120;135>,0,<>
29,20002,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<30;45;60;75;90;105;120;135>,0,<>
30,20002,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<30;45;60;75;90;105;120;135>,0,<>
41,20003,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<400;560;720;880;1040;1200;1360;1520>,0,<>
42,20003,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,0,<>
43,20003,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<56;78;101;123;147;171;196;221>,10,<56;78;101;123;147;171;196;221>
44,20003,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,10,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>
45,20003,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<30;45;60;75;90;105;120;135>,0,<>
46,20003,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<30;45;60;75;90;105;120;135>,0,<>
47,20003,200,0,反弹,反彈,Reflect,Phản Đòn,반사,Refletir,สะท้อน,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,27,<30;45;60;75;90;105;120;135>,0,<>
48,20003,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<30;45;60;75;90;105;120;135>,0,<>
49,20003,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<30;45;60;75;90;105;120;135>,0,<>
50,20003,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<30;45;60;75;90;105;120;135>,0,<>
51,20003,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<30;45;60;75;90;105;120;135>,0,<>
61,20004,200,0,固定速度,固定速度,Fixed speed,Tốc Độ Cố Định,고정 속도,Velocidade fixa,ความเร็วคงที่,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,13,<4;6;7;9;11;13;15;18>,0,<>
62,20004,200,0,怒气回复速度,怒氣回復速度,Anger recovery speed,Tốc Độ Hồi Nộ Khí,분노 회복 속도,Velocidade de recuperação da raiva,ความเร็วในการฟื้นตัวจากความโกรธ,<<0;10;100>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,5,<30;45;60;75;90;105;120;135>,0,<>
63,20004,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<80;112;144;176;208;240;272;304>,8,<80;112;144;176;208;240;272;304>
64,20004,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,8,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>
65,20004,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<30;45;60;75;90;105;120;135>,12,<30;45;60;75;90;105;120;135>
66,20004,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<30;45;60;75;90;105;120;135>,0,<>
67,20004,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<30;45;60;75;90;105;120;135>,0,<>
68,20004,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<30;45;60;75;90;105;120;135>,0,<>
69,20004,200,0,控制率,控制率,Control rate,Tỷ Lệ Khống Chế,제어율,Taxa de controle,อัตราการควบคุม,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,90,<30;45;60;75;90;105;120;135>,0,<>
70,20004,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<30;45;60;75;90;105;120;135>,0,<>
71,20004,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<30;45;60;75;90;105;120;135>,0,<>
81,20005,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<400;560;720;880;1040;1200;1360;1520>,0,<>
82,20005,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;100>;<11;20;150>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,0,<>
83,20005,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<56;78;101;123;147;171;196;221>,10,<56;78;101;123;147;171;196;221>
84,20005,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;100>;<11;20;150>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,10,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>
85,20005,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<30;45;60;75;90;105;120;135>,0,<>
86,20005,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<30;45;60;75;90;105;120;135>,0,<>
87,20005,200,0,反弹,反彈,Reflect,Phản Đòn,반사,Refletir,สะท้อน,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,27,<30;45;60;75;90;105;120;135>,0,<>
88,20005,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<30;45;60;75;90;105;120;135>,0,<>
89,20005,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<30;45;60;75;90;105;120;135>,0,<>
90,20005,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<30;45;60;75;90;105;120;135>,0,<>
91,20005,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<30;45;60;75;90;105;120;135>,0,<>
101,20006,200,0,怒气回复速度,怒氣回復速度,Anger recovery speed,Tốc Độ Hồi Nộ Khí,분노 회복 속도,Velocidade de recuperação da raiva,ความเร็วในการฟื้นตัวจากความโกรธ,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,5,<30;45;60;75;90;105;120;135>,0,<>
