变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,jumpTo,languages
1009,1,2,2,3,,,15,{rmb=30;453=5},,1,适格者冒险家,適格者冒險家,Qualified Adventurer,HLV Tiêu Chuẩn,공인 모험가,Aventureiro qualificado,นักผจญภัยที่มีคุณสมบัติ,冒险执照等级达到3级,冒險執照等級達到3級,Adventure Pass reaches level 3,Đạt cấp độ 3 của giấy phép phiêu lưu,모험 허가증 3레벨 달성,Passe de Aventura chega ao nível 3,Adventure Pass ถึงระดับ 3 แล้ว,trainer,
1010,1,2,2,6,,,20,{rmb=30;453=5},,2,勇者冒险家,勇者冒險家,Heroic Adventurer,Nhà Thám Hiểm Dũng Giả,용자 모험가,Aventureiro Heroico,นักผจญภัยผู้กล้าหาญ,冒险执照等级达到6级,冒險執照等級達到6級,Adventure Pass reaches level 6,Cấp giấy phép phiêu lưu đạt cấp 6,모험 허가증 6레벨 달성,Passe de Aventura chega ao nível 6,Adventure Pass ถึงระดับ 6 แล้ว,trainer,
1011,1,2,2,9,,,30,{rmb=30;453=5},,3,馆长冒险家,館長冒險家,Gym Leader Adventurer,Nhà Thám Hiểm Gym,관장 모험가,Líder de Ginásio Aventureiro,ยิมลีดเดอร์นักผจญภัย,冒险执照等级达到9级,冒險執照等級達到9級,Adventure Pass reaches level 9,Đạt đến cấp 9 của giấy phép phiêu lưu,모험 허가증 9레벨 달성,Passe de Aventura chega ao nível 9,Adventure Pass ถึงระดับ 9 แล้ว,trainer,
1012,1,2,2,12,,,30,{rmb=30;453=5},,4,霸主冒险家,霸主冒險家,Overlord Adventurer,Nhà Thám Hiểm Bá Chủ,패왕 모험가,Aventureiro Overlord,นักผจญภัยโอเวอร์ลอร์ด,冒险执照等级达到12级,冒險執照等級達到12級,Adventure Pass reaches level 12,Cấp giấy phép phiêu lưu lên đến cấp 12,모험 허가증 12레벨 달성,Passe de Aventura chega ao nível 12,Adventure Pass ถึงระดับ 12 แล้ว,trainer,
1013,1,3,3,20,,,10,{rmb=30;453=10},,1,强化训练,強化訓練,Intensive training,Huấn Luyện Cường Hoá,강화 훈련,Treinamento intensivo,การฝึกอบรมแบบเข้มข้น,特权属性点累计等级达到20级,特權屬性點累計等級達到20級,Total privilege type point reaches level 20,Mức tích lũy điểm thuộc tính đặc quyền đạt cấp 20,특권 속성 포인트 누적 20레벨 달성,O ponto total do tipo de privilégio atinge o nível 20,คะแนนประเภทสิทธิพิเศษรวมจะถึงระดับ 20,trainer,
1014,1,3,3,50,,,10,{rmb=30;453=10},,2,特别训练,特別訓練,Special Training,Huấn Luyện Đặc Biệt,특별 훈련,Treinamento especial,การฝึกอบรมพิเศษ,特权属性点累计等级达到50级,特權屬性點累計等級達到50級,Total privilege type point reaches level 50,Mức tích lũy điểm thuộc tính đặc quyền đạt 50,특권 속성 포인트 누적 50레벨 달성,O ponto total do tipo de privilégio atinge o nível 50,คะแนนประเภทสิทธิพิเศษรวมจะถึงระดับ 50,trainer,
1015,1,3,3,100,,,20,{rmb=50;453=10},,3,进阶训练,進階訓練,Advanced Training,Huấn Luyện Tăng Bậc,진급 훈련,Treinamento Avançado,การฝึกอบรมขั้นสูง,特权属性点累计等级达到100级,特權屬性點累計等級達到100級,Total privilege type point reaches level 100,Mức tích lũy điểm thuộc tính đặc quyền đạt 100,특권 속성 포인트 누적 100레벨 달성,O ponto total do tipo de privilégio atinge o nível 100,คะแนนประเภทสิทธิพิเศษรวมจะถึงระดับ 100,trainer,
1016,1,3,3,300,,,30,{rmb=100;453=10},,4,专业训练,專業訓練,Professional training,Huấn Luyện Chuyên Nghiệp,전문 훈련,Treinamento profissional,การฝึกอบรมวิชาชีพ,特权属性点累计等级达到300级,特權屬性點累計等級達到300級,Total privilege type point reaches level 300,Mức tích lũy điểm thuộc tính đặc quyền đạt 300,특권 속성 포인트 누적 300레벨 달성,O ponto total do tipo de privilégio atinge o nível 300,คะแนนประเภทสิทธิพิเศษรวมจะถึงระดับ 300,trainer,
1017,1,4,401,60,1,,20,{rmb=20;talent_point=5},,1,从基础开始,從基礎開始,Start from the basics,Bắt Đầu Từ Cơ Bản,기초 시작,Comece do básico,เริ่มต้นจากพื้นฐาน,基础天赋投入60天赋点,基礎天賦投入60天賦點,Assign 60 talent points to base talent,Tài năng cơ bản được đầu tư 60 điểm tài năng,기초 특성 60특성 포인트 투입,Atribuir 60 pontos de talento ao talento base,กำหนดคะแนนความสามารถ 60 คะแนนให้กับความสามารถพื้นฐาน,talent,
1018,1,4,401,120,1,,20,{rmb=20;talent_point=5},,2,从基础开始,從基礎開始,Start from the basics,Bắt Đầu Từ Cơ Bản,기초 시작,Comece do básico,เริ่มต้นจากพื้นฐาน,基础天赋投入120天赋点,基礎天賦投入120天賦點,Assign 120 talent points to base talent,Tài năng cơ bản được đầu tư 120 điểm tài năng,기초 특성 120특성 포인트 투입,Atribuir 120 pontos de talento ao talento base,กำหนดคะแนนความสามารถ 120 คะแนนให้กับความสามารถพื้นฐาน,talent,
1019,1,4,401,240,1,,30,{rmb=20;talent_point=5},,3,从基础开始,從基礎開始,Start from the basics,Bắt Đầu Từ Cơ Bản,기초 시작,Comece do básico,เริ่มต้นจากพื้นฐาน,基础天赋投入240天赋点,基礎天賦投入240天賦點,Assign 240 talent points to base talent,Đầu tư tài năng cơ bản 240 điểm tài năng,기초 특성 240특성 포인트 투입,Atribuir 240 pontos de talento ao talento base,กำหนดคะแนนความสามารถ 240 คะแนนให้กับความสามารถพื้นฐาน,talent,
1020,1,4,402,100,2,,10,{rmb=20;talent_point=5},,1,驾轻就熟,駕輕就熟,The Proficient,Thành Thạo,숙련자,O Proficiente,ผู้ที่เชี่ยวชาญ,进阶天赋投入100天赋点,進階天賦投入100天賦點,Assign 100 talent points to upgrade talent,Tài năng tiên tiến đầu tư 100 điểm tài năng,진급 특성 100특성 포인트 투입,Atribua 100 pontos de talento para melhorar o talento,กำหนดคะแนนความสามารถ 100 คะแนนเพื่ออัพเกรดความสามารถ,talent,
1021,1,4,402,200,2,,20,{rmb=20;talent_point=5},,2,驾轻就熟,駕輕就熟,The Proficient,Thành Thạo,숙련자,O Proficiente,ผู้ที่เชี่ยวชาญ,进阶天赋投入200天赋点,進階天賦投入200天賦點,Assign 200 talent points to upgrade talent,Tài năng tiên tiến đầu tư 200 điểm tài năng,진급 특성 200특성 포인트 투입,Atribua 200 pontos de talento para melhorar o talento,กำหนดคะแนนความสามารถ 200 คะแนนเพื่ออัพเกรดความสามารถ,talent,
1022,1,4,402,400,2,,30,{rmb=20;talent_point=5},,3,驾轻就熟,駕輕就熟,The Proficient,Thành Thạo,숙련자,O Proficiente,ผู้ที่เชี่ยวชาญ,进阶天赋投入400天赋点,進階天賦投入400天賦點,Assign 400 talent points to upgrade talent,Tài năng nâng cao đầu tư 400 điểm tài năng,진급 특성 400특성 포인트 투입,Atribua 400 pontos de talento para melhorar o talento,มอบหมายคะแนนความสามารถ 400 คะแนนเพื่ออัพเกรดความสามารถ,talent,
1023,1,4,403,100,3,,10,{rmb=30;talent_point=5},,1,元素大使,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Embaixador do elemento,ทูตธาตุ,元素天赋投入100天赋点,元素天賦投入100天賦點,Assign 100 talent points from the elemental talent,Tài năng nguyên tố đầu tư 100 điểm tài năng,원소 특성 100특성 포인트 투입,Atribua 100 pontos de talento do talento elemental,กำหนดคะแนนความสามารถ 100 คะแนนจากความสามารถธาตุ,talent,
1024,1,4,403,200,3,,20,{rmb=30;talent_point=5},,2,元素大使,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Embaixador do elemento,ทูตธาตุ,元素天赋投入200天赋点,元素天賦投入200天賦點,Assign 200 talent points to the elemental talent,Tài năng nguyên tố đầu tư 200 điểm tài năng,원소 특성 200특성 포인트 투입,Atribua 200 pontos de talento ao talento elemental,กำหนดคะแนนความสามารถ 200 คะแนนให้กับความสามารถธาตุ,talent,
1025,1,4,403,400,3,,30,{rmb=30;talent_point=5},,3,元素大使,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Embaixador do elemento,ทูตธาตุ,元素天赋投入400天赋点,元素天賦投入400天賦點,Assign 400 talent points to the elemental talent,Tài năng nguyên tố đầu tư 400 điểm tài năng,원소 특성 400특성 포인트 투입,Atribua 400 pontos de talento ao talento elemental,กำหนดคะแนนความสามารถ 400 คะแนนให้กับความสามารถธาตุ,talent,
1026,1,4,403,800,3,,30,{rmb=50;talent_point=10},,4,元素大使,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Embaixador do elemento,ทูตธาตุ,元素天赋投入800天赋点,元素天賦投入800天賦點,Assign 800 talent points to the elemental talent,Tài năng nguyên tố đầu tư 800 điểm tài năng,원소 특성 800특성 포인트 투입,Atribua 800 pontos de talento ao talento elemental,กำหนดคะแนนความสามารถ 800 คะแนนให้กับความสามารถธาตุ,talent,
1027,1,4,403,1600,3,,30,{rmb=150;2501=1},FALSE,5,元素大使,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Embaixador do elemento,ทูตธาตุ,元素天赋投入1600天赋点,元素天賦投入1600天賦點,Assign 1600 talent points to the elemental talent,Tài năng nguyên tố đầu tư 1600 điểm tài năng,원소 특성 1600특성 포인트 투입,Atribua 1600 pontos de talento ao talento elemental,"มอบหมายคะแนนความสามารถ 1,600 คะแนนให้กับความสามารถธาตุ",talent,
1028,1,5,5,200,,,20,{rmb=20;talent_point=5},,1,天赋达人,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,Especialista em Talentos,ผู้เชี่ยวชาญด้านความสามารถ,总天赋投入200天赋点,總天賦投入200天賦點,Assign 200 talent points from the total ,Tổng tài năng đã đầu tư 200 điểm tài năng,총 특성 200특성 포인트 투입,Atribua 200 pontos de talento do total,กำหนดคะแนนความสามารถ 200 คะแนนจากคะแนนรวม,talent,
1029,1,5,5,500,,,30,{rmb=30;talent_point=5},,2,天赋达人,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,Especialista em Talentos,ผู้เชี่ยวชาญด้านความสามารถ,总天赋投入500天赋点,總天賦投入500天賦點,Assign 500 talent points from the total ,Tổng đầu tư tài năng 500 điểm tài năng,총 특성 500특성 포인트 투입,Atribua 500 pontos de talento do total,กำหนดคะแนนความสามารถ 500 คะแนนจากคะแนนรวม,talent,
1030,1,5,5,1000,,,30,{rmb=50;talent_point=10},,3,天赋达人,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,Especialista em Talentos,ผู้เชี่ยวชาญด้านความสามารถ,总天赋投入1000天赋点,總天賦投入1000天賦點,Assign 1000 talent points from the total ,Tổng đầu tư tài năng 1000 điểm tài năng,총 특성 1000특성 포인트 투입,Atribua 1000 pontos de talento do total,"กำหนดคะแนนความสามารถ 1,000 คะแนนจากคะแนนรวม",talent,
1031,1,5,5,2000,,,50,{rmb=100;talent_point=10},,4,天赋达人,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,Especialista em Talentos,ผู้เชี่ยวชาญด้านความสามารถ,总天赋投入2000天赋点,總天賦投入2000天賦點,Assign 2000 talent points from the total ,Tổng tài năng đầu tư 2000 điểm tài năng,총 특성 2000특성 포인트 투입,Atribua 2000 pontos de talento do total,"กำหนดคะแนนความสามารถ 2,000 คะแนนจากคะแนนรวม",talent,
1032,1,6,6,3,,,10,{rmb=30;4000=30},,1,机甲新手,機甲新手,Mecha Rookie,Tân Thủ Mecha,메카 루키,Mecha Novato,เมคา รุกกี้,激活3个探险器,啟動3個探險器,Activate 3 Explorer Device,Kích hoạt 3 trình khám phá,탐지기 3개 활성화,Ativar 3 dispositivos Explorer,เปิดใช้งานอุปกรณ์ Explorer 3,explorer,
1033,1,6,6,6,,,20,{rmb=30;4000=30},,2,机甲达人,機甲達人,Mecha Expert,Cao Thủ Mecha,메카의 달인,Especialista em Mecha,ผู้เชี่ยวชาญด้านเมคา,激活6个探险器,啟動6個探險器,Activate 6 Explorer Device,Kích hoạt 6 trình khám phá,탐지기 6개 활성화,Ativar 6 dispositivos Explorer,เปิดใช้งานอุปกรณ์ Explorer 6,explorer,
1034,1,6,6,9,,,30,{rmb=30;4000=30},,3,机甲大师,機甲大師,Mecha Master,Đại Sư Mecha,메카 마스터,Mestre Mecha,มาสเตอร์เมคา,激活9个探险器,啟動9個探險器,Activate 9 Explorer Device,Kích hoạt 9 trình khám phá,탐지기 9개 활성화,Ativar 9 dispositivos Explorer,เปิดใช้งานอุปกรณ์ 9 Explorer,explorer,
1035,1,6,6,12,,,30,{rmb=30;4000=30},FALSE,4,探险器,探險器,Device,Thám hiểm khí,탐지기,Dispositivo,อุปกรณ์,激活12个探险器,啟動12個探險器,Activate 12 Explorer Device,Kích hoạt 12 trình thám hiểm,탐지기 12개 활성화,Ativar 12 dispositivos Explorer,เปิดใช้งานอุปกรณ์ 12 Explorer,explorer,
1036,1,7,706,1,6,,20,{rmb=100;4000=30},,1,嘟嘟探测器,嘟嘟探測器,Doduo's Scanner,Máy dò tiếng bíp,두두 스캐너,Scanner de Doduo,เครื่องสแกนของโดดูโอ,激活嘟嘟探测器,啟動嘟嘟探測器,Activate Doduo's Scanner,Kích hoạt máy dò tiếng bíp,두두 스캐너 활성화,Ative o Scanner do Doduo,เปิดใช้งานเครื่องสแกนของ Doduo,explorer,
1037,1,7,707,1,7,,20,{rmb=100;4000=30},,1,蚊香蛙探险器,蚊香蛙探險器,Poliwhirl Explorer Device,Nhà thám hiểm ếch muỗi,슈륙챙이 탐지기,Dispositivo Poliwhirl Explorer,อุปกรณ์สำรวจ Poliwhirl,激活蚊香蛙探险器,啟動蚊香蛙探險器,Activate Poliwhirl Explorer Device,Kích hoạt Mosquito Frog Explorer,슈륙챙이 탐지기 활성화,Ativar dispositivo Poliwhirl Explorer,เปิดใช้งานอุปกรณ์ Poliwhirl Explorer,explorer,
1038,1,7,708,1,8,,30,{rmb=200;4000=50},,1,准神号飞船,准神號飛船,Pseudo-legendary Aircraft,Quasi-God,유사전설호 비행선,Aeronave pseudo-lendária,เครื่องบินที่เป็นเพียงตำนาน,激活准神号飞船,啟動准神號飛船,Activate Pseudo-legendary Aircraft,Kích hoạt tàu vũ trụ Quasi-God,유사전설호 비행선 활성화,Ativar aeronave pseudo-lendária,เปิดใช้งานเครื่องบินในตำนานเทียม,explorer,
1039,1,7,709,1,9,,30,{rmb=200;4000=50},,1,波尔凯尼恩飞船,波爾凱尼恩飛船,Volcanion Airship,Polkenyon,볼케니온 비행선,Dirigível Volcanion,เรือเหาะโวคาเนียน,激活波尔凯尼恩飞船,啟動波爾凱尼恩飛船,Activate Volcanion Airship,Kích hoạt tàu vũ trụ Bolkenien,볼케니온 비행선 활성화,Ativar dirigível Volcanion,เปิดใช้งานเรือเหาะ Volcanion,explorer,
1040,1,8,8,3,,,15,{rmb=30;4000=50},,1,菜鸟组装师,菜鳥組裝師,Rookie Assembler,Nhà Lắp Ráp Tân Binh,신참 조립가,Montador novato,นักประกอบมือใหม่,任意探险器等级达到3级,任意探險器等級達到3級,Attain level 3for any Explorer Device,Đạt cấp độ 3 cho bất kỳ nhà thám hiểm nào,임의 탐지기 3레벨 달성,Alcance o nível 3 para qualquer dispositivo Explorer,รับระดับ 3 สำหรับอุปกรณ์ Explorer ใดๆ,explorer,
1041,1,8,8,6,,,20,{rmb=50;4000=50},,2,入门组装师,入門組裝師,Beginner Assembler,Nhà Lắp Ráp Nhập Môn,입문 조립가,Montador iniciante,นักประกอบมือใหม่,任意探险器等级达到6级,任意探險器等級達到6級,Attain level 6for any Explorer Device,Đạt cấp độ 6 cho bất kỳ nhà thám hiểm nào,임의 탐지기 6레벨 달성,Alcance o nível 6 para qualquer dispositivo Explorer,บรรลุระดับ 6 สำหรับอุปกรณ์ Explorer ใดๆ,explorer,
1042,1,8,8,9,,,20,{rmb=50;4000=50},,3,资深组装师,資深組裝師,Senior Assembler,Nhà Lắp Ráp Thâm Niên,베테랑 조립가,Montador Sênior,ช่างประกอบอาวุโส,任意探险器等级达到9级,任意探險器等級達到9級,Attain level 9for any Explorer Device,Đạt đến cấp 9 của bất kỳ nhà thám hiểm nào,임의 탐지기 9레벨 달성,Alcance o nível 9 para qualquer dispositivo Explorer,รับระดับ 9 สำหรับอุปกรณ์ Explorer ใดๆ,explorer,
1043,1,8,8,12,,,30,{rmb=100;4000=100},,4,高级组装师,高級組裝師,Advanced Assembler,Nhà Lắp Ráp Cao Cấp,고급 조립가,Montador Avançado,นักประกอบขั้นสูง,任意探险器等级达到12级,任意探險器等級達到12級,Attain level 12for any Explorer Device,Đạt cấp 12 cho bất kỳ nhà thám hiểm nào,임의 탐지기 12레벨 달성,Alcance o nível 12 para qualquer dispositivo Explorer,บรรลุระดับ 12 สำหรับอุปกรณ์ Explorer ใดๆ,explorer,
1044,1,8,8,15,,,30,{rmb=100;4000=100},,5,组装大师,組裝大師,Assembling Master,Đại Sư Lắp Ráp,조립의 대가,Mestre de montagem,การประกอบมาสเตอร์,任意探险器等级达到15级,任意探險器等級達到15級,Attain level 15for any Explorer Device,Đạt đến cấp độ 15 cho bất kỳ nhà thám hiểm nào,임의 탐지기 15레벨 달성,Alcance o nível 15 para qualquer dispositivo Explorer,บรรลุระดับ 15 สำหรับอุปกรณ์สำรวจใดๆ,explorer,
1045,1,8,8,20,,,30,{rmb=200;4000=200},FALSE,6,探险器等级,探險器等級,Explorer Device level,Cấp Bậc Explorer Device,탐지기 레벨,Nível do dispositivo Explorer,ระดับอุปกรณ์สำรวจ,任意探险器等级达到20级,任意探險器等級達到20級,Attain level 20for any Explorer Device,Đạt cấp 20 trên bất kỳ nhà thám hiểm nào,임의 탐지기 20레벨 달성,Alcance o nível 20 para qualquer dispositivo Explorer,บรรลุระดับ 20 สำหรับอุปกรณ์สำรวจใดๆ,explorer,
1046,1,9,9,100000,,,20,{rmb=50;gold=20000},,1,小有所成,小有所成,Little Achiever,Thành Tựu,작은 성과,Pequeno Conquistador,ผู้ประสบความสำเร็จตัวน้อย,训练家战力达到100000,訓練家戰力達到100000,Trainer's combat power reaches 100000,POWER HLV đạt 100000,트레이너 전투력 100000 달성,O poder de combate do treinador chega a 100000,"พลังต่อสู้ของเทรนเนอร์ถึง 100,000",strengthen-1,
1047,1,9,9,200000,,,20,{rmb=50;gold=20000},,2,有能力一战！,有能力一戰！,You have the ability to fight!,Trận Chiến Năng Lực!,일전의 힘,Você tem a habilidade de lutar!,คุณมีความสามารถที่จะต่อสู้!,训练家战力达到200000,訓練家戰力達到200000,Trainer's combat power reaches 200000,POWER HLV đạt 200000,트레이너 전투력 200000 달성,O poder de combate do treinador chega a 200000,"พลังต่อสู้ของเทรนเนอร์ถึง 200,000",strengthen-1,
1048,1,9,9,500000,,,30,{rmb=50;gold=20000},,3,不服来试试,不服來試試,Try me if you're not convinced,Không Phục Thử Tiếp,억울하면 덤벼,Experimente-me se não estiver convencido,ลองฉันดูถ้าคุณยังไม่มั่นใจ,训练家战力达到500000,訓練家戰力達到500000,Trainer's combat power reaches 500000,POWER HLV đạt 500000,트레이너 전투력 1000000 달성,poder de combate do treinador chega a 500000,"พลังต่อสู้ของเทรนเนอร์ถึง 500,000",strengthen-1,
1049,1,9,9,1000000,,,50,{rmb=100;gold=20000},,4,还有谁来试试,還有誰來試試,Anyone else,Còn Ai Muốn Thử,또 누구냐,Alguém mais,ใครอีกบ้าง,训练家战力达到1000000,訓練家戰力達到1000000,Trainer's combat power reaches 1000000,POWER HLV đạt 1000000,트레이너 전투력 1500000 달성,O poder de combate do treinador atinge 1.000.000,พลังต่อสู้ของเทรนเนอร์ถึง 1000000,strengthen-1,
1050,1,9,9,1500000,,,50,{rmb=200;gold=20000},,5,无敌的寂寞,無敵的寂寞,Unbeatable loneliness,Cô Đơn Vô Địch,무적의 고독함,Solidão imbatível,ความเหงาที่ไม่อาจเอาชนะได้,训练家战力达到1500000,訓練家戰力達到1500000,Trainer's combat power reaches 1500000,POWER HLV đạt 1.5M,트레이너 전투력 1500000 달성,O poder de combate do treinador atinge 1500000,พลังต่อสู้ของเทรนเนอร์ถึง 1500000,strengthen-1,
1051,1,9,9,2000000,,,50,{rmb=300;gold=20000},,6,独孤求败,獨孤求敗,The Informidable,Độc Cô Cầu Bại,독고구패,O Informável,ข้อมูลที่น่ารู้,训练家战力达到2000000,訓練家戰力達到2000000,Trainer's combat power reaches 2000000,POWER HLV đạt 2M,트레이너 전투력 2000000 달성,O poder de combate do treinador chega a 2000000,พลังต่อสู้ของเทรนเนอร์ถึง 2000000,strengthen-1,
1052,1,10,10,3000000,,,10,{rmb=30;gold=20000},,1,白手起家,白手起家,Entrepreneur,Tay Trắng Lập Nghiệp,자수성가,Empreendedor,ผู้ประกอบการ,累计拥有金币3000000,累計擁有金幣3000000,Own 3000000 coins in total,Tích luỹ Gold đạt 3M,누적 보유 3000000골드,Tenha 3000000 moedas no total,มีเหรียญทั้งหมด 3000000 เหรียญ,gainGold,
1053,1,10,10,6000000,,,10,{rmb=30;gold=20000},,2,第一桶金,第一桶金,The First Bucket of Gold,Thùng Vàng Đầu Tiên,목돈 마련,O Primeiro Balde de Ouro,ถังทองใบแรก,累计拥有金币6000000,累計擁有金幣6000000,Own 6000000 coins in total,Tích luỹ Gold đạt 6M,누적 보유 6000000골드,Tenha 6000000 moedas no total,มีเหรียญทั้งหมด 6000000 เหรียญ,gainGold,
1054,1,10,10,15000000,,,10,{rmb=30;gold=20000},,3,金融新秀,金融新秀,Financial Rookie,Tân Thủ Tài Chính,금융의 신예,Novato Financeiro,มือใหม่ด้านการเงิน,累计拥有金币15000000,累計擁有金幣15000000,Own 15000000 coins in total,Tích luỹ Gold đạt 15M,누적 보유 15000000골드,Tenha 15000000 moedas no total,มีเหรียญทั้งหมด 15000000 เหรียญ,gainGold,
1055,1,10,10,30000000,,,20,{rmb=30;gold=20000},,4,金融巨子,金融鉅子,Financial Leader,Đại Gia Tài Chính,금융의 거두,Líder Financeiro,ผู้นำด้านการเงิน,累计拥有金币30000000,累計擁有金幣30000000,Own 30000000 coins in total,Tích luỹ Gold đạt 30M,누적 보유 30000000골드,Tenha 30000000 de moedas no total,มีเหรียญทั้งหมด 30000000 เหรียญ,gainGold,
1056,1,10,10,60000000,,,20,{rmb=30;gold=20000},,5,敛财高手,斂財高手,Money Saving Expert,Bậc Thầy Vơ Vét,축재의 고수,Especialista em economia de dinheiro,ผู้เชี่ยวชาญด้านการประหยัดเงิน,累计拥有金币60000000,累計擁有金幣60000000,Own 60000000 coins in total,Tích luỹ Gold đạt 60M,누적 보유 60000000골드,Tenha 60000000 de moedas no total,มีเหรียญทั้งหมด 60000000 เหรียญ,gainGold,
1057,1,10,10,150000000,,,30,{rmb=50;gold=20000},,6,金融巨头,金融巨頭,Financial Giant,Bậc Thầy Tài Chính,금융계의 거성,Gigante financeiro,ยักษ์ใหญ่ทางการเงิน,累计拥有金币150000000,累計擁有金幣150000000,Own 150000000 coins in total,Tích luỹ Gold đạt 150M,누적 보유 150000000골드,Tenha 150000000 moedas no total,มีเหรียญทั้งหมด 150000000 เหรียญ,gainGold,
