变量名,huodongID,daySum,themeType,themeName,themeName_tw,themeName_en,themeName_vn,themeName_kr,themeName_pt,themeName_th,tabIndex,tabName,tabName_tw,tabName_en,tabName_vn,tabName_kr,tabName_pt,tabName_th,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,costMap,priceShow,buyMax
9,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,35,,等级达到35,等級達到35,Attain level 35,Attain level 35,레벨 35 달성,Alcance o nível 35,บรรลุระดับ 35,{20391=1;gold=14000;12=20},,,
10,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,40,,等级达到40,等級達到40,Attain level 40,Attain level 40,레벨 40 달성,Alcance o nível 40,บรรลุระดับ 40,{20391=1;gold=16000;12=20},,,
11,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,45,,等级达到45,等級達到45,Attain level 45,Attain level 45,레벨 45 달성,Alcance o nível 45,บรรลุระดับ 45,{20391=1;gold=18000;12=20},,,
12,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,50,,等级达到50,等級達到50,Attain level 50,Attain level 50,레벨 50 달성,Alcance o nível 50,บรรลุระดับ 50,{20391=1;gold=20000;12=20},,,
13,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10103,,通过第一章3关,通過第一章3關,Clear Chapter 1-3,Clear Chapter 1-3,챕터1 스테이지3 클리어,Limpar Capítulo 1-3,เคลียร์บทที่ 1-3,{20391=1;gold=10000;12=20},,,
14,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10208,,通过第二章8关,通過第二章8關,Clear Chapter 2-8,Clear Chapter 2-8,챕터2 스테이지8 클리어,Limpar Capítulo 2-8,เคลียร์บทที่ 2-8,{20391=1;gold=12000;12=20},,,
15,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10308,,通过第三章8关,通過第三章8關,Clear Chapter 3-8,Clear Chapter 3-8,챕터3 스테이지8 클리어,Limpar Capítulo 3-8,เคลียร์บทที่ 3-8,{20391=1;gold=14000;12=20},,,
16,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10408,,通过第四章8关,通過第四章8關,Clear Chapter 4-8 ,Clear Chapter 4-8 ,챕터4 스테이지8 클리어,Limpar Capítulo 4-8,เคลียร์บทที่ 4-8,{20391=1;gold=16000;12=20},,,
17,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10510,,通过第五章10关,通過第五章10關,Clear Chapter 5-10,Clear Chapter 5-10,챕터5 스테이지10 클리어,Limpar Capítulo 5-10,เคลียร์บทที่ 5-10,{20391=1;gold=18000;12=20},,,
18,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10610,,通过第六章10关,通過第六章10關,Clear Chapter 6-10,Clear Chapter 6-10,챕터6 스테이지10 클리어,Limpar Capítulo 6-10,เคลียร์บทที่ 6-10,{20391=1;gold=20000;12=20},,,
19,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10710,,通过第七章10关,通過第七章10關,Clear Chapter 7-10,Clear Chapter 7-10,챕터7 스테이지10 클리어,Limpar Capítulo 7-10,เคลียร์บทที่ 7-10,{20391=1;gold=18000;12=20},,,
20,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10810,,通过第八章10关,通過第八章10關,Clear Chapter 8-10,Clear Chapter 8-10,챕터8 스테이지10 클리어,Limpar Capítulo 8-10,เคลียร์บทที่ 8-10,{20391=1;gold=18000;12=20},,,
21,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,3,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{20391=1;13=10;504=10;gold=30000},{rmb=600},{rmb=6000},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
23,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
24,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{3=3},3个宝可精灵升级至绿+1品质,3個寶可精靈升級至綠+1品質,Upgrade 3Pokémons to Uncommon +1,Upgrade 3Pokémons to Uncommon +1,포켓몬 3마리 초록색+1 등급 달성,Atualize 3Pokémons para Incomum +1,อัพเกรดโปเกมอน 3 ตัวเป็น Uncommon +1,{20391=1;gold=4000;12=20},,,
25,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{5=2},5个宝可精灵升级至绿色品质,5個寶可精靈升級至綠色品質,Upgrade 5 Pokémons to Uncommon,Upgrade 5 Pokémons to Uncommon,포켓몬 5마리 초록색 등급 달성,Melhore 5 Pokémons para Incomum,อัพเกรดโปเกมอน 5 ตัวให้เป็นอันธรรมดา,{20391=1;gold=6000;12=20},,,
26,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{5=4},5个宝可精灵升级至绿+2品质,5個寶可精靈升級至綠+2品質,Upgrade 5Pokémons to Uncommon +2,Upgrade 5Pokémons to Uncommon +2,포켓몬 5마리 초록색+2 등급 달성,Atualize 5 Pokémon para Incomum +2,อัพเกรดโปเกมอน 5 ตัวเป็น Uncommon +2,{20391=1;gold=8000;12=20},,,
27,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{3=5},3个宝可精灵升级至蓝色品质,3個寶可精靈升級至藍色品質,Upgrade 3 Pokémons to Rare,Upgrade 3 Pokémons to Rare,포켓몬 3마리 파란색 등급 달성,Melhore 3 Pokémons para Raro,อัพเกรดโปเกมอน 3 ตัวให้เป็นระดับหายาก,{20391=1;gold=10000;12=20},,,
28,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=5},6个宝可精灵升级至蓝色品质,6個寶可精靈升級至藍色品質,Upgrade 6 Pokémons to Rare,Upgrade 6 Pokémons to Rare,포켓몬 6마리 파란색 등급 달성,Atualize 6 Pokémons para Raro,อัพเกรดโปเกมอน 6 ตัวให้เป็นระดับหายาก,{20391=1;gold=12000;12=20},,,
29,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=6},6个宝可精灵升级至蓝+1品质,6個寶可精靈升級至藍+1品質,Upgrade 6Pokémons to Rare +1 grade,Upgrade 6Pokémons to Rare +1 grade,포켓몬 6마리 파란색+1 등급 달성,Atualize 6 Pokémon para Raro +1 grau,อัพเกรดโปเกมอน 6 ตัวเป็นระดับหายาก +1,{20391=1;gold=14000;12=20},,,
30,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=7},6个宝可精灵升级至蓝+2品质,6個寶可精靈升級至藍+2品質,Upgrade 6Pokémons to Rare +2 grade,Upgrade 6Pokémons to Rare +2 grade,포켓몬 6마리 파란색+2 등급 달성,Melhore 6 Pokémon para Raro +2 grau,อัพเกรดโปเกมอน 6 ตัวเป็นระดับหายาก +2,{20391=1;gold=16000;12=20},,,
31,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=8},6个宝可精灵升级至蓝+3品质,6個寶可精靈升級至藍+3品質,Upgrade 6Pokémons to Rare +3 grade,Upgrade 6Pokémons to Rare +3 grade,포켓몬 6마리 파란색+3 등급 달성,Melhore 6 Pokémon para Raro +3 grau,อัพเกรดโปเกมอน 6 ตัวเป็นระดับหายาก +3,{20391=1;gold=18000;12=20},,,
32,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=9},6个宝可精灵升级至紫色品质,6個寶可精靈升級至紫色品質,Upgrade 6 Pokémons to Epic,Upgrade 6 Pokémons to Epic,포켓몬 6마리 보라색 등급 달성,Melhore 6 Pokémons para Épico,อัพเกรดโปเกมอน 6 ตัวเป็นระดับ Epic,{20391=1;gold=20000;12=20},,,
33,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=10},6个宝可精灵升级至紫+1品质,6個寶可精靈升級至紫+1品質,Upgrade 6 Pokémons to Epic +1,Upgrade 6 Pokémons to Epic +1,포켓몬 6마리 보라색+1 등급 달성,Melhore 6 Pokémons para Épico +1,อัพเกรดโปเกมอน 6 ตัวเป็นระดับ Epic +1,{20391=1;gold=10000;12=20},,,
34,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{2=3},获得2个3星宝可精灵,獲得2個3星寶可精靈,Own  2 3-star Pokémons,Own  2 3-star Pokémons,3성 포켓몬 2마리 획득,Ter2 Pokémons de 3 estrelas,เป็นเจ้าของโปเกมอน 3 ดาว 2 ตัว,{20391=1;gold=12000;12=20},,,
35,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{4=3},获得4个3星宝可精灵,獲得4個3星寶可精靈,Own  4 3-star Pokémons,Own  4 3-star Pokémons,3성 포켓몬 4마리 획득,Ter4 Pokémons de 3 estrelas,เป็นเจ้าของโปเกมอน 3 ดาว 4 ตัว,{20391=1;gold=4000;12=20},,,
36,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{6=3},获得6个3星宝可精灵,獲得6個3星寶可精靈,Own  6 3-star Pokémons,Own  6 3-star Pokémons,3성 포켓몬 6마리 획득,TerPokémons de 3 estrelas,เป็นเจ้าของโปเกมอน 3 ดาว 6 ตัว,{20391=1;gold=6000;12=20},,,
37,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{2=4},获得2个4星宝可精灵,獲得2個4星寶可精靈,Own  2 4-star Pokémons,Own  2 4-star Pokémons,4성 포켓몬 2마리 획득,Ter2 Pokémons de 4 estrelas,เป็นเจ้าของโปเกมอน 4 ดาว 2 ตัว,{20391=1;gold=8000;12=20},,,
38,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{4=4},获得4个4星宝可精灵,獲得4個4星寶可精靈,Own  4 4-star Pokémons,Own  4 4-star Pokémons,4성 포켓몬 4마리 획득,Ter4 Pokémons 4 estrelas,เป็นเจ้าของโปเกมอน 4 ดาว 4 ตัว,{20391=1;gold=10000;12=20},,,
39,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{6=4},获得6个4星宝可精灵,獲得6個4星寶可精靈,Own  6 4-star Pokémons,Own  6 4-star Pokémons,4성 포켓몬 6마리 획득,Ter6 Pokémons 4 estrelas,เป็นเจ้าของโปเกมอน 4 ดาว 6 ตัว,{20391=1;gold=12000;12=20},,,
40,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{1=5},获得1个5星宝可精灵,獲得1個5星寶可精靈,Own  1 5-star Pokémons,Own  1 5-star Pokémons,5성 포켓몬 1마리 획득,Ter1 Pokémons 5 estrelas,เป็นเจ้าของโปเกมอน 5 ดาว 1 ตัว,{20391=1;gold=14000;12=20},,,
41,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{3=5},获得3个5星宝可精灵,獲得3個5星寶可精靈,Own  3 5-star Pokémons,Own  3 5-star Pokémons,5성 포켓몬 3마리 획득,Ter3 Pokémons 5 estrelas,เป็นเจ้าของโปเกมอน 5 ดาว 3 ตัว,{20391=1;gold=8000;12=20},,,
42,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{2=6},获得2个6星宝可精灵,獲得2個6星寶可精靈,Own  2 6-star Pokémons,Own  2 6-star Pokémons,6성 포켓몬 2마리 획득,Ter2 Pokémons de 6 estrelas,เป็นเจ้าของโปเกมอน 6 ดาว 2 ตัว,{20391=1;gold=10000;12=20},,,
43,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,2,精灵升星,精靈升星,Star Up,Star Up,포켓몬 승급,Estrela para cima,สตาร์อัพ,1,10,,{1=7},获得1个7星宝可精灵,獲得1個7星寶可精靈,Own  1 7-star Pokémons,Own  1 7-star Pokémons,7성 포켓몬 1마리 획득,Ter1 Pokémons de 7 estrelas,เป็นเจ้าของโปเกมอน 7 ดาว 1 ตัว,{20391=1;gold=12000;12=20},,,
44,11001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,3,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{20391=1;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
46,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
47,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{10=2},10件装备升级至绿色品质,10件裝備升級至綠色品質,Upgrade 10 equipment to Uncommon,Upgrade 10 equipment to Uncommon,장비 10개 초록색 등급 달성,Atualize 10 equipamentos para Incomum,อัพเกรดอุปกรณ์ 10 ชิ้นให้เป็น Uncommon,{20391=1;gold=4000;12=20},,,
48,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{20=2},20件装备升级至绿色品质,20件裝備升級至綠色品質,Upgrade 20 equipment to Uncommon,Upgrade 20 equipment to Uncommon,장비 20개 초록색 등급 달성,Atualize 20 equipamentos para Incomum,อัพเกรดอุปกรณ์ 20 ชิ้นให้เป็น Unmon,{20391=1;gold=6000;12=20},,,
49,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{10=3},10件装备升级至绿色+1品质,10件裝備升級至綠色+1品質,Increase 10 equipment to uncommon +1,Increase 10 equipment to uncommon +1,장비 10개 초록색+1 등급 달성,Aumente 10 equipamentos para incomum +1,เพิ่มอุปกรณ์ 10 ชิ้นเป็นไม่ธรรมดา +1,{20391=1;gold=8000;12=20},,,
50,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{20=3},20件装备升级至绿色+1品质,20件裝備升級至綠色+1品質,Increase 20 equipment to uncommon +1,Increase 20 equipment to uncommon +1,장비 20개 초록색+1 등급 달성,Aumente 20 equipamentos para incomum +1,เพิ่มอุปกรณ์ 20 เป็นไม่ธรรมดา +1,{20391=1;gold=10000;12=20},,,
51,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{10=4},10件装备升级至绿色+2品质,10件裝備升級至綠色+2品質,Increase 10 equipment to uncommon +2,Increase 10 equipment to uncommon +2,장비 10개 초록색+2 등급 달성,Aumente 10 equipamentos para incomum +2,เพิ่มอุปกรณ์ 10 ชิ้นเป็นไม่ธรรมดา +2,{20391=1;gold=12000;12=20},,,
52,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{20=4},20件装备升级至绿色+2品质,20件裝備升級至綠色+2品質,Increase 20 equipment to uncommon +2,Increase 20 equipment to uncommon +2,장비 20개 초록색+2 등급 달성,Aumente 20 equipamentos para incomum +2,เพิ่มอุปกรณ์ 20 เป็นไม่ธรรมดา +2,{20391=1;gold=14000;12=20},,,
53,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{10=5},10件装备升级至蓝色品质,10件裝備升級至藍色品質,Enhance 10 equipment to Rare grade,Enhance 10 equipment to Rare grade,장비 10개 파란색 등급 달성,Melhore 10 equipamentos para grau Raro,อัพเกรดอุปกรณ์ 10 ชิ้นเป็นระดับหายาก,{20391=1;gold=16000;12=20},,,
54,11001,3,2,第3天,第3天,Day3,Thứ 3 Trời,3일 차,Day3,Day3,1,装备进阶,裝備進階,Equip. Advance,Equip. Advance,장비 진화,Equipar. Avançar,อุปกรณ์.ล่วงหน้า,1,11,,{20=5},20件装备升级至蓝色品质,20件裝備升級至藍色品質,Enhance 20 equipment to Rare grade,Enhance 20 equipment to Rare grade,장비 20개 파란색 등급 달성,Melhore 20 equipamentos para grau Raro,อัพเกรดอุปกรณ์ 20 ชิ้นเป็นระดับหายาก,{20391=1;gold=18000;12=20},,,
