变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,type,feature,taskType,taskParam,taskDesc,taskDesc_tw,taskDesc_en,taskDesc_vn,taskDesc_kr,taskDesc_pt,taskDesc_th,res,icon,award,items,goto
9,公会,公會,union,Công hội,길드,união,สหภาพ,加入公会，寻找志同道合的伙伴,加入公會，尋找志同道合的夥伴,Join a union and find like-minded companions,Tham gia bang hội và tìm kiếm những người bạn cùng chí hướng.,"길드에 가입하고, 뜻이 맞는 친구들을 찾으세요",Junte-se a um sindicato e encontre companheiros com ideias semelhantes,เข้าร่วมสหภาพและค้นหาเพื่อนที่มีความคิดเหมือนกัน,,union,,,,,,,,,,config/grow_guide/union.jpg,city/levelup/icon_gh_rk@.png,{gold = 10000;rmb = 20},<coin3>,union
10,公会,公會,union,Công hội,길드,união,สหภาพ,加入公会，寻找志同道合的伙伴,加入公會，尋找志同道合的夥伴,Join a union and find like-minded companions,"Tham gia bang hội, tìm kiếm những người bạn cùng chí hướng.","길드에 가입하고, 뜻이 맞는 친구들을 찾으세요",Junte-se a um sindicato e encontre companheiros com ideias semelhantes,เข้าร่วมสหภาพและค้นหาเพื่อนที่มีความคิดเหมือนกัน,2,union,55,10,捐赠公会10次,捐贈公會10次,Make donation to the union 10 times,Tặng guild 10 lần,길드 공헌 10회,Faça uma doação ao sindicato 10 vezes,บริจาคเงินให้สหภาพฯ 10 ครั้ง,config/grow_guide/union.jpg,city/levelup/icon_gh_rk@.png,{gold = 10000;rmb = 20},<coin3>,union
11,石英大会,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,Conferência Indigo Plateau,การประชุมที่ราบสูงอินดิโก้,竞争角逐，挑战最强,競爭角逐，挑戰最強,Compete to be the best trainer,"Cạnh tranh quyết liệt, thách thức mạnh nhất","치열한 경쟁, 최강에 도전하세요",Competir para ser o melhor treinador,แข่งขันเพื่อเป็นเทรนเนอร์ที่ดีที่สุด,,craft,,,,,,,,,,config/grow_guide/sydh.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin6>,craft
12,石英大会,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,Conferência Indigo Plateau,การประชุมที่ราบสูงอินดิโก้,竞争角逐，挑战最强,競爭角逐，挑戰最強,Compete to be the best trainer,"Cạnh tranh quyết liệt, thách thức mạnh nhất","치열한 경쟁, 최강에 도전하세요",Competir para ser o melhor treinador,แข่งขันเพื่อเป็นเทรนเนอร์ที่ดีที่สุด,2,craft,102,5,手动报名参加5次石英大会,手動報名參加5次石英大會,Manually participate in Indigo Plataeu Conference 5 times,Đăng ký tham dự 5 hội nghị Quartz bằng tay,석영 대회 수동 참가 신청 5회,Participar manualmente da Conferência Indigo Plataeu 5 vezes,เข้าร่วมการประชุม Indigo Plataeu ด้วยตนเอง 5 ครั้ง,config/grow_guide/sydh.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin6>,craft
13,天赋强化,天賦強化,Talent enhancement,Talent enhancement,특성 강화,Aprimoramento de talentos,การพัฒนาความสามารถ,全体强化，变得更强,全體強化，變得更強,Enhancements for all and become stronger,"Tăng cường toàn diện, trở nên mạnh mẽ hơn","전체 강화로, 더 강해지세요",Melhorias para todos e fique mais forte,เพิ่มประสิทธิภาพให้ทุกคนและแข็งแกร่งยิ่งขึ้น,,talent,,,,,,,,,,config/grow_guide/talent.jpg,city/levelup/icon_tf_rk@.png,{gold = 10000;rmb = 20},<talent_point>,talent
14,天赋强化,天賦強化,Talent enhancement,Talent enhancement,특성 강화,Aprimoramento de talentos,การพัฒนาความสามารถ,全体强化，变得更强,全體強化，變得更強,Enhancements for all and become stronger,"Tăng cường toàn diện, trở nên mạnh mẽ hơn","전체 강화로, 더 강해지세요",Melhorias para todos e fique mais forte,เพิ่มประสิทธิภาพให้ทุกคนและแข็งแกร่งยิ่งขึ้น,2,talent,99,50,累积使用50点天赋点,累積使用50點天賦點,Use 50 Talent points in total,Đã tích lũy 50 điểm tài năng,특성포인트 50개 누적 사용,Use 50 pontos de talento no total,ใช้แต้มความสามารถทั้งหมด 50 แต้ม,config/grow_guide/talent.jpg,city/levelup/icon_tf_rk@.png,{gold = 10000;rmb = 20},<talent_point>,talent
15,日常任务,日常任務,Daily quest,Daily quest,일일 퀘스트,Missão diária,ภารกิจประจำวัน,不积跬步，无以千里,不積跬步，無以千里,Small steps get us to faraway places,"Không tích tiểu thành đại, không thể đi được ngàn dặm.",천릿길도 한 걸음부터,Pequenos passos nos levam a lugares distantes,ก้าวเล็กๆ พาเราไปสู่สถานที่อันห่างไกล,,dailyTask,,,,,,,,,,config/grow_guide/task.jpg,city/levelup/icon_rw_rk@.png,{gold = 10000;rmb = 20},<role_exp;453;19>,task
16,日常任务,日常任務,Daily quest,Daily quest,일일 퀘스트,Missão diária,ภารกิจประจำวัน,不积跬步，无以千里,不積跬步，無以千里,Small steps get us to faraway places,"Không tích tiểu thành đại, không thể đi được ngàn dặm.",천릿길도 한 걸음부터,Pequenos passos nos levam a lugares distantes,ก้าวเล็กๆ พาเราไปสู่สถานที่อันห่างไกล,2,dailyTask,70,20,完成20个日常任务,完成20個日常任務,Complete 20 daily quests,Hoàn thành 20 nhiệm vụ hàng ngày,일일 퀘스트 20개 완료,Complete 20 missões diárias,ทำภารกิจประจำวันให้สำเร็จ 20 ภารกิจ,config/grow_guide/task.jpg,city/levelup/icon_rw_rk@.png,{gold = 10000;rmb = 20},<role_exp;453;19>,task
17,噩梦关卡,噩夢關卡,Nightmare levels,Ác mộng cửa ải,악몽 스테이지,Níveis de pesadelo,ระดับฝันร้าย,无惧噩梦，迎接挑战,無懼噩夢，迎接挑戰,Fear no darkness and accept the challenge,"Đừng sợ hãi ác mộng, hãy đón nhận thử thách","악몽을 두려워하지 말고, 도전을 받아들이세요",Não tema a escuridão e aceite o desafio,อย่ากลัวความมืดและยอมรับการท้าทาย,,nightmareGate,,,,,,,,,,config/grow_guide/nightmare.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,30000
18,噩梦关卡,噩夢關卡,Nightmare levels,Ác mộng cửa ải,악몽 스테이지,Níveis de pesadelo,ระดับฝันร้าย,无惧噩梦，迎接挑战,無懼噩夢，迎接挑戰,Fear no darkness and accept the challenge,"Đừng sợ cơn ác mộng, hãy đón nhận thử thách","악몽을 두려워하지 말고, 도전을 받아들이세요",Não tema a escuridão e aceite o desafio,อย่ากลัวความมืดและยอมรับการท้าทาย,2,nightmareGate,31,5,通关噩梦副本5次,通關噩夢副本5次,Clear Nightmare Dungeon 5 times,Đã vượt qua phụ bản ác mộng 5 lần,악몽 던전 클리어 5회,Limpe o Calabouço do Pesadelo 5 vezes,เคลียร์ดันเจี้ยนฝันร้าย 5 ครั้ง,config/grow_guide/nightmare.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,30000
19,图鉴,圖鑒,Pokédex,Đồ giám,도감,Pokédex,โปเกเด็กซ์,收集精灵，解锁能力,收集精靈，解鎖能力,Collect Pokémons and unleash powers,"Thu thập linh hồn, mở khóa khả năng","포켓몬을 수집하고, 능력을 해방하세요",Colecione Pokémons e libere poderes,รวบรวมโปเกมอนและปลดปล่อยพลัง,,handbook,,,,,,,,,,config/grow_guide/handbook.jpg,city/levelup/icon_tj_rk@.png,{gold = 10000;rmb = 20},,handbook
,图鉴,圖鑒,Pokédex,Đồ giám,도감,Guia ilustrada,คู่มือภาพประกอบ,收集精灵，解锁能力,收集精靈，解鎖能力,Collect Pokémons and unleash powers,"Thu thập linh hồn, mở khóa khả năng","포켓몬을 수집하고, 능력을 해방하세요","Colecione espíritos, desbloqueie habilidades",สะสมวิญญาณ ปลดล็อกความสามารถ,2,handbook,,,,,,,,,,config/grow_guide/handbook.jpg,city/levelup/icon_tj_rk@.png,{gold = 10000;rmb = 20},,handbook
21,以太乐园,乙太樂園,Aether Paradise,Aether nhạc viên,에테르파라다이스,Paraíso do Éter,สวรรค์แห่งอีเธอร์,随机挑战，其乐无穷,隨機挑戰，其樂無窮,Random challenge for more fun and surprises,"Thử thách ngẫu nhiên, niềm vui bất tận","종잡을 수 없는 도전, 무한의 즐거움",Desafio aleatório para mais diversão e surpresas,ความท้าทายแบบสุ่มเพื่อความสนุกสนานและความประหลาดใจมากขึ้น,,randomTower,,,,,,,,,,config/grow_guide/randomtower.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<coin2;4000>,randomTower
22,以太乐园,乙太樂園,Aether Paradise,Aether nhạc viên,에테르파라다이스,Paraíso do Éter,สวรรค์แห่งอีเธอร์,随机挑战，其乐无穷,隨機挑戰，其樂無窮,Random challenge for more fun and surprises,"Thử thách ngẫu nhiên, niềm vui vô tận","종잡을 수 없는 도전, 무한의 즐거움",Desafio aleatório para mais diversão e surpresas,ความท้าทายแบบสุ่มเพื่อความสนุกสนานและความประหลาดใจมากขึ้น,2,randomTower,100,20,以太乐园战斗胜利20次,乙太樂園戰鬥勝利20次,Win Aether Paradise Challenge 20 times,20 trận thắng tại Vườn Địa Ngục Etheria,에테르 파라다이스 전투 승리 20회,Ganhe o desafio Aether Paradise 20 vezes,ชนะการท้าทาย Aether Paradise 20 ครั้ง,config/grow_guide/randomtower.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<coin2>,randomTower
23,捕捉精灵,捕捉精靈,Catch Pokémons,Catch Pokémons,포켓몬 포획,Pegue Pokémons,จับโปเกมอน,寻找，然后抓住它吧,尋找，然後抓住它吧,Find & Catch,"Tìm nó, và sau đó nắm lấy nó.","찾아내서, 본인의 것으로 만드세요",Encontre e pegue,ค้นหาและจับ,,limitCapture,,,,,,,,,,config/grow_guide/capture.jpg,city/levelup/icon_jl_rk@.png,{gold = 10000;rmb = 20},<525;524;523>,capture
24,捕捉精灵,捕捉精靈,Catch Pokémons,Catch Pokémons,포켓몬 포획,Pegue Pokémons,จับโปเกมอน,寻找，然后抓住它吧,尋找，然後抓住它吧,Find & Catch,"Tìm nó, rồi bắt lấy nó.","찾아내서, 본인의 것으로 만드세요",Encontre e pegue,ค้นหาและจับ,2,limitCapture,81,5,成功捕捉5只精灵,成功捕捉5只精靈,Capture 5 Pokémons,Đã bắt được 5 Pokémon,포켓몬 5마리 포획 성공,Capture 5 Pokémons,จับโปเกมอน 5 ตัว,config/grow_guide/capture.jpg,city/levelup/icon_jl_rk@.png,{gold = 10000;rmb = 20},<525;524;523>,
25,派遣任务,派遣任務,Dispatch quest,Điều động nhiệm vụ,파견 퀘스트,Missão de despacho,ภารกิจส่งของ,委派精灵，获得丰富奖励,委派精靈，獲得豐富獎勵,Dispatch Pokémon to get plenty of rewards,"Giao nhiệm vụ cho linh hồn, nhận phần thưởng hậu hĩnh","포켓몬을 파견해, 푸짐한 보상을 획득하세요",Envie Pokémon para obter muitas recompensas,ส่งโปเกมอนเพื่อรับรางวัลมากมาย,,dispatchTask,,,,,,,,,,config/grow_guide/dispatch.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<2101;2102;2103;5000>,dispatchTask
26,派遣任务,派遣任務,Dispatch quest,Điều động nhiệm vụ,파견 퀘스트,Missão de despacho,ภารกิจส่งของ,委派精灵，获得丰富奖励,委派精靈，獲得豐富獎勵,Dispatch Pokémon to get plenty of rewards,"Giao nhiệm vụ cho linh hồn, nhận phần thưởng hậu hĩnh","포켓몬을 파견해, 푸짐한 보상을 획득하세요",Envie Pokémon para obter muitas recompensas,ส่งโปเกมอนเพื่อรับรางวัลมากมาย,2,dispatchTask,101,5,进行5次派遣任务,進行5次派遣任務,Complete 5 dispatch quests,Hoàn thành 5 nhiệm vụ điều động,파견 퀘스트 진행 5회,Complete 5 missões de despacho,ทำภารกิจส่งของให้สำเร็จ 5 ครั้ง,config/grow_guide/dispatch.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<2101;2102;2103;5000>,dispatchTask
27,探险器,探險器,Explorer Device,Thám hiểm khí,탐지기,Dispositivo Explorer,อุปกรณ์สำรวจ,,,,,,,,,explorer,,,,,,,,,,config/grow_guide/explorer.jpg,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<coin4>,explorer
28,探险器,探險器,Explorer Device,Thám hiểm khí,탐지기,Dispositivo Explorer,อุปกรณ์สำรวจ,,,,,,,,2,explorer,84,5,强化探险器5次,強化探險器5次,Enhance Explorer Device 5 times,Tăng cường thiết bị thám hiểm 5 lần,탐지기 강화 5회,Melhore o dispositivo Explorer 5 vezes,เพิ่มประสิทธิภาพอุปกรณ์ Explorer 5 เท่า,config/grow_guide/explorer.jpg,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<coin4>,explorer
29,元素挑战,元素挑戰,Element Challenge,Nguyên tố khiêu chiến,엘리멘탈 챌린지,Desafio dos Elementos,ความท้าทายขององค์ประกอบ,挑战神兽，获取碎片,挑戰神獸，獲取碎片,Challenge Legendary Pokémon and get shards,"Thách thức thần thú, nhận mảnh vỡ","전설의 포켓몬에 도전하여, 조각을 얻으세요",Desafie Pokémon lendários e ganhe fragmentos,ท้าทายโปเกมอนในตำนานและรับชิ้นส่วน,,cloneBattle,,,,,,,,,,config/grow_guide/clone.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,cloneBattle
30,元素挑战,元素挑戰,Element Challenge,Nguyên tố khiêu chiến,엘리멘탈 챌린지,Desafio dos Elementos,ความท้าทายขององค์ประกอบ,挑战神兽，获取碎片,挑戰神獸，獲取碎片,Challenge Legendary Pokémon and get shards,"Thử thách thần thú, nhận mảnh vỡ","전설의 포켓몬에 도전하여, 조각을 얻으세요",Desafie Pokémon lendários e ganhe fragmentos,ท้าทายโปเกมอนในตำนานและรับชิ้นส่วน,2,cloneBattle,66,3,元素挑战战斗胜利3次,元素挑戰戰鬥勝利3次,Win Element Challenge 3 times,Chiến thắng 3 trận chiến Thử thách Nguyên tố,엘리멘탈 챌린지 전투 승리 3회,Ganhe o Element Challenge 3 vezes,ชนะ Element Challenge 3 ครั้ง,config/grow_guide/clone.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,cloneBattle
31,符石,符石,Gem,Gem,룬스톤,Jóia,อัญมณี,符石镶嵌，获得强力共鸣效果,符石鑲嵌，獲得強力共鳴效果,Inlay gems to get powerful resonance effect,Lắp đặt ngọc để có hiệu ứng cộng hưởng mạnh mẽ.,"룬스톤을 인첸트하여, 강력한 공명 효과를 얻으세요",Incruste gemas para obter um efeito de ressonância poderoso,ฝังอัญมณีเพื่อให้ได้เอฟเฟกต์เสียงสะท้อนอันทรงพลัง,,gem,,,,,,,,,,config/grow_guide/gem.png,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<529>,gemTitle
32,符石抽取,符石抽取,Gem Draw,Gem Draw,룬스톤 뽑기,Sorteio de gemas,การจับฉลากอัญมณี,符石镶嵌，获得强力共鸣效果,符石鑲嵌，獲得強力共鳴效果,Inlay gems to get powerful resonance effect,"Khảm nạm ngọc Rune, nhận được hiệu ứng cộng hưởng mạnh mẽ.","룬스톤을 인첸트하여, 강력한 공명 효과를 얻으세요",Incruste gemas para obter um efeito de ressonância poderoso,ฝังอัญมณีเพื่อให้ได้เอฟเฟกต์เสียงสะท้อนอันทรงพลัง,2,gem,105,20,累计抽取符石20次,累計抽取符石20次,Draw gems for a total of 20 times,Đã tiến hành 20 lần triệu hồi đá triệu hồi,룬스톤 뽑기 20회 누적,Desenhe gemas um total de 20 vezes,ดึงอัญมณีทั้งหมด 20 ครั้ง,config/grow_guide/gemdraw.png,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<529>,gemDraw
33,超进化,超進化,Mega Evolution,Mega Evolution,메가진화,Mega Evolução,วิวัฒนาการเมก้า,mega进化，突破极限,mega進化，突破極限,"Mega Evolution, Extreme Breakthrough","Mega Tiến Hóa, Vượt Qua Giới Hạn",mega 진화하여 한계를 돌파한다,"Mega Evolução, Avanço Extremo",Mega Evolution ความก้าวหน้าครั้งยิ่งใหญ่,,mega,,,,,,,,,,config/grow_guide/mega.png,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,钓鱼,釣魚,Fishing,Câu cá,낚시,Pesca,การตกปลา,悠闲垂钓，收获奖励,悠閒垂釣，收穫獎勵,"Relaxed fishing, rewarding harvest","Câu cá thư giãn, thu hoạch phần thưởng",여유롭게 낚시，보상 받기,"Pesca de lazer, recompensas de colheita",ตกปลาชิลล์ๆ เก็บเกี่ยวผลตอบแทน,,fishing,,,,,,,,,,config/grow_guide/fishing.png,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,fishing
36,钓鱼,釣魚,Fishing,Câu cá,낚시,Pesca,การตกปลา,悠闲垂钓，收获奖励,悠閒垂釣，收穫獎勵,"Leisurely fishing, rewarding harvest","Câu cá nhàn nhã, thu hoạch phần thưởng",여유롭게 낚시，보상 받기,"Pesca de lazer, recompensas de colheita",ตกปลาชิลล์ๆ เก็บเกี่ยวผลตอบแทน,2,fishing,109,10,成功钓上10条鱼,累計抽取符石20次,Draw gems for a total of 20 times,Đã câu được 10 con cá,물고기 10개 낚시 성공,Desenhe gemas um total de 20 vezes,ดึงอัญมณีทั้งหมด 20 ครั้ง,config/grow_guide/fishing.png,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,fishing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,狩猎地带,狩獵地帶,Hunting Grounds,Vùng săn bắn,사냥 지대,Zona de caça,โซนล่าสัตว์,狩猎大师，挑战强者,狩獵大師，挑戰強者,"Hunting Master, Challenge the Strong","Bậc thầy săn bắn, thách thức người mạnh","사냥의 장인, 강자 도전","Mestre da Caça, Desafie os Fortes",นักล่าผู้กล้า ท้าทายผู้แข็งแกร่ง,2,hunting,113,1,完成1次狩猎地带普通线路的挑战,完成一次狩獵地帶普通路線的挑戰,Complete a normal route challenge in the hunting grounds.,Hoàn thành thử thách tuyến đường bình thường ở khu săn bắn.,사냥 지대 일반 코스 도전 1회 완료,Complete 1 desafio de rota normal da zona de caça,พิชิตเส้นทางปกติในโซนล่าสัตว์ 1 แห่งให้สำเร็จ,config/grow_guide/sldd.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,hunting
39,狩猎地带进阶线路,狩獵地帶進階路線,Advanced Hunting Grounds Route,Tuyến đường săn bắn nâng cao,사냥 지대 진급 코스,Rota Avançada da Zona de Caça,เส้นทางขั้นสูงโซนล่าสัตว์,狩猎大师，挑战强者,狩獵大師，挑戰強者,"Hunting Master, Challenge the Strong","Đại sư săn bắn, thách thức người mạnh","사냥의 장인, 강자 도전","Mestre da Caça, Desafie os Fortes",นักล่าผู้กล้า ท้าทายผู้แข็งแกร่ง,2,specialHunting,114,1,完成1次狩猎地带进阶线路的挑战,完成一次狩獵地帶進階路線的挑戰,Complete the advanced hunting ground progression challenge.,Hoàn thành thử thách tuyến đường nâng cao khu săn bắn.,사냥 지대 진급 코스 도전 1회 완료,Complete 1 desafio de rota normal da zona de caça,พิชิตเส้นทางปกติในโซนล่าสัตว์ 1 แห่งให้สำเร็จ,config/grow_guide/sldd.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,specialHunting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,宝可梦挑战,寶可夢挑戰,Pokémon Challenge,Thử thách Pokémon,포켓몬 챌린지,Desafios Pokémon,ความท้าทายของโปเกมอน,宝可梦挑战，迈向最强之路,寶可夢挑戰，邁向最強之路,Pokémon Challenge: The Path to Becoming the Strongest,Thử thách Pokémon: Con đường đến ngôi vị mạnh nhất,포켓몬 챌린지: 최강의 길로,"Desafio Pokémon, o caminho para se tornar o mais forte",Pokémon Challenge เส้นทางสู่การเป็นผู้แข็งแกร่งที่สุด,,normalBraveChallenge,,,,,,,,,,config/grow_guide/yztz.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,normalBraveChallenge
41,宝可梦挑战,寶可夢挑戰,Pokémon Challenge,Thử thách Pokémon,포켓몬 챌린지,Desafios Pokémon,ความท้าทายของโปเกมอน,宝可梦挑战，迈向最强之路,寶可夢挑戰，邁向最強之路,Pokémon Challenge: The Path to Becoming the Strongest,Thử thách Pokémon: Con đường đến ngôi vị mạnh nhất,포켓몬 도전: 최강의 길로,"Desafio Pokémon, o caminho para se tornar o mais forte",Pokémon Challenge เส้นทางสู่การเป็นผู้แข็งแกร่งที่สุด,2,normalBraveChallenge,118,1,完成1次宝可梦挑战的挑战,完成一場寶可夢挑戰,Complete a Pokémon challenge,Hoàn thành một thử thách Pokémon,포켓몬 챌린지 완료,Complete 1 desafio Pokémon,สำเร็จ 1 Pokémon Challenge,config/grow_guide/yztz.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,normalBraveChallenge
