变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
613,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<371;2891>,,,{7=8%;8=8%}
711,原始组合,原始組合,Original Formation,Sự kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<41;31;2011>,,,{7=8%;8=8%}
712,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<351;451;3511>,,,{1=10%}
713,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<2271;271>,,,{7=8%;8=8%}
811,毒系同伴,毒系同伴,Poison-type companions,Bạn đồng hành hệ Độc,독의 동반자,Companheiro Venenoso,เพื่อนคู่ใจพิษ,,,,,,<101;371;451>,,,{7=8%;8=8%}
812,毒之身躯,毒之身軀,Poisonous Body,Thân xác đầy độc,유독 한 몸,Corpo Venenoso,ร่างกายมีพิษ,,,,,,<121;111;2271>,,,{1=10%}
813,神秘力量,神秘力量,Mysterious power,Sức mạnh huyền bí,신비한 힘,Poder misterioso,พลังลึกลับ,,,,,,<781;51>,,,{7=8%;8=8%}
911,雷电家族,雷電家族,Electric family,Gia đình Raiden,라이덴 가족,Família Raiden,ครอบครัวไรเดน,,,,,,<51;551;731>,,,{7=10%;8=10%}
912,自然之力,自然之力,Power of Nature,Sức mạnh của thiên nhiên,자연의 힘,Força da Natureza,พลังแห่งธรรมชาติ,,,,,,<471;2071;591>,,,{1=10%}
913,电光意识,電光意識,Electric awareness,Ý thức điện quang,전기 광학 인식,Consciência Elétrica,การรับรู้เกี่ยวกับไฟฟ้า,,,,,,<1;11;21>,,,{7=10%;8=10%}
1011,森林同伴,森林同伴,Forest companions,Những người bạn của rừng,숲의 동반자,Companheiros da Floresta,เพื่อนร่วมป่า,,,,,,<351;691;301>,,,{7=8%;8=8%}
1012,大地掌控,大地掌控,Geomancy,Kiểm soát Trái đất,지구 통제,Controle da Terra,การควบคุมโลก,,,,,,<451;61;2611>,,,{1=10%}
1013,觉醒感应,覺醒感應,Awakening detection,Cảm giác thức tỉnh,각성 유도,Indução do Despertar,การปลุกจิตสำนึก,,,,,,<2071;481>,,,{7=8%;8=8%}
1111,毒系同伴,毒系同伴,Poison-type companions,Bạn đồng hành hệ Độc,독의 동반자,Companheiro Venenoso,เพื่อนคู่ใจพิษ,,,,,,<171;281;371>,,,{7=8%;8=8%}
1112,毒之身躯,毒之身軀,Poisonous Body,Thân xác đầy độc,유독 한 몸,Corpo Venenoso,ร่างกายมีพิษ,,,,,,<121;81;481>,,,{1=10%}
1113,神秘力量,神秘力量,Mysterious power,Sức mạnh huyền bí,신비한 힘,Poder misterioso,พลังลึกลับ,,,,,,<1441;481>,,,{7=8%;8=8%}
1211,毒系同伴,毒系同伴,Poison-type companions,Đồng minh hệ Độc,독의 동반자,Companheiro Venenoso,เพื่อนคู่ใจพิษ,,,,,,<1;481;2681>,,,{7=8%;8=8%}
1212,毒之身躯,毒之身軀,Poisonous Body,Thân xác đầy độc,유독 한 몸,Corpo Venenoso,ร่างกายมีพิษ,,,,,,<111;2271;81>,,,{1=10%}
1213,神秘力量,神秘力量,Mysterious power,Sức mạnh bí ẩn,신비한 힘,Poder misterioso,พลังลึกลับ,,,,,,<2922;2071>,,,{7=8%;8=8%}
1311,龙族克星,龍族剋星,Dragon Buster,Sát thủ rồng,드래곤 네메시스,Dragão Nêmesis,มังกรเนเมซิส,,,,,,<1441;1841;1081>,,,{7=10%;8=10%}
1312,广域伙伴,廣域夥伴,Wide Companion,Đối tác rộng khắp,광역 파트너,Parceiros de área ampla,พันธมิตรพื้นที่กว้าง,,,,,,<3431;891;451>,,,{1=10%}
1313,月亮之力,月亮之力,Moonblast,Sức mạnh của mặt trăng,달의 힘,Poder da Lua,พลังแห่งดวงจันทร์,,,,,,<3281;1861;2921>,,,{7=10%;8=10%}
1511,妖精同盟,妖精同盟,Pokémon Alliance,Liên minh Tiên,페어리 리그,Aliança das Fadas,พันธมิตรแฟรี่,,,,,,<3351;3431>,,,{7=10%;8=10%}
1512,普通家庭,普通家庭,Normal Family,Gia đình bình thường,정상적인 가족,Família comum,ครอบครัวธรรมดา,,,,,,<1441;471>,,,{1=10%}
1513,歌唱偶像,歌唱偶像,Singing Idol,Thần tượng ca hát,노래하는 아이돌,Ídolo cantor,ไอดอลร้องเพลง,,,,,,<1391;131>,,,{7=10%;8=10%}
1611,毒虫出没,毒蟲出沒,Poison Bug,Côn trùng độc,독충 출몰,Insetos venenosos estão infestados,แมลงมีพิษเข้ามารบกวน,,,,,,<3771;281;2271>,,,{7=10%;8=10%}
1612,飞行家族,飛行家族,Flying Family,Gia đình bay,비행 가족,Família voadora,ครอบครัวบินได้,,,,,,<3591;3661;2891>,,,{1=12%}
1613,小刚伙伴,小剛夥伴,Brock’s Partner,Đối tác của Tiểu Giang,웅의 파트너,Parceiro de Xiao Gang,คู่หูของเสี่ยวกัง,,,,,,<401;1311;1351>,,,{7=10%;8=10%}
1614,森林对抗,森林對抗,Forest Counter,Đối đầu với rừng,산림 대항,Confronto florestal,การเผชิญหน้าในป่า,,,,,,<1241;111;191>,,,{23=500}
1711,草之誓约,草之誓約,Grass Pledge,Hiệp ước Cỏ,풀의 맹세,Juramento da Grama,คำสาบานแห่งหญ้า,,,,,,<81;2271;3281>,,,{7=8%;8=8%}
1712,森林意志,森林意志,Forest Will,Ý chí của Rừng,숲의 의지,Vontade da Floresta,ฟอเรสต์วิลล์,,,,,,<1351;1;2011>,,,{1=10%}
1713,冒险同伴,冒險同伴,Adventure Partner,Những người bạn đồng hành phiêu lưu,모험 동반자,Companheiro de aventura,เพื่อนร่วมผจญภัย,,,,,,<371;2681;131>,,,{7=8%;8=8%}
1911,虫虫崛起,蟲蟲崛起,Bug Rising,Sự trỗi dậy của côn trùng,버그의 상승,Insetos sobem,แมลงเพิ่มขึ้น,,,,,,<61;371;1441>,,,{7=8%;8=8%}
1912,森林力量,森林力量,Forest Power,Sức mạnh của rừng,숲의 힘,Poder da Floresta,พลังป่าไม้,,,,,,<41;2681;481>,,,{1=10%}
1913,群体情谊,群體情誼,Team Friendship,Tinh thần đoàn kết,그룹 우정,Amizade em grupo,มิตรภาพกลุ่ม,,,,,,<301;3281>,,,{7=8%;8=8%}
2211,水流力量,水流力量,Force of Current,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<631;1351>,,,{7=10%;8=10%}
2212,冲鸭冲鸭,沖鴨沖鴨,Let's go,Tấn công! Tấn công!,종덕 종덕,Vai! Vai!,ไป! ไป!,,,,,,<341;601>,,,{1=10%}
2213,凝水成冰,凝水成冰,Turning water into ice,Nước đông thành đá.,얼음으로 응축,Condensação de água em gelo,การควบแน่นของน้ำกลายเป็นน้ำแข็ง,,,,,,<1861;3011>,,,{7=10%;8=10%}
2311,格斗势力,格鬥勢力,Fighting Forces,Lực lượng chiến đấu,싸우는 힘,Força de combate,กำลังรบ,,,,,,<451;2271;3511>,,,{7=8%;8=8%}
2312,拳之力量,拳之力量,Fist Power,Sức mạnh của nắm đấm,주먹의 힘,O poder do punho,พลังแห่งกำปั้น,,,,,,<461;271;2631>,,,{1=10%}
2313,技巧掌控,技巧掌控,Technique control,Thủ thuật thành thạo,스킬 컨트롤,Controle de habilidades,การควบคุมทักษะ,,,,,,<3011;371>,,,{7=8%;8=8%}
2411,怒火冲天,怒火沖天,Towering Rage,Sôi máu,너무 화났어,Raiva,ความโกรธ,,,,,,<1231;3341;1611>,,,{7=10%;8=10%}
2412,狗狗出击,狗狗出擊,Dog Pound,Chó tấn công!,개 공격,Ataque de cachorro,สุนัขโจมตี,,,,,,<1171;1841>,,,{1=12%}
2413,速度七十迈,速度七十邁,70mph,Bảy mươi dặm một giờ,70 걸음,Velocidade 70 mph,ความเร็ว 70 ไมล์ต่อชั่วโมง,,,,,,<261;351>,,,{7=10%;8=10%}
2414,水火相融,水火相融,Fusion of Water and Fire,Nước và lửa hòa quyện,물과 불,Fogo e água se misturam,การผสมผสานไฟและน้ำ,,,,,,<3301;791;551>,,,{14=500}
2611,特异功能,特異功能,Special Power,Khả năng đặc biệt,특정 기능,Habilidades especiais,ความสามารถพิเศษ,,,,,,<1391;1901>,,,{7=10%;8=10%}
2612,恶灵退散,惡靈退散,Dispel Evil Spirits,Quỷ dữ biến mất!,악령 퇴각,Os espíritos malignos vão embora,วิญญาณร้ายจงออกไป,,,,,,<391;2921;3561>,,,{1=12%}
2613,心电感应,心電感應,Telepathy,Thần giao cách cảm,텔레파시,Telepatia,โทรจิต,,,,,,<881;91;2891>,,,{7=10%;8=10%}
2614,半梦半醒,半夢半醒,Half asleep,Nửa tỉnh nửa mơ,반쯤 깨어,Meio adormecido,ครึ่งหลับครึ่งตื่น,,,,,,<1421;1441>,,,{22=500}
2711,格斗势力,格鬥勢力,Fighting Forces,Lực lượng chiến đấu,싸우는 힘,Força de combate,กำลังรบ,,,,,,<1071;471;3281>,,,{7=10%;8=10%}
2712,拳之力量,拳之力量,Fist Power,Sức mạnh của nắm đấm,주먹의 힘,O poder do punho,พลังแห่งกำปั้น,,,,,,<2631;3511;2271>,,,{1=10%}
2713,技巧掌控,技巧掌控,Technique control,Thủ thuật bậc thầy,스킬 컨트롤,Controle de habilidades,การควบคุมทักษะ,,,,,,<2611;301;2821>,,,{7=10%;8=10%}
2811,草之誓约,草之誓約,Grass Pledge,Lời thề của cỏ,풀의 맹세,Juramento da Grama,คำสาบานแห่งหญ้า,,,,,,<2301;3281;1351>,,,{7=10%;8=10%}
2812,森林意志,森林意志,Forest Will,Ý chí của Rừng,숲의 의지,Vontade da Floresta,ฟอเรสต์วิลล์,,,,,,<1;781;2011>,,,{1=10%}
2813,冒险同伴,冒險同伴,Adventure Partner,Những người bạn đồng hành phiêu lưu,모험 동반자,Companheiro de aventura,เพื่อนร่วมผจญภัย,,,,,,<781;2681;2271>,,,{7=10%;8=10%}
3011,岩石壁垒,岩石壁壘,Rock Barrier,Rào chắn đá,바위 장벽,Parede de pedra,กำแพงหิน,,,,,,<3501;491;801>,,,{7=10%;8=10%}
3012,沙暴之势,沙暴之勢,Sandstorm,Sức mạnh của bão cát,모래 폭풍,Tempestade de areia,พายุทราย,,,,,,<691;2591;101>,,,{1=10%}
3013,自然组合,自然組合,Natural combination,Sự kết hợp tự nhiên,자연스러운 조합,Combinação natural,การผสมผสานที่เป็นธรรมชาติ,,,,,,<2481;2011;2611>,,,{7=10%;8=10%}
3311,雷电家族,雷電家族,Electric family,Gia đình Sấm sét,라이덴 가족,Família Raiden,ครอบครัวไรเดน,,,,,,<591;731;2071>,,,{7=10%;8=10%}
3312,钢筋铁骨,鋼筋鐵骨,Steel Frame,Xương sắt da thép,강화 된 철 뼈,Aço,เหล็ก,,,,,,<1901;2961>,,,{1=12%}
3313,横冲直撞,橫衝直撞,Charging and Shoving Around,liều lĩnh; lao xao; xô đẩy,날 뛰기,Rampage,อาละวาด,,,,,,<1501;2611>,,,{7=10%;8=10%}
3314,悬浮操控,懸浮操控,Levitation Control,Điều khiển bay lơ lửng,플로팅 컨트롤,Controle de suspensão,การควบคุมช่วงล่าง,,,,,,<3021;2871;3561>,,,{23=500}
3411,一般关系,一般關係,General relationship,Mối quan hệ chung,일반적인 관계,Relacionamento Geral,ความสัมพันธ์โดยทั่วไป,,,,,,<51;3511>,,,{7=10%;8=10%}
3412,鸭鸭军团,鴨鴨軍團,Duck Legion,Đội quân vịt,오리 군대,Exército de patos,กองทัพเป็ดเป็ด,,,,,,<601;221>,,,{1=10%}
3413,同行伙伴,同行夥伴,Companions,Những người bạn đồng hành,동료 파트너,Parceiros,พันธมิตร,,,,,,<2241;391;91>,,,{7=10%;8=10%}
3511,原始组合,原始組合,Original Formation,Sự kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<61;471;51>,,,{7=8%;8=8%}
3512,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<71;891;3511>,,,{1=10%}
3513,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<2891;371;1611>,,,{7=8%;8=8%}
3711,毒系同伴,毒系同伴,Poison-type companions,Bạn đồng hành hệ độc,독의 동반자,Companheiro Venenoso,เพื่อนคู่ใจพิษ,,,,,,<81;471;2611>,,,{7=10%;8=10%}
3712,毒之身躯,毒之身軀,Poisonous Body,Thân thể đầy độc,유독 한 몸,Corpo Venenoso,ร่างกายมีพิษ,,,,,,<481;2271;281>,,,{1=10%}
3713,神秘力量,神秘力量,Mysterious power,Sức mạnh bí ẩn,신비한 힘,Poder misterioso,พลังลึกลับ,,,,,,<2721;551;2591>,,,{7=10%;8=10%}
3811,水栖息地,水棲息地,Water Habitat,Môi trường sống dưới nước,물 서식지,Habitat aquático,แหล่งที่อยู่อาศัยในน้ำ,,,,,,<1241;2031;801>,,,{7=10%;8=10%}
3812,坚硬外壳,堅硬外殼,Stalwart Shell,Vỏ cứng,딱딱한 껍데기,Casca dura,เปลือกแข็ง,,,,,,<3021;1901;3411>,,,{1=12%}
3813,海滩奇遇,海灘奇遇,Beach Adventure,Cuộc gặp gỡ trên bãi biển,해변 기우,Aventura na Praia,การผจญภัยบนชายหาด,,,,,,<641;631;551>,,,{7=10%;8=10%}
3814,冰冻纪元,冰凍紀元,Frozen Age,Kỷ Băng Hà,얼음 기원,Era Congelada,ยุคน้ำแข็ง,,,,,,<1081;2301;3501>,,,{23=500}
3911,幽灵感应,幽靈感應,Ghost Detection,Cảm giác ma quái,영감은,Sentido Fantasma,สัมผัสผี,,,,,,<1811;3411;2921>,,,{7=10%;8=10%}
3912,胆战心寒,膽戰心寒,Tremble with fear,Rùng mình vì sợ hãi,냉각,Aterrorizado,หวาดกลัว,,,,,,<3021>,,,{1=12%}
3913,怨毒邪力,怨毒邪力,Poisonous evil,Sức mạnh tà ác độc địa,끔찍한 힘,Malícia,ความอาฆาตพยาบาท,,,,,,<481;2271;2681>,,,{7=10%;8=10%}
3914,调皮捣蛋,調皮搗蛋,Mischievous,Naughty,못된,Safado,ซน,,,,,,<2821;2721;1081>,,,{22=500}
4011,岩石皮肤,岩石皮膚,Rock Skin,Làn da như đá,바위 피부,Pele de pedra,ผิวหิน,,,,,,<1251;301>,,,{7=10%;8=10%}
4012,大地掌控,大地掌控,Geomancy,Kiểm soát Trái đất,지구 통제,Controle da Terra,การควบคุมโลก,,,,,,<491;2611>,,,{1=12%}
4013,钢铁家族,鋼鐵家族,Steel Family,Gia đình Thép,강철 가족,Família de Aço,ครอบครัวสตีล,,,,,,<3411;1501;2961>,,,{7=10%;8=10%}
4014,誓约伙伴,誓約夥伴,Pledge Partner,Những người bạn thề nguyện,맹세 파트너,Parceiro de compromisso,พันธมิตรผู้ให้คำมั่นสัญญา,,,,,,<2241;271;461>,,,{23=500}
4511,森林同伴,森林同伴,Forest companions,Những người bạn của rừng,숲의 동반자,Companheiros da Floresta,เพื่อนร่วมป่า,,,,,,<61;301;2591>,,,{7=8%;8=8%}
4512,大地掌控,大地掌控,Geomancy,Kiểm soát Trái đất,지구 통제,Controle da Terra,การควบคุมโลก,,,,,,<101;1611;2611>,,,{1=10%}
4513,觉醒感应,覺醒感應,Awakening detection,Khả năng thức tỉnh,각성 유도,Indução do Despertar,การปลุกจิตสำนึก,,,,,,<2891;51>,,,{7=8%;8=8%}
4611,格斗势力,格鬥勢力,Fighting Forces,Lực lượng chiến đấu,싸우는 힘,Força de combate,กำลังรบ,,,,,,<191;3511;2631>,,,{7=10%;8=10%}
4612,拳之力量,拳之力量,Fist Power,Sức mạnh của nắm đấm,주먹의 힘,O poder do punho,พลังแห่งกำปั้น,,,,,,<231;271;2271>,,,{1=10%}
4613,技巧掌控,技巧掌控,Technique control,Thủ thuật thành thạo,스킬 컨트롤,Controle de habilidades,การควบคุมทักษะ,,,,,,<2891;1071>,,,{7=10%;8=10%}
4711,原始组合,原始組合,Original Formation,Sự kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<3341;2591;2631>,,,{7=10%;8=10%}
4712,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<51;1441;301>,,,{1=10%}
4713,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<131;271;71>,,,{7=10%;8=10%}
4811,毒系同伴,毒系同伴,Poison-type companions,Đồng hành hệ Độc,독의 동반자,Companheiro Venenoso,เพื่อนคู่ใจพิษ,,,,,,<791;2871;3431>,,,{7=10%;8=10%}
4812,毒之身躯,毒之身軀,Poisonous Body,Thân xác đầy độc,유독 한 몸,Corpo Venenoso,ร่างกายมีพิษ,,,,,,<371;2271;2961>,,,{1=10%}
4813,神秘力量,神秘力量,Mysterious power,Sức mạnh huyền bí,신비한 힘,Poder misterioso,พลังลึกลับ,,,,,,<2721;331;1861>,,,{7=10%;8=10%}
4911,森林同伴,森林同伴,Forest companions,Những người bạn rừng,숲의 동반자,Companheiros da Floresta,เพื่อนร่วมป่า,,,,,,<1251;2231;1611>,,,{7=10%;8=10%}
4912,坚若磐石,堅若磐石,Rock solid,Vững như đá,바위처럼 단단함,Sólido como uma rocha,แข็งแกร่งดั่งหิน,,,,,,<1501;301;2591>,,,{1=12%}
4913,地火蔓延,地火蔓延,Spreading of Ground Fire,Lửa ngầm lan rộng,지상 화재 확산,O fogo se espalha,ไฟลุกลาม,,,,,,<1231;2481>,,,{7=10%;8=10%}
4914,吨位碾压,噸位碾壓,Tonnage Crush,Tonnage nghiền,톤수 롤링,Tonelagem rolante,การกลิ้งเป็นตัน,,,,,,<3501;1861>,,,{23=500}
5011,医者仁心,醫者仁心,Benevolence,Lương y như từ mẫu,의자인심,O coração de um médico,หัวใจของหมอ,,,,,,<3351;781;1351>,,,{7=10%;8=10%}
5012,萌宠联盟,萌寵聯盟,Cutie Alliance,Liên Minh Thú Cưng Dễ Thương,펫의 연맹,Aliança de animais fofos,พันธมิตรสัตว์เลี้ยงแสนน่ารัก,,,,,,<3541;221;2841>,,,{1=12%}
5013,强大信念,強大信念,Strong Belief,Niềm tin mạnh mẽ,강한 신념,Crença Forte,ความเชื่อมั่นอันแรงกล้า,,,,,,<7001;2891;3281>,,,{7=10%;8=10%}
5014,幸福之力,幸福之力,Power of Happiness,Sức mạnh của hạnh phúc,행복의 힘,O poder da felicidade,พลังแห่งความสุข,,,,,,<1771;1891;861>,,,{23=500}
5411,水流力量,水流力量,Force of Current,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<3471;891;81>,,,{7=8%;8=8%}
5412,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<1351;21;551>,,,{1=10%}
5413,覆舟之势,覆舟之勢,Overturn,Thế giặc sắp lật thuyền; tình thế nguy hiểm,전복,A tendência de virar,แนวโน้มที่จะพลิกคว่ำ,,,,,,<2271;1861>,,,{7=8%;8=8%}
5511,水流力量,水流力量,Force of Current,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<781;1861;2301>,,,{7=10%;8=10%}
5512,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<21;801;3471>,,,{1=10%}
5513,覆舟之势,覆舟之勢,Overturn,Xu hướng lật thuyền,전복,A tendência de virar,แนวโน้มที่จะพลิกคว่ำ,,,,,,<2871;2921;3501>,,,{7=10%;8=10%}
5711,虫虫崛起,蟲蟲崛起,Bug Rising,Sự trỗi dậy của côn trùng,버그의 상승,Insetos sobem,แมลงเพิ่มขึ้น,,,,,,<1071;2681;31>,,,{7=10%;8=10%}
5712,体质硬化,體質硬化,Hardened Body,Cơ thể cứng lại,물리적 경화,Endurecimento da constituição,การเสริมสร้างรัฐธรรมนูญ,,,,,,<3411;2961>,,,{1=12%}
5713,刺客联盟,刺客聯盟,Assassins Alliance,Liên Minh Sát Thủ,리그 오브 어쌔신,Liga dos Assassinos,ลีกนักฆ่า,,,,,,<1291;3301>,,,{7=10%;8=10%}
5714,刀锋战士,刀鋒戰士,Blade,Blade Runner,블레이드 워리어,Lâmina,ใบมีด,,,,,,<691;3001>,,,{14=500}
5911,雷电家族,雷電家族,Electric family,Gia đình Raiden,라이덴 가족,Família Raiden,ครอบครัวไรเดน,,,,,,<1221;881;2891>,,,{7=10%;8=10%}
5912,十万伏特,十萬伏特,Thunderbolt,100.000 vôn,10만볼트,100.000 volts,"100,000 โวลต์",,,,,,<731;91;2071>,,,{1=12%}
5913,绝缘体质,絕緣體質,Insulator,Thể chất cách điện,절연체,Isolamento,ฉนวนกันความร้อน,,,,,,<2231;2611>,,,{7=10%;8=10%}
5914,导电体质,導電體質,Conductive body,Thể chất dẫn điện,지휘자,Constituição condutiva,โครงสร้างตัวนำไฟฟ้า,,,,,,<3301;21>,,,{14=500}
6011,火焰掌控,火焰掌控,Flame Control,Kiểm soát ngọn lửa,화염 제어,Maestria do Fogo,ความเชี่ยวชาญด้านไฟ,,,,,,<3291;741;1301>,,,{7=10%;8=10%}
6012,生命之焰,生命之焰,Flame of life,Ngọn lửa của sự sống,생명의 불꽃,Chama da Vida,เปลวไฟแห่งชีวิต,,,,,,<1231>,,,{1=12%}
6013,冲鸭冲鸭,沖鴨沖鴨,Let's go,Tấn công! Tấn công!,종덕 종덕,Vai! Vai!,ไป! ไป!,,,,,,<221;341>,,,{7=10%;8=10%}
6014,水火相融,水火相融,Fusion of Water and Fire,Nước và lửa hòa quyện,물과 불,Fogo e água se misturam,การผสมผสานไฟและน้ำ,,,,,,<1311;631>,,,{14=500}
6111,虫虫军团,蟲蟲軍團,Insect Army,Quân đoàn côn trùng,곤충 군단,Exército de insetos,กองทัพแมลง,,,,,,<571;1071;2681>,,,{7=10%;8=10%}
6112,恢复克星,恢復剋星,Restore Nemesis,Khôi phục Nemesis,네메시스 복원,Destruidor de Restauração,บัสเตอร์ฟื้นฟู,,,,,,<1031;161;2271>,,,{1=12%}
6113,物理铁墙,物理鐵牆,Physical wall,Bức tường vật lý,물리적 벽,Muro de Ferro Físico,กำแพงเหล็กกายภาพ,,,,,,<491;301;3281>,,,{7=10%;8=10%}
6114,超级巨钳,超級巨鉗,Super Clamp,Siêu Kìm,슈퍼 집게,Garra Super Gigante,กรงเล็บยักษ์สุดยักษ์,,,,,,<801;3471>,,,{14=500}
6311,怒涛之力,怒濤之力,Tide Power,Sức mạnh của những con sóng dữ,분노의 힘,Poder das Ondas Furiosas,พลังแห่งคลื่นยักษ์,,,,,,<1241;1311;801>,,,{7=10%;8=10%}
6312,水神祝福,水神祝福,Blessings of the Water God,Phước lành của thần nước,물신의 축복,Bênção de Deus da Água,เทพเจ้าแห่งน้ำขอพร,,,,,,<551;21;3301>,,,{1=12%}
6313,覆舟之势,覆舟之勢,Overturn,Thế mạnh của một chiếc thuyền bị lật,전복,A tendência de virar,แนวโน้มที่จะพลิกคว่ำ,,,,,,<1611;2721>,,,{7=10%;8=10%}
6314,飞翔渴望,飛翔渴望,Flying Desire,Khát vọng bay,비행 욕망,Desejo de voar,ความปรารถนาที่จะบิน,,,,,,<1891;3511;2891;351>,,,{14=500}
