变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,quality,exclusiveCards,itemsShow,languages,stackShow,strengthMax,strengthSeqID,advanceMax,advanceSeqID,advanceLvLimit,universalItems,attrTypes,attrNumRates,viceAttrRate,strengthAttrSeq,advanceAttrSeq,effect1,effect1LevelAdvSeq,effect2,effect2LevelAdvSeq,rebirthRMB,heldItemExp,fragID,produceGate1,produceGate2,produceGate3,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,produceDesc_pt,produceDesc_th,effect
30303,电力增幅器,電力增幅器,Electirizer,Điện Tăng Cường,에레키부스터,Electirizer,อิเล็กทริกบูสเตอร์,config/item/xddj/icon_dlzfq.png,4,<>,TRUE,,199,80,4,7,18,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,4,4,37,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,38,<0;1;2;3;4;5;6;7;8;11>,8,280,28003,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30304,王者之证,王者之證,King's Rock,Vương Miện Vua,왕의징표석,King's Rock,เครื่องหมายราชา,config/item/xddj/icon_wzzz2.png,4,<>,TRUE,,199,80,4,7,19,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,4,4,39,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,40,<0;1;2;3;4;5;6;7;8;12>,8,280,28004,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30305,心灵香草,心靈香草,Mental Herb,Thảo Dược Tinh Thần,멘탈허브,Mental Herb,สมุนไพรใจ,config/item/xddj/icon_xlxc.png,4,<>,TRUE,,199,80,4,7,20,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;0.9;1;1.05;1;1.05>,0.5,4,4,41,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,42,<0;1;2;3;4;5;6;7;8;13>,8,280,28005,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30306,气势头带,氣勢頭帶,Focus Band,Băng Đô Khí Phách,기합의머리띠,Focus Band,ผ้าคาดหัวมุ่งมั่น,config/item/xddj/icon_qstj.png,4,<>,TRUE,,199,80,4,7,21,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,0.5,4,4,43,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,44,<0;1;2;3;4;5;6;7;8;14>,8,280,28006,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30307,柔软沙子,柔軟沙子,Soft Sand,Cát Mềm,부드러운모래,Soft Sand,ทรายนุ่ม,config/item/xddj/icon_rrsz.png,4,<>,TRUE,,199,80,4,7,22,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,0.5,4,4,45,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,46,<0;1;2;3;4;5;6;7;8;15>,8,280,28007,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30308,丝绸围巾,絲綢圍巾,Silk Scarf,Khăn Lụa,실크스카프,Silk Scarf,ผ้าพันคอไหม,config/item/xddj/icon_jjwj.png,4,<>,TRUE,,199,80,4,7,23,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,0.5,4,4,47,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,48,<0;1;2;3;4;5;6;7;8;16>,8,280,28008,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30309,诅咒之符,詛咒之符,Spell Tag,Bùa Nguyền Rủa,저주의부적,Spell Tag,ป้ายอาคม,config/item/xddj/icon_zzzf.png,4,<>,TRUE,,199,80,4,7,24,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,0.5,4,4,49,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,50,<0;1;2;3;4;5;6;7;8;17>,8,280,28009,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30310,龙之牙,龍之牙,Dragon Fang,Nanh Rồng,용의이빨,Dragon Fang,เขี้ยวมังกร,config/item/xddj/icon_ly.png,4,<>,TRUE,,199,80,4,7,25,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,0.5,4,4,51,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,52,<0;1;2;3;4;5;6;7;8;18>,8,280,28010,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30311,硬石头,硬石頭,Hard Stone,Đá Cứng,딱딱한돌,Hard Stone,หินแข็ง,config/item/xddj/icon_yst.png,4,<>,TRUE,,199,80,4,7,26,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,0.5,4,4,53,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,54,<0;1;2;3;4;5;6;7;8;19>,8,280,28011,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30312,黑带,黑帶,Black Belt,Đai Đen,검은띠,Black Belt,เข็มขัดดำ,config/item/xddj/icon_qshd.png,4,<>,TRUE,,199,80,4,7,27,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,0.5,4,4,55,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,56,<0;1;2;3;4;5;6;7;8;20>,8,280,28012,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30313,金属膜,金屬膜,Metal Coat,Màng Kim Loại,금속코트,Metal Coat,เมทัลโค้ท,config/item/xddj/icon_jsm.png,4,<>,TRUE,,199,80,4,7,28,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;0.9;1.1;1;1;1>,0.5,4,4,59,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,8,280,28013,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30314,妖精存储器,妖精記憶碟,Fairy Memory,Bộ Nhớ Tiên,페어리메모리,Fairy Memory,แฟรี่เมมโมรี่,config/item/xddj/icon_yjccq.png,4,<>,TRUE,,199,80,4,7,29,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;0.9;1;1;1.1;1>,0.5,4,4,57,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,8,280,28014,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30315,力量负重,力量負重,Power Weight,Tạ Sức Mạnh,파워웨이트,Power Weight,พาวเวอร์เวท,config/item/xddj/icon_llfz.png,4,<>,TRUE,,199,80,4,7,30,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,4,4,71,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,8,280,28015,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30316,奇异熏香,奇異薰香,Odd Incense,Nhang Kỳ Lạ,이상한향로,Odd Incense,เครื่องหอมประหลาด,config/item/xddj/icon_qyxx.png,4,<>,TRUE,,199,80,4,7,31,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,0.5,4,4,72,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,8,280,28016,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30317,心之水滴,心之水滴,Soul Dew,Sương Hồn,마음의물방울,Soul Dew,หยาดน้ำค้างแห่งใจ,config/item/xddj/icon_xzsd.png,4,<>,TRUE,,199,80,4,7,32,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,0.5,4,4,73,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,8,280,28017,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30318,对战通讯器,對戰通訊器,Vs. Seeker,Máy Tìm Trận,배틀서처,Vs. Seeker,เครื่องมือสื่อสารต่อสู้,config/item/xddj/icon_qxyxtxq.png,4,<>,TRUE,,199,80,4,7,46,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,4,4,97,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,98,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,8,280,28018,,,,可在对战竞技场商店内获得,可於對戰競技場商店內獲得,Obtainable in the Battle Arena shop,Có thể nhận trong cửa hàng đấu trường chiến đấu,대전 경기장 상점에서 획득 가능,Obtido na loja da Arena de Batalha,สามารถรับได้ที่ร้านค้าในสนามประลอง,{drawcard=zi_effect_loop;gain=zi_effect_loop}
