变量名,key,text,text_tw,text_en,text_vn,text_kr,text_pt,text_th
9,skillLevelItemsNotEnough,"""Insufficient item, unable to upgrade moves!""",道具不足，技能無法升級！,"""Insufficient item, unable to upgrade moves!""",Không đủ vật phẩm để nâng cấp kỹ năng!,아이템이 부족해 기술을 레벨업할 수 없습니다!,"Item insuficiente, não é possível melhorar os movimentos!",ไอเทมไม่เพียงพอ ไม่สามารถอัพเกรดท่าได้!
10,skillLevelLevelNotEnough,Insufficient Pokémon level to upgrade the move!,精靈等級不足，技能無法升級！,Insufficient Pokémon level to upgrade the move!,"Cấp độ Pokémon quá thấp, không thể nâng cấp kỹ năng!",포켓몬 레벨이 부족해 기술을 레벨업할 수 없습니다!,Nível de Pokémon insuficiente para melhorar o movimento!,เลเวลโปเกมอนไม่เพียงพอที่จะอัพเกรดการเคลื่อนไหว!
11,strategyUnlockLevelNotEnough,"""Insufficient level, unable to unlock strategic moves!""",等級不足，策略技能無法解鎖！,"""Insufficient level, unable to unlock strategic moves!""","Cấp độ không đủ, kỹ năng chiến thuật không thể mở khóa!",레벨이 부족해 전략 기술을 개방할 수 없습니다!,"Nível insuficiente, não é possível desbloquear movimentos estratégicos!",เลเวลไม่เพียงพอ ไม่สามารถปลดล็อคการเคลื่อนไหวเชิงกลยุทธ์ได้!
12,strategyUnlockItemNotEnough,"""Insufficient items, unable to unlock strategic moves!""",道具不足，策略技能無法解鎖！,"""Insufficient items, unable to unlock strategic moves!""","Vật phẩm không đủ, kỹ năng chiến thuật không thể mở khóa!",아이템이 부족해 전략 기술을 개방할 수 없습니다!,"Itens insuficientes, não é possível desbloquear movimentos estratégicos!",ไอเทมไม่เพียงพอ ไม่สามารถปลดล็อคการเคลื่อนไหวเชิงกลยุทธ์ได้!
13,buyShopTimesLimit,You've used up all the shop purchases chances!,商店限購次數已用完！,You've used up all the shop purchases chances!,Cửa hàng hạn mua số lần đã sử dụng hết!,상점 구매 횟수를 모두 사용했습니다!,Você usou todas as chances de comprar na loja!,คุณได้ใช้โอกาสในการซื้อของจากร้านค้าหมดแล้ว!
14,zhulianItemsNotEnough,"""Insufficient items, unable to smelt!""",道具不足，無法鑄煉！,"""Insufficient items, unable to smelt!""",Không đủ vật phẩm để rèn!,아이템이 부족해 재련할 수 없습니다!,"Itens insuficientes, não é possível fundir!",“ของมีไม่เพียงพอ หลอมไม่ได้!”
15,strategyUpdateMax,"""Level  is not enough,can't  upgrade.""",策略技能已經到頂級，無法升級！,"""Level  is not enough,can't  upgrade.""","Kỹ năng chiến thuật đã đạt cấp độ tối đa, không thể nâng cấp!",전략 기술이 이미 최고 레벨입니다!,"O nível não é suficiente, não é possível atualizar.",เลเวลไม่เพียงพอ อัพเกรดไม่ได้
16,taskUnFinished,Quest not completed!,任務未完成！,Quest not completed!,Nhiệm vụ chưa hoàn thành!,퀘스트가 완료되지 않았습니다!,Missão não concluída!,ภารกิจไม่เสร็จสมบูรณ์!
17,taskClosed,Quest reward has been claimed!,任務獎勵已領取！,Quest reward has been claimed!,Nhiệm vụ ban thưởng đã nhận lấy!,퀘스트 보상을 이미 수령했습니다!,A recompensa da missão foi reivindicada!,รับรางวัลภารกิจแล้ว!
18,fragCombCardExisted,Pokémon already exists and the shards cannot be combined!,精靈已經存在，無法進行碎片合成！,Pokémon already exists and the shards cannot be combined!,"Pokémon đã tồn tại, không thể hợp thành Mảnh!",포켓몬이 이미 존재해 조각 합성을 진행할 수 없습니다!,O Pokémon já existe e os fragmentos não podem ser combinados!,โปเกมอนมีอยู่แล้วและไม่สามารถรวมชิ้นส่วนเข้าด้วยกันได้!
19,levelLessNoOpened,"""Insufficient trainer level, unable to unlock!""",主角等級不足，無法開啟！,"""Insufficient trainer level, unable to unlock!""","Nhân vật chính cấp bậc chưa đủ, không cách nào mở ra!",주인공 레벨이 부족해 개방할 수 없습니다!,"Nível de treinador insuficiente, não é possível desbloquear!",ระดับเทรนเนอร์ไม่เพียงพอ ปลดล็อคไม่ได้!
20,rankChanged,"""Main character ranking has changed, please choose another opponent!""",主角排名發生變動，請重新選擇對手！,"""Main character ranking has changed, please choose another opponent!""","Nhân vật chính xếp hạng phát sinh biến động, mời lựa chọn lần nữa đối thủ!",주인공 순위에 변화가 발생했습니다. 도전 대상을 다시 선택하세요!,"A classificação do personagem principal mudou, por favor, escolha outro oponente!",อันดับตัวละครหลักมีการเปลี่ยนแปลง กรุณาเลือกคู่ต่อสู้อื่น!
21,rankBigger,I can't challenge opponents who are weaker than you!,你無法挑戰比你弱的對手！,I can't challenge opponents who are weaker than you!,Ngươi không cách nào khiêu chiến so ngươi yếu đối thủ!,더 약한 상대에게 도전할 수 없습니다!,Não posso desafiar oponentes mais fracos que você!,ฉันไม่สามารถท้าทายคู่ต่อสู้ที่อ่อนแอกว่าคุณได้!
22,rankTimerNoCD,Time for next challenge is not up yet!,下次挑戰時間未到！,Time for next challenge is not up yet!,Lần sau khiêu chiến thời gian chưa tới!,다음 도전 시간이 되지 않았습니다!,Ainda não chegou a hora do próximo desafio!,ยังไม่ถึงเวลาสำหรับการท้าทายครั้งต่อไป!
23,rankEnemyChanged,"""Opponent ranking change, please re-select!""",對手排名發生變動，請重新選擇對手！,"""Opponent ranking change, please re-select!""","Đối thủ xếp hạng phát sinh biến động, mời lựa chọn lần nữa đối thủ!",상대의 순위에 변화가 발생했습니다. 도전 대상을 다시 선택하세요!,"Alteração na classificação do oponente, selecione novamente!",อันดับฝ่ายตรงข้ามเปลี่ยนแปลง กรุณาเลือกใหม่อีกครั้ง!
24,rankEnemyBattling,"""Opponent is in battle, please select another opponent!""",對手正在戰鬥，請重新選擇對手！,"""Opponent is in battle, please select another opponent!""","Đối thủ ngay tại chiến đấu, mời lựa chọn lần nữa đối thủ!",상대가 전투 중입니다. 도전 대상을 다시 선택하세요!,"O oponente está em batalha, selecione outro oponente!",คู่ต่อสู้กำลังอยู่ในการต่อสู้ กรุณาเลือกคู่ต่อสู้อื่น!
25,rankPrevNoFinished,"""The last battle has not ended yet, as the winner is undecided, please come again later!""",上次戰鬥未結束，勝負未知，請稍後再來！,"""The last battle has not ended yet, as the winner is undecided, please come again later!""","Lần trước chiến đấu chưa kết thúc, thắng bại không biết, xin sau lại đến!",지난 전투가 아직 끝나지 않아 승부가 정해지지 않았습니다. 잠시 후 다시 시도하세요!,"A última batalha ainda não terminou, pois o vencedor ainda não foi decidido. Por favor, volte mais tarde!",การต่อสู้ครั้งสุดท้ายยังไม่สิ้นสุด เนื่องจากผู้ชนะยังไม่ถูกตัดสิน โปรดมาอีกครั้งในภายหลัง!
26,pvpShopRefresh,"""The Arena Shop has refreshed, please purchase again!""",競技場商店已經刷新，請重新選購！,"""The Arena Shop has refreshed, please purchase again!""","Sân thi đấu cửa hàng đã đổi mới, mời một lần nữa chọn mua!",아레나 상점이 이미 갱신되었습니다. 다시 구매하세요!,"A Arena Shop foi atualizada, compre novamente!",ร้าน Arena Shop ได้รับการปรับปรุงใหม่แล้ว โปรดซื้ออีกครั้ง!
27,pvpShopRefreshRMBNotEnough,"""Insufficient diamonds, unable to refresh!""",鑽石不足，無法刷新！,"""Insufficient diamonds, unable to refresh!""","Kim cương không đủ, không cách nào đổi mới!",다이아가 부족해 갱신할 수 없습니다!,"Diamantes insuficientes, não é possível atualizar!",เพชรไม่เพียงพอ ไม่สามารถรีเฟรชได้!
28,drawCardRMBNotEnough,"""Insufficient diamonds, you can't draw card!""",鑽石不足，無法抽卡！,"""Insufficient diamonds, you can't draw card!""","Kim cương không đủ, không cách nào rút thẻ!",다이아가 부족해 뽑기를 할 수 없습니다!,"Diamantes insuficientes, você não pode comprar cartas!",“เพชรไม่เพียงพอ คุณไม่สามารถจั่วการ์ดได้!”
29,drawCardGoldNotEnough,"""Gold is not enough, can't refresh.""",金幣不足，無法抽卡！,"""Gold is not enough, can't refresh.""","Kim tệ không đủ, không cách nào rút thẻ!",코인이 부족해 뽑기를 할 수 없습니다!,"O ouro não é suficiente, não pode renovar.",ทองอย่างเดียวไม่พอ เติมซ้ำไม่ได้
30,freeDrawCardTimerNoCD,"""Time has not refreshed yet, you can't draw a card for free!""",免費時間未到，無法抽卡！,"""Time has not refreshed yet, you can't draw a card for free!""","Miễn phí thời gian chưa tới, không cách nào rút thẻ!",무료 시간이 되지 않았습니다!,"O tempo ainda não atualizou, você não pode comprar uma carta de graça!",เวลายังไม่หมด คุณยังจั่วการ์ดฟรีไม่ได้หรอก!
31,vipLevelMax,"""VIP has maxed, can't purchase.""",VIP已經到頂級，無法購買！,"""VIP has maxed, can't purchase.""","VIP Đã đến đỉnh cấp, không cách nào mua!",이미 VIP 최고 레벨입니다!,"O VIP atingiu o máximo, não é possível comprar.",VIP ถึงระดับสูงสุดแล้ว ไม่สามารถซื้อได้
32,vipLevelUpRMBNotEnough,"""Insufficient diamonds, you can't purchase VIP!""",鑽石不足，VIP無法儲值！,"""Insufficient diamonds, you can't purchase VIP!""","Kim cương không đủ, VIP Không cách nào nạp tiền!",다이아가 부족해 VIP 충전을 할 수 없습니다!,"Diamantes insuficientes, você não pode comprar VIP!",เพชรไม่เพียงพอ คุณไม่สามารถซื้อ VIP ได้!
33,pwBuyMax,You've reached the maximum No. of rank match purchases!,今日排位賽購買次數已達上限！,You've reached the maximum No. of rank match purchases!,Hôm nay cuộc thi xếp hạng mua số lần đã đạt hạn mức cao nhất!,오늘의 순위전 구매 횟수가 이미 한도에 도달했습니다!,Você atingiu o número máximo de compras de correspondência de classificação!,คุณได้ถึงจำนวนการซื้อที่ตรงกับอันดับสูงสุดแล้ว!
34,buyRMBNotEnough,"""Insufficient diamonds, unable to buy!""",鑽石不足，無法購買！,"""Insufficient diamonds, unable to buy!""","Kim cương không đủ, không cách nào mua!",다이아가 부족해 구매할 수 없습니다!,"Diamantes insuficientes, não é possível comprar!",เพชรไม่เพียงพอ ไม่สามารถซื้อได้!
35,staminaBuyMax,You've reached the maximum No. of energy purchases!,今日體力購買次數已達上限！,You've reached the maximum No. of energy purchases!,Hôm nay thể lực mua số lần đã đạt hạn mức cao nhất!,오늘의 체력 구매 횟수가 이미 한도에 도달했습니다!,Você atingiu o número máximo de compras de energia!,คุณได้ถึงจำนวนการซื้อพลังงานสูงสุดแล้ว!
36,staminaBuyNoNeed,"""Energy has reached the maximum, you don't have to buy it anymore!""",體力已達上限，無需購買！,"""Energy has reached the maximum, you don't have to buy it anymore!""","Thể lực đã đạt hạn mức cao nhất, không cần mua!",체력이 이미 한도에 도달했습니다.,"A energia atingiu o máximo, você não precisa mais comprá-la!",พลังงานถึงขีดสุดแล้ว ไม่ต้องซื้อเพิ่มอีกแล้ว!
37,herogateBuyMax,You've reached the maximum no. of Difficult level resets today!,今日困難關卡重置次數已達上限！,You've reached the maximum no. of Difficult level resets today!,Lần Reset Ải Khó hôm nay đạt tối đa!,오늘의 하드 스테이지 초기화 횟수가 이미 한도에 도달했습니다!,Você atingiu o número máximo de redefinições de nível Difícil hoje!,วันนี้คุณถึงจำนวนสูงสุดของการรีเซ็ตระดับความยากแล้ว!
38,huodongNoOpen,Event coming soon!,活動未開啟！,Event coming soon!,Hoạt động chưa mở ra!,이벤트 미개방,Evento em breve!,กิจกรรมกำลังจะมาเร็วๆ นี้!
39,huodongLevelNotEnough,"""Insufficient level, unable to unlock the event!""",等級不足，無法開啟活動！,"""Insufficient level, unable to unlock the event!""","Cấp bậc chưa đủ, không cách nào mở ra hoạt động!",레벨이 부족해 이벤트를 개방할 수 없습니다!,"Nível insuficiente, não é possível desbloquear o evento!",เลเวลไม่เพียงพอ ไม่สามารถปลดล็อคกิจกรรมได้!
40,huodongChanllengeToMuch,You've reached the maximum No. of attempts for this event!,活動挑戰次數已達上限！,You've reached the maximum No. of attempts for this event!,Hoạt động khiêu chiến số lần đã đạt hạn mức cao nhất!,이벤트 도전 횟수가 이미 최대입니다!,Você atingiu o número máximo de tentativas para este evento!,คุณได้ถึงจำนวนครั้งสูงสุดของความพยายามสำหรับกิจกรรมนี้แล้ว!
41,gateStaminaNotEnough,"""Insufficient energy, you can't change challenge this level!""",體力不足，無法挑戰關卡！,"""Insufficient energy, you can't change challenge this level!""","Thể lực không đủ, không cách nào khiêu chiến cửa ải!",체력이 부족해 스테이지에 도전할 수 없습니다!,"Energia insuficiente, você não pode mudar o desafio deste nível!",พลังงานไม่เพียงพอ คุณไม่สามารถเปลี่ยนความท้าทายระดับนี้ได้!
42,gateNoOpen,You can't challenge this level!,該關卡你無法挑戰！,You can't challenge this level!,Nên cửa ải ngươi không cách nào khiêu chiến!,해당 스테이지는 도전할 수 없습니다!,Você não pode desafiar este nível!,คุณไม่สามารถท้าทายระดับนี้ได้!
43,gateCardsError,The Pokémons in battle are incorrect!,出戰精靈不對！,The Pokémons in battle are incorrect!,Pokémon xuất chiến không đúng!,출전 포켓몬이 맞지 않습니다!,Os Pokémon em batalha estão incorretos!,โปเกมอนในการต่อสู้นั้นไม่ถูกต้อง!
44,gateBenchCardsError,The substitute Pokémon is incorrect!,替補精靈不對！,The substitute Pokémon is incorrect!,Pokémon thay thế không đúng!,대체 포켓몬이 맞지 않습니다!,O Pokémon substituto está incorreto!,โปเกม่อนทดแทนไม่ถูกต้อง!
45,fragCombfragNotEnough,"""Insufficient shard, cannot combine!""",碎片不足，無法合成！,"""Insufficient shard, cannot combine!""","Mảnh vỡ không đủ, không cách nào hợp thành!",조각이 부족해 합성할 수 없습니다!,"Fragmento insuficiente, não é possível combinar!",“ชิ้นส่วนไม่เพียงพอ ไม่สามารถรวมกันได้!”
46,lianjinRMBNotEnough,"""Insufficient diamonds, unable to process the alchemy!""",鑽石不足，無法煉金！,"""Insufficient diamonds, unable to process the alchemy!""","Kim cương không đủ, không cách nào luyện kim!",다이아가 부족해 연금을 진행할 수 없습니다!,"Diamantes insuficientes, incapaz de processar a alquimia!",“เพชรไม่เพียงพอ ไม่สามารถประมวลผลแร่แปรธาตุได้!”
47,lianjinMax,You've reached the maximum No. of alchemy attempts!,今日煉金次數已達上限！,You've reached the maximum No. of alchemy attempts!,Hôm nay luyện kim số lần đã đạt hạn mức cao nhất!,오늘의 연금 횟수가 한도에 도달했습니다!,Você atingiu o número máximo de tentativas de alquimia!,คุณได้ถึงจำนวนสูงสุดของการลองเล่นแร่แปรธาตุแล้ว!
48,saodangTimesNotEnough,"""Insufficient No. of blitzes, blitz failed!""",掃蕩次數不足，無法掃蕩！,"""Insufficient No. of blitzes, blitz failed!""","Càn quét số lần không đủ, không cách nào càn quét!",소탕 횟수가 부족해 소탕할 수 없습니다!,"Número insuficiente de blitzes, blitz falhou!",จำนวนบลิตซ์ไม่เพียงพอ บลิตซ์ล้มเหลว!
49,saodangGateNoStar,"""This level is not cleared with 3 Stars, you can't blitz it!""",該關卡未三星通關，你無法掃蕩！,"""This level is not cleared with 3 Stars, you can't blitz it!""","Nên cửa ải chưa tam tinh thông quan, ngươi không cách nào càn quét!",해당 스테이지를 3성으로 클리어하지 않아 소탕할 수 없습니다!,"Este nível não é concluído com 3 estrelas, você não pode destruí-lo!",ด่านนี้ไม่สามารถผ่านได้ด้วย 3 ดาว คุณไม่สามารถบลิทซ์ได้!
50,saodangGateTimesNotEnough,"""Insufficient No. of chances to challenge the level, you're unable to blitz!""",該關卡剩餘挑戰次數不足，你無法掃蕩！,"""Insufficient No. of chances to challenge the level, you're unable to blitz!""","Nên cửa ải còn thừa khiêu chiến số lần không đủ, ngươi không cách nào càn quét!",해당 스테이지의 잔여 도전 횟수가 부족해 소탕할 수 없습니다!,"Número insuficiente de chances de desafiar o nível, você não consegue fazer blitz!",โอกาสในการท้าทายด่านไม่เพียงพอ คุณไม่สามารถบลิตซ์ได้!
51,saodangMultiVIPNotEnough,"""Insufficient VIP level, unable to blitz multiple times!""",VIP等級不足，無法掃蕩多次！,"""Insufficient VIP level, unable to blitz multiple times!""","VIP Cấp bậc chưa đủ, không cách nào càn quét nhiều lần!",VIP레벨이 부족해 소탕할 수 없습니다!,"Nível VIP insuficiente, não é possível atacar várias vezes!",ระดับ VIP ไม่เพียงพอ ไม่สามารถบลิตซ์ซ้ำหลายๆ ครั้งได้!
52,yuanzhengNoOpen,"""Insufficient level, unable to activate trial!""",等級不足，無法開啟試煉！,"""Insufficient level, unable to activate trial!""","Cấp bậc chưa đủ, không cách nào mở ra thí luyện!",레벨이 부족해 시련을 개방할 수 없습니다!,"Nível insuficiente, não é possível ativar o teste!",ระดับไม่เพียงพอ ไม่สามารถเปิดใช้งานการทดลองใช้ได้!
53,yuanzhengShopRefresh,"""The trial shop has refreshed, please purchase again!""",試煉商店已經刷新，請重新選購！,"""The trial shop has refreshed, please purchase again!""","Thí luyện cửa hàng đã đổi mới, mời một lần nữa chọn mua!",시련 상점이 이미 갱신되었습니다. 다시 구매하세요!,"A loja de teste foi atualizada, compre novamente!",ร้านทดลองได้รีเฟรชแล้ว โปรดซื้ออีกครั้ง!
54,shopCoinNotEnough,"""Insufficient points, unable to buy!""",積分不足，無法購買！,"""Insufficient points, unable to buy!""","Điểm tích lũy không đủ, không cách nào mua!",포인트가 부족해 구매할 수 없습니다!,"Pontos insuficientes, não é possível comprar!",แต้มไม่เพียงพอ ไม่สามารถซื้อได้!
55,yuanzhengShopRefreshRMBNotEnough,"""Insufficient diamonds, unable to refresh!""",鑽石不足，無法刷新！,"""Insufficient diamonds, unable to refresh!""","Kim cương không đủ, không cách nào đổi mới!",다이아가 부족해 갱신할 수 없습니다!,"Diamantes insuficientes, não é possível atualizar!",เพชรไม่เพียงพอ ไม่สามารถรีเฟรชได้!
56,kgStaminaNotEnough,"""Insufficient energy, unable to study artefacts!""",活力不足，無法考古！,"""Insufficient energy, unable to study artefacts!""",Năng lượng không đủ để khai quật!,활력이 부족해 고고학을 진행할 수 없습니다!,"Energia insuficiente, incapaz de estudar artefatos!",“พลังงานไม่เพียงพอ ไม่สามารถศึกษาสิ่งประดิษฐ์ได้!”
57,kgLevelNotEnough,"""Insufficient trainer level, unable to study artefacts!""",等級不足，無法考古！,"""Insufficient trainer level, unable to study artefacts!""",Cấp độ không đủ để khai quật!,레벨이 부족해 고고학을 진행할 수 없습니다!,"Nível de treinador insuficiente, incapaz de estudar artefatos!",“ระดับผู้ฝึกสอนไม่เพียงพอ ไม่สามารถศึกษาสิ่งประดิษฐ์ได้!”
58,kgStaminaBuyNoNeed,"""Energy is full, you don't have to buy it anymore!""",活力已達上限，無需購買！,"""Energy is full, you don't have to buy it anymore!""","Sức sống đã đạt hạn mức cao nhất, không cần mua!",활력이 이미 최대이므로 구매할 수 없습니다!,"A energia está cheia, você não precisa mais comprá-la!",พลังเต็ม ไม่ต้องซื้อเพิ่มแล้ว!
59,kgStaminaBuyMax,You've reached the maximum No. of purchases for Activity Points!,今日活力購買次數已達上限！,You've reached the maximum No. of purchases for Activity Points!,Hôm nay sức sống mua số lần đã đạt hạn mức cao nhất!,오늘의 활력 구매 횟수가 이미 한도에 도달했습니다!,Você atingiu o número máximo de compras para Pontos de Atividade!,คุณได้ถึงจำนวนการซื้อสูงสุดสำหรับแต้มกิจกรรมแล้ว!
60,kgShopRefresh,Archaeology Shop has expired!,考古商店已過期！,Archaeology Shop has expired!,Cửa hàng khảo cổ đã hết hạn!,고고학 상점이 이미 만료되었습니다!,A Loja de Arqueologia expirou!,ร้านโบราณคดีหมดอายุแล้ว!
61,yyHuoDongNoActive,This event can't be claimed!,該活動無法領取！,This event can't be claimed!,Nên hoạt động không cách nào nhận lấy!,해당 이벤트는 수령할 수 없습니다!,Este evento não pode ser reivindicado!,กิจกรรมนี้ไม่สามารถอ้างสิทธิ์ได้!
62,yyHuoDongRechargeNoTimes,Monthly subscription reward has expired!,月卡領取時間已過期！,Monthly subscription reward has expired!,Thời gian nhận thẻ tháng đã hết hạn!,월간카드 수령 시간이 이미 만료되었습니다!,A recompensa da assinatura mensal expirou!,รางวัลสมัครสมาชิกรายเดือนหมดอายุแล้ว!
63,yyHuoDongAlreadyGet,You've claimed today's event rewards!,今日活動獎勵已領取！,You've claimed today's event rewards!,Hôm nay hoạt động ban thưởng đã nhận lấy!,오늘의 이벤트 보상을 이미 수령했습니다!,Você reivindicou as recompensas do evento de hoje!,คุณได้รับรางวัลจากกิจกรรมของวันนี้แล้ว!
64,kgMineRobbing,You cannot perform any actions while the mine is being looted. Pray hard that your defense will be a success!,礦洞被搶奪中，你無法進行任何操作，祈禱防守成功吧！,You cannot perform any actions while the mine is being looted. Pray hard that your defense will be a success!,Mỏ đang bị tấn công; bạn không thể thực hiện bất kỳ hành động nào. Hãy cầu nguyện cho việc phòng thủ thành công!,광산이 약탈되는 중이므로 어떤 행동도 할 수 없습니다. 방어 성공을 기원해 주세요!,Você não pode executar nenhuma ação enquanto a mina estiver sendo saqueada. Reze bastante para que sua defesa seja um sucesso!,คุณไม่สามารถดำเนินการใดๆ ได้ในขณะที่กำลังปล้นทุ่นระเบิด อธิษฐานให้การป้องกันของคุณประสบความสำเร็จ!
65,kgMineNotYours,This is not your mine!,這不是你的礦洞！,This is not your mine!,Đây không phải mỏ của ngươi!,당신의 광산이 아닙니다!,Esta não é sua mina!,นี่ไม่ใช่ของฉัน!
66,kgMineRefresh,"""Status of the mine has changed, please refresh!""",礦洞狀態更新，請刷新！,"""Status of the mine has changed, please refresh!""","Trạng thái mỏ đã được cập nhật, vui lòng làm mới!",광산 상태가 변경되었습니다. 갱신하세요!,"O status da mina mudou, atualize!",สถานะของเหมืองมีการเปลี่ยนแปลง กรุณารีเฟรช!
67,twLevelNotEnough,"""Insufficient level, unable to enter the Infinite Tower!""",等級不足，無法進入無限塔！,"""Insufficient level, unable to enter the Infinite Tower!""","Cấp độ không đủ, không thể vào Tháp Vô Cực!",레벨이 부족해 무한의 탑에 입장할 수 없습니다!,"Nível insuficiente, não é possível entrar na Torre Infinita!",เลเวลไม่เพียงพอ ไม่สามารถเข้าหอคอยอินฟินิตี้ได้!
68,twFailedMax,You've reached the maximum number of defeats at the Infinite Tower today and cannot continue the challenged!,無限塔今日失敗次數已達上限，無法挑戰!,You've reached the maximum number of defeats at the Infinite Tower today and cannot continue the challenged!,Bạn đã đạt đến giới hạn số lần thử thách trong Tháp Vô Cực ngày hôm nay. Không thể thử thách lại!,오늘 무한의 탑의 도전 실패 횟수가 한도에 도달해 더는 도전할 수 없습니다!,Você atingiu o número máximo de derrotas na Torre Infinita hoje e não pode continuar o desafio!,วันนี้คุณบรรลุจำนวนการพ่ายแพ้สูงสุดใน Infinite Tower แล้ว และไม่สามารถดำเนินการต่อไปได้!
69,twInTopFloor,"""Already at the record highest level, no need to blitz!""",已經在歷史最高層，無需掃蕩！,"""Already at the record highest level, no need to blitz!""","Đã tại lịch sử tầng cao nhất, không cần càn quét!",이미 역대 최고 층입니다. 소탕할 필요가 없습니다!,"Já estamos no nível mais alto do recorde, não há necessidade de blitz!",ถึงระดับสูงสุดเป็นประวัติการณ์แล้ว ไม่ต้องบลิตซ์!
70,roleNameExisted,The nickname is already in use!,該昵稱已被佔用！,The nickname is already in use!,Nên biệt danh đã bị chiếm dụng!,해당 닉네임은 이미 사용 중입니다!,O apelido já está em uso!,ชื่อเล่นนี้ถูกใช้ไปแล้ว!
71,roleNameTooLong,Your nickname is too long!,昵稱過長！,Your nickname is too long!,Biệt danh quá dài!,닉네임이 너무 깁니다!,Seu apelido é muito longo!,ชื่อเล่นของคุณยาวเกินไป!
72,roleNameRMBNotEnough,"""Insufficient diamonds, unable to change nickname!""",鑽石不足，無法改昵稱！,"""Insufficient diamonds, unable to change nickname!""","Kim cương không đủ, không cách nào đổi biệt danh!",다이아가 부족해 닉네임을 변경할 수 없습니다!,"Diamantes insuficientes, não é possível alterar o apelido!",เพชรไม่เพียงพอ ไม่สามารถเปลี่ยนชื่อเล่นได้!
73,roleNameInvalid,Nickname is inappropriate!,昵稱不合適！,Nickname is inappropriate!,Biệt danh không thích hợp!,적절하지 않은 닉네임입니다!,O apelido é inapropriado!,ชื่อเล่นไม่เหมาะสม!
74,giftNoExisted,Reward activation code does not exist!,禮包啟動碼不存在！,Reward activation code does not exist!,Gói quà kích hoạt mã không tồn tại!,선물 활성코드가 존재하지 않습니다!,O código de ativação da recompensa não existe!,รหัสเปิดใช้งานรางวัลไม่พบ!
75,giftOpened,Pack has been claimed!,禮包已領取！,Pack has been claimed!,Gói quà đã nhận lấy!,선물을 이미 수령했습니다!,O pacote foi reivindicado!,แพ็คได้รับการอ้างสิทธิ์แล้ว!
