变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,openLv,noticeLv,type,goToPanel
9,每日任务,每日任務,Daily Quests,Nhiệm vụ hằng ngày,일일 퀘스트,Missões diárias,ภารกิจรายวัน,city/levelup/icon_rw_rk@.png,开启每日任务，获得奖励,開啟每日任務，獲得獎勵,Open daily quests and get rewards,Mở nhiệm vụ hằng ngày và nhận thưởng,일일 퀘스트를 완료해 보상을 획득하세요.,Abra missões diárias e ganhe recompensas,เปิดเควสต์รายวัน รับของรางวัล,12,9,1,
10,训练特权,訓練特權,Training privilege,Đặc quyền huấn luyện,훈련 특권,Privilégio de treino,สิทธิพิเศษฝึก,city/levelup/icon_mxzz_rk.png,提升训练特权，获得各种特权,提升訓練特權，獲得各種特權,Upgrade training privileges to gain various privileges,Nâng đặc quyền huấn luyện để nhận thêm lợi ích,훈련 특권을 높여 각종 특권을 획득하세요.,Melhore privilégios de treino para mais bônus,อัปเกรดสิทธิพิเศษฝึก เพื่อรับโบนัส,12,9,1,
11,个体值,個體值,Individual Value,Chỉ số cá nhân,개체값,Valor individual,ค่าปัจเจก,city/levelup/icon_yc_rk@.png,重置个体值，获取完美精灵,重置個體值，獲取完美精靈,Reset IV to get the perfect Pokémon,Reset IV để tìm Pokémon hoàn hảo,개체값 리셋을 통해 완벽한 포켓몬을 획득하세요.,Redefina IVs para obter o Pokémon perfeito,รีค่า IV เพื่อหาโปเกมอนที่สมบูรณ์แบบ,14,11,1,
12,竞技场,競技場,Arena,Đấu trường,아레나,Arena,อารีน่า,city/levelup/icon_jj_rk@.png,竞技场开启，比拼实力的时候到了,競技場開啟，比拼實力的時候到了,"The Arena is open, it's time to test your strength!","Đấu trường đã mở, kiểm tra sức mạnh ngay!",아레나에서 실력을 겨루세요.,"Arena aberta, teste sua força!",อารีน่าเปิดแล้ว ทดสอบพลังของคุณ!,15,12,1,
13,排行榜,排行榜,Leaderboard,Bảng xếp hạng,순위 차트,Ranking,อันดับ,city/levelup/icon_ph_rk.png,排行榜开启，可以看看自己的实力排行,排行榜開啟，可以看看自己的實力排行,"Leaderboards are open, you can now view your rankings","Bảng xếp hạng đã mở, xem thứ hạng của bạn",순위 메뉴에서 자신의 순위를 확인하세요.,"Rankings disponíveis, veja sua posição",อันดับเปิดให้ดูแล้ว เช็คแรงก์ของคุณ,18,12,1,
14,活动副本,活動副本,Event dungeon,Phó bản sự kiện,이벤트 던전,Masmorra de evento,ดันเจี้ยนกิจกรรม,city/levelup/icon_mx_rk@.png,开启活动副本，快速获取资源,開啟活動副本，快速獲取資源,Unlock event dungeon to get resources quickly,Mở phó bản sự kiện để nhận tài nguyên nhanh,이벤트 던전에서 빠르게 자원을 획득하세요.,Abra masmorra de evento para ganhar recursos,เปิดดันเจี้ยนกิจกรรม รับทรัพยากรไว,18,12,1,
15,公会,公會,union,Liên minh,길드,Aliança,สมาพันธ์,city/levelup/icon_gh_rk@.png,公会开启，寻找自己的伙伴,公會開啟，尋找自己的夥伴,"union feature has open, find your companions now!","Liên minh đã mở, tìm đồng đội ngay!",길드를 통해 동료들을 만나 보세요.,"Função de aliança ativa, encontre aliados!",ระบบกิลด์เปิดแล้ว หาเพื่อนร่วมทีมเลย!,20,15,1,
16,继承,繼承,Inherit,Kế thừa,계승,Herdar,สืบทอด,city/levelup/icon_yc_rk@.png,可以继承性格和个体值呦,可以繼承性格和個體值呦,Nature and Individual values can be inherited,Tự nhiên và IV có thể kế thừa,성격과 개체값을 계승할 수 있습니다.,Natureza e IVs podem ser herdados,ค่าธรรมชาติและ IV สามารถสืบทอดได้,22,18,1,
17,重生,重生,Revive,Hồi sinh,부활,Reviver,ชุบชีวิต,city/levelup/icon_yc_rk@.png,重生精灵，快速返还培养资源,重生精靈，快速返還培養資源,Reborn Pokémons to get training items quickly,Tái sinh Pokémon để nhận vật phẩm huấn luyện,포켓몬 부활 시 모든 육성 자원을 반환합니다.,Reencarne Pokémon para itens de treino,คืนชีพโปเกมอนเพื่อรับไอเท็มฝึก,23,18,1,
18,无尽之塔,無盡之塔,Endless Tower,Tháp vô tận,무한의 탑,Torre infinita,หอคอยไม่มีที่สิ้นสุด,city/levelup/icon_mx_rk@.png,无尽之塔开启，挑战没有极限,無盡之塔開啟，挑戰沒有極限,"Endless Tower is now open, let's dive into an endless challenge","Tháp vô tận đã mở, thử thách không hồi kết!",무한의 탑에서 끝없는 도전을 진행하세요.,"Torre infinita liberada, enfrente o desafio eterno",หอคอยไม่มีที่สิ้นสุดเปิดแล้ว ลุยเลย!,24,22,1,
19,努力值,努力值,Effort Value,Chỉ số nỗ lực,노력치,Valor de esforço,ค่าความพยายาม,city/levelup/icon_yc_rk@.png,提升努力值，增强属性,提升努力值，增強屬性,Increase Effort Value to enhance the Pokémon's stats,Tăng EV để nâng chỉ số Pokémon,노력치를 높여 속성을 강화하세요.,Aumente EV para melhorar atributos,เพิ่ม EV เพื่อเสริมค่าสถานะ,24,22,1,
20,好感度,好感度,Friendship,Tình bạn,호감도,Amizade,มิตรภาพ,city/levelup/icon_yc_rk@.png,赠送礼物，提升精灵好感度,贈送禮物，提升精靈好感度,Send gift to enhance friendship level with the Pokémon,Tặng quà để tăng tình cảm với Pokémon,선물을 통해 포켓몬의 호감도를 높이세요.,Envie presente para subir amizade com Pokémon,ให้ของขวัญเพื่อเพิ่มความสนิทกับโปเกมอน,25,23,1,
21,天赋,天賦,Talent,Tài năng,특성,Talento,พรสวรรค์,city/levelup/icon_yc_rk@.png,天赋开启，强化实力,天賦開啟，強化實力,Activate talent to enhance your strength,Kích hoạt thiên phú để mạnh hơn,특성을 통해 실력을 강화하세요.,Ative talentos para ficar mais forte,ปลดล็อกพรสวรรค์เพื่อเพิ่มพลัง,27,24,1,
22,派遣,派遣,Dispatch,Phái đi,파견,Despacho,ภารกิจส่งออก,city/levelup/icon_mx_rk@.png,派遣开启，轻松获取奖励,派遣開啟，輕鬆獲取獎勵,"Dispatch is open, giving you chances of getting rewards easily",Gửi nhiệm vụ để nhận phần thưởng dễ dàng,파견을 진행해 보상을 획득하세요.,Envie Pokémon em missão e ganhe recompensas,ส่งภารกิจเพื่อรับรางวัลง่ายๆ,30,25,1,
