变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,roleName_vn,roleName_pt,roleName_th,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,talkContent_pt,talkContent_th,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
24,24,选择初始卡牌-前言,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,不过，既然要踏上旅途，我得先给你一个新的伙伴，不然什么都没法开始啊。,不過，既然要踏上旅途，我得先給你一個新的夥伴，不然什麼都沒法開始啊。,"But, since we are going on a journey, I'll have to give you a new companion first, otherwise nothing can be started.","Tuy nhiên, vì chúng ta sắp bắt đầu cuộc hành trình, trước tiên ta cần phải cho con một người bạn đồng hành mới, nếu không thì sẽ không thể bắt đầu được.",하지만 여정에 오르기 위해서는 새로운 동료가 필요하지. 그렇지 않으면 아무것도 시작할 수 없을 거야.,"No entanto, como vamos embarcar em uma jornada, preciso te dar um novo parceiro primeiro, senão não podemos nem começar.",อย่างไรก็ตาม เนื่องจากเราจะออกเดินทาง ฉันต้องให้พาร์ทเนอร์ใหม่กับคุณก่อน ไม่เช่นนั้นเราจะเริ่มอะไรไม่ได้เลย,,,,,,,,,,,,,,
25,25,选择初始卡牌-前言,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,你有心仪的精灵么？,你有心儀的精靈麼？,Which is the Pokémon of your choice?,Bạn có Pokémon yêu thích nào không?,마음에 드는 포켓몬이 있니?,Você tem algum Pokémon favorito?,คุณมีโปเกมอนที่ชอบไหม?,,,,,,,,,,,,,,
26,26,选择初始卡牌-前言,4,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,,,,不太清楚呢,不太清楚呢,I'm not too sure of that...,Tôi không chắc lắm.,잘 모르겠어요,Não tenho certeza.,ฉันไม่แน่ใจ,,,,,,,,,,,,,,
27,27,选择初始卡牌-前言,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,嘛，既然还没想法，那就这边来，仔细看看他们，你一定要认真选择哦，这儿可没后悔药。,嘛，既然還沒想法，那就這邊來，仔細看看他們，你一定要認真選擇哦，這兒可沒後悔藥。,"Well, since you don't have any idea yet, come here and take a closer look at them. Choose carefully, as there is no turning back.","Ừm, nếu vẫn chưa có ý tưởng, thì qua đây nào, xem xét kỹ họ, bạn nhất định phải lựa chọn cẩn thận nhé, ở đây không có thuốc hối hận đâu.","""뭐, 그럼 이쪽으로 와서 자세히 살펴 보거라. 신중하게 선택하는 게 좋아. 다시 바꿀 수 없으니 말이야.""","Bem, já que ainda não decidiu, venha para cá e observe-os cuidadosamente. Você precisa escolher com cuidado, pois aqui não há como voltar atrás.",อืม ถ้ายังคิดไม่ออกก็มาทางนี้สิ ดูพวกเขาให้ดีๆนะ คุณต้องเลือกอย่างรอบคอบนะ ที่นี่ไม่มียาแก้ใจเสียใจนะ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,选卡后测试,,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,那么，请尽情开始冒险吧,那麼，請盡情開始冒險吧,"Alright, enjoy your new adventure!","Vậy thì, hãy bắt đầu cuộc phiêu lưu của bạn nào!",그럼 모험을 시작하거라.,"Então, comece sua aventura!",งั้นก็เริ่มการผจญภัยของคุณเลยสิ!,,,,,,,,,,,,,,
,,选卡后测试,,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,我期待你能成为新的神奇宝贝大师哦,我期待你能成為新的神奇寶貝大師哦,I'm looking to see you becoming the next Pokémon Master!,Tôi mong chờ bạn sẽ trở thành nhà vô địch Pokémon mới!,네가 새로운 포켓몬 마스터가 되는 날을 기대하고 있으마.,Espero que você se torne o novo Mestre Pokémon!,ฉันหวังว่าคุณจะเป็นโปเกมอนมาสเตอร์คนใหม่นะ!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,初始卡牌赠送-博士对白,10,,city.view,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,等等，还有个事情忘记交代给你了,等等，還有個事情忘記交代給你了,"Wait, I forgot to tell you something.","Đợi đã, còn một việc nữa tôi quên chưa dặn cậu.","""아, 잠깐, 중요한 일을 하나 잊었구나.""","Espera, tem mais uma coisa que eu esqueci de te dizer.",รอเดี๋ยวนะ มีอีกอย่างนึงที่ฉันลืมบอกเธอ,,,,,,,,,,,,,,
102,102,初始卡牌赠送-博士对白,10,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,这还有一只精灵要交给你，虽然他偶尔脾气有点暴躁，但是我相信他也会成长为你冒险旅途中的好伙伴,這還有一隻精靈要交給你，雖然他偶爾脾氣有點暴躁，但是我相信他也會成長為你冒險旅途中的好夥伴,"I have another Pokémon for you. although he can be a little feisty at times, I believe he will also grow into a good companion in your adventure.","Đây là một Pokémon khác dành cho bạn. Mặc dù đôi khi nó hơi nóng tính, nhưng tôi tin rằng nó sẽ trở thành một người bạn đồng hành tốt trong cuộc phiêu lưu của bạn.","""이 포켓몬도 네게 부탁하마. 가끔 성격이 거칠어지긴 하지만, 네 좋은 동료가 되어줄 거라고 믿는다.""","Aqui está outro Pokémon para você. Embora às vezes tenha um temperamento um pouco explosivo, acredito que ele se tornará um bom companheiro em sua jornada de aventura.",นี่คือโปเกมอนอีกตัวสำหรับคุณ ถึงแม้บางครั้งมันจะอารมณ์ร้อนไปหน่อย แต่ฉันเชื่อว่ามันจะเติบโตเป็นเพื่อนร่วมเดินทางที่ดีของคุณ,,,,,,,,,,,,,,
103,103,初始卡牌赠送-获得皮卡丘,10,,,,,,,1,{card={id=92;character=5;nvalue={hp=12;speed=12;damage=12;defence=12;specialDamage=12;specialDefence=12}}},,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,初始卡牌赠送-皮卡丘对白,10,,,,,,,,,,,,,,2,2,,92,,,,,,,,,,,皮卡！皮卡！,皮卡！皮卡！,Pika! Pika!,Pikachu! Pikachu!,피카! 피카!,Pika! Pika!,ปิกาจู! ปิกาจู!,,,,,,,,,,,,,,
105,105,初始卡牌赠送-我方说话,10,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,,,,皮卡丘，那就让我们一起并肩作战吧！,皮卡丘，那就讓我們一起並肩作戰吧！,"Pikachu, let's fight together!","Pikachu, chúng ta cùng chiến đấu nào!","""피카츄, 그럼 이제 함께 힘을 합쳐 싸우자!""","Pikachu, vamos lutar juntos!",Pikachu! มาต่อสู้ด้วยกันเถอะ!,,,,,,,,,,,,,,
106,106,初始卡牌赠送-博士对白,10,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,接下来，就让图鉴洛托姆来帮助你熟悉和了解这个神奇的精灵世界吧,接下來，就讓圖鑒洛托姆來幫助你熟悉和瞭解這個神奇的精靈世界吧,"Next, let's familiarize and understand this magical Pokémon World with the Rotom Pokédex.","Bây giờ, hãy để Rotom Pokédex giúp bạn làm quen và hiểu biết về thế giới Pokémon kỳ diệu này!",이제부터 로토무 도감이 널 도와서 이 신비한 포켓몬의 세계를 안내해줄 거다.,"Agora, deixe o Rotomdex te ajudar a se familiarizar com este maravilhoso mundo Pokémon!",ตอนนี้ ให้โรโทมเด็กซ์ช่วยคุณทำความคุ้นเคยกับโลกโปเกมอนอันน่าอัศจรรย์นี้กันเถอะ!,,,,,,,,,,,,,,
,,初始卡牌赠送-博士对白,10,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,首次战斗-主城到达,11,,city.view,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,你好啊，我叫图鉴洛托姆,你好啊，我叫圖鑒洛托姆,"Hello, I'm Rotom Pokédex.","Chào bạn, mình là Rotom Sổ tay.",안녕! 나는 로토무 도감이다 로토!,"Olá, eu sou o Rotom Dex.",สวัสดี ฉันคือโรทอมเดกซ์,,,,,,,,,,,,,,
112,112,首次战斗-主城到达,11,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,接下来，我将带你开始冒险,接下來，我將帶你開始冒險,"Next, let's begin your adventure.","Tiếp theo, tôi sẽ dẫn bạn bắt đầu cuộc phiêu lưu.",이제 내가 널 데리고 모험을 시작할 거야.,"Em seguida, eu o levarei em uma aventura.",ต่อไปนี้ ฉันจะพาคุณไปผจญภัย,,,,,,,,,,,,,,
113,113,首次战斗-引导点击关卡界面,11,,,,,,,,,,,,,,,1,,,{x=450;y=250},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,千里之行，始于足下，请点击这里开始你的冒险之旅吧,千里之行，始於足下，請點擊這裡開始你的冒險之旅吧,A journey of a thousand miles begins with a single step. Tap here to begin your adventure.,Một hành trình ngàn dặm bắt đầu từ một bước chân. Hãy nhấp vào đây để bắt đầu cuộc phiêu lưu của bạn!,그럼 여길 눌러서 모험을 시작해 로토.,Uma jornada de mil milhas começa com um único passo. Clique aqui para começar sua aventura!,การเดินทางไกลพันลี้ เริ่มต้นจากก้าวแรก คลิกที่นี่เพื่อเริ่มการผจญภัยของคุณ!,,主界面关卡,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
114,114,首次战斗-引导选择关卡,11,,,,,,,,,,,,,1,,2,,,{x=0;y=300},login/new_character/img_tjltm@.png,{x=0;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里，选择将要进入的关卡,點擊這裡，選擇將要進入的關卡,Tap here to select the level.,Nhấp vào đây để chọn màn chơi bạn muốn vào.,입장할 스테이지를 선택해 로토.,Clique aqui para selecionar o nível que deseja entrar.,คลิกที่นี่เพื่อเลือกด่านที่คุณต้องการเข้า,,1-1关卡,<pageView;page1;gate1>,,effect/shouyindao.skel,,,,,,,,,
,,首次战斗-引导关卡详情,11,,,,,,,,,,,,,0.1,,1,,,{x=-200;y=0},login/new_character/img_tjltm@.png,{x=-200;y=0},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotomdex,โรทอมเด็กซ์,这里有关卡的各种情报哦,這裡有關卡的各種情報哦,There are many information of the levels here.,Đây là những thông tin khác nhau về các màn chơi.,여기서 스테이지의 정보를 볼 수 있어 로토.,Aqui estão várias informações sobre as fases.,นี่คือข้อมูลต่างๆ เกี่ยวกับด่าน,,,,,,,,,,{width=6240;height=2880},,,,
115,115,首次战斗-引导点击挑战,11,,,,,,,,,,,,,0.1,,1,,,{x=100;y=0},login/new_character/img_tjltm@.png,{x=0;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里，让我们开始为战斗准备,點擊這裡，讓我們開始為戰鬥準備,Tap here to prepare for battle.,Nhấp vào đây để bắt đầu chuẩn bị cho trận chiến,그럼 여길 터치해 전투 준비를 시작하자 로토.,Clique aqui para começar a preparar-se para a batalha,คลิกที่นี่เพื่อเริ่มเตรียมการสำหรับการต่อสู้,,挑战,<rightDown;btnChallenge>,,effect/shouyindao.skel,,,{1=0},,,,,,
116,116,首次战斗-引导布阵,11,,,,,,,,,,,,,0.1,,2,,,{x=-600;y=100},login/new_character/img_tjltm@.png,{x=0;y=100},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,#C0xE77421#点击#C0x5B545B#这里的精灵头像图标，上阵你的精灵吧,#C0xE77421#點擊#C0x5B545B#這裡的精靈頭像圖示，上陣你的精靈吧,#C0xE77421#Tap#C0x5B545B# the Pokémon avatar icon here to send it out for battle.,#C0xE77421#Nhấn#C0x5B545B#biểu tượng Pokémon ở đây để đưa Pokémon của bạn vào trận đấu.,여기 있는 포켓몬 프로필을 #C0xE77421#터치#C0x5B545B#해 포켓몬을 출전시켜 봐 로토.,#C0xE77421#Clique#C0x5B545B#o ícone do Pokémon aqui para enviar seu Pokémon para a batalha.,#C0xE77421#คลิก#C0x5B545B#ไอคอนโปเกมอนตรงนี้เพื่อส่งโปเกมอนของคุณลงสนาม,,,<list;item2>,,effect/shouyindao.skel,,,,,,,,,
117,117,首次战斗-引导开始战斗,11,,,,,,,3,,,,,,,,,,,{x=0;y=150},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,布置好你的阵容了，那就点击这里开始战斗吧。,佈置好你的陣容了，那就點擊這裡開始戰鬥吧。,"Now that you have your line-up, tap here to start the battle.","Đội hình của bạn đã sẵn sàng, hãy nhấp vào đây để bắt đầu trận chiến!",라인업 배치를 끝내고 여길 터치해 전투를 시작하자 로토.,"Sua equipe está pronta, clique aqui para começar a batalha!",ทีมของคุณพร้อมแล้ว คลิกที่นี่เพื่อเริ่มการต่อสู้!,,布阵完成后的挑战,<btnChallenge>,,effect/shouyindao.skel,,,{1=92},,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{width=6240;height=2880},,,,
120,120,空白,12,,battle.battle_end.win,2,,finish(11) and not finish(13),,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,首次战斗-升级空白引导,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<back>,,,,,,,,,,,
122,122,首次战斗-返回关卡,12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<backBtn>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,初始抽卡-对白,13,,,,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,,,,在这个神奇的世界里，存在着各种各样的精灵，你想不想拥有更多的精灵呢？,在這個神奇的世界裡，存在著各種各樣的精靈，你想不想擁有更多的精靈呢？,There are all sorts of Pokémons in this magical world. Don't you want to catch more of them?,"Trong thế giới kỳ diệu này, có rất nhiều Pokémon khác nhau. Bạn có muốn sở hữu nhiều Pokémon hơn không?",이 신비한 세계에서는 다양한 포켓몬이 존재한다 로토. 더 많은 포켓몬을 얻고 싶지 않아 로토?,"Neste mundo mágico, existem vários Pokémon. Você quer ter mais Pokémon?",ในโลกมหัศจรรย์แห่งนี้ มีโปเกมอนนานาชนิด คุณอยากได้โปเกมอนเพิ่มอีกไหม,,,,,,,,,,,,,,
132,132,初始抽卡-对白,13,,,,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,,,,让我们去试试抽卡召唤新的精灵吧！,讓我們去試試抽卡召喚新的精靈吧！,Let's try drawing some cards and summon new Pokémons!,Hãy thử triệu hồi Pokémon mới bằng cách gacha!,그럼 포켓몬 뽑기로 새로운 포켓몬을 소환해 보자 로토!,Vamos tentar invocar um novo Pokémon com um gacha!,ไปลองสุ่มกาชาเพื่อเรียกโปเกมอนตัวใหม่กันเถอะ!,,,,,,,,,,,,,,
133,133,初始抽卡—主城,13,,,,,,,,,,,,,0.1,,2,,,{x=-200;y=300},login/new_character/img_tjltm@.png,{x=-200;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里，进入抽卡界面。,點擊這裡，進入抽卡介面。,Tap here to enter the Card Draw interface.,Nhấp vào đây để vào giao diện triệu hồi.,뽑기 메뉴로 들어가 봐 로토.,Clique aqui para entrar na interface de invocação.,คลิกที่นี่เพื่อเข้าสู่ส่วนการ์ด,,抽卡,<centerBottomPanel;actionList;drawCard>,,effect/shouyindao.skel,270,,,,,,,,
134,134,初始抽卡—单抽,13,,,,,,,1,,,,,,0.1,,2,,,{x=-200;y=300},login/new_character/img_tjltm@.png,{x=-200;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里开始抽卡吧！,點擊這裡開始抽卡吧！,Tap here to draw a card!,Nhấp vào đây để bắt đầu triệu hồi!,터치해서 뽑기를 시작해봐 로토!,Clique aqui para começar a invocar!,คลิกที่นี่เพื่อเริ่มสุ่มการ์ด!,,单抽,<drawOnePanel>,,effect/shouyindao.skel,270,,,,,,,,
135,135,空白,13,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,空白,13,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,确定,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<baseNode;btnOk>,,effect/shouyindao.skel,270,,,,,,,,
138,138,初始抽卡—剧情,13,,city.view,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,恭喜你获得了新精灵，让我们把它加入阵容吧！,恭喜你獲得了新精靈，讓我們把它加入陣容吧！,"Congratulations on getting a new Pokémon, let's add it to the line-up!",Chúc mừng bạn đã có Pokémon mới! Hãy thêm nó vào đội hình nào!,"""축하해, 새로운 포켓몬을 획득했어 로토. 그럼 어서 라인업에 추가해 보자 로토!""",Parabéns por conseguir um novo Pokémon! Vamos adicioná-lo à equipe!,ยินดีด้วยที่ได้รับโปเกมอนตัวใหม่! มาเพิ่มมันลงในทีมกันเถอะ!,,,,,,,,,,,,,,
139,139,主城布阵-返回主界面,13,,,,,,,,,,,1,,0.1,,2,,,{x=0;y=100},login/new_character/img_tjltm@.png,{x=0;y=100},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,#C0xE77421#点击#C0x5B545B#这里，返回主界面,#C0xE77421#點擊#C0x5B545B#這裡，返回主介面,#C0xE77421#Tap#C0x5B545B# here to return to the main interface.,#C0xE77421#Nhấp vào #C0x5B545B#đây để quay lại màn hình chính,여길 #C0xE77421#터치#C0x5B545B#해 메인화면으로 돌아가 로토.,#C0xE77421#Clique #C0x5B545B#aqui para voltar à tela principal,#C0xE77421#คลิก#C0x5B545B#ที่นี่เพื่อกลับไปยังหน้าจอหลัก,,,<leftTopPanel;back>,,effect/shouyindao.skel,,,,,,,,,
