变量名,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,_message,message_tw,message_en,needNotice_vn,message_kr,message_pt,message_th,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,conditionDesc_vn,conditionDesc_pt,conditionDesc_th,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
17,最佳伙伴,最佳夥伴,Best Partner,Đối tác tốt nhất,최고의 파트너,Melhor Parceiro,คู่หูที่ดีที่สุด,,txt,<138;92;153>,config/title/img_purple@.png,config/title/zjhb@.png,,2,,1,,,,,,1,0,,,,,,,,,好友数量达到50,好友數量達到50,Reach 50 friends,친구 수 50명 달성,Đạt 50 bạn bè,Alcançar 50 amigos,มีเพื่อนถึง 50 คน,78,50,,,,,,0,7,80,0,8,80,0,0,
18,挥金如土,揮金如土,Spends Money Like Water,Vung tiền như nước,돈을 물 쓰듯 하는 자,Gasta Dinheiro como Água,ใช้เงินเหมือนน้ำ,,txt,<138;92;153>,config/title/img_purple@.png,config/title/hjrt@.png,,2,,1,,,,,,1,0,,,,,,,,,累积消费200000000金币,累積消費200000000金幣,"Spend a total of 20,000,000 Gold","누적 골드 소비 20,000,000","Tiêu thụ tổng cộng 20,000,000 Vàng",Gastar um total de 20.000.000 de Ouro,"ใช้จ่ายโกลด์สะสม 20,000,000",20,200000000,,,,,,0,9,1%,0,10,1%,0,0,
19,蒂安希祝福,蒂安希祝福,Diancie's Blessing,Phước lành của Diancie,디안시의 축복,Bênção de Diancie,พรจากเดียนซี,,txt,<138;92;153>,config/title/img_purple@.png,config/title/daxzf@.png,,2,,1,,,,,,1,0,,,,,,,,,累积消耗99999钻石,累積消耗99999鑽石,"Spend a total of 99,999 Diamonds","누적 다이아 소모 99,999","Tiêu thụ tổng cộng 99,999 Kim cương",Gastar um total de 99.999 Diamantes,"ใช้เพชรสะสม 99,999",21,99999,,,,,,0,7,1%,0,8,1%,0,0,
20,完美出勤,完美出勤,Perfect Attendance,Chuyên cần hoàn hảo,완벽한 출석,Presença Perfeita,การเข้างานที่สมบูรณ์แบบ,,txt,<138;92;153>,config/title/img_purple@.png,config/title/wmcq@.png,,2,,1,,,,,,1,0,,,,,,,,,累积签到99次,累積簽到99次,Check in for 99 days in total,누적 출석 99회,Điểm danh tổng cộng 99 lần,Fazer check-in por 99 dias no total,เช็คอินสะสม 99 ครั้ง,25,99,,,,,,0,1,1000,0,0,,0,0,
21,精工巧匠,精工巧匠,Master Craftsman,Thợ thủ công tinh xảo,정교한 장인,Artesão Mestre,ช่างฝีมือประณีต,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jgqj@.png,,2,,1,,,,,,1,0,,,,,,,,,进行500次饰品升级,進行500次飾品升級,Upgrade Accessories 500 times,장신구 강화 500회 진행,Nâng cấp Phụ kiện 500 lần,Melhorar Acessórios 500 vezes,อัปเกรดเครื่องประดับ 500 ครั้ง,38,500,,,,,,0,9,150,0,10,150,0,0,
22,修行强者,修行強者,Strong Cultivator,Người tu hành mạnh mẽ,수행의 강자,Cultivador Forte,ผู้แข็งแกร่งจากการฝึกฝน,,txt,<138;92;153>,config/title/img_purple@.png,config/title/xxqz@.png,,99,,1,,,,,,1,0,,,,,,,,,战力值达到200000,戰力值達到200000,"Reach 200,000 Combat Power","전투력 200,000 달성","Đạt 200,000 Lực chiến",Alcançar 200.000 de Poder de Combate,"พลังต่อสู้ถึง 200,000",6,200000,,,,,,0,7,120,0,8,120,0,0,
23,幻影霸主,幻影霸主,Phantom Overlord,Bá chủ ảo ảnh,환영의 패자,Senhor Fantasma,จ้าวแห่งภาพลวงตา,,pic,<92;153;112>,config/title/img_red@.png,config/title/txt_hybz.png,,99,,1,,,,,,1,0,,,,,,,,,战力值达到800000,戰力值達到800000,"Reach 800,000 Combat Power","전투력 800,000 달성","Đạt 800,000 Lực chiến",Alcançar 800.000 de Poder de Combate,"พลังต่อสู้ถึง 800,000",6,800000,,,,,,0,7,1%,0,8,1%,0,0,
24,联盟冠军,聯盟冠軍,League Champion,Nhà vô địch Liên minh,리그 챔피언,Campeão da Liga,แชมป์เปี้ยนลีก,,spine,<92;153;112>,,title/lianmengguanjun.skel,<325;104>,1,,1,,,arena,1,,1,1,#C0xFF5B545B#[Arena Champion]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【竞技场冠军】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【競技場冠軍】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[Arena Champion]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,"#C0xFF5B545B#【Nhà vô địch Đấu trường】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【아레나 챔피언】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Campeão da Arena】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【แชมป์เปี้ยนอารีน่า】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,竞技场第一名（每日晚9:00结算时）,競技場第一名（每日晚9:00結算時）,Arena Rank 1 (at daily settlement 21:00),아레나 1위 (매일 밤 9:00 정산 시),Hạng 1 Đấu trường (tổng kết lúc 21:00 hàng ngày),1º lugar na Arena (no acerto diário às 21:00),อันดับ 1 ในอารีน่า (สรุปผลเวลา 21:00 ทุกวัน),,,,,,,,0,14,100,0,0,,0,0,
25,竞技主将,競技主將,Arena Master,Chủ tướng Đấu trường,아레나 주장,Mestre da Arena,ผู้บัญชาการอารีน่า,,spine,<92;153;112>,,title/jingjizhujiang.skel,<254;104>,1,,1,,,arena,2,,1,1,#C0xFF5B545B# [Arena Rank No. 2] #T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online. Come and get his signature!,#C0xFF5B545B#【竞技场亚军】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【競技場亞軍】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B# [Arena Rank No. 2] #T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online. Come and get his signature!,"#C0xFF5B545B#【Á quân Đấu trường】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【아레나 준우승】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Vice-campeão da Arena】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【รองแชมป์อารีน่า】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,竞技场第二名（每日晚9:00结算时）,競技場第二名（每日晚9:00結算時）,Arena Rank 2 (at daily settlement 21:00),아레나 2위 (매일 밤 9:00 정산 시),Hạng 2 Đấu trường (tổng kết lúc 21:00 hàng ngày),2º lugar na Arena (no acerto diário às 21:00),อันดับ 2 ในอารีน่า (สรุปผลเวลา 21:00 ทุกวัน),,,,,,,,0,14,100,0,0,,0,0,
26,对战达人,對戰達人,Battle Expert,Cao thủ Đối chiến,대전의 달인,Especialista em Batalha,ปรมาจารย์การต่อสู้,,spine,<92;153;112>,,title/duizhandaren.skel,<254;104>,1,,1,,,arena,3,,1,1,#C0xFF5B545B#[Arena Third Place]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【竞技场季军】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【競技場季軍】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[Arena Third Place]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,"#C0xFF5B545B#【Hạng ba Đấu trường】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【아레나 3위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Terceiro Lugar da Arena】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับสามอารีน่า】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,竞技场第三名（每日晚9:00结算时）,競技場第三名（每日晚9:00結算時）,Arena Rank 3 (at daily settlement 21:00),아레나 3위 (매일 밤 9:00 정산 시),Hạng 3 Đấu trường (tổng kết lúc 21:00 hàng ngày),3º lugar na Arena (no acerto diário às 21:00),อันดับ 3 ในอารีน่า (สรุปผลเวลา 21:00 ทุกวัน),,,,,,,,0,14,100,0,0,,0,0,
27,传奇饲育家,傳奇培育家,Legendary Breeder,Nhà nhân giống huyền thoại,전설의 사육사,Criador Lendário,นักเพาะพันธุ์ในตำนาน,,spine,<92;153;112>,,title/chuanqisiyujia.skel,<254;104>,1,,1,,,pokedex,1,,1,1,#C0xFF5B545B#[Pokédex Rank No. 1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【图鉴排行第一】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【圖鑒排行第一】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[Pokédex Rank No. 1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,"#C0xFF5B545B#【Hạng 1 Bảng xếp hạng Pokédex】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【도감 랭킹 1위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº1 do Ranking da Pokédex】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 1 โปเกเด็กซ์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,图鉴排行第一名（每日5:00结算时）,圖鑒排行第一名（每日5:00結算時）,Pokédex Ranking No.1 (at daily settlement 05:00),도감 랭킹 1위 (매일 5:00 정산 시),Hạng 1 Bảng xếp hạng Pokédex (tổng kết lúc 05:00 hàng ngày),1º lugar no Ranking da Pokédex (no acerto diário às 05:00),อันดับ 1 ในการจัดอันดับโปเกเด็กซ์ (สรุปผลเวลา 05:00 ทุกวัน),,,,,,,,0,1,1%,0,0,,0,0,
28,传奇探险家,傳奇探險家,Legendary Explorer,Nhà thám hiểm huyền thoại,전설의 탐험가,Explorador Lendário,นักสำรวจในตำนาน,,spine,<92;153;112>,,title/chuanqitanxianjia.skel,<254;104>,1,,1,,,star,1,,1,1,#C0xFF5B545B#[The Greatest Explorer]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【最强探险家】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【最強探險家】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[The Greatest Explorer]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,"#C0xFF5B545B#【Nhà thám hiểm mạnh nhất】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【최강의 탐험가】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Explorador Mais Forte】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【นักสำรวจที่แข็งแกร่งที่สุด】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,关卡星级排行第一名（每日5:00结算时）,關卡星級排行第一名（每日5:00結算時）,Stage Star Ranking No.1 (at daily settlement 05:00),스테이지 별 랭킹 1위 (매일 5:00 정산 시),Hạng 1 Bảng xếp hạng Sao màn chơi (tổng kết lúc 05:00 hàng ngày),1º lugar no Ranking de Estrelas de Estágio (no acerto diário às 05:00),อันดับ 1 ในการจัดอันดับดาวของด่าน (สรุปผลเวลา 05:00 ทุกวัน),,,,,,,,0,7,1%,0,8,1%,0,0,
31,波导勇者,波導勇者,Aura Hero,Dũng sĩ Aura,파동의 용사,Herói da Aura,ผู้กล้าแห่งคลื่นพลัง,,spine,<92;153;112>,,title/bodaoyongzhe.skel,<254;104>,99,,1,,,,,,1,0,,,,,,,,,VIP6获得,VIP6獲得,Obtained at VIP 6,VIP6 달성 시 획득,Nhận ở VIP 6,Obtido no VIP 6,ได้รับเมื่อ VIP 6,5,6,,,,,,0,1,1%,0,0,,0,0,
32,沧海王子,滄海王子,Prince of the Sea,Hoàng tử Biển cả,창해의 왕자,Príncipe do Mar,เจ้าชายแห่งท้องทะเล,,spine,<92;153;112>,,title/canghaiwangzi.skel,<254;104>,99,,1,,,,,,1,0,,,,,,,,,VIP10获得,VIP10獲得,Obtained at VIP 10,VIP10 달성 시 획득,Nhận ở VIP 10,Obtido no VIP 10,ได้รับเมื่อ VIP 10,5,10,,,,,,0,9,1%,0,10,1%,0,0,
33,七夜之愿,七夜之願,Wish of Seven Nights,Ước nguyện Bảy đêm,일곱 밤의 소원,Desejo das Sete Noites,ความปรารถนาแห่งเจ็ดราตรี,,spine,<92;153;112>,,title/qiyezhiyuan.skel,<254;104>,99,,1,,,,,,1,0,,,,,,,,,VIP15获得,VIP15獲得,Obtained at VIP 15,VIP15 달성 시 획득,Nhận ở VIP 15,Obtido no VIP 15,ได้รับเมื่อ VIP 15,5,15,,,,,,0,7,1%,0,8,1%,0,0,
34,时空之主,時空之主,Master of Time and Space,Chúa tể Thời không,시공의 주인,Mestre do Tempo e do Espaço,จ้าวแห่งกาลเวลา,,spine,<92;153;112>,,title/shikongzhizhu.skel,<254;104>,99,,1,,,,,,1,0,,,,,,,,,VIP18获得,VIP18獲得,Obtained at VIP 18,VIP18 달성 시 획득,Nhận ở VIP 18,Obtido no VIP 18,ได้รับเมื่อ VIP 18,5,18,,,,,,0,22,100,0,23,100,0,0,
35,精灵会员,寶可夢會員,Pokémon Member,Hội viên Pokémon,포켓몬 회원,Membro Pokémon,สมาชิกโปเกมอน,,txt,<138;92;153>,config/title/img_purple@.png,,,99,,1,,,monthcard,,,1,30,,,,,,,,,月卡获得,月卡獲得,Obtained from Monthly Card,월정액 카드 획득,Nhận từ Thẻ Tháng,Obtido com o Cartão Mensal,ได้รับจากบัตรรายเดือน,,,,,,,,0,1,1%,0,0,,0,0,
36,大师会员,大師會員,Master Member,Hội viên Đại sư,마스터 회원,Membro Mestre,สมาชิกมาสเตอร์,,pic,<228;94;76>,config/title/img_red@.png,config/title/txt_dshy.png,,99,,1,,,monthcard,,,1,30,,,,,,,,,月卡获得,月卡獲得,Obtained from Monthly Card,월정액 카드 획득,Nhận từ Thẻ Tháng,Obtido com o Cartão Mensal,ได้รับจากบัตรรายเดือน,,,,,,,,0,7,1%,0,8,1%,0,0,
